procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 922500   5796 6556296    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 893624   5796 6556520    0    0     0     0 16665 15525 10  8 83  0  0
 1  0   2560 893532   5796 6556520    0    0     0     0 12025 13315  1  2 96  0  0
 0  0   2560 893920   5796 6556520    0    0     0    12 12242 13881  1  3 96  0  0
 0  0   2560 892332   5796 6556520    0    0     0     0 11508 12744  1  2 96  0  0
 0  0   2560 892108   5796 6556520    0    0     0     0 11554 12834  2  2 96  0  0
 0  0   2560 892180   5796 6556520    0    0     0     0 11682 12853  1  2 97  0  0
 0  0   2560 891936   5796 6556520    0    0     0     0 10620 11872  1  3 96  0  0
 0  0   2560 891840   5796 6556520    0    0     0     8 13615 15120  1  3 96  0  0
 0  0   2560 892000   5796 6556520    0    0     0     0 13071 14496  1  3 96  0  0
 0  0   2560 891628   5796 6556520    0    0     0    96 13498 14923  2  3 95  0  0
 0  0   2560 891652   5796 6556532    0    0     0     0 12795 13988  1  3 96  0  0
 0  0   2560 891628   5796 6556532    0    0     0     0 11201 12383  1  3 96  0  0
 0  0   2560 891412   5796 6556532    0    0     0     0 11355 12616  1  2 97  0  0
 0  0   2560 891512   5796 6556548    0    0     0     0 10781 12043  1  2 97  0  0
 0  0   2560 891708   5796 6556552    0    0     0     0 11320 12581  1  2 97  0  0
 2  0   2560 891388   5796 6556552    0    0     0     0 10211 11394  1  2 97  0  0
 0  0   2560 890464   5796 6556552    0    0     0     0 10412 11575  1  2 96  0  0
 1  0   2560 890720   5796 6556552    0    0     0     0 12741 14093  2  3 95  0  0
 0  0   2560 890656   5796 6556552    0    0     0     0 10457 11724  1  3 96  0  0
 0  0   2560 891268   5796 6556552    0    0     0     0 10486 11583  2  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 890984   5796 6556564    0    0     0     0 10934 12057  1  2 96  0  0
 1  0   2560 891212   5796 6556564    0    0     0     0 10898 12064  1  3 96  0  0
 0  0   2560 891084   5796 6556564    0    0     0     0 12377 13637  1  2 97  0  0
 1  0   2560 891116   5796 6556564    0    0     0     0 10420 11650  1  2 97  0  0
 0  0   2560 891120   5796 6556564    0    0     0     0 13448 14729  1  3 96  0  0
 0  0   2560 891292   5796 6556564    0    0     0     0 14981 16412  1  3 96  0  0
 0  0   2560 891508   5796 6556580    0    0     0     0 10469 11642  1  3 96  0  0
 0  0   2560 891224   5796 6556580    0    0     0     0 14982 16465  1  3 95  0  0
 1  0   2560 890936   5796 6556580    0    0     0    36 10073 11209  1  2 97  0  0
 0  0   2560 891032   5796 6556584    0    0     0     0 7888 8864  1  2 97  0  0
 0  0   2560 890840   5796 6556584    0    0     0     0 9157 10247  1  2 96  0  0
 0  0   2560 890808   5796 6556592    0    0     0     0 7591 8436  1  2 97  0  0
 0  0   2560 890536   5796 6556596    0    0     0     0 8178 9073  1  2 97  0  0
 1  0   2560 890376   5796 6556596    0    0     0   208 6000 6843  1  1 98  0  0
 0  0   2560 889928   5796 6556596    0    0     0     0 6584 7347  1  2 98  0  0
 1  0   2560 866736   5796 6556596    0    0     0     0 7130 7856  3  3 94  0  0
 0  0   2560 865484   5796 6556600    0    0     0     4 8272 9068  1  2 97  0  0
 0  0   2560 865676   5796 6556600    0    0     0     0 8735 9603  1  2 97  0  0
 0  0   2560 865276   5796 6556608    0    0     0     4 6437 7376  1  2 97  0  0
 1  0   2560 865228   5796 6556628    0    0     0   183 7222 8054  1  2 97  0  0
 0  0   2560 865356   5796 6556632    0    0     0     0 7215 8034  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 865644   5796 6556640    0    0     0     0 7886 8852  1  2 97  0  0
 0  0   2560 865676   5796 6556656    0    0     0     0 8236 9177  1  2 97  0  0
 0  0   2560 865880   5796 6556664    0    0     0     0 7933 8926  1  1 98  0  0
 0  0   2560 865888   5796 6556664    0    0     0     0 7914 8821  1  2 97  0  0
 0  0   2560 865784   5796 6556664    0    0     0     0 6296 7008  1  2 97  0  0
 0  0   2560 865816   5796 6556664    0    0     0     0 8040 8945  1  2 97  0  0
 2  0   2560 865912   5796 6556664    0    0     0     0 9036 9946  1  2 97  0  0
 1  0   2560 865688   5796 6556664    0    0     0     0 7319 8205  1  3 97  0  0
 0  0   2560 865496   5796 6556664    0    0     0     0 7041 7979  1  2 98  0  0
 0  0   2560 865792   5796 6556668    0    0     0     0 8320 9300  1  2 97  0  0
 0  0   2560 865824   5796 6556672    0    0     0     0 7064 7858  1  2 97  0  0
 0  0   2560 865664   5796 6556692    0    0     0     0 6941 7795  1  2 98  0  0
 0  0   2560 865696   5796 6556696    0    0     0     0 8369 9392  1  2 97  0  0
 1  0   2560 890104   5796 6556696    0    0     0   268 10486 11406  7  4 89  0  0
 0  0   2560 890104   5796 6556696    0    0     0     0 9036 10025  1  2 97  0  0
 0  0   2560 890136   5796 6556696    0    0     0     0 7904 8898  1  2 97  0  0
 0  0   2560 890168   5796 6556696    0    0     0     0 6555 7513  1  2 98  0  0
 1  0   2560 890232   5796 6556700    0    0     0     0 6505 7367  1  1 98  0  0
 0  0   2560 890440   5796 6556700    0    0     0     0 7307 8412  1  2 97  0  0
 0  0   2560 890280   5796 6556700    0    0     0     0 9498 10334  3  3 95  0  0
 0  0   2560 890604   5796 6556700    0    0     0     0 10124 11172  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 891060   5796 6556700    0    0     0     0 11687 12954  1  3 96  0  0
 0  0   2560 890580   5796 6556708    0    0     0   132 10189 11448  1  3 96  0  0
