=== SHOW GLOBAL VARIABLES ===
Variable_name	Value
allow_auto_random_explicit_insert	OFF
authentication_ldap_sasl_auth_method_name	SCRAM-SHA-1
authentication_ldap_sasl_bind_base_dn	
authentication_ldap_sasl_bind_root_dn	
authentication_ldap_sasl_bind_root_pwd	
authentication_ldap_sasl_ca_path	
authentication_ldap_sasl_init_pool_size	10
authentication_ldap_sasl_max_pool_size	1000
authentication_ldap_sasl_server_host	
authentication_ldap_sasl_server_port	389
authentication_ldap_sasl_tls	OFF
authentication_ldap_sasl_user_search_attr	uid
authentication_ldap_simple_auth_method_name	SIMPLE
authentication_ldap_simple_bind_base_dn	
authentication_ldap_simple_bind_root_dn	
authentication_ldap_simple_bind_root_pwd	
authentication_ldap_simple_ca_path	
authentication_ldap_simple_init_pool_size	10
authentication_ldap_simple_max_pool_size	1000
authentication_ldap_simple_server_host	
authentication_ldap_simple_server_port	389
authentication_ldap_simple_tls	OFF
authentication_ldap_simple_user_search_attr	uid
auto_increment_increment	1
auto_increment_offset	1
autocommit	ON
automatic_sp_privileges	1
avoid_temporal_upgrade	OFF
back_log	80
basedir	/usr/local/mysql
big_tables	OFF
bind_address	*
binlog_cache_size	32768
binlog_checksum	CRC32
binlog_direct_non_transactional_updates	OFF
binlog_error_action	IGNORE_ERROR
binlog_format	STATEMENT
binlog_group_commit_sync_delay	
binlog_group_commit_sync_no_delay_count	
binlog_gtid_simple_recovery	1
binlog_max_flush_queue_time	0
binlog_order_commits	ON
binlog_row_image	FULL
binlog_rows_query_log_events	OFF
binlog_stmt_cache_size	32768
binlogging_impossible_mode	IGNORE_ERROR
block_encryption_mode	aes-128-ecb
bulk_insert_buffer_size	8388608
character_set_client	utf8mb4
character_set_connection	utf8mb4
character_set_database	utf8mb4
character_set_filesystem	binary
character_set_results	utf8mb4
character_set_server	utf8mb4
character_set_system	utf8
character_sets_dir	/usr/local/mysql-5.6.25-osx10.8-x86_64/share/charsets/
check_proxy_users	OFF
collation_connection	utf8mb4_bin
collation_database	utf8mb4_bin
collation_server	utf8mb4_bin
completion_type	NO_CHAIN
concurrent_insert	AUTO
connect_timeout	10
core_file	OFF
cte_max_recursion_depth	1000
datadir	172.24.40.32:2379,172.24.40.33:2379,172.24.40.34:2379,10.160.152.11:2379,10.160.152.12:2379,10.160.152.13:2379
date_format	%Y-%m-%d
datetime_format	%Y-%m-%d %H:%i:%s
ddl_slow_threshold	300
debug	
default_authentication_plugin	mysql_native_password
default_collation_for_utf8mb4	utf8mb4_bin
default_password_lifetime	0
default_storage_engine	InnoDB
default_tmp_storage_engine	InnoDB
default_week_format	0
delay_key_write	ON
delayed_insert_limit	100
delayed_insert_timeout	300
delayed_queue_size	1000
disconnect_on_expired_password	ON
div_precision_increment	4
end_markers_in_json	OFF
enforce_gtid_consistency	OFF
eq_range_index_dive_limit	200
event_scheduler	OFF
executed_gtids_compression_period	
expire_logs_days	0
explicit_defaults_for_timestamp	ON
flush	OFF
flush_time	0
foreign_key_checks	ON
ft_boolean_syntax	+ -><()~*:""&|
ft_max_word_len	84
ft_min_word_len	4
ft_query_expansion_limit	20
ft_stopword_file	(built-in)
general_log	OFF
general_log_file	/usr/local/mysql/data/localhost.log
group_concat_max_len	1024
gtid_executed_compression_period	
gtid_mode	OFF
gtid_purged	
have_compress	YES
have_crypt	YES
have_dynamic_loading	YES
have_geometry	YES
have_openssl	DISABLED
have_profiling	NO
have_query_cache	YES
have_rtree_keys	YES
have_ssl	DISABLED
have_symlink	YES
host_cache_size	279
hostname	l-test-poc-1
ignore_builtin_innodb	0
information_schema_stats_expiry	86400
init_connect	
init_slave	
innodb_adaptive_flushing	ON
innodb_adaptive_flushing_lwm	10
innodb_adaptive_hash_index	ON
innodb_adaptive_max_sleep_delay	150000
innodb_additional_mem_pool_size	8388608
innodb_api_bk_commit_interval	5
innodb_api_disable_rowlock	0
innodb_api_enable_binlog	0
innodb_api_enable_mdl	0
innodb_api_trx_level	0
innodb_autoextend_increment	64
innodb_autoinc_lock_mode	1
innodb_buffer_pool_dump_at_shutdown	0
innodb_buffer_pool_dump_now	OFF
innodb_buffer_pool_dump_pct	
innodb_buffer_pool_filename	ib_buffer_pool
innodb_buffer_pool_instances	8
innodb_buffer_pool_load_abort	OFF
innodb_buffer_pool_load_at_startup	1
