procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  2      0 14431440     20 617856    0    0    44   104  156  410  1  1 98  0  0
 5  0      0 14332588     20 619508    0    0   304     0 54045 74069 36 15 49  0  0
 3  0      0 14287880     20 619440    0    0     0     0 40786 55394 27 11 62  0  0
 4  0      0 14318408     20 619396    0    0     0    20 42459 54973 28 12 60  0  0
 3  0      0 14293580     20 619376    0    0     0     0 38354 51401 26 11 63  0  0
 9  0      0 14276912     20 619360    0    0     0     0 40644 51713 28 11 60  0  0
 3  0      0 14261376     20 619360    0    0     0     0 42888 56155 28 12 60  0  0
 4  0      0 14247936     20 619360    0    0     0   119 41877 55035 28 12 60  0  0
 0  0      0 14233736     20 619360    0    0     0    60 41242 53682 27 12 61  0  0
 1  0      0 14217416     20 619360    0    0     0     0 41016 53490 28 12 60  0  0
 2  0      0 14212300     20 615332    0    0     0     0 42008 54944 28 12 60  0  0
 4  0      0 14206280     20 615332    0    0     0     0 46760 59723 28 12 61  0  0
 1  0      0 14200916     20 615332    0    0     0     0 43649 58800 26 11 62  0  0
 3  0      0 14195068     20 615332    0    0     0     0 43517 59102 26 11 63  0  0
 0  0      0 14184380     20 615332    0    0     0     0 42844 55538 26 12 62  0  0
 5  0      0 14177928     20 615332    0    0     0    12 41571 54272 27 12 61  0  0
 4  0      0 14174056     20 615336    0    0     0     0 43657 56591 24 11 65  0  0
 2  0      0 14169704     20 615336    0    0     0     0 42150 55640 25 11 64  0  0
 0  0      0 14164280     20 615336    0    0     0     0 42881 55515 30 12 58  0  0
 3  0      0 14159688     20 615336    0    0     0     0 42927 56418 30 13 58  0  0
 5  0      0 14156412     20 615336    0    0     0    12 41384 54037 27 11 61  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 14152800     20 615336    0    0     0     0 42389 55276 26 11 62  0  0
 7  0      0 14150788     20 615340    0    0     0     0 43220 55927 26 12 62  0  0
 2  0      0 14146308     20 615340    0    0     0     0 42767 55317 27 12 62  0  0
 2  0      0 14141800     20 615340    0    0     0     0 42166 56901 29 11 60  0  0
 1  0      0 14138208     20 615340    0    0     0     0 40059 52172 25 12 63  0  0
 3  0      0 14130512     20 615340    0    0     0    12 43487 57347 25 10 64  0  0
 1  0      0 14127304     20 615348    0    0     0     0 41925 57020 29 12 60  0  0
 3  0      0 14124572     20 615348    0    0     0     0 41882 55937 30 12 58  0  0
 2  0      0 14119960     20 615348    0    0     0     0 41898 55846 27 13 60  0  0
 1  0      0 14115708     20 615348    0    0     0     0 43020 55586 27 13 61  0  0
 2  0      0 14111864     20 615352    0    0     0    24 42925 57788 25 12 63  0  0
 0  0      0 14108776     20 615352    0    0     0     0 42103 55839 25 12 63  0  0
 5  0      0 14112240     20 615352    0    0     0     0 41095 54633 25 11 64  0  0
 1  0      0 14132032     20 615352    0    0     0     0 43045 55974 26 11 63  0  0
 1  0      0 14130900     20 615352    0    0     0     0 41921 53738 28 12 59  0  0
 2  0      0 14129320     20 615356    0    0     0     0 42532 55723 25 11 64  0  0
 2  0      0 14125764     20 615360    0    0     0    80 39154 52460 28 11 61  0  0
 0  0      0 14123684     20 615360    0    0     0     0 42515 54934 27 12 61  0  0
 2  0      0 14123436     20 615360    0    0     0     0 44038 57411 30 12 58  0  0
 6  0      0 14122200     20 615364    0    0     0     0 40184 54283 28 13 59  0  0
 3  0      0 14119944     20 615364    0    0     0     0 42981 57236 27 11 62  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 14118644     20 615364    0    0     0     0 44298 59243 27 11 61  0  0
 1  0      0 14115024     20 615364    0    0     0    12 41291 53385 26 11 63  0  0
 0  0      0 14113604     20 615364    0    0     0     0 43280 56494 28 11 60  0  0
 7  0      0 14113448     20 615368    0    0     0     0 41124 53862 25 11 64  0  0
 1  0      0 14112532     20 615368    0    0     0     0 42398 55213 25 11 63  0  0
 1  0      0 14112384     20 615368    0    0     0     0 43387 56957 24 11 64  0  0
 3  0      0 14109228     20 615368    0    0     0    12 42238 54229 26 12 61  0  0
 1  0      0 14105820     20 615368    0    0     0     0 42533 53996 28 13 59  0  0
 3  0      0 14103360     20 615372    0    0     0     0 39596 50983 28 12 60  0  0
 1  0      0 14102676     20 615428    0    0    44     6 41104 53687 25 11 65  0  0
 5  0      0 14102780     20 615428    0    0     0     0 39676 50470 29 13 58  0  0
 4  0      0 14101804     20 615428    0    0     0    24 39406 48240 29 12 59  0  0
 5  0      0 14101332     20 615428    0    0     0     0 41030 50075 32 14 53  0  0
 4  0      0 14096128     20 615428    0    0     0     0 39726 49819 33 13 54  0  0
 0  0      0 14092824     20 615432    0    0     0     0 38107 47723 26 11 63  0  0
 6  0      0 14092224     20 615432    0    0     0     0 36473 46014 27 11 62  0  0
 4  0      0 14091596     20 615432    0    0     0     0 40838 49013 30 12 58  0  0
 6  0      0 14088252     20 615432    0    0     0    12 37204 47207 30 12 57  0  0
 1  0      0 14668784     20 615400    0    0     0     0 40660 47687 29 15 56  0  0
 0  0      0 14669368     20 615408    0    0     0     0 1936 2698  1  1 98  0  0
 0  0      0 14669780     20 615408    0    0     0     0 1120 1563  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14671044     20 615404    0    0     0     0 1146 1683  0  1 99  0  0
 0  0      0 14673148     20 615364    0    0     0    28 1386 2034  1  1 99  0  0
