procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 12565156   3132 2347748    0    0    33   382  603  883  2  2 95  1  0
 0  1      0 12568368   3132 2347852    0    0     0  6960 24320 31823 18 13 53 17  0
 1  1      0 12567856   3132 2347852    0    0     0  6088 21043 27733 16 11 58 15  0
 3  1      0 12569680   3132 2347852    0    0     0  6468 19759 26002 17 11 58 15  0
 2  0      0 12566576   3132 2347852    0    0     0  6308 22034 28888 17 11 55 16  0
 0  1      0 12568560   3132 2347852    0    0     0  5964 20981 28242 16 11 59 14  0
 3  1      0 12568272   3132 2347852    0    0     0  7288 22180 29482 17 11 55 16  0
 5  0      0 12560568   3132 2355836    0    0     0 13818 22033 29546 20 12 53 16  0
 0  2      0 12549056   3132 2370644    0    0     0 43886 25488 33616 33 14 35 18  0
 5  0      0 12562224   3132 2353996    0    0     0 24455 24396 31911 24 14 46 17  0
 1  1      0 12559800   3132 2353732    0    0     0  6008 21817 28975 16 11 57 15  0
 1  1      0 12562584   3132 2353732    0    0     0  6464 21658 28143 17 12 55 16  0
 1  0      0 12569556   3132 2353732    0    0     0  6468 21985 28909 17 12 55 16  0
 0  1      0 12565204   3132 2353732    0    0     0  6832 19854 26574 15 11 59 15  0
 1  1      0 12564340   3132 2353732    0    0     0  6096 20513 27312 16 11 58 16  0
 3  1      0 12565336   3132 2353732    0    0     0  5876 18423 24754 13 11 61 15  0
 3  1      0 12567384   3132 2353732    0    0     0  7022 20571 27834 15 11 59 14  1
 5  1      0 12570264   3132 2353732    0    0     0  6816 23044 30373 17 13 54 16  0
 1  1      0 12563384   3132 2353732    0    0     0  6080 21821 28825 17 12 56 15  0
 1  1      0 12565468   3132 2353732    0    0     0  5980 21516 28666 16 11 58 15  0
 0  0      0 12567292   3132 2353732    0    0     0  5660 20402 27341 14 11 60 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 12566428   3132 2353732    0    0     0  5688 21469 28814 15 11 60 14  0
 0  1      0 12566364   3132 2353732    0    0     0  6708 23172 30489 17 12 55 16  0
 0  1      0 12566044   3132 2353732    0    0     0  7928 22661 30083 17 11 56 16  0
 0  1      0 12565532   3132 2353732    0    0     0  5784 20331 26764 15 10 59 15  0
 0  0      0 12566624   3132 2353732    0    0     0  5510 18206 23922 14 10 64 12  0
 0  1      0 12564992   3132 2353740    0    0     0  8580 25870 34185 19 13 52 16  0
 0  1      0 12565384   3132 2353740    0    0     0  7384 26268 34626 20 14 50 16  0
 2  1      0 12558152   3132 2353740    0    0     0  4488 16699 22544 12  9 67 11  0
 2  1      0 12550800   3132 2353740    0    0     0  6520 21492 27243 18 12 54 16  0
 0  1      0 12549940   3132 2353740    0    0     0  6216 21902 29726 16 11 59 15  0
 0  1      0 12550836   3132 2353740    0    0     0  7612 24609 32270 18 13 53 16  0
 0  0      0 12550068   3132 2353740    0    0     0  6248 23353 31839 16 11 58 15  0
 1  2      0 12524660   3132 2376828    0    0     0 36191 24444 32072 30 13 38 19  0
 3  0      0 12541380   3132 2359568    0    0     0 28417 21153 28909 22 11 50 17  0
 0  1      0 12542576   3132 2359568    0    0     0  7568 23349 31002 16 12 56 16  0
 3  1      0 12543336   3132 2359600    0    0     0  7228 23245 30489 19 11 54 16  0
 1  0      0 12544280   3132 2359600    0    0     0  5996 21673 28741 16 12 57 15  0
 1  1      0 12541580   3132 2359600    0    0     0  7148 24292 32060 18 13 52 16  1
 1  1      0 12543724   3132 2359600    0    0     0  5720 20338 26886 15 12 59 14  0
 1  0      0 12543056   3132 2359600    0    0     0  6244 22573 29865 16 12 56 16  0
 0  1      0 12544972   3132 2359600    0    0     0  6216 20939 27660 16 11 58 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12544404   3132 2359600    0    0     0  6428 21309 28145 16 11 57 16  0
 0  1      0 12541876   3132 2359600    0    0     0  8688 25729 34031 18 12 53 16  0
 0  0      0 12545556   3132 2359600    0    0     0  7116 23256 30195 18 12 54 16  0
 0  1      0 12541236   3132 2359600    0    0     0  5880 19497 26230 15 10 61 14  0
 0  0      0 12544212   3132 2359600    0    0     0  7456 22211 28949 17 11 55 16  0
 3  1      0 12543668   3132 2359600    0    0     0  6685 22987 30110 17 12 54 16  0
 3  1      0 12543572   3132 2359600    0    0     0  6532 22154 29290 16 12 57 15  0
 4  0      0 12543124   3132 2359600    0    0     0  6340 23350 31165 17 12 56 15  0
 1  1      0 12543252   3132 2359600    0    0     0  6840 23182 30311 17 12 55 16  0
 0  0      0 12542612   3132 2359600    0    0     0  6348 22228 30206 15 11 59 15  0
 0  1      0 12543988   3132 2359600    0    0     0  5344 19107 26076 13 10 63 14  0
 3  1      0 12540212   3132 2359600    0    0     0  7388 21685 29115 16 10 58 15  0
 2  0      0 12543412   3132 2359600    0    0     0  6840 23637 31378 17 12 55 16  0
