procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 14731712     28 416908    0    0    42   449 1093 1630  2  1 96  0  0
 0  0      0 14731468     28 419348    0    0    80  4286 18379 27137  7  5 86  3  0
 1  1      0 14727944     28 420992    0    0     0  4429 19179 28292  6  5 86  3  0
 1  1      0 14726428     28 421656    0    0     0  3154 18946 27630  6  4 86  4  0
 0  0      0 14720676     28 424488    0    0     0  5736 21097 31221  7  5 85  4  0
 0  0      0 14715320     28 427064    0    0     0  4806 19346 28353  7  4 86  4  0
 1  0      0 14708948     28 427532    0    0     0  3910 21010 29943  7  5 84  4  0
 0  0      0 14707024     28 427772    0    0     0  2674 18750 28380  6  4 87  3  0
 0  0      0 14705696     28 428276    0    0     0  2742 17151 25766  6  4 87  3  0
 2  0      0 14704340     28 428512    0    0     0  3209 19814 29062  7  5 85  4  0
 1  1      0 14700184     28 430480    0    0     0  3321 13049 19479  4  3 90  2  0
 0  0      0 14696252     28 432236    0    0     0  3361 14951 23098  6  3 89  2  0
 1  0      0 14692380     28 433936    0    0     0  3991 16358 24315  6  4 87  3  0
 1  0      0 14691596     28 434296    0    0     0  1842 13903 21438  3  3 92  2  0
 4  0      0 14684764     28 437056    0    0     0  4512 15047 22930  5  3 90  2  0
 0  0      0 14678340     28 439300    0    0     0 17891 14374 21436 13  4 80  4  0
 3  1      0 14677768     28 439300    0    0     0  1972 17176 25370  6  4 88  3  0
 2  0      0 14678340     28 439300    0    0     0  3568 16381 24223  5  4 88  3  0
 2  1      0 14678048     28 439300    0    0     0  1812 15202 21950  6  4 88  2  0
 1  1      0 14678680     28 439300    0    0     0  1732 15525 22786  6  4 88  2  0
 0  1      0 14678328     28 439300    0    0     0  3356 16308 24046  5  4 88  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 14678144     28 439300    0    0     0  3492 16851 24182  6  5 87  3  0
 0  0      0 14677496     28 439300    0    0     0  3435 17297 25021  6  5 87  3  0
 0  1      0 14677148     28 439300    0    0     0  1272 11471 16837  5  3 90  2  0
 1  0      0 14676968     28 439300    0    0     0  3960 13134 19165  5  3 90  2  0
 0  1      0 14676844     28 439300    0    0     0  3596 16237 24183  6  5 86  2  0
 3  0      0 14675988     28 439300    0    0     0  1652 14436 20811  6  4 87  2  0
 0  0      0 14674408     28 439300    0    0     0  2436 18006 23578  9  5 83  3  0
 2  1      0 14674092     28 439300    0    0     0  2164 19219 27706  7  5 85  3  0
 0  0      0 14671636     28 439300    0    0     0  1344 13083 20123  4  4 90  2  0
 0  0      0 14663540     28 439300    0    0     0  2904 12954 18931  5  4 89  2  0
 1  0      0 14656012     28 439300    0    0     0  2964 13324 19517  4  4 90  2  0
 2  0      0 14643756     28 439300    0    0     0  3612 18058 25767  6  5 86  3  0
 0  0      0 14630232     28 439300    0    0     0  2088 19573 27741  6  4 87  3  0
 0  1      0 14593692     28 439348    0    0     0  4720 20162 28331  7  6 84  3  0
 1  0      0 14587272     28 439348    0    0     0  4100 17845 23322  8  4 85  3  0
 1  0      0 14587176     28 439348    0    0     0  2148 19834 29027  6  5 87  3  0
 0  0      0 14587276     28 439348    0    0     0  1808 17086 24573  5  4 88  3  0
 1  0      0 14586232     28 439348    0    0     0  1816 15687 22284  6  5 87  2  0
 1  1      0 14586328     28 439348    0    0     0  1760 17813 26369  5  4 89  2  0
 0  0      0 14586232     28 439348    0    0     0  3176 16709 24185  5  4 89  3  0
 0  1      0 14586200     28 439348    0    0     0  3328 15912 22890  5  4 89  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 14586616     28 439348    0    0     0  3616 18937 26968  6  4 88  3  0
 2  0      0 14586360     28 439348    0    0     0  1892 18854 27811  6  4 88  2  0
 1  0      0 14586204     28 439348    0    0     0  4640 17377 24879  6  4 87  3  0
 0  0      0 14582052     28 441336    0    0     0  4000 15104 21222  6  4 88  2  0
 0  1      0 14580848     28 441480    0    0     0  2188 18422 27732  5  4 89  2  0
 3  0      0 14580160     28 441936    0    0     0  2408 19229 29313  6  4 87  3  0
 0  0      0 14579400     28 442076    0    0     0  1892 16231 24333  5  4 89  2  0
 2  0      0 14578580     28 442448    0    0     0  2041 15554 23008  5  4 89  2  0
 0  0      0 14574104     28 444264    0    0     0  3960 18657 28285  5  4 88  3  0
 0  0      0 14570192     28 445860    0    0     0  3798 16339 23583  5  4 89  3  0
 0  0      0 14566384     28 447916    0    0     0  3895 18750 28402  5  3 89  3  0
 1  1      0 14565380     28 448292    0    0     0  2509 17379 25760  5  4 88  3  0
