procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 926116   5796 6551472    0    0     0     1    1    0  0  0 100  0  0
 0  0   2560 897500   5796 6551628    0    0     0     0 11672 10153  8  7 85  0  0
 0  0   2560 897208   5796 6551628    0    0     0     0 8996 10065  1  2 97  0  0
 1  0   2560 897116   5796 6551668    0    0     0    12 7972 9050  1  2 98  0  0
 0  0   2560 896908   5796 6551684    0    0     0     0 8141 9044  1  2 97  0  0
 0  0   2560 896680   5796 6551684    0    0     0     0 7692 8709  1  2 97  0  0
 0  0   2560 896724   5796 6551684    0    0     0     0 6201 7145  1  2 98  0  0
 0  0   2560 896592   5796 6551684    0    0     0     0 6722 7528  1  2 98  0  0
 0  0   2560 896468   5796 6551684    0    0     0     0 7054 7999  1  2 98  0  0
 0  0   2560 896640   5796 6551684    0    0     0     0 7629 8522  1  2 98  0  0
 1  0   2560 896556   5796 6551684    0    0     0     0 7691 8647  1  2 98  0  0
 1  0   2560 897064   5796 6551696    0    0     0     0 8272 9140  1  2 98  0  0
 0  0   2560 897164   5796 6551696    0    0     0     0 7932 8919  1  2 97  0  0
 0  0   2560 895464   5796 6551696    0    0     0    36 8778 9851  1  2 97  0  0
 1  0   2560 895224   5796 6551704    0    0     0     0 8120 9164  1  2 97  0  0
 0  0   2560 895164   5796 6551716    0    0     0     0 9500 10677  1  2 97  0  0
 0  0   2560 895200   5796 6551716    0    0     0     0 9215 10389  1  2 97  0  0
 1  0   2560 895244   5796 6551716    0    0     0     0 8589 9495  1  2 98  0  0
 0  0   2560 895272   5796 6551716    0    0     0     0 7073 7981  1  2 98  0  0
 0  0   2560 895272   5796 6551716    0    0     0     0 6118 7014  0  2 98  0  0
 0  0   2560 895220   5796 6551716    0    0     0     0 6992 7783  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 870556   5796 6551728    0    0     0     4 8372 9173  3  2 95  0  0
 0  0   2560 870540   5796 6551752    0    0     0     0 8336 9354  1  2 98  0  0
 0  0   2560 870264   5796 6551752    0    0     0     4 8328 9454  1  2 97  0  0
 0  0   2560 870152   5796 6551752    0    0     0     0 7265 8113  1  2 97  0  0
 0  0   2560 870216   5796 6551752    0    0     0     0 7826 8798  1  2 97  0  0
 0  0   2560 870376   5796 6551752    0    0     0     0 7411 8336  1  2 97  0  0
 0  0   2560 870128   5796 6551756    0    0     0     0 6889 7874  1  2 98  0  0
 0  0   2560 870080   5796 6551756    0    0     0   103 7101 7920  1  2 98  0  0
 1  0   2560 870400   5796 6551772    0    0     0     0 7931 8837  1  2 97  0  0
 1  0   2560 870672   5796 6551772    0    0     0     0 7832 8629  1  3 96  0  0
 0  0   2560 870648   5796 6551772    0    0     0     0 7191 8013  1  2 97  0  0
 1  0   2560 870752   5796 6551772    0    0     0     0 8566 9567  1  2 97  0  0
 0  0   2560 870564   5796 6551784    0    0     0   208 6890 7642  1  2 97  0  0
 1  0   2560 870152   5796 6551784    0    0     0     0 8071 9148  1  2 97  0  0
 1  0   2560 870376   5796 6551784    0    0     0     0 7679 8467  1  2 97  0  0
 0  0   2560 869784   5796 6551784    0    0     0     0 5958 6717  1  2 97  0  0
 0  0   2560 869820   5796 6551784    0    0     0     0 6457 7479  1  2 98  0  0
 0  0   2560 869556   5796 6551784    0    0     0     0 6928 7637  1  2 97  0  0
 0  0   2560 894000   5796 6551788    0    0     0   268 7991 8556  7  5 89  0  0
 0  0   2560 894196   5796 6551796    0    0     0     0 6871 7621  1  2 98  0  0
 0  0   2560 894264   5796 6551816    0    0     0     0 7967 8949  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 894140   5796 6551824    0    0     0     0 7918 8819  1  2 97  0  0
 0  0   2560 894424   5796 6551840    0    0     0     0 6829 7655  1  2 97  0  0
 1  0   2560 894164   5796 6551848    0    0     0   176 6948 7699  1  2 97  0  0
 1  0   2560 894112   5796 6551848    0    0     0     0 7105 7729  1  2 98  0  0
 0  0   2560 894084   5796 6551848    0    0     0     0 7717 8497  1  2 97  0  0
 1  0   2560 894240   5796 6551848    0    0     0     0 8640 9614  1  2 97  0  0
 3  0   2560 894452   5796 6551848    0    0     0     0 8151 9247  1  2 97  0  0
 1  0   2560 894660   5796 6551848    0    0     0     0 8694 9759  1  2 97  0  0
 0  0   2560 894440   5796 6551848    0    0     0     0 7816 9004  1  2 97  0  0
 2  0   2560 894380   5796 6551852    0    0     0     0 5932 6504  1  2 98  0  0
 1  0   2560 894308   5796 6551852    0    0     0     0 7709 8766  1  2 97  0  0
 2  0   2560 894360   5796 6551872    0    0     0     0 7966 8946  1  2 97  0  0
 0  0   2560 894360   5796 6551880    0    0     0     0 6000 6823  1  2 98  0  0
 0  0   2560 894528   5796 6551880    0    0     0     0 7792 8648  1  2 97  0  0
 2  0   2560 894504   5796 6551880    0    0     0     0 7873 8943  1  2 97  0  0
 0  0   2560 894852   5796 6551880    0    0     0     0 8249 9130  1  2 97  0  0
 0  0   2560 895016   5796 6551884    0    0     0   194 7581 8806  1  1 98  0  0
 0  0   2560 894884   5796 6551884    0    0     0     0 6574 7394  1  2 98  0  0
 0  0   2560 894692   5796 6551884    0    0     0     0 6345 7048  1  1 98  0  0
 0  0   2560 894868   5796 6551884    0    0     0     0 8194 8917  2  2 96  0  0
 0  0   2560 894728   5796 6551884    0    0     0     0 6588 7327  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 894988   5796 6551884    0    0     0     0 6780 7599  1  2 97  0  0
 0  0   2560 894800   5796 6551900    0    0     0     0 7077 7930  1  2 97  0  0
 1  0   2560 895184   5796 6551900    0    0     0     0 9625 10795  1  3 97  0  0
 0  0   2560 895000   5796 6551912    0    0     0     0 9570 10569  1  2 97  0  0
 0  0   2560 894428   5796 6551912    0    0     0     0 8279 9325  1  2 97  0  0
 0  0   2560 894336   5796 6551912    0    0     0     0 7886 8879  1  1 98  0  0
 0  0   2560 894176   5796 6551912    0    0     0     0 5855 6675  1  2 98  0  0
 0  0   2560 894304   5796 6551912    0    0     0     0 8462 9448  1  2 97  0  0
 0  0   2560 894728   5796 6551912    0    0     0     0 7463 8485  1  2 98  0  0
 0  0   2560 894628   5796 6551912    0    0     0     0 7782 8787  1  2 98  0  0
 0  0   2560 894820   5796 6551912    0    0     0     0 7208 8128  1  2 97  0  0
 0  0   2560 895140   5796 6551920    0    0     0     0 8133 9053  1  2 97  0  0
 0  0   2560 894516   5796 6551924    0    0     0   136 6637 7487  1  2 98  0  0
 0  0   2560 894656   5796 6551928    0    0     0     0 7623 8675  1  2 98  0  0
