Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月22日 	_x86_64_	(4 CPU)

22時40分32秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22時40分33秒  all   61.89    0.00   10.23    8.44    1.28    3.32    0.00    0.00    0.00   14.83
22時40分34秒  all   63.29    0.00    6.84   12.66    1.01    3.29    0.00    0.00    0.00   12.91
22時40分35秒  all   60.71    0.00    7.30   11.34    1.51    2.77    0.00    0.00    0.00   16.37
22時40分36秒  all   59.44    0.00    8.42    9.69    1.28    2.81    0.00    0.00    0.00   18.37
22時40分37秒  all   61.17    0.00    7.36    9.39    1.52    3.05    0.00    0.00    0.00   17.51
22時40分38秒  all   61.36    0.00    7.32   12.37    1.26    2.53    0.00    0.00    0.00   15.15
22時40分39秒  all   63.29    0.00    7.59    7.09    1.52    2.53    0.00    0.00    0.00   17.97
22時40分40秒  all   65.49    0.00    8.06   13.85    1.26    2.02    0.00    0.00    0.00    9.32
22時40分41秒  all   63.96    0.00    8.12   12.18    1.27    3.05    0.00    0.00    0.00   11.42
22時40分42秒  all   63.98    0.00    6.05    9.82    1.26    2.77    0.00    0.00    0.00   16.12
22時40分43秒  all   60.71    0.00    7.14   11.99    1.02    2.30    0.00    0.00    0.00   16.84
22時40分44秒  all   61.36    0.00    6.06   13.64    1.26    2.78    0.00    0.00    0.00   14.90
22時40分45秒  all   64.59    0.00    6.48   10.97    1.25    2.74    0.00    0.00    0.00   13.97
22時40分46秒  all   64.89    0.00    7.63   14.50    1.02    2.29    0.00    0.00    0.00    9.67
22時40分47秒  all   60.15    0.00    6.85   11.17    1.02    3.05    0.00    0.00    0.00   17.77
22時40分48秒  all   64.80    0.00    6.12    8.67    1.28    2.55    0.00    0.00    0.00   16.58
22時40分49秒  all   59.24    0.00    7.09   10.38    1.27    2.78    0.00    0.00    0.00   19.24
22時40分50秒  all   59.95    0.00    6.55    9.32    1.01    2.77    0.00    0.00    0.00   20.40
22時40分51秒  all   64.66    0.00    6.27   11.53    1.25    2.76    0.00    0.00    0.00   13.53
22時40分52秒  all   58.59    0.00    7.58    8.84    1.52    2.78    0.00    0.00    0.00   20.71
22時40分53秒  all   64.38    0.00    7.12   12.98    0.76    2.29    0.00    0.00    0.00   12.47
22時40分54秒  all   66.08    0.00    7.09   11.65    1.27    2.28    0.00    0.00    0.00   11.65
22時40分55秒  all   59.40    0.00    8.27   11.28    1.25    2.76    0.00    0.00    0.00   17.04
22時40分56秒  all   57.54    0.00    6.53    9.80    1.51    2.76    0.00    0.00    0.00   21.86
22時40分57秒  all   61.48    0.00    7.65   11.73    0.77    3.06    0.00    0.00    0.00   15.31
22時40分58秒  all   59.85    0.00    7.58   11.36    1.26    2.78    0.00    0.00    0.00   17.17
22時40分59秒  all   61.83    0.00    7.63   10.18    1.27    2.54    0.00    0.00    0.00   16.54
22時41分00秒  all   62.78    0.00    7.09   12.91    1.01    2.28    0.00    0.00    0.00   13.92
22時41分01秒  all   61.01    0.00    7.85   10.38    1.52    2.78    0.00    0.00    0.00   16.46
22時41分02秒  all   57.95    0.00    7.69    9.23    1.03    2.56    0.00    0.00    0.00   21.54
22時41分03秒  all   56.82    0.00    6.57   10.35    1.26    3.03    0.00    0.00    0.00   21.97
22時41分04秒  all   61.58    0.00    6.11   10.94    1.53    2.04    0.00    0.00    0.00   17.81
22時41分05秒  all   62.56    0.00    7.54   11.56    1.51    3.27    0.00    0.00    0.00   13.57
22時41分06秒  all   63.38    0.00    6.82    9.60    1.26    2.53    0.00    0.00    0.00   16.41
22時41分07秒  all   64.14    0.00    7.07   11.11    1.01    2.53    0.00    0.00    0.00   14.14
22時41分08秒  all   58.73    0.00    7.34   11.14    1.27    3.29    0.00    0.00    0.00   18.23
22時41分09秒  all   55.90    0.00    6.41   10.00    1.28    2.82    0.00    0.00    0.00   23.59
22時41分10秒  all   56.23    0.00    7.63    8.91    1.27    3.31    0.00    0.00    0.00   22.65
22時41分11秒  all   59.14    0.00    7.11    9.64    1.27    2.79    0.00    0.00    0.00   20.05
22時41分12秒  all   60.61    0.00    6.14    8.70    1.28    3.07    0.00    0.00    0.00   20.20
22時41分13秒  all   61.31    0.00    7.79   12.56    1.26    2.26    0.00    0.00    0.00   14.82
22時41分14秒  all   63.73    0.00    7.05    9.32    1.26    2.52    0.00    0.00    0.00   16.12
22時41分15秒  all   59.09    0.00    8.33   10.35    1.52    2.78    0.00    0.00    0.00   17.93
22時41分16秒  all   62.31    0.00    6.41   11.03    1.03    3.33    0.00    0.00    0.00   15.90
22時41分17秒  all   60.80    0.00    7.29   10.05    1.26    2.76    0.00    0.00    0.00   17.84
22時41分18秒  all   55.90    0.00    6.41   10.26    1.28    2.82    0.00    0.00    0.00   23.33
