procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 12441672     24 1308336    0    0     9   413  262  271  3  2 95  1  0
 4  0      0 12434704     24 1308332    0    0     0 19096 47359 38596 32 13 42 13  0
 0  1      0 12427732     24 1308332    0    0     0 18680 36908 42105 30 10 46 14  0
 1  2      0 12407236     24 1320732    0    0     0 47641 32926 34341 40 10 35 15  0
 0  1      0 12425532     24 1299644    0    0     0 33242 35675 41920 29 10 47 15  0
 3  1      0 12429600     24 1299648    0    0     0 18464 35827 41076 31  9 46 15  0
 0  1      0 12446700     24 1299648    0    0     0 20264 38322 42189 35  9 41 15  0
 3  1      0 12456176     24 1299648    0    0     0 19776 39355 44163 32  9 42 16  0
 1  0      0 12454100     24 1299648    0    0     0 19296 37446 43203 32 10 43 15  0
 5  1      0 12451040     24 1299704    0    0     0 18727 37786 44004 31  9 46 15  0
 0  2      0 12414724     24 1322728    0    0     0 78132 29538 28468 49 10 26 15  0
 0  1      0 12369356     24 1362588    0    0     0 88132 29550 32786 41 10 35 14  0
 2  1      0 12426528     24 1307396    0    0     0 17704 37373 43984 28  9 48 15  0
 0  1      0 12426404     24 1307232    0    0     0 19177 37102 40406 34 10 41 15  0
 3  0      0 12428636     24 1307232    0    0     0 18576 37253 44489 33  9 42 16  0
 3  1      0 12425616     24 1307232    0    0     0 19948 38693 43861 35 10 41 14  0
 2  0      0 12388732     24 1326860    0    0     0 41809 34382 38309 37  9 39 15  0
 1  1      0 12455000     24 1275840    0    0     0 85774 33174 34135 43 10 33 14  0
 2  1      0 12528520     24 1275796    0    0     0 16440 36750 43587 26  9 51 15  0
 3  1      0 12548616     24 1275796    0    0     0 17096 38774 45268 26  9 50 15  0
 1  0      0 12550224     24 1275796    0    0     0 19496 40162 45330 34 10 41 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 12545876     24 1275796    0    0     0 19200 38030 43680 33  9 43 15  0
 3  0      0 12539324     24 1275796    0    0     0 18936 38698 43787 31  9 44 16  0
 4  2      0 12504484     24 1299272    0    0     0 46885 31705 34000 41  9 35 15  0
 2  0      0 12518688     24 1282356    0    0     0 22628 36003 41357 32  9 44 15  0
 2  1      0 12515796     24 1282068    0    0     0 16848 35642 44665 27  8 51 14  0
 1  1      0 12505588     24 1282068    0    0     0 17944 35160 37557 33  9 42 15  0
 1  1      0 12500196     24 1282068    0    0     0 18220 34739 37139 34 10 40 15  0
 1  1      0 12497428     24 1282068    0    0     0 17924 35071 40074 34  9 43 15  0
 2  1      0 12493680     24 1282068    0    0     0 19276 34489 36284 37 10 38 14  0
 4  1      0 12435564     24 1333564    0    0     0 78955 26794 26288 48 10 28 14  0
 5  0      0 12467376     24 1326068    0    0     0 98941 29722 29911 46 10 29 15  0
 3  0      0 12571416     24 1293964    0    0     0 77200 30082 29139 44  9 32 15  0
 0  1      0 12564616     24 1301316    0    0     0 69535 32434 33442 44 10 32 14  0
 1  1      0 12600112     24 1264348    0    0     0 18431 37043 42876 32 10 44 15  0
 2  1      0 12596524     24 1264352    0    0     0 19776 36423 39390 35 10 41 14  0
 4  1      0 12588804     24 1264720    0    0     0 19758 39038 45221 35  9 42 14  0
 3  1      0 12585596     24 1253340    0    0     0 62719 33801 37178 40  9 36 15  0
 2  1      0 12584868     24 1253340    0    0     0 18516 37377 43682 30  8 46 15  0
 1  1      0 12581720     24 1253340    0    0     0 20036 38533 41897 34 10 40 15  0
 3  1      0 12576704     24 1253340    0    0     0 18444 35746 41706 33 10 43 14  0
 2  0      0 12571132     24 1253340    0    0     0 19384 38637 42637 36 10 39 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 12565804     24 1253340    0    0     0 19548 38132 44735 35  9 41 15  0
 3  1      0 12516868     24 1287352    0    0     0 61006 28609 30755 43  9 31 18  0
 5  0      0 12501776     24 1299840    0    0     0 83937 28030 31515 40  9 34 16  0
 4  1      0 12534912     24 1264752    0    0     0 18828 35066 38771 35 10 41 15  0
 4  1      0 12530380     24 1264752    0    0     0 18212 34720 39806 31  8 45 15  0
 0  1      0 12527320     24 1264752    0    0     0 18676 37045 42592 30  9 46 15  0
 4  1      0 12525180     24 1264752    0    0     0 19492 39234 45413 29  9 45 16  0
 3  2      0 12515380     24 1271244    0    0     0 26824 38516 44495 35 10 40 15  0
 4  1      0 12506056     24 1271068    0    0     0 42796 33472 37288 39  9 37 15  0
 2  1      0 12505328     24 1271068    0    0     0 17924 36924 43570 28  9 47 16  0
 3  1      0 12504196     24 1271068    0    0     0 17216 36030 43163 29  9 47 16  0
 4  0      0 12502784     24 1271068    0    0     0 16728 35696 41651 28  8 49 14  0
 4  0      0 12499720     24 1271072    0    0     0 17892 36764 42672 30  9 46 15  0
 1  1      0 12497012     24 1271076    0    0     0 19792 35996 39273 34  9 42 15  0
