procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 11021808   3132 3704276    0    0     8   387  238  100  4  3 92  1  0
 1  0      0 11024864   3132 3704276    0    0     0  2420 4765 7586  4  5 90  2  0
 0  0      0 11025536   3132 3704276    0    0     0  1004 4598 7498  3  3 93  1  0
 1  0      0 11025792   3132 3704276    0    0     0  1028 4568 7534  3  3 93  1  0
 0  0      0 11026112   3132 3704276    0    0     0    40 4063 6949  2  3 94  0  0
 0  0      0 11026464   3132 3704276    0    0     0   972 4732 7845  3  3 94  1  0
 0  0      0 11026912   3132 3704276    0    0     0  1984 4676 7624  4  3 92  1  0
 2  0      0 11027296   3132 3704280    0    0     0    64 4315 7212  2  3 94  1  0
 0  0      0 11027680   3132 3704280    0    0     0    64 4367 7297  3  2 95  0  0
 0  1      0 11024704   3132 3704280    0    0     0   252 4379 7375  3  3 94  1  0
 4  0      0 11022080   3132 3704280    0    0     0  1536 4464 7282  3  3 93  1  0
 0  0      0 11022496   3132 3704280    0    0     0  2236 4854 7833  3  3 92  2  0
 0  0      0 11023040   3132 3704280    0    0     0  1032 4759 8073  3  2 93  1  0
 0  0      0 11023424   3132 3704280    0    0     0  1016 4570 7600  3  3 94  1  0
 0  0      0 11023648   3132 3704280    0    0     0    80 4487 7443  3  3 94  1  0
 0  0      0 11024192   3132 3704280    0    0     0   952 4527 7489  3  3 93  1  0
 2  0      0 11024320   3132 3704280    0    0     0  2000 4789 7760  4  2 92  1  0
 0  0      0 11025024   3132 3704280    0    0     0    80 4575 7550  2  3 94  1  0
 0  0      0 11025120   3132 3704280    0    0     0    32 4245 7201  3  3 94  0  0
 0  0      0 11022752   3132 3704280    0    0     0   368 4848 7967  4  3 92  1  0
 0  1      0 11022912   3132 3704280    0    0     0  1884 4685 7553  3  3 92  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 11019904   3132 3704280    0    0     0  2020 4829 7885  3  3 92  2  0
 0  0      0 11020224   3132 3704280    0    0     0   968 4625 7589  2  3 94  1  0
 0  0      0 11020800   3132 3704280    0    0     0  1036 4831 7980  3  3 93  1  0
 1  0      0 11020928   3132 3704280    0    0     0    48 4373 7450  2  2 95  0  0
 2  0      0 11021568   3132 3704280    0    0     0   952 4563 7591  3  3 93  1  0
 0  0      0 11021824   3132 3704280    0    0     0  2158 5520 8923  4  3 91  1  1
 0  0      0 11022400   3132 3704280    0    0     0    32 4494 7659  2  3 94  0  0
 1  0      0 11022528   3132 3704280    0    0     0    36 4365 7525  2  2 95  0  0
 1  0      0 11023264   3132 3704280    0    0     0   704 6196 10009  4  4 89  3  0
 0  0      0 11023840   3132 3704280    0    0     0  2904 7613 11947  6  5 85  5  0
 0  0      0 11025216   3132 3704280    0    0     0  3008 7951 12259  5  5 82  7  1
 1  0      0 11023264   3132 3704280    0    0     0  2024 7906 11952 10  5 80  5  0
 0  0      0 11023680   3132 3704280    0    0     0  1128 4956 8126  3  3 93  1  0
 0  0      0 11023968   3132 3704280    0    0     0    40 4428 7632  2  2 95  0  0
 0  0      0 11024480   3132 3704280    0    0     0  1012 5029 8295  3  3 93  1  0
 0  0      0 11024928   3132 3704280    0    0     0  2016 5093 8362  4  3 91  1  0
 0  0      0 11025376   3132 3704280    0    0     0    40 4423 7439  2  3 94  0  0
 0  0      0 11025728   3132 3704280    0    0     0    56 4659 7833  2  3 94  1  1
 1  1      0 11026080   3132 3704280    0    0     0   320 4178 7018  2  2 95  1  0
 0  0      0 11023296   3132 3704280    0    0     0  1756 4731 7775  3  3 92  1  0
 0  0      0 11024032   3132 3704280    0    0     0  1936 4760 7792  3  2 94  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11024320   3132 3704280    0    0     0  1048 4908 8185  3  3 93  1  0
 0  0      0 11024960   3132 3704280    0    0     0  1020 4547 7626  3  3 94  1  0
 1  0      0 11025216   3132 3704280    0    0     0    52 4609 7696  3  2 95  1  0
 0  0      0 11025792   3132 3704280    0    0     0   976 4645 7801  3  3 93  1  0
 0  0      0 11025920   3132 3704280    0    0     0  2016 4910 8018  4  3 93  1  0
 0  0      0 11026688   3132 3704284    0    0     0    64 4607 7632  3  3 94  1  0
 0  0      0 11023872   3132 3704284    0    0     0    48 4359 7417  3  3 94  0  0
 2  1      0 11024160   3132 3704284    0    0     0   264 4531 7661  3  2 94  0  0
 0  0      0 11024480   3132 3704284    0    0     0  1828 4924 7993  3  3 92  2  0
 0  0      0 11025216   3132 3704284    0    0     0  1928 4560 7629  3  2 94  1  0
 0  0      0 11025504   3132 3704284    0    0     0   968 4294 7272  2  3 94  1  0
 3  0      0 11025892   3132 3706620    0    0     0  2248 6604 10881  9  3 86  1  0
 1  0      0 11016824   3132 3716072    0    0     0 10768 16534 29510 24  6 67  3  0
 2  0      0 11020044   3132 3713476    0    0     0 12777 16844 29774 24  6 66  3  0
 0  1      0 11022588   3132 3704764    0    0     0 21725 13927 23636 19  7 68  5  0
 0  0      0 11023488   3132 3704796    0    0     0    32 4336 7278  2  2 95  0  0
 0  0      0 11023824   3132 3704796    0    0     0    32 4223 7257  2  3 95  0  0
 1  0      0 11026612   3132 3704796    0    0     0   464 4732 7700  3  3 93  1  0
 1  0      0 11027112   3132 3704796    0    0     0  1680 4489 7492  3  3 93  1  0
 0  0      0 11023748   3132 3704804    0    0     0  1922 5278 7997  5  5 89  1  1
 0  0      0 11024228   3132 3704808    0    0     0   968 4450 7285  2  3 94  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11024708   3132 3704808    0    0     0  1012 4548 7655  3  3 94  1  0
 0  0      0 11024804   3132 3704808    0    0     0    48 4150 7016  2  3 95  0  0
 1  0      0 11025476   3132 3704808    0    0     0  1000 4643 7569  3  3 93  1  0
 2  0      0 11025572   3132 3704808    0    0     0  2000 4896 7958  4  3 92  1  0
 0  0      0 11026212   3132 3704808    0    0     0    44 4433 7483  2  2 95  0  0
 0  0      0 11026404   3132 3704808    0    0     0    60 4450 7365  3  3 94  1  0
 1  1      0 11026852   3132 3704808    0    0     0   796 4463 7580  3  2 94  1  0
 0  0      0 11027012   3132 3704808    0    0     0  1264 5103 8636  3  3 93  1  0
 0  0      0 11024644   3132 3704808    0    0     0  1944 5042 8257  3  3 93  1  0
 1  0      0 11024868   3132 3704808    0    0     0  1032 4702 7770  3  3 93  1  0
 0  0      0 11025444   3132 3704808    0    0     0  1020 4665 7885  2  2 94  1  0
 0  0      0 11025668   3132 3704808    0    0     0    64 5087 8640  3  3 94  0  1
 0  0      0 11026212   3132 3704808    0    0     0   980 4573 7465  3  3 93  1  0
 0  0      0 11026660   3132 3704808    0    0     0  1996 4931 8096  3  3 93  1  0
 0  0      0 11026948   3132 3704808    0    0     0    72 5162 8679  3  3 94  1  0
 1  0      0 11027268   3132 3704808    0    0     0    40 4390 7413  3  3 94  0  0
 0  1      0 11027524   3132 3704808    0    0     0   760 4387 7407  2  3 94  1  0
 0  0      0 11024868   3132 3704808    0    0     0  1328 4810 7813  3  3 93  1  0
 0  0      0 11025252   3132 3704808    0    0     0  1996 5044 8337  3  3 92  2  0
 0  0      0 11025860   3132 3704808    0    0     0   976 4741 7900  2  3 94  1  0
 0  0      0 11026340   3132 3704808    0    0     0  1028 4554 7400  3  3 93  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 11026468   3132 3704808    0    0     0    40 4175 7047  2  3 94  0  0
 0  0      0 11027012   3132 3704808    0    0     0   984 4475 7384  3  3 93  1  0
 0  0      0 11027492   3132 3704808    0    0     0  2122 5005 8024  4  3 92  1  0
 0  0      0 11027780   3132 3704812    0    0     0    40 4382 7439  2  3 95  0  0
 0  0      0 11028068   3132 3704812    0    0     0    60 4218 7172  3  3 94  0  0
 1  0      0 11025348   3132 3704812    0    0     0   799 4616 7561  3  3 93  1  0
 0  0      0 11025636   3132 3704812    0    0     0  1304 4643 7736  3  3 94  1  0
 0  0      0 11026084   3132 3704812    0    0     0  1968 4558 7545  3  3 93  1  0
 0  0      0 11026724   3132 3704812    0    0     0  1020 4828 7848  3  3 93  1  0
 0  0      0 11027428   3132 3704812    0    0     0  1516 6153 9850  5  4 88  3  0
 0  0      0 11027844   3132 3704812    0    0     0   564 5699 9123  4  4 89  3  1
 0  0      0 11028452   3132 3704812    0    0     0  1008 4810 7740  3  3 92  1  0
 0  0      0 11028992   3132 3704812    0    0     0  1976 4694 7578  5  3 91  1  1
 1  0      0 11029724   3132 3704812    0    0     0    40 4497 7659  3  3 94  0  0
 0  0      0 11029916   3132 3704812    0    0     0    72 4640 7749  3  3 94  1  0
 1  1      0 11024348   3132 3704812    0    0     0  1304 5524 9112  3  3 91  2  0
 0  0      0 11025244   3132 3704812    0    0     0  2152 7833 12190  5  5 84  6  0
 0  0      0 11026396   3132 3704812    0    0     0  2976 8515 12917 10  5 79  6  0
 0  0      0 11024060   3132 3704812    0    0     0  1604 6661 10630  4  4 87  4  0
 0  0      0 11024540   3132 3704812    0    0     0  1012 4836 8195  3  3 94  1  0
 2  0      0 11024796   3132 3704812    0    0     0    72 4663 7823  3  3 94  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 11025372   3132 3704812    0    0     0   984 4545 7474  3  3 93  1  0
 0  0      0 11025436   3132 3704812    0    0     0  1964 4823 7850  4  3 92  1  0
 0  0      0 11026172   3132 3704812    0    0     0    56 5009 8365  3  3 94  0  1
 0  0      0 11026048   3132 3704812    0    0     0    76 4507 7642  2  3 94  1  0
 1  1      0 11026560   3132 3704812    0    0     0  1012 4363 7410  3  3 94  1  0
 0  0      0 11026848   3132 3704812    0    0     0  1520 5840 9231  6  3 90  2  0
 0  0      0 11024928   3132 3704812    0    0     0  2548 6318 9815  5  4 87  4  0
 0  0      0 11025504   3132 3704812    0    0     0  1496 6021 9552  4  4 89  3  0
 0  0      0 11026112   3132 3704812    0    0     0  1064 4738 7650  3  3 93  1  0
 0  0      0 11026240   3132 3704812    0    0     0    52 4079 6919  2  3 95  1  0
 0  0      0 11026848   3132 3704812    0    0     0   960 4498 7442  3  3 93  1  0
 1  0      0 11027296   3132 3704812    0    0     0  2086 5074 8172  4  3 91  2  0
 0  0      0 11027584   3132 3704816    0    0     0    60 4386 7352  3  3 94  0  0
 0  0      0 11027872   3132 3704816    0    0     0    85 4278 7217  2  3 95  1  0
 2  0      0 11028320   3132 3704816    0    0     0  1041 4696 7659  4  3 93  1  0
 0  0      0 11028608   3132 3704816    0    0     0  1020 4366 7086  4  4 92  1  0
 0  0      0 11027768   3132 3704872    0    0     0  2078 6090 9078  5  5 88  2  0
 0  0      0 11028472   3132 3704872    0    0     0  1456 5928 9342  5  3 89  3  0
 3  0      0 11028448   3132 3708292    0    0     0  3798 7939 13297 11  4 82  2  0
 2  0      0 11019380   3132 3717736    0    0     0  9237 16392 29138 24  6 67  2  0
 2  0      0 11008300   3132 3728740    0    0     0 12815 15936 27857 24  7 65  4  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11025952   3132 3705440    0    0     0 16935 12055 20220 18  8 69  5  1
 0  0      0 11023208   3132 3705304    0    0     0    52 4514 7574  3  3 94  0  0
 0  0      0 11023528   3132 3705304    0    0     0    80 4861 8217  2  3 95  1  0
 0  0      0 11024824   3132 3705304    0    0     0  1016 4625 7778  2  2 95  1  0
 2  0      0 11025112   3132 3705304    0    0     0  1016 4613 7739  3  3 93  1  0
 0  0      0 11025816   3132 3705304    0    0     0  1976 4840 7948  3  3 93  2  0
 0  0      0 11026232   3132 3705304    0    0     0  1016 4844 8127  3  3 94  1  0
 0  0      0 11023544   3132 3705304    0    0     0  1028 4937 8429  3  3 93  1  0
 0  0      0 11023800   3132 3705304    0    0     0    80 4798 8061  3  2 94  1  0
 1  0      0 11024312   3132 3705304    0    0     0   948 4741 8064  3  2 94  1  0
 0  0      0 11024728   3132 3705304    0    0     0  1996 5066 8223  4  3 92  1  0
 0  0      0 11025144   3132 3705304    0    0     0    64 4450 7268  3  3 94  0  0
 0  0      0 11025304   3132 3705304    0    0     0    60 4397 7439  3  3 94  1  0
 0  0      0 11025848   3132 3705304    0    0     0  1024 4720 7965  3  3 93  1  0
 0  0      0 11022072   3132 3705304    0    0     0  1028 4932 8261  2  3 94  1  0
 0  0      0 11022648   3132 3705304    0    0     0  2028 4926 8098  3  3 92  2  0
 0  0      0 11022936   3132 3705304    0    0     0   944 4524 7469  2  3 94  1  0
 0  0      0 11023480   3132 3705304    0    0     0  1048 4757 7764  3  3 93  1  0
 0  0      0 11023640   3132 3705304    0    0     0    60 4343 7505  2  2 95  1  0
 0  0      0 11024184   3132 3705320    0    0     0   948 4463 7413  3  3 94  1  0
