procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  1      0 12318160   1076 1422848    0    0    22   216  694  211  1  1 97  0  0
 7  1      0 12310040   1076 1427916    0    0     0 11528 38026 95660 22 12 60  6  0
 0  0      0 12297968   1076 1433940    0    0     0 11516 40509 100564 23 13 57  7  0
 0  1      0 12287988   1076 1439780    0    0     0 14731 38207 99708 25 11 56  8  0
 0  1      0 12281520   1076 1445028    0    0     0 10365 36902 90376 20 11 63  7  0
 4  0      0 12275680   1076 1450492    0    0     0 12279 40870 102008 21  9 63  7  0
 0  1      0 12269156   1076 1455728    0    0     0 10802 41999 102725 20 11 62  7  0
 0  0      0 12262932   1076 1461772    0    0     0 13117 40466 97203 21 11 62  7  0
 5  0      0 12258424   1076 1466824    0    0     0 10900 41020 102640 21 11 62  6  0
 0  0      0 12251724   1076 1472884    0    0     0 12474 41988 101560 20 11 63  7  0
 2  0      0 12243192   1076 1478456    0    0     0 11504 42196 107660 20 12 60  8  0
 0  1      0 12235040   1076 1484048    0    0     0 12938 41714 101356 20 10 62  8  0
 2  1      0 12225556   1076 1490152    0    0     0 11829 39994 102662 20 10 62  7  0
 3  1      0 12215220   1076 1495388    0    0     0 11941 39202 95626 20 11 62  7  0
 0  0      0 12204808   1076 1500908    0    0     0 11489 39344 98352 21 11 62  7  0
 0  0      0 12193800   1076 1507076    0    0     0 12706 43268 105620 21 11 60  7  0
 1  1      0 12177172   1076 1514312    0    0     0 14229 43071 100827 21 11 60  8  0
 0  1      0 12172564   1076 1517696    0    0     0 11059 39078 98001 21 10 62  7  0
 1  0      0 12165892   1076 1523132    0    0     0 11236 44089 109792 22 12 59  7  0
10  0      0 12159504   1076 1529164    0    0     0 13094 43315 105048 23 11 58  8  0
12  0      0 12152964   1076 1535040    0    0     0 11315 40675 98887 20 11 62  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 12148392   1076 1540668    0    0     0 12961 41877 100129 19 10 63  8  0
 2  1      0 12145040   1076 1546180    0    0     0 10856 41520 100684 20 10 63  7  0
 0  0      0 12141868   1076 1551436    0    0     0 12572 41397 102355 21 11 61  8  0
 4  0      0 12133596   1076 1556908    0    0     0 10436 37845 95238 20 10 63  8  0
 0  0      0 12124628   1076 1562588    0    0     0 12741 42679 104845 20 11 62  8  0
 1  0      0 12114116   1076 1568264    0    0     0 10970 40811 100427 20 10 62  8  0
 1  0      0 12103164   1076 1574216    0    0     0 13258 41134 102460 21 11 60  8  0
 1  0      0 12092628   1076 1580252    0    0     0 11265 40054 102842 21 12 60  7  0
 6  0      0 12082016   1076 1586376    0    0     0 13004 40348 98964 22 11 60  8  0
 0  0      0 12066012   1076 1592420    0    0     0 13709 41343 103809 21 11 60  7  0
11  0      0 12059000   1076 1598400    0    0     0 12183 39892 96812 18 11 64  7  0
 2  0      0 12053660   1076 1604240    0    0     0 11643 46868 111428 21 12 59  8  0
 2  0      0 12052004   1076 1609384    0    0     0 12545 42906 105757 21 11 60  7  0
 1  0      0 12048008   1076 1615052    0    0     0 10992 41432 103246 19 11 63  7  0
 0  0      0 12040240   1076 1620460    0    0     0 12845 43509 107978 20 11 62  7  0
 1  1      0 12035720   1076 1626188    0    0     0 10832 42853 103986 21 11 60  7  0
 7  1      0 12026784   1076 1631640    0    0     0 12448 41120 104106 23 11 59  7  0
 0  0      0 12019896   1076 1637104    0    0     0 10069 39562 100452 20 10 62  7  0
 0  0      0 12007984   1076 1643284    0    0     0 13460 41243 104493 19 12 62  7  0
 3  0      0 11997528   1076 1649184    0    0     0 11679 42655 104854 19 11 62  8  0
 8  1      0 11987668   1076 1655240    0    0     0 13015 43274 105415 19 10 63  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 11977532   1076 1660896    0    0     0 10965 43617 109354 20 12 61  7  0
 0  1      0 11966716   1076 1667092    0    0     0 12921 40752 98878 22 11 59  7  0
 5  0      0 11953492   1076 1672764    0    0     0 12969 41535 101950 20 11 61  8  0
 1  0      0 11947068   1076 1678504    0    0     0 12795 40183 103985 20 10 62  8  0
 2  1      0 11939940   1076 1684512    0    0     0 11276 42326 107003 21 11 61  7  0
 1  0      0 11934268   1076 1689832    0    0     0 12514 42158 103064 20 11 61  8  0
 0  0      0 11931316   1076 1695876    0    0     0 10737 40424 101224 21 10 61  7  0
 6  0      0 11925188   1076 1701788    0    0     0 13007 43760 107758 22 11 60  7  0
 0  1      0 11918772   1076 1707360    0    0     0 10677 39497 102524 20 10 62  8  0
 7  0      0 11914300   1076 1712892    0    0     0 13003 41404 106127 20 11 62  8  0
 1  0      0 11904156   1076 1718708    0    0     0 11044 41563 101657 20 11 61  7  0
 9  1      0 11894772   1076 1724280    0    0     0 12767 43398 109000 22 10 60  8  0
 0  1      0 11884472   1076 1730060    0    0     0 10893 41463 104380 22 10 61  7  0
 1  1      0 11874304   1076 1735564    0    0     0 12650 40032 99945 19 10 64  7  0
 9  0      0 11863676   1076 1741772    0    0     0 11705 41834 105088 21 11 60  8  0
 1  0      0 11851620   1076 1747140    0    0     0 14604 39939 102583 22 10 60  8  0
 1  1      0 11845504   1076 1752624    0    0     0 10219 39666 98025 21 11 62  7  0
 2  0      0 11840408   1076 1757756    0    0     0 12317 39619 97699 20 10 63  7  0
 3  0      0 11834340   1076 1763256    0    0     0 10270 38683 98154 22 11 61  7  0
 2  1      0 11828928   1076 1767888    0    0     0 11741 38173 93386 21 11 62  7  0
10  1      0 11823220   1076 1773468    0    0     0  9934 41277 101660 25 13 57  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 11820576   1076 1779268    0    0     0 13421 39684 96445 25 11 57  7  0
 6  0      0 11810548   1076 1785324    0    0     0 10225 39989 96467 22 11 60  7  0
