procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 922948   5796 6511936    0    0     0     1    1    0  0  0 100  0  0
 0  0   2560 908748   5796 6512056    0    0     0    67 23666 23559  6  9 86  0  0
 1  0   2560 907304   5796 6512064    0    0     0     0 23545 24712  2  4 94  0  0
 0  0   2560 907452   5796 6512096    0    0     0     0 23141 24230  2  5 93  0  0
 1  0   2560 906464   5796 6512096    0    0     0     0 20105 21212  2  4 95  0  0
 1  0   2560 905552   5796 6512096    0    0     0     0 23117 24175  2  4 94  0  0
 1  0   2560 905404   5796 6512096    0    0     0     0 25225 26904  2  5 93  0  0
 0  0   2560 905432   5796 6512096    0    0     0     0 22465 23343  2  4 94  0  0
 0  0   2560 904936   5796 6512096    0    0     0     0 25551 26363  2  5 93  0  0
 0  0   2560 929536   5796 6512096    0    0     0   264 24008 24574  7  6 87  0  0
 1  0   2560 929292   5796 6512096    0    0     0     0 24007 25085  2  4 93  0  0
 0  0   2560 929448   5796 6512100    0    0     0     0 23208 24089  2  5 93  0  0
 1  0   2560 929236   5796 6512100    0    0     0     0 22240 23156  2  4 95  0  0
 0  0   2560 929216   5796 6512100    0    0     0     0 22924 24140  2  5 92  0  0
 0  0   2560 929444   5796 6512108    0    0     0     0 24460 25471  2  5 93  0  0
 0  0   2560 929668   5796 6512112    0    0     0     0 21803 22617  2  5 93  0  0
 0  0   2560 929512   5796 6512112    0    0     0     0 24535 25922  2  5 94  0  0
 0  0   2560 929812   5796 6512112    0    0     0     0 23928 25126  2  5 93  0  0
 1  0   2560 929360   5796 6512112    0    0     0     0 22577 23548  2  5 94  0  0
 0  0   2560 929008   5796 6512112    0    0     0     0 21611 22426  2  5 94  0  0
 0  0   2560 929704   5796 6512112    0    0     0     0 25158 26304  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 930140   5796 6512116    0    0     0    16 22425 23430  2  5 93  0  0
 0  0   2560 930516   5796 6512116    0    0     0     0 22809 24278  3  5 93  0  0
 0  0   2560 929924   5796 6512116    0    0     0     0 22489 23487  2  4 94  0  0
 0  0   2560 929728   5796 6512116    0    0     0     0 25937 27110  2  5 93  0  0
 0  0   2560 929488   5796 6512116    0    0     0     0 23888 25444  2  5 94  0  0
 2  0   2560 929308   5796 6512116    0    0     0     8 23043 24109  2  4 94  0  0
 0  0   2560 929176   5796 6512120    0    0     0     0 24668 25662  2  5 93  0  0
 0  0   2560 929220   5796 6512124    0    0     0     0 25204 26323  2  5 94  0  0
 0  0   2560 928768   5796 6512128    0    0     0     0 22806 23881  2  5 93  0  0
 0  0   2560 928900   5796 6512128    0    0     0     0 24734 25679  2  5 93  0  0
 0  0   2560 928780   5796 6512128    0    0     0   437 25604 26757  2  5 93  0  0
 0  0   2560 929196   5796 6512132    0    0     0    28 22241 23422  2  4 94  0  0
 0  0   2560 929344   5796 6512132    0    0     0     0 24716 25910  2  5 93  0  0
 1  0   2560 928752   5796 6512132    0    0     0     0 22371 23363  2  5 93  0  0
 2  0   2560 929016   5796 6512132    0    0     0     0 24741 25843  1  5 94  0  0
 1  0   2560 928712   5796 6512132    0    0     0     0 24471 25733  2  5 93  0  0
 0  0   2560 928708   5796 6512132    0    0     0     0 24981 26183  2  5 94  0  0
 0  0   2560 928796   5796 6512132    0    0     0     0 22627 23760  2  5 93  0  0
 1  0   2560 929236   5796 6512132    0    0     0     0 24494 25736  2  4 94  0  0
 0  0   2560 929296   5796 6512148    0    0     0     0 25195 26424  2  5 94  0  0
 0  0   2560 929124   5796 6512148    0    0     0     0 24989 26061  3  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 929292   5796 6512152    0    0     0    36 23467 24674  2  4 94  0  0
 0  0   2560 928956   5796 6512156    0    0     0     0 23639 24868  2  5 93  0  0
 1  0   2560 929120   5796 6512164    0    0     0     0 24490 25766  2  4 94  0  0
 0  0   2560 928784   5796 6512164    0    0     0     0 23758 25036  2  4 94  0  0
 0  0   2560 929152   5796 6512164    0    0     0     0 23311 24355  2  5 93  0  0
 1  0   2560 928776   5796 6512164    0    0     0     0 23081 24207  2  4 94  0  0
 0  0   2560 929004   5796 6512164    0    0     0     0 25459 26510  2  5 93  0  0
 0  0   2560 929204   5796 6512164    0    0     0     0 20668 21588  2  4 94  0  0
 1  0   2560 904296   5796 6512164    0    0     0     4 24363 25374  4  5 91  0  0
 1  0   2560 904060   5796 6512168    0    0     0     0 22526 23538  2  5 93  0  0
 1  0   2560 904464   5796 6512204    0    0     0     0 23072 24536  2  5 93  0  0
 1  0   2560 903872   5796 6512204    0    0     0     0 23606 24740  2  5 93  0  0
 0  0   2560 903708   5796 6512212    0    0     0     0 23378 24466  2  5 93  0  0
 1  0   2560 903452   5796 6512212    0    0     0     0 23079 24136  2  5 93  0  0
 2  0   2560 903552   5796 6512212    0    0     0     0 22708 23957  2  4 94  0  0
 1  0   2560 904660   5796 6512212    0    0     0     0 24033 25132  2  5 93  0  0
 0  0   2560 904768   5796 6512212    0    0     0     0 22248 23523  2  4 94  0  0
 0  0   2560 904680   5796 6512216    0    0     0     0 25241 26369  2  5 93  0  0
 2  0   2560 904228   5796 6512216    0    0     0     0 24149 25291  2  5 93  0  0
 0  0   2560 905144   5796 6512216    0    0     0     0 23862 25151  2  4 94  0  0
