Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月22日 	_x86_64_	(4 CPU)

14時06分15秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14時06分16秒  all   60.25    0.00   12.25    2.50    1.25    3.50    0.00    0.00    0.00   20.25
14時06分17秒  all   55.96    0.00   11.92    2.07    1.55    3.37    0.00    0.00    0.00   25.13
14時06分18秒  all   53.45    0.00   10.23    3.07    1.02    3.07    0.00    0.00    0.00   29.16
14時06分19秒  all   48.72    0.00    9.44    3.06    1.79    2.55    0.00    0.00    0.00   34.44
14時06分20秒  all   54.57    0.00   10.91    3.30    1.52    3.05    0.00    0.00    0.00   26.65
14時06分21秒  all   55.15    0.00    9.02    3.09    1.29    2.84    0.00    0.00    0.00   28.61
14時06分22秒  all   54.18    0.00   11.14    3.29    1.01    3.04    0.00    0.00    0.00   27.34
14時06分23秒  all   54.57    0.00   10.41    3.05    1.27    3.30    0.00    0.00    0.00   27.41
14時06分24秒  all   52.58    0.00   10.05    2.84    1.80    3.09    0.00    0.00    0.00   29.64
14時06分25秒  all   47.58    0.00   10.94    3.82    1.53    2.80    0.00    0.00    0.00   33.33
14時06分26秒  all   52.32    0.00   10.57    3.35    1.03    3.09    0.00    0.00    0.00   29.64
14時06分27秒  all   51.78    0.00    9.90    2.79    1.52    3.05    0.00    0.00    0.00   30.96
14時06分28秒  all   49.10    0.00   10.49    3.32    1.79    3.07    0.00    0.00    0.00   32.23
14時06分29秒  all   52.41    0.00   10.63    3.29    1.01    3.29    0.00    0.00    0.00   29.37
14時06分30秒  all   51.82    0.00   10.16    2.86    1.56    2.86    0.00    0.00    0.00   30.73
14時06分31秒  all   51.79    0.00   10.46    3.32    1.53    2.81    0.00    0.00    0.00   30.10
14時06分32秒  all   56.09    0.00    9.64    2.79    1.52    3.05    0.00    0.00    0.00   26.90
14時06分33秒  all   52.82    0.00   10.00    3.59    1.28    3.08    0.00    0.00    0.00   29.23
14時06分34秒  all   55.13    0.00    9.74    3.59    1.28    3.08    0.00    0.00    0.00   27.18
14時06分35秒  all   53.18    0.00    9.92    3.05    1.27    3.05    0.00    0.00    0.00   29.52
14時06分36秒  all   52.90    0.00   11.84    2.77    1.76    3.02    0.00    0.00    0.00   27.71
14時06分37秒  all   52.56    0.00   11.28    2.56    1.28    3.08    0.00    0.00    0.00   29.23
14時06分38秒  all   59.03    0.00   10.69    2.80    1.02    3.05    0.00    0.00    0.00   23.41
14時06分39秒  all   49.75    0.00   10.10    3.28    1.52    2.78    0.00    0.00    0.00   32.58
14時06分40秒  all   53.69    0.00   11.20    3.05    1.53    3.05    0.00    0.00    0.00   27.48
14時06分41秒  all   51.51    0.00   10.30    3.27    1.26    3.27    0.00    0.00    0.00   30.40
14時06分42秒  all   51.14    0.00   11.39    3.54    1.52    3.04    0.00    0.00    0.00   29.37
14時06分43秒  all   54.50    0.00    9.51    2.83    1.29    2.83    0.00    0.00    0.00   29.05
14時06分44秒  all   49.87    0.00   10.43    3.05    1.27    2.80    0.00    0.00    0.00   32.57
14時06分45秒  all   45.41    0.00    9.18    3.83    1.53    2.81    0.00    0.00    0.00   37.24
14時06分46秒  all   53.54    0.00    9.09    3.03    1.52    2.53    0.00    0.00    0.00   30.30
14時06分47秒  all   66.75    0.00   10.66    1.78    0.76    2.79    0.00    0.00    0.00   17.26
14時06分48秒  all   67.43    0.00    8.91    2.29    1.27    2.54    0.00    0.00    0.00   17.56
14時06分49秒  all   67.51    0.00    9.57    2.27    1.26    2.52    0.00    0.00    0.00   16.88
14時06分50秒  all   65.09    0.00    9.98    2.24    1.00    2.24    0.00    0.00    0.00   19.45
14時06分51秒  all   65.58    0.00    9.80    2.26    1.01    3.02    0.00    0.00    0.00   18.34
14時06分52秒  all   68.69    0.00    9.34    2.53    1.52    2.53    0.00    0.00    0.00   15.40
14時06分53秒  all   68.96    0.00    9.67    2.04    1.02    2.80    0.00    0.00    0.00   15.52
14時06分54秒  all   62.91    0.00    8.77    2.26    1.25    2.26    0.00    0.00    0.00   22.56
14時06分55秒  all   61.99    0.00    9.44    2.30    1.02    2.30    0.00    0.00    0.00   22.96
14時06分56秒  all   67.42    0.00    9.34    2.02    1.52    2.78    0.00    0.00    0.00   16.92
14時06分57秒  all   61.62    0.00    8.59    2.02    1.01    2.27    0.00    0.00    0.00   24.49
14時06分58秒  all   60.05    0.00    9.80    2.26    1.26    2.01    0.00    0.00    0.00   24.62
14時06分59秒  all   46.33    0.00   10.89    3.29    1.27    3.29    0.00    0.00    0.00   34.94
14時07分00秒  all   49.62    0.00   10.49    3.07    1.53    3.07    0.00    0.00    0.00   32.23
14時07分01秒  all   48.72    0.00   10.20    3.06    1.53    2.81    0.00    0.00    0.00   33.67
14時07分02秒  all   46.29    0.00   11.51    3.07    1.53    3.07    0.00    0.00    0.00   34.53
14時07分03秒  all   50.64    0.00    9.41    2.54    1.02    3.05    0.00    0.00    0.00   33.33
14時07分04秒  all   53.57    0.00    9.69    3.06    1.79    2.55    0.00    0.00    0.00   29.34
14時07分05秒  all   53.96    0.00   11.25    2.81    1.02    3.58    0.00    0.00    0.00   27.37
14時07分06秒  all   52.28    0.00   11.68    3.30    1.78    3.05    0.00    0.00    0.00   27.92
14時07分07秒  all   53.03    0.00   10.86    3.28    1.52    3.28    0.00    0.00    0.00   28.03
14時07分08秒  all   57.14    0.00   10.20    2.55    1.53    3.06    0.00    0.00    0.00   25.51
14時07分09秒  all   53.83    0.00   10.97    3.32    1.28    3.06    0.00    0.00    0.00   27.55
