procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 772744   5796 6701364    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 748584   5796 6701488    0    0     0     0 10944 11320  7  5 88  0  0
 1  0   2560 746220   5796 6701488    0    0     0     0 15958 17485  2  3 95  0  0
 0  0   2560 746400   5796 6701488    0    0     0     0 16380 17904  1  3 95  0  0
 0  0   2560 746224   5796 6701488    0    0     0     0 17389 19148  2  4 95  0  0
 0  0   2560 746072   5796 6701488    0    0     0   156 16617 18046  2  4 95  0  0
 1  0   2560 746044   5796 6701488    0    0     0     0 13597 14650  2  3 95  0  0
 1  0   2560 743660   5796 6701488    0    0     0     0 18651 20458  2  4 95  0  0
 0  0   2560 743600   5796 6701488    0    0     0     0 17105 18609  2  4 95  0  0
 0  0   2560 743404   5796 6701488    0    0     0     0 18173 19888  2  4 94  0  0
 2  0   2560 743216   5796 6701488    0    0     0     0 17215 18765  2  3 95  0  0
 0  0   2560 742684   5796 6701504    0    0     0     0 16305 17763  2  4 95  0  0
 0  0   2560 742268   5796 6701504    0    0     0     0 19539 21099  2  4 94  0  0
 0  0   2560 742140   5796 6701504    0    0     0     8 18010 19370  2  4 95  0  0
 0  0   2560 741800   5796 6701524    0    0     0     0 18355 19662  2  4 94  0  0
 0  0   2560 741972   5796 6701524    0    0     0     0 16431 17714  2  3 95  0  0
 0  0   2560 718164   5796 6701564    0    0     0     4 17804 19216  4  6 90  0  0
 0  0   2560 718132   5796 6701564    0    0     0     0 16444 17925  2  4 95  0  0
 0  0   2560 717852   5796 6701564    0    0     0     0 17085 18911  2  3 95  0  0
 0  0   2560 718076   5796 6701564    0    0     0     0 15736 17266  2  3 95  0  0
 1  0   2560 718316   5796 6701580    0    0     0     0 16289 17852  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 718252   5796 6701592    0    0     0     0 16571 18117  2  4 95  0  0
 0  0   2560 718444   5796 6701592    0    0     0     0 16097 17853  1  3 95  0  0
 0  0   2560 718284   5796 6701592    0    0     0   156 17714 19545  1  3 95  0  0
 0  0   2560 717976   5796 6701592    0    0     0     0 17705 19566  2  3 95  0  0
 0  0   2560 717336   5796 6701592    0    0     0     0 17410 19032  2  4 94  0  0
 1  0   2560 716988   5796 6701592    0    0     0     0 17669 19494  2  4 94  0  0
 0  0   2560 716804   5796 6701608    0    0     0     0 18705 20516  2  4 95  0  0
 0  0   2560 716764   5796 6701612    0    0     0     0 18387 20352  2  3 95  0  0
 0  0   2560 716608   5796 6701616    0    0     0     0 17379 18930  2  4 94  0  0
 0  0   2560 716928   5796 6701616    0    0     0     0 16966 18610  2  4 94  0  0
 1  0   2560 716544   5796 6701616    0    0     0     0 17178 18668  2  4 94  0  0
 0  0   2560 716900   5796 6701628    0    0     0     0 17744 19411  2  3 95  0  0
 0  0   2560 716776   5796 6701628    0    0     0     0 18352 20150  2  4 94  0  0
 2  0   2560 735856   5796 6701628    0    0     0     0 17991 19871  3  4 94  0  0
 0  0   2560 738460   5796 6701640    0    0     0   365 17185 18567  7  5 88  0  0
 0  0   2560 738272   5796 6701640    0    0     0     0 17286 19093  2  4 94  0  0
 1  0   2560 738632   5796 6701640    0    0     0     0 17955 19655  3  4 94  0  0
 0  0   2560 738556   5796 6701640    0    0     0     0 17349 19122  2  4 95  0  0
 0  0   2560 738260   5796 6701640    0    0     0   140 18140 19879  2  3 95  0  0
 1  0   2560 738680   5796 6701672    0    0     0     0 16449 17961  2  3 95  0  0
 0  0   2560 738616   5796 6701672    0    0     0     0 17277 18682  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 738704   5796 6701684    0    0     0     0 17474 19117  2  4 94  0  0
