Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月23日 	_x86_64_	(4 CPU)

00時14分03秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00時14分04秒  all    0.75    0.00    1.25    0.00    0.25    0.25    0.00    0.00    0.00   97.49
00時14分05秒  all    1.25    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.75
00時14分06秒  all    2.03    0.00    1.77    2.78    0.51    0.25    0.00    0.00    0.00   92.66
00時14分07秒  all    4.53    0.00    5.04    8.56    0.76    1.26    0.00    0.00    0.00   79.85
00時14分08秒  all    9.30    0.00    9.30   20.93    1.55    1.81    0.00    0.00    0.00   57.11
00時14分09秒  all   10.62    0.00   10.10   22.02    1.55    1.81    0.00    0.00    0.00   53.89
00時14分10秒  all   11.20    0.00    9.64   23.18    1.56    2.34    0.00    0.00    0.00   52.08
00時14分11秒  all   11.46    0.00   10.68   21.88    1.82    2.08    0.00    0.00    0.00   52.08
00時14分12秒  all   12.66    0.00   11.11   23.00    1.55    2.58    0.00    0.00    0.00   49.10
00時14分13秒  all   10.59    0.00   10.08   22.22    1.55    2.07    0.00    0.00    0.00   53.49
00時14分14秒  all   11.17    0.00   10.65   22.34    1.56    2.08    0.00    0.00    0.00   52.21
00時14分15秒  all   11.76    0.00   10.49   20.72    1.79    2.05    0.00    0.00    0.00   53.20
00時14分16秒  all   11.92    0.00   11.14   22.02    1.55    2.07    0.00    0.00    0.00   51.30
00時14分17秒  all   11.08    0.00    9.28   21.13    1.55    2.32    0.00    0.00    0.00   54.64
00時14分18秒  all   11.40    0.00   10.36   22.02    1.55    2.07    0.00    0.00    0.00   52.59
00時14分19秒  all   11.66    0.00    9.59   22.28    1.81    1.55    0.00    0.00    0.00   53.11
00時14分20秒  all   10.36    0.00   10.88   23.58    1.55    2.33    0.00    0.00    0.00   51.30
00時14分21秒  all   11.11    0.00   10.85   25.06    2.07    2.58    0.00    0.00    0.00   48.32
00時14分22秒  all   12.11    0.00   10.82   22.68    1.55    2.06    0.00    0.00    0.00   50.77
00時14分23秒  all   10.91    0.00   10.39   23.12    1.30    2.08    0.00    0.00    0.00   52.21
00時14分24秒  all   10.39    0.00   10.65   22.86    1.56    2.08    0.00    0.00    0.00   52.47
