procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 885212   5796 6533760    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 847696   5796 6533892    0    0     0     0 7495 6402 10  5 85  0  0
 0  0   2560 847988   5796 6533892    0    0     0     0 1874 1943  0  1 99  0  0
 0  0   2560 847928   5796 6533892    0    0     0   156 1553 1525  1  1 99  0  0
 1  0   2560 847900   5796 6533892    0    0     0     0 3682 3943  1  1 98  0  0
 0  0   2560 845732   5796 6533892    0    0     0     0 10940 12270  1  3 96  0  0
 0  0   2560 845516   5796 6533892    0    0     0     0 15885 17281  1  3 96  0  0
 0  0   2560 844692   5796 6533892    0    0     0     0 17182 18582  2  3 95  0  0
 0  0   2560 842684   5796 6533860    0    0     0     0 16929 18279  2  4 95  0  0
 1  0   2560 841764   5796 6533828    0    0     0     0 18181 19507  1  3 96  0  0
 1  0   2560 841352   5796 6533828    0    0     0     0 17833 19195  1  3 96  0  0
 0  0   2560 840704   5796 6533840    0    0     0     0 17477 18960  2  3 96  0  0
 0  0   2560 840328   5796 6533840    0    0     0     0 16806 18174  2  4 95  0  0
 1  0   2560 840464   5796 6533840    0    0     0     0 17404 18933  2  4 94  0  0
 1  0   2560 840032   5796 6533856    0    0     0     0 16925 18463  2  3 95  0  0
 1  0   2560 840288   5796 6533872    0    0     0     0 18006 19588  2  3 96  0  0
 0  0   2560 839944   5796 6533884    0    0     0     0 18131 19683  1  3 96  0  0
 1  0   2560 860212   5796 6533884    0    0     0    44 17521 18878  3  3 94  0  0
 2  0   2560 863696   5796 6533884    0    0     0   224 18315 19479  6  5 89  0  0
 0  0   2560 863196   5796 6533884    0    0     0     0 17332 18525  2  4 94  0  0
 0  0   2560 863136   5796 6533884    0    0     0     0 17672 18784  1  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 863044   5796 6533884    0    0     0     0 17595 18989  3  5 93  0  0
 0  0   2560 863056   5796 6533896    0    0     0     0 16544 17895  2  3 95  0  0
 0  0   2560 862408   5796 6533896    0    0     0     0 17909 19255  2  4 95  0  0
 0  0   2560 862660   5796 6533896    0    0     0   220 16777 18230  2  3 95  0  0
 0  0   2560 862560   5796 6533896    0    0     0     0 17450 18820  2  3 95  0  0
 2  0   2560 862268   5796 6533896    0    0     0     0 17750 19249  1  3 96  0  0
 1  0   2560 862336   5796 6533912    0    0     0     0 17274 18810  1  3 96  0  0
 0  0   2560 861852   5796 6533916    0    0     0     0 16958 18326  2  3 96  0  0
 0  0   2560 862008   5796 6533928    0    0     0    69 17222 18616  2  3 95  0  0
 0  0   2560 862188   5796 6533932    0    0     0   144 17530 19046  1  3 96  0  0
 0  0   2560 862132   5796 6533940    0    0     0     0 16967 18660  2  3 95  0  0
 0  0   2560 862524   5796 6533952    0    0     0     0 17615 19254  1  4 95  0  0
 0  0   2560 861904   5796 6533952    0    0     0     0 18041 19605  2  4 95  0  0
