Linux 4.18.0-553.129.1.el8_10.x86_64 (g-test-poc-2) 	06/22/26 	_x86_64_	(4 CPU)

16:26:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:26:07     all    8.14    0.00    4.58    0.00    0.76    1.27    0.25    0.00    0.00   84.99
16:26:08     all    7.89    0.00    3.56    0.00    0.51    1.02    0.00    0.00    0.00   87.02
16:26:09     all    7.14    0.00    2.55    0.00    0.77    1.28    0.00    0.00    0.00   88.27
16:26:10     all    3.30    0.00    1.52    0.00    0.51    0.25    0.00    0.00    0.00   94.42
16:26:11     all    2.75    0.00    1.50    0.00    0.50    0.25    0.00    0.00    0.00   95.00
16:26:12     all    1.26    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.24
16:26:13     all    0.75    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.25
16:26:14     all    0.75    0.00    0.50    0.00    0.75    0.00    0.00    0.00    0.00   98.00
16:26:15     all    1.00    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.25
16:26:16     all    0.51    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
16:26:17     all    1.00    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.25
16:26:18     all    0.50    0.00    0.75    0.00    0.50    0.25    0.00    0.00    0.00   98.00
16:26:19     all    0.50    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.24
16:26:20     all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.74
16:26:21     all    0.99    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.26
16:26:22     all    0.00    0.00    0.25    0.00    0.76    0.00    0.00    0.00    0.00   98.99
16:26:23     all    0.75    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.50
16:26:24     all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.74
16:26:25     all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:26:26     all    0.50    0.00    0.00    0.00    0.75    0.00    0.00    0.00    0.00   98.74
16:26:27     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.74
16:26:28     all    0.25    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   98.99
16:26:29     all    1.00    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   98.00
16:26:30     all    0.00    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   99.00
16:26:31     all    0.75    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.75
16:26:32     all    0.50    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.99
16:26:33     all    0.75    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.25
16:26:34     all    0.51    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
16:26:35     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.75
16:26:36     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.75
16:26:37     all    0.75    0.00    0.50    0.00    0.50    0.25    0.25    0.00    0.00   97.76
16:26:38     all    0.50    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.50
16:26:39     all    0.75    0.00    0.00    0.00    0.25    0.25    0.00    0.00    0.00   98.75
16:26:40     all    0.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.99
16:26:41     all    0.50    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.50
16:26:42     all    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
16:26:43     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.49
16:26:44     all    0.75    0.00    0.75    0.00    0.50    0.25    0.00    0.00    0.00   97.76
16:26:45     all    0.50    0.00    0.00    0.00    0.25    0.25    0.00    0.00    0.00   98.99
16:26:46     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
16:26:47     all    1.00    0.00    0.25    0.00    0.25    0.50    0.25    0.00    0.00   97.76
16:26:48     all    0.00    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   99.24
16:26:49     all    0.76    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.74
16:26:50     all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.75
16:26:51     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
16:26:52     all    0.75    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.50
16:26:53     all    0.50    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.49
16:26:54     all    0.75    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   98.01
16:26:55     all    0.75    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   98.99
16:26:56     all    0.00    0.00    0.75    0.00    0.50    0.00    0.00    0.00    0.00   98.74
16:26:57     all    0.75    0.00    0.25    0.00    0.50    0.25    0.00    0.00    0.00   98.26
16:26:58     all    0.25    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   99.24
16:26:59     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.74
16:27:00     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.75
16:27:01     all    0.75    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.50
16:27:02     all    0.75    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.25
16:27:03     all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.99
16:27:04     all    0.50    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.99
16:27:05     all    0.50    0.00    0.50    0.00    0.75    0.25    0.00    0.00    0.00   98.01
16:27:06     all    0.75    0.00    0.50    0.00    0.00    0.00    0.25    0.00    0.00   98.49
16:27:07     all    2.00    0.00    1.25    0.00    0.50    0.00    0.00    0.00    0.00   96.26
16:27:08     all    0.00    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.50
16:27:09     all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:27:10     all    0.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.99
16:27:11     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.25
16:27:12     all    0.50    0.00    0.25    0.00    0.50    0.25    0.00    0.00    0.00   98.51
16:27:13     all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.74
16:27:14     all    0.50    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   98.50
16:27:15     all    0.50    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.74
16:27:16     all    0.50    0.00    0.74    0.00    0.50    0.25    0.00    0.00    0.00   98.01
16:27:17     all    0.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.49
16:27:18     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.74
16:27:19     all    0.75    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.75
16:27:20     all    0.00    0.00    0.51    0.00    0.25    0.25    0.00    0.00    0.00   98.99
16:27:21     all    0.99    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.26
16:27:22     all    0.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.99
16:27:23     all    0.50    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.74
16:27:24     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.74
16:27:25     all    0.75    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.75
16:27:26     all    0.25    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.75
16:27:27     all    0.50    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.00
16:27:28     all    0.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:27:29     all    0.50    0.00    0.50    0.00    0.50    0.50    0.00    0.00    0.00   98.00
16:27:30     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
16:27:31     all    0.75    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.75
16:27:32     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.49
