2026/05/19 11:55:33 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.3, Count: 122, TPM: 786.0, Sum(ms): 76014.6, Avg(ms): 623.1, 50th(ms): 637.5, 90th(ms): 738.2, 95th(ms): 771.8, 99th(ms): 1006.6, 99.9th(ms): 1208.0, Max(ms): 1208.0
[Current] NEW_ORDER - Takes(s): 9.6, Count: 1337, TPM: 8348.2, Sum(ms): 686956.7, Avg(ms): 514.2, 50th(ms): 520.1, 90th(ms): 671.1, 95th(ms): 738.2, 99th(ms): 872.4, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 106, TPM: 652.7, Sum(ms): 13332.9, Avg(ms): 126.1, 50th(ms): 125.8, 90th(ms): 192.9, 95th(ms): 201.3, 99th(ms): 234.9, 99.9th(ms): 243.3, Max(ms): 243.3
[Current] PAYMENT - Takes(s): 9.7, Count: 1284, TPM: 7906.7, Sum(ms): 380259.3, Avg(ms): 296.3, 50th(ms): 285.2, 90th(ms): 402.7, 95th(ms): 469.8, 99th(ms): 671.1, 99.9th(ms): 838.9, Max(ms): 973.1
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 133, TPM: 816.2, Sum(ms): 12551.8, Avg(ms): 94.5, 50th(ms): 92.3, 90th(ms): 142.6, 95th(ms): 151.0, 99th(ms): 184.5, 99.9th(ms): 184.5, Max(ms): 184.5
[Current] DELIVERY - Takes(s): 9.7, Count: 121, TPM: 751.7, Sum(ms): 78214.7, Avg(ms): 646.1, 50th(ms): 637.5, 90th(ms): 805.3, 95th(ms): 838.9, 99th(ms): 1006.6, 99.9th(ms): 1073.7, Max(ms): 1073.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1378, TPM: 8285.8, Sum(ms): 748335.8, Avg(ms): 543.4, 50th(ms): 536.9, 90th(ms): 738.2, 95th(ms): 805.3, 99th(ms): 1073.7, 99.9th(ms): 1342.2, Max(ms): 1409.3
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 127, TPM: 773.8, Sum(ms): 16811.2, Avg(ms): 132.0, 50th(ms): 134.2, 90th(ms): 201.3, 95th(ms): 209.7, 99th(ms): 234.9, 99.9th(ms): 234.9, Max(ms): 234.9
[Current] PAYMENT - Takes(s): 10.0, Count: 1339, TPM: 8051.8, Sum(ms): 408174.8, Avg(ms): 305.3, 50th(ms): 285.2, 90th(ms): 419.4, 95th(ms): 486.5, 99th(ms): 738.2, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 103, TPM: 623.8, Sum(ms): 10640.7, Avg(ms): 103.3, 50th(ms): 109.1, 90th(ms): 151.0, 95th(ms): 159.4, 99th(ms): 234.9, 99.9th(ms): 268.4, Max(ms): 268.4
[Current] DELIVERY - Takes(s): 10.0, Count: 128, TPM: 769.9, Sum(ms): 81090.9, Avg(ms): 633.5, 50th(ms): 604.0, 90th(ms): 738.2, 95th(ms): 872.4, 99th(ms): 1610.6, 99.9th(ms): 1677.7, Max(ms): 1677.7
