procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 2030572   7420 5398716    0    0     0     1    0    0  0  0 100  0  0
 0  0      0 1998792   7420 5398772    0    0     0     0 41552 29608  8 10 82  0  0
 0  0      0 1992912   7420 5398792    0    0     0    34 21936 22508  3  5 92  0  0
 0  0      0 1989660   7420 5398792    0    0     0     0 23735 22164  2  5 93  0  0
 0  0      0 1988220   7420 5398792    0    0     0    68 21376 20294  2  5 93  0  0
 0  0      0 1987152   7420 5398792    0    0     0     0 22473 20842  3  5 92  0  0
 0  0      0 1985776   7420 5398808    0    0     0    26 22221 20965  3  6 91  0  0
 1  0      0 1985372   7420 5398808    0    0     0     0 20990 19052  2  5 93  0  0
 0  0      0 1983032   7420 5398808    0    0     0     0 22343 20142  2  5 93  0  0
 0  0      0 1982132   7420 5398816    0    0     0     0 23784 22709  3  6 91  0  0
 0  0      0 1980216   7420 5398828    0    0     0     0 21753 19846  2  5 93  0  0
 1  0      0 1980400   7420 5398832    0    0     0   218 23458 22506  2  5 93  0  0
 0  0      0 1980064   7420 5398836    0    0     0     0 24037 22571  3  5 92  0  0
 0  0      0 1979888   7420 5398860    0    0     0    24 24583 23113  2  6 92  0  0
 0  0      0 1979660   7420 5398868    0    0     0     0 23435 22417  3  5 93  0  0
 0  0      0 1979204   7420 5398868    0    0     0     0 23445 22128  3  5 93  0  0
 0  0      0 1978876   7420 5398876    0    0     0     0 22389 20629  3  6 91  0  0
 0  0      0 1979704   7420 5398876    0    0     0     0 24782 23613  3  5 92  0  0
 0  0      0 1979180   7420 5398876    0    0     0     0 24481 23481  3  5 92  0  0
 1  0      0 1977812   7420 5398876    0    0     0     0 24325 22690  3  5 92  0  0
 0  0      0 1978812   7420 5398896    0    0     0    26 22122 21048  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1978796   7420 5398900    0    0     0     0 22906 21716  2  5 92  0  0
 0  0      0 1978428   7420 5398900    0    0     0     0 19227 17524  2  4 94  0  0
 0  0      0 1978408   7420 5398916    0    0     0    22 21827 20556  3  5 91  0  0
 1  0      0 1978672   7420 5398912    0    0     0    84 21498 19748  2  4 94  0  0
 0  0      0 1979036   7420 5398912    0    0     0     0 23272 21807  3  5 92  0  0
 1  0      0 1962400   7420 5398916    0    0     0     0 21910 20392  5  6 90  0  0
 0  0      0 1954448   7420 5398944    0    0     0     4 21497 20216  3  5 92  0  0
 0  0      0 1954348   7420 5398944    0    0     0     0 20813 19244  2  4 94  0  0
 1  0      0 1954840   7420 5398944    0    0     0     0 21861 19619  2  5 93  0  0
 0  0      0 1954460   7420 5398952    0    0     0    36 25154 24399  3  6 91  0  0
 0  0      0 1954012   7420 5398956    0    0     0     0 22650 21163  2  4 93  0  0
 0  0      0 1953932   7420 5398960    0    0     0     0 25488 24139  3  5 92  0  0
 0  0      0 1953676   7420 5398968    0    0     0     0 25019 23835  4  6 90  0  0
 1  0      0 1954264   7420 5398968    0    0     0     0 22128 20528  3  4 93  0  0
 2  0      0 1954092   7420 5398968    0    0     0     0 24789 23658  2  5 93  0  0
 0  0      0 1954600   7420 5398972    0    0     0     0 24816 24068  2  5 92  0  0
 0  0      0 1954220   7420 5398976    0    0     0    27 24762 23237  2  6 92  0  0
 0  0      0 1954152   7420 5398976    0    0     0     0 24677 23292  3  5 93  0  0
 0  0      0 1954172   7420 5398976    0    0     0     0 25081 24101  3  5 93  0  0
 0  0      0 1953568   7420 5399008    0    0     0    26 22447 20517  3  5 92  0  0
 0  0      0 1953640   7420 5399012    0    0     0   187 20628 19384  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1953912   7420 5399016    0    0     0     0 21625 19819  2  5 94  0  0
 0  0      0 1952792   7420 5399020    0    0     0     0 24357 23072  3  5 93  0  0
 1  0      0 1953244   7420 5399044    0    0     0     0 26092 24924  3  6 92  0  0
 0  0      0 1977356   7420 5399044    0    0     0   264 25156 23972  8  7 85  0  0
 0  0      0 1977480   7420 5399044    0    0     0     0 23194 21842  2  5 93  0  0
 0  0      0 1978336   7420 5399056    0    0     0    37 22168 21133  3  5 93  0  0
 1  0      0 1978424   7420 5399060    0    0     0     0 25447 24176  3  5 92  0  0
 1  0      0 1978212   7420 5399060    0    0     0     0 25622 24696  2  5 92  0  0
 0  0      0 1977320   7420 5399064    0    0     0     0 25149 23408  3  5 92  0  0
 0  0      0 1978180   7420 5399080    0    0     0     0 25630 23698  3  5 92  0  0
 1  0      0 1978048   7420 5399080    0    0     0     0 23388 22204  2  5 94  0  0
 1  0      0 1977868   7420 5399092    0    0     0     0 22881 21370  2  5 93  0  0
 1  0      0 1977544   7420 5399104    0    0     0    27 25973 24818  3  6 92  0  0
 0  0      0 1978068   7420 5399104    0    0     0     0 26015 25127  3  5 92  0  0
 0  0      0 1978076   7420 5399108    0    0     0    96 24750 23490  3  5 92  0  0
 1  0      0 1978376   7420 5399120    0    0     0    26 25230 23978  3  5 92  0  0
 0  0      0 1978464   7420 5399116    0    0     0     0 24090 23236  2  5 92  0  0
 0  0      0 1977812   7420 5399116    0    0     0     0 19270 17948  2  4 95  0  0
 2  0      0 1977704   7420 5399116    0    0     0     0 22251 21039  2  4 94  0  0
 0  0      0 1977376   7420 5399128    0    0     0   120 22192 20614  3  6 92  0  0
 2  0      0 1977324   7420 5399128    0    0     0     0 21883 20749  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1977440   7420 5399128    0    0     0     0 21139 19567  2  4 94  0  0
 1  0      0 1977844   7420 5399148    0    0     0    35 22236 20980  3  5 92  0  0
 0  0      0 1977616   7420 5399156    0    0     0     0 22508 20588  2  5 93  0  0
 0  0      0 1977796   7420 5399156    0    0     0     0 17463 16215  2  4 94  0  0
 0  0      0 1979828   7420 5399156    0    0     0     0 21734 20196  2  5 94  0  0
 0  0      0 1979548   7420 5399168    0    0     0     0 22122 19892  3  5 91  0  0
 1  0      0 1979756   7420 5399168    0    0     0     0 21218 19988  2  4 94  0  0
 0  0      0 1979636   7420 5399172    0    0     0     0 22503 21083  2  5 92  0  0
 0  0      0 1980420   7420 5399200    0    0     0   263 22110 20426  3  6 92  0  0
 0  0      0 1979728   7420 5399200    0    0     0     0 21782 20309  2  4 94  0  0
 2  0      0 1980092   7420 5399200    0    0     0     0 21759 20577  3  5 93  0  0
 2  0      0 1979108   7420 5399204    0    0     0     0 18721 17046  2  4 94  0  0
 1  0      0 1980016   7420 5399212    0    0     0    21 21887 20725  2  5 93  0  0
 1  0      0 1979744   7420 5399212    0    0     0     0 22622 21592  2  5 93  0  0
 1  0      0 1979532   7420 5399212    0    0     0     0 22065 20609  2  5 93  0  0
 0  0      0 1978716   7420 5399236    0    0     0     0 22046 20749  3  5 92  0  0
 1  0      0 1979128   7420 5399240    0    0     0     0 20988 19193  2  5 93  0  0
 0  0      0 1978980   7420 5399240    0    0     0     0 22025 20993  2  5 93  0  0
 0  0      0 1977604   7420 5399248    0    0     0     0 22020 20338  3  5 93  0  0
