Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月19日 	_x86_64_	(4 CPU)

10時38分37秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10時38分38秒  all   70.30    0.00    7.36   17.77    1.02    1.52    0.00    0.00    0.00    2.03
10時38分39秒  all   67.74    0.00    5.71   23.82    0.99    1.74    0.00    0.00    0.00    0.00
10時38分40秒  all   65.92    0.00    8.21   22.89    1.24    1.49    0.00    0.00    0.00    0.25
10時38分41秒  all   67.42    0.00    9.02   21.05    0.75    1.25    0.00    0.00    0.00    0.50
10時38分42秒  all   69.27    0.00    4.79   19.40    1.01    1.51    0.00    0.00    0.00    4.03
10時38分43秒  all   68.43    0.00    5.56   16.16    1.01    1.52    0.00    0.00    0.00    7.32
10時38分44秒  all   68.43    0.00    5.56   16.16    1.26    1.26    0.00    0.00    0.00    7.32
10時38分45秒  all   68.37    0.00    5.10   24.74    0.51    1.28    0.00    0.00    0.00    0.00
10時38分46秒  all   69.44    0.00    5.81   21.72    1.01    1.52    0.00    0.00    0.00    0.51
10時38分47秒  all   67.51    0.00    5.29   23.93    1.26    1.76    0.00    0.00    0.00    0.25
10時38分48秒  all   68.96    0.00    5.09   19.34    1.02    1.53    0.00    0.00    0.00    4.07
10時38分49秒  all   68.88    0.00    5.61   19.39    0.77    1.53    0.00    0.00    0.00    3.83
10時38分50秒  all   70.74    0.00    5.09   19.85    1.02    1.27    0.00    0.00    0.00    2.04
10時38分51秒  all   65.99    0.00    7.36   21.83    0.51    1.52    0.00    0.00    0.00    2.79
10時38分52秒  all   66.50    0.00    8.06   12.85    1.26    1.26    0.00    0.00    0.00   10.08
10時38分53秒  all   68.86    0.00    7.09   14.18    1.01    1.01    0.00    0.00    0.00    7.85
10時38分54秒  all   68.10    0.00    6.33   16.71    1.27    1.27    0.00    0.00    0.00    6.33
10時38分55秒  all   69.10    0.00    5.03   22.11    1.01    1.76    0.00    0.00    0.00    1.01
10時38分56秒  all   72.04    0.00    4.79   21.16    0.76    1.26    0.00    0.00    0.00    0.00
10時38分57秒  all   68.35    0.00    6.33   14.68    1.01    1.27    0.00    0.00    0.00    8.35
10時38分58秒  all   68.86    0.00    5.32   17.97    1.27    1.27    0.00    0.00    0.00    5.32
10時38分59秒  all   68.16    0.00    4.73   23.13    1.00    1.74    0.00    0.00    0.00    1.24
10時39分00秒  all   69.02    0.00    5.54   22.17    0.76    1.26    0.00    0.00    0.00    1.26
10時39分01秒  all   70.65    0.00    5.22   19.90    1.00    1.74    0.00    0.00    0.00    1.49
10時39分02秒  all   71.50    0.00    4.75   21.00    1.25    1.50    0.00    0.00    0.00    0.00
10時39分03秒  all   70.99    0.00    5.09   21.63    0.51    1.27    0.00    0.00    0.00    0.51
10時39分04秒  all   70.00    0.00    6.25   13.25    1.25    1.50    0.00    0.00    0.00    7.75
10時39分05秒  all   70.25    0.00    5.50   21.75    1.00    1.25    0.00    0.00    0.00    0.25
10時39分06秒  all   72.18    0.00    4.01   19.55    1.00    1.75    0.00    0.00    0.00    1.50
10時39分07秒  all   69.00    0.00    5.50   22.75    1.00    1.75    0.00    0.00    0.00    0.00
10時39分08秒  all   70.53    0.00    4.79   20.65    1.01    1.26    0.00    0.00    0.00    1.76
10時39分09秒  all   69.92    0.00    5.26   22.31    1.00    1.25    0.00    0.00    0.00    0.25
10時39分10秒  all   69.44    0.00    5.81   20.20    0.76    1.52    0.00    0.00    0.00    2.27
10時39分11秒  all   72.36    0.00    5.53   13.57    1.01    1.01    0.00    0.00    0.00    6.53
10時39分12秒  all   72.64    0.00    5.97   14.18    1.00    1.24    0.00    0.00    0.00    4.98
10時39分13秒  all   73.28    0.00    5.34   16.54    0.76    1.02    0.00    0.00    0.00    3.05
10時39分14秒  all   71.57    0.00    5.24   16.21    0.75    1.50    0.00    0.00    0.00    4.74
10時39分15秒  all   73.68    0.00    4.51   16.54    1.00    1.00    0.00    0.00    0.00    3.26
10時39分16秒  all   71.60    0.00    5.19   20.25    0.99    1.23    0.00    0.00    0.00    0.74
10時39分17秒  all   70.38    0.00    6.08   19.49    1.01    1.27    0.00    0.00    0.00    1.77
10時39分18秒  all   70.30    0.00    6.09   15.23    1.02    1.02    0.00    0.00    0.00    6.35
10時39分19秒  all   67.85    0.00    5.32   23.54    0.76    1.77    0.00    0.00    0.00    0.76
10時39分20秒  all   70.28    0.00    4.53   22.17    1.26    1.76    0.00    0.00    0.00    0.00
10時39分21秒  all   67.25    0.00    5.75   20.50    1.00    1.50    0.00    0.00    0.00    4.00
10時39分22秒  all   71.11    0.00    5.03   20.60    0.75    1.51    0.00    0.00    0.00    1.01
10時39分23秒  all   67.92    0.00    5.26   20.55    1.00    1.50    0.00    0.00    0.00    3.76
10時39分24秒  all   68.69    0.00    6.31   16.67    1.01    1.52    0.00    0.00    0.00    5.81
10時39分25秒  all   68.09    0.00    6.03   21.61    1.26    1.26    0.00    0.00    0.00    1.76
10時39分26秒  all   69.70    0.00    5.05   22.98    0.76    1.52    0.00    0.00    0.00    0.00
10時39分27秒  all   70.15    0.00    5.22   21.39    1.00    1.49    0.00    0.00    0.00    0.75
10時39分28秒  all   70.38    0.00    4.81   18.48    1.27    1.27    0.00    0.00    0.00    3.80
10時39分29秒  all   68.75    0.00    5.25   22.25    0.50    1.50    0.00    0.00    0.00    1.75
10時39分30秒  all   70.26    0.00    5.13   14.87    1.03    1.54    0.00    0.00    0.00    7.18
10時39分31秒  all   69.40    0.00    5.22   18.41    1.00    1.24    0.00    0.00    0.00    4.73
10時39分32秒  all   71.61    0.00    5.12   16.62    1.02    1.02    0.00    0.00    0.00    4.60
10時39分33秒  all   71.25    0.00    5.60   18.83    0.76    1.02    0.00    0.00    0.00    2.54
10時39分34秒  all   69.33    0.00    5.74   12.22    1.25    1.50    0.00    0.00    0.00    9.98
10時39分35秒  all   71.64    0.00    4.73   13.43    1.00    1.00    0.00    0.00    0.00    8.21
10時39分36秒  all   70.92    0.00    5.87   18.11    0.51    1.02    0.00    0.00    0.00    3.57
10時39分37秒  all   67.92    0.00    6.27   10.78    1.25    1.25    0.00    0.00    0.00   12.53
10時39分38秒  all   70.53    0.00    7.05   12.59    1.01    1.01    0.00    0.00    0.00    7.81
10時39分39秒  all   68.77    0.00    6.80   16.62    1.01    1.51    0.00    0.00    0.00    5.29
10時39分40秒  all   69.21    0.00    5.85   16.54    1.02    1.53    0.00    0.00    0.00    5.85
10時39分41秒  all   68.86    0.00    4.81   21.77    1.01    1.52    0.00    0.00    0.00    2.03
10時39分42秒  all   72.04    0.00    4.79   20.15    1.01    1.51    0.00    0.00    0.00    0.50
10時39分43秒  all   69.48    0.00    4.96   23.08    1.24    1.24    0.00    0.00    0.00    0.00
10時39分44秒  all   69.44    0.00    5.30   22.47    0.76    1.77    0.00    0.00    0.00    0.25
10時39分45秒  all   68.27    0.00    5.84   20.56    1.02    1.27    0.00    0.00    0.00    3.05
10時39分46秒  all   68.58    0.00    5.49   18.70    1.25    1.50    0.00    0.00    0.00    4.49
10時39分47秒  all   71.50    0.00    5.09   21.63    0.51    1.02    0.00    0.00    0.00    0.25
10時39分48秒  all   68.50    0.00    5.25   21.50    1.00    2.00    0.00    0.00    0.00    1.75
10時39分49秒  all   69.44    0.00    4.80   23.23    1.26    1.26    0.00    0.00    0.00    0.00
10時39分50秒  all   69.67    0.00    4.76   20.30    1.00    1.50    0.00    0.00    0.00    2.76
10時39分51秒  all   69.11    0.00    5.32   18.99    0.76    1.27    0.00    0.00    0.00    4.56
10時39分52秒  all   72.15    0.00    4.81   13.92    0.76    1.27    0.00    0.00    0.00    7.09
10時39分53秒  all   63.38    0.00    8.33   24.49    1.01    1.01    0.00    0.00    0.00    1.77
10時39分54秒  all   67.94    0.00    6.62   17.05    1.02    1.27    0.00    0.00    0.00    6.11
10時39分55秒  all   64.74    0.00    6.05   16.62    1.01    1.51    0.00    0.00    0.00   10.08
10時39分56秒  all   72.54    0.00    5.29   15.87    1.26    1.01    0.00    0.00    0.00    4.03
