Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月19日 	_x86_64_	(4 CPU)

10時38分16秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10時38分17秒  all    4.30    0.00    2.78    0.00    0.25    1.27    0.00    0.00    0.00   91.39
10時38分18秒  all    2.78    0.00    3.54    0.00    1.01    2.03    0.00    0.00    0.00   90.63
10時38分19秒  all    2.81    0.00    2.04    0.00    0.26    1.02    0.00    0.00    0.00   93.88
10時38分20秒  all    7.67    0.00    4.70    0.00    1.24    1.73    0.00    0.00    0.00   84.65
10時38分21秒  all    2.04    0.00    2.30    0.00    0.26    1.53    0.00    0.00    0.00   93.88
10時38分22秒  all    2.03    0.00    3.05    0.00    0.76    1.02    0.00    0.00    0.00   93.15
10時38分23秒  all    2.52    0.00    1.76    0.00    0.76    1.76    0.00    0.00    0.00   93.20
10時38分24秒  all    2.77    0.00    2.52    0.00    0.50    1.26    0.00    0.00    0.00   92.95
10時38分25秒  all    2.27    0.00    3.27    0.00    0.76    2.02    0.00    0.00    0.00   91.69
10時38分26秒  all    1.78    0.00    2.54    0.00    0.25    1.02    0.00    0.00    0.00   94.40
10時38分27秒  all    1.76    0.00    2.77    0.00    1.26    1.51    0.00    0.00    0.00   92.70
10時38分28秒  all    3.01    0.00    3.01    0.00    0.25    1.50    0.00    0.00    0.00   92.23
10時38分29秒  all    2.02    0.00    2.77    0.00    0.76    1.01    0.00    0.00    0.00   93.45
10時38分30秒  all    1.75    0.00    2.24    0.00    0.75    1.50    0.00    0.00    0.00   93.77
10時38分31秒  all    2.03    0.00    2.28    0.00    0.25    1.01    0.00    0.00    0.00   94.43
10時38分32秒  all    2.03    0.00    2.78    0.00    0.51    1.01    0.00    0.00    0.00   93.67
10時38分33秒  all    2.75    0.00    2.50    0.00    0.75    1.75    0.00    0.00    0.00   92.25
10時38分34秒  all    2.26    0.00    2.76    0.00    0.75    1.76    0.00    0.00    0.00   92.46
10時38分35秒  all    3.28    0.00    3.28    0.00    0.76    1.52    0.00    0.00    0.00   91.16
10時38分36秒  all    1.77    0.00    2.28    0.00    0.51    1.01    0.00    0.00    0.00   94.43
10時38分37秒  all    1.51    0.00    2.27    0.00    0.50    1.51    0.00    0.00    0.00   94.21
10時38分38秒  all    2.04    0.00    2.54    0.00    0.51    1.53    0.00    0.00    0.00   93.38
10時38分39秒  all    3.02    0.00    3.27    0.00    1.01    1.76    0.00    0.00    0.00   90.95
10時38分40秒  all    2.02    0.00    2.27    0.00    0.76    1.26    0.00    0.00    0.00   93.70
10時38分41秒  all    1.78    0.00    2.54    0.00    0.51    1.52    0.00    0.00    0.00   93.65
10時38分42秒  all    3.26    0.00    3.26    0.00    0.75    1.50    0.00    0.00    0.00   91.23
10時38分43秒  all    2.01    0.00    2.26    0.00    0.75    1.01    0.00    0.00    0.00   93.97
10時38分44秒  all    2.03    0.00    2.28    0.00    0.51    1.77    0.00    0.00    0.00   93.42
10時38分45秒  all    2.53    0.00    2.53    0.00    0.76    1.77    0.00    0.00    0.00   92.42
10時38分46秒  all    3.30    0.00    2.54    0.00    0.51    1.02    0.00    0.00    0.00   92.64
10時38分47秒  all    2.03    0.00    2.28    0.00    0.76    1.77    0.00    0.00    0.00   93.16
10時38分48秒  all    2.02    0.00    2.77    0.00    0.76    1.51    0.00    0.00    0.00   92.95
10時38分49秒  all    3.27    0.00    2.52    0.00    0.76    1.26    0.00    0.00    0.00   92.19
10時38分50秒  all    1.53    0.00    2.04    0.00    0.25    1.27    0.00    0.00    0.00   94.91
10時38分51秒  all    1.75    0.00    2.25    0.00    0.75    1.25    0.00    0.00    0.00   94.00
10時38分52秒  all    2.30    0.00    2.81    0.00    0.26    1.28    0.00    0.00    0.00   93.37
10時38分53秒  all    2.01    0.00    2.01    0.00    1.01    1.26    0.00    0.00    0.00   93.72
10時38分54秒  all    1.76    0.00    2.27    0.00    0.50    1.01    0.00    0.00    0.00   94.46
10時38分55秒  all    2.26    0.00    2.51    0.00    0.50    1.51    0.00    0.00    0.00   93.22
10時38分56秒  all    3.00    0.00    3.75    0.00    0.75    1.50    0.00    0.00    0.00   91.00
10時38分57秒  all    1.79    0.00    2.04    0.00    0.51    1.28    0.00    0.00    0.00   94.39
10時38分58秒  all    1.51    0.00    2.77    0.00    0.76    1.76    0.00    0.00    0.00   93.20
10時38分59秒  all    2.76    0.00    3.77    0.00    1.01    1.26    0.00    0.00    0.00   91.21
10時39分00秒  all    2.27    0.00    2.78    0.00    0.25    2.02    0.00    0.00    0.00   92.68
10時39分01秒  all    2.27    0.00    2.53    0.00    0.76    1.01    0.00    0.00    0.00   93.43
10時39分02秒  all    4.30    0.00    3.54    0.00    0.76    1.52    0.00    0.00    0.00   89.87
10時39分03秒  all    2.76    0.00    3.02    0.00    0.50    1.76    0.00    0.00    0.00   91.96
10時39分04秒  all    2.26    0.00    2.51    0.00    0.75    1.51    0.00    0.00    0.00   92.96
10時39分05秒  all    1.79    0.00    2.04    0.00    0.77    1.53    0.00    0.00    0.00   93.88
10時39分06秒  all    2.53    0.00    3.28    0.00    0.76    1.26    0.00    0.00    0.00   92.17
10時39分07秒  all    2.28    0.00    2.78    0.00    0.25    1.52    0.00    0.00    0.00   93.16
10時39分08秒  all    1.52    0.00    2.78    0.00    1.26    1.52    0.00    0.00    0.00   92.93
10時39分09秒  all    3.24    0.00    3.99    0.00    0.25    2.00    0.00    0.00    0.00   90.52
10時39分10秒  all    2.04    0.00    1.27    0.00    0.76    1.02    0.00    0.00    0.00   94.91
10時39分11秒  all    0.77    0.00    2.55    0.00    0.51    1.02    0.00    0.00    0.00   95.15
10時39分12秒  all    1.75    0.00    2.26    0.00    0.50    1.50    0.00    0.00    0.00   93.98
10時39分13秒  all    2.76    0.00    3.01    0.00    0.75    1.25    0.00    0.00    0.00   92.23
10時39分14秒  all    2.01    0.00    2.51    0.00    0.50    1.26    0.00    0.00    0.00   93.72
10時39分15秒  all    2.01    0.00    2.26    0.00    0.50    1.25    0.00    0.00    0.00   93.98
10時39分16秒  all    2.03    0.00    2.53    0.00    0.51    1.27    0.00    0.00    0.00   93.67
