procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 191600     12 7191772    0    0  1671  6305  165  512 38  4 50  7  0
 6  1      0 178296     12 7209188    0    0 16884 13836 18729 6811 70  9  3 18  0
 3  2      0 161688     12 7226248    0    0 17040 15348 18663 6673 70  8  0 22  0
 3  1      0 162340     12 7224756    0    0 18332 15616 19059 6962 68  9  0 24  0
 4  0      0 159244     12 7223592    0    0 16600 49691 18340 9224 69  8  9 14  0
 1  3      0 168592     12 7199156    0    0 31916 91727 18434 8053 66 10  5 19  0
 4  1      0 162968     12 7199088    0    0 40516 68295 18246 8374 72  8  6 14  0
 3  1      0 157548     12 7192892    0    0 84536 77934 19016 7234 70 10  4 17  0
 5  0      0 196128     12 7172744    0    0 54696 71028 22532 11756 68 10 10 12  0
 3  1      0 274636     12 7083576    0    0 17820 13188 21604 8245 68  9  6 18  0
 4  1      0 272184     12 7095164    0    0 15208 13060 19739 7358 71  8  5 17  0
 4  1      0 232156     12 7131640    0    0 14988 54537 18098 7353 69  8  3 21  0
 4  0      0 217964     12 7129628    0    0 16612 34062 18755 6071 69  8  1 22  0
 1  3      0 202772     12 7146892    0    0 17356 15512 18969 6883 68  8  0 24  0
 4  1      0 196160     12 7165144    0    0 18084 13948 21592 8337 71  8  4 17  0
 2  2      0 184188     12 7143824    0    0 16576 14384 18000 6099 70  8  0 21  0
 3  1      0 175928     12 7160316    0    0 16696 16532 19716 6633 69  8  0 23  0
 2  2      0 158696     12 7174524    0    0 14824 37338 17489 6543 69  9  2 21  0
 4  2      0 165688     12 7168424    0    0 14120 36882 17127 5777 71  8  2 19  0
 4  1      0 150444     12 7184580    0    0 16052 13408 18468 7270 69  8  3 20  0
 4  1      0 153628     12 7150924    0    0 14436 12976 17676 5676 72  8  1 20  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 156464     12 7147508    0    0 16004 14504 18359 6286 69  9  0 23  0
 3  2      0 161004     12 7144524    0    0 16608 15404 18933 6464 69  8  0 22  0
 3  1      0 162608     12 7141920    0    0 16692 15140 19132 6429 70  8  0 22  0
 3  2      0 151172     12 7149392    0    0 14120 51678 19530 9387 72  8  7 13  0
 5  1      0 161252     12 7106744    0    0 12468 54236 18007 9614 72  8 10 10  0
 4  1      0 191804     12 7075864    0    0 14672 47005 18794 7857 72  8  6 14  0
 9  0      0 158668     12 7103464    0    0 18136 40688 20168 9529 72  8  9 11  0
10  1      0 156276     12 7108092    0    0 43672 60988 17389 6772 71  8  5 16  0
 4  1      0 156180     12 7113436    0    0 48824 84142 20617 10441 69 11 10 10  0
 4  1      0 203920     12 7068016    0    0 30004 50064 22140 8505 67 10  5 18  0
 6  2      0 218928     12 7046388    0    0 12436 38089 18976 6913 69  9  4 18  0
 2  2      0 207740     12 7049808    0    0 17012 19487 21571 7558 67  9  3 21  0
 2  2      0 196556     12 7065720    0    0 15988 15672 19843 6656 69  8  0 23  0
 1  3      0 181220     12 7082528    0    0 16536 15660 18967 6982 68  8  0 25  0
 2  2      0 169220     12 7098264    0    0 15692 16561 19264 6635 70  8  0 22  0
 6  0      0 162352     12 7094328    0    0 15264 16024 18847 6377 70  8  0 21  0
 4  1      0 161436     12 7055576    0    0 14220 19746 19989 9584 73  8  9 10  0
 1  3      0 165344     12 7039916    0    0 13816 57215 18841 7501 69  8  5 17  0
 4  2      0 150724     12 7055036    0    0 15120 16224 19451 6962 69  8  0 23  0
 4  0      0 155704     12 7051732    0    0 15740 16176 19499 7003 69  8  0 23  0
