procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 2053832   7420 5379104    0    0     0     1    0    0  0  0 100  0  0
 1  0      0 2033024   7420 5379140    0    0     0    40 32409 28610  6  8 86  0  0
 0  0      0 2029516   7420 5379148    0    0     0     0 24285 27319  2  5 93  0  0
 3  0      0 2028276   7420 5379152    0    0     0   181 22926 24518  2  4 93  0  0
 0  0      0 2026044   7420 5379152    0    0     0     0 22906 24310  2  5 93  0  0
 1  0      0 2024676   7420 5379152    0    0     0     8 22916 24470  2  5 93  0  0
 0  0      0 2021584   7420 5379164    0    0     0     0 23675 25245  3  5 92  0  0
 0  0      0 2022980   7420 5379164    0    0     0     0 20380 22146  2  4 94  0  0
 0  0      0 2023140   7420 5379164    0    0     0     0 20217 22130  2  4 94  0  0
 1  0      0 2023180   7420 5379164    0    0     0     0 20166 21994  2  4 94  0  0
 3  0      0 2022496   7420 5379180    0    0     0    36 18683 20016  3  5 93  0  0
 0  0      0 2022108   7420 5379188    0    0     0     0 21321 23029  2  5 93  0  0
 0  0      0 2022140   7420 5379188    0    0     0     0 22907 24702  2  5 93  0  0
 2  0      0 2021708   7420 5379200    0    0     0    22 25629 27528  3  6 91  0  0
 0  0      0 2021808   7420 5379208    0    0     0     0 22322 23939  2  5 92  0  0
 0  0      0 2022008   7420 5379208    0    0     0     0 20654 22032  2  5 93  0  0
 0  0      0 2021156   7420 5379212    0    0     0     0 21845 23383  2  5 93  0  0
 0  0      0 2023040   7420 5379220    0    0     0     0 24857 26467  3  6 92  0  0
 1  0      0 2023056   7420 5379220    0    0     0     0 24286 25952  2  5 93  0  0
 0  0      0 2022620   7420 5379220    0    0     0     0 24048 25549  3  5 92  0  0
 0  0      0 2022380   7420 5379228    0    0     0    26 25231 26630  3  7 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2022460   7420 5379240    0    0     0     0 23164 24926  2  5 93  0  0
 0  0      0 2022032   7420 5379240    0    0     0     0 23002 24353  3  5 92  0  0
 1  0      0 2021208   7420 5379240    0    0     0     0 26457 28068  3  6 92  0  0
 0  0      0 2022600   7420 5379256    0    0     0     0 25442 27109  3  6 91  0  0
 0  0      0 2022636   7420 5379256    0    0     0    52 24283 25841  3  5 92  0  0
 0  0      0 2022624   7420 5379256    0    0     0     0 25611 27380  2  5 93  0  0
 1  0      0 2022156   7420 5379264    0    0     0    14 20704 22234  3  5 92  0  0
 0  0      0 2022536   7420 5379284    0    0     0     0 21012 22496  2  5 93  0  0
 0  0      0 2022428   7420 5379284    0    0     0     0 20679 22308  2  5 94  0  0
 0  0      0 2021204   7420 5379284    0    0     0    20 18823 20177  2  4 94  0  0
 2  0      0 2021552   7420 5379300    0    0     0    26 21448 22978  3  6 92  0  0
 0  0      0 2021428   7420 5379304    0    0     0     0 20358 21923  2  4 94  0  0
 0  0      0 2021624   7420 5379304    0    0     0   154 19037 20563  2  4 94  0  0
 0  0      0 2022008   7420 5379308    0    0     0     0 21698 23305  3  5 92  0  0
 0  0      0 2021552   7420 5379316    0    0     0    84 20516 21926  2  4 94  0  0
 0  0      0 2022116   7420 5379316    0    0     0     0 20873 22674  2  4 94  0  0
 1  0      0 1997332   7420 5379316    0    0     0     4 20441 21737  4  5 91  0  0
 0  0      0 1996596   7420 5379328    0    0     0    32 20513 22310  2  5 93  0  0
 0  0      0 1996680   7420 5379328    0    0     0     0 18915 20385  2  4 94  0  0
 0  0      0 1997356   7420 5379348    0    0     0     0 20319 22032  2  5 93  0  0
 0  0      0 1996196   7420 5379356    0    0     0     0 22336 23903  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1996428   7420 5379360    0    0     0     0 21151 22986  2  5 93  0  0
 1  0      0 1996088   7420 5379368    0    0     0     0 23316 25205  2  5 93  0  0
 0  0      0 1995404   7420 5379372    0    0     0     0 24093 25617  2  5 92  0  0
