procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  1      0 525176     28 7868240    0    0   634  4538 2277  716 25  3 67  5  0
 5  0      0 512560     28 7881720    0    0   844 50864 15488 6961 74  8  9  9  0
 4  1      0 462784     28 7870892    0    0  1236 42464 20343 7985 72 10  6 12  0
 3  1      0 170812     28 7872068    0    0  1168 16316 22615 7512 71 12  0 18  0
 3  2      0 172892     28 7847860    0    0  2404 15068 21084 7754 73  8  3 16  0
 4  1      0 175260     28 7850028    0    0  2084 16568 21638 7896 73  8  2 18  0
 3  1      0 173904     28 7851216    0    0  1188 16740 18760 7849 73  8  0 19  0
 4  1      0 160704     28 7752408    0    0  1344 16384 17634 7101 73 10  0 17  0
 8  0      0 152292     28 7759376    0    0  1956 25868 17876 8504 70  8  3 19  0
 4  1      0 171912     28 7738684    0    0  1208 75332 16123 8477 70  8  5 17  0
 4  0      0 204320     28 7707992    0    0  1584 136991 18566 7679 67 10  1 22  0
 4  1      0 314836     28 7612240    0    0  1408 15096 23102 7588 71 10  2 18  0
 2  2      0 348156     28 7613804    0    0  1616 16728 21597 8983 69  9  3 19  0
 5  0      0 330040     28 7615240    0    0  1380 14668 20353 9895 69  8  8 15  0
 4  1      0 308468     28 7617024    0    0  1784 14820 21158 10298 69  9  7 16  0
 6  0      0 298008     28 7618624    0    0  1652 16436 21138 9605 70  8  4 18  0
 2  1      0 295676     28 7620352    0    0  1676 16368 19598 8552 72  8  3 18  0
 5  1      0 258668     28 7647784    0    0  3052 64745 17334 11914 67  8 10 15  0
 3  1      0 230576     28 7643772    0    0  3920 25455 21708 14140 65  8 13 14  0
 3  1      0 223520     28 7648208    0    0  2956 13532 20826 11463 67  8  9 15  0
 3  1      0 222760     28 7649868    0    0  1660 15300 19820 9316 70  8  6 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 227176     28 7651664    0    0  1796 15104 21207 10923 67  8  9 16  0
 2  1      0 229004     28 7653140    0    0  1476 14284 18710 9319 70  8  7 15  0
 4  1      0 225944     28 7654620    0    0  1656 12736 22736 18072 61  8 20 11  0
 2  1      0 224900     28 7655968    0    0  1288 13208 20513 19419 52  8 27 13  0
 3  1      0 224744     28 7656624    0    0   656 11823 17635 19496 51  7 30 12  0
 6  0      0 193368     28 7685620    0    0  2448 37326 18257 18131 54  7 25 14  0
 3  0      0 206912     28 7654856    0    0  1316 67885 18154 16220 58  8 19 14  0
 2  0      0 213120     28 7656044    0    0  1304 10288 19318 20315 47  7 33 13  0
 1  1      0 208380     28 7656804    0    0   684 11192 19786 23839 40  6 42 13  0
 0  1      0 211580     28 7657608    0    0   912 11716 20849 24873 40  6 41 13  0
 2  1      0 209408     28 7658324    0    0   556 11544 20140 24680 41  7 40 13  0
 3  1      0 221464     28 7658920    0    0   860 11224 20311 24777 41  7 40 12  0
 3  1      0 220140     28 7659704    0    0   520 11648 19914 24280 42  6 40 12  0
 3  1      0 219252     28 7660196    0    0   628 11296 20454 25379 41  7 40 12  0
 2  1      0 218744     28 7661080    0    0   748 12136 20725 25329 43  6 38 12  0
 3  1      0 218680     28 7661752    0    0   724 10760 18664 22477 41  6 41 11  0
 3  0      0 217920     28 7662480    0    0   760 12432 18602 22450 43  6 39 11  0
 4  0      0 217284     28 7663376    0    0   976 10856 18684 22613 41  6 41 12  0
 3  1      0 216908     28 7663948    0    0   404 10932 18768 22761 42  6 41 11  0
 4  1      0 208244     28 7672332    0    0   556 19570 20005 24782 43  6 39 12  0
 3  1      0 190796     28 7684252    0    0   676 76088 18629 20501 54  8 25 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 199988     28 7673984    0    0   544 11795 20905 25328 42  7 40 12  0
 4  0      0 221004     28 7675036    0    0   824 11256 19987 22882 45  7 36 12  0
 3  1      0 216720     28 7675912    0    0  1020 12160 20684 25012 41  7 40 12  0
 3  0      0 217040     28 7676696    0    0   756 12256 21361 25997 40  6 40 14  0
 3  1      0 216912     28 7677556    0    0   816 10872 19305 23552 41  7 41 12  0
 2  1      0 216600     28 7678080    0    0   452 12572 19111 23263 42  6 41 11  0
 2  1      0 216476     28 7678872    0    0   940 11836 20081 24665 41  6 40 12  0
 1  0      0 216380     28 7679340    0    0   320  7072 15914 22850 24  4 62  9  0
 1  1      0 216128     28 7679548    0    0   236  7068 14941 22038 24  4 63  9  0
 3  0      0 215656     28 7679856    0    0   308  6276 14521 21049 28  5 61  7  0
 3  0      0 215372     28 7680196    0    0   312  6304 14568 21573 25  5 63  7  0
 0  1      0 228756     28 7680608    0    0   556  6332 13717 19846 24  5 63  8  0
 2  1      0 213068     28 7697348    0    0 16592  7076 15708 22751 23  5 63  9  0
 2  0      0 212976     28 7697736    0    0   360  7493 15591 23206 23  4 64  9  0
 1  1      0 212632     28 7698064    0    0   352  6652 15582 23015 24  5 64  8  0
 3  1      0 212412     28 7698304    0    0   292  7680 14061 20356 25  5 63  8  0
 1  0      0 212096     28 7698800    0    0   420  6736 14379 20907 24  5 63  8  0
 2  1      0 211780     28 7699244    0    0   500  6548 14558 21384 23  5 63  9  0
 1  2      0 205008     28 7706524    0    0   236 14583 14811 21698 26  5 61  8  0
 0  0      0 182724     28 7721616    0    0  4824 63984 15945 22051 43  7 40 10  0
 0  0      0 191256     28 7711864    0    0   280  6324 14108 20544 24  5 63  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 205272     28 7712112    0    0   172  7132 15090 22139 23  4 64  8  0
 1  0      0 213852     28 7712340    0    0   284  6792 15273 21960 23  5 64  8  0
 3  0      0 214760     28 7712756    0    0   360  7120 15550 22711 26  5 61  8  0
 1  1      0 210852     28 7713144    0    0   468  6716 14359 20851 24  4 64  8  0
 1  0      0 209748     28 7713600    0    0   376  8240 15175 22071 25  5 62  8  0
 1  1      0 208992     28 7713852    0    0   252  7528 15414 22678 24  4 63  9  0
 2  0      0 208144     28 7714256    0    0   456  7168 15295 22348 24  4 63  9  0
 2  0      0 207320     28 7714664    0    0   516  6584 14632 21516 22  4 65  9  0
 1  1      0 207192     28 7715188    0    0   364  7324 16034 23581 24  5 63  9  0
 1  1      0 206500     28 7717040    0    0  1972  7392 15831 23321 24  4 63  9  0
 0  1      0 221116     28 7717480    0    0   376  7680 16711 24694 23  5 64  9  0
 2  0      0 221308     28 7717736    0    0   200  7620 17250 25115 24  4 64  9  0
 2  0      0 220800     28 7717996    0    0   284  8104 17992 26446 23  4 63  9  0
 3  0      0 220676     28 7718364    0    0   344  7332 15644 22769 23  4 64  9  0
 1  1      0 220360     28 7718616    0    0   408  9248 15826 23076 24  5 62  9  0
 2  0      0 219796     28 7719244    0    0   524  7532 15556 22280 27  4 61  9  0
 3  1      0 219288     28 7719700    0    0   428  7768 16531 24300 23  5 63  9  0
 4  0      0 218752     28 7720012    0    0   312  7472 16668 24875 24  4 64  9  0
 1  1      0 218596     28 7720336    0    0   352  7220 16039 23721 24  4 63  9  0
 2  1      0 218380     28 7721228    0    0   836  7440 15302 22353 25  4 62  9  0
 1  0      0 217712     28 7721520    0    0   352  6752 15030 22179 23  5 64  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 230080     28 7722072    0    0   640  6424 14561 21102 23  5 64  8  0
