Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月19日 	_x86_64_	(4 CPU)

15時09分49秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15時09分50秒  all   77.14    0.00    6.28   13.82    1.01    1.76    0.00    0.00    0.00    0.00
15時09分51秒  all   76.25    0.00    5.00   13.50    0.75    1.75    0.00    0.00    0.00    2.75
15時09分52秒  all   75.87    0.00    5.72   14.43    1.00    1.49    0.00    0.00    0.00    1.49
15時09分53秒  all   73.57    0.00    5.99   14.46    1.00    2.00    0.00    0.00    0.00    2.99
15時09分54秒  all   76.20    0.00    5.82   15.44    1.01    1.52    0.00    0.00    0.00    0.00
15時09分55秒  all   73.18    0.00    6.27   17.79    1.25    1.50    0.00    0.00    0.00    0.00
15時09分56秒  all   74.43    0.00    5.57   16.46    0.76    1.77    0.00    0.00    0.00    1.01
15時09分57秒  all   73.20    0.00    5.71   17.87    1.24    1.99    0.00    0.00    0.00    0.00
15時09分58秒  all   75.76    0.00    4.80   17.17    0.76    1.26    0.00    0.00    0.00    0.25
15時09分59秒  all   74.44    0.00    5.76   17.04    1.25    1.50    0.00    0.00    0.00    0.00
15時10分00秒  all   76.83    0.00    6.05   14.36    0.76    1.51    0.00    0.00    0.00    0.50
15時10分01秒  all   71.11    0.00    6.42   11.85    1.23    1.73    0.00    0.00    0.00    7.65
15時10分02秒  all   74.55    0.00    6.62   15.27    0.76    1.53    0.00    0.00    0.00    1.27
15時10分03秒  all   74.81    0.00    5.99   15.96    1.25    2.00    0.00    0.00    0.00    0.00
15時10分04秒  all   73.23    0.00    5.81   15.40    1.26    2.02    0.00    0.00    0.00    2.27
15時10分05秒  all   74.87    0.00    6.28   15.83    1.01    1.26    0.00    0.00    0.00    0.75
15時10分06秒  all   74.12    0.00    5.53   17.59    1.01    1.76    0.00    0.00    0.00    0.00
15時10分07秒  all   71.68    0.00    6.52   19.05    1.00    1.75    0.00    0.00    0.00    0.00
15時10分08秒  all   71.93    0.00    6.02   19.30    1.25    1.50    0.00    0.00    0.00    0.00
15時10分09秒  all   70.85    0.00    5.78   14.07    0.75    1.51    0.00    0.00    0.00    7.04
15時10分10秒  all   69.52    0.00    8.82   14.61    1.26    1.01    0.00    0.00    0.00    4.79
15時10分11秒  all   70.40    0.00    6.47   19.40    1.24    1.99    0.00    0.00    0.00    0.50
15時10分12秒  all   69.23    0.00    5.90   16.92    0.77    1.54    0.00    0.00    0.00    5.64
15時10分13秒  all   69.40    0.00    5.72   20.65    1.24    1.49    0.00    0.00    0.00    1.49
15時10分14秒  all   68.75    0.00    5.25   20.25    1.25    2.00    0.00    0.00    0.00    2.50
15時10分15秒  all   69.62    0.00    5.32   17.47    0.76    1.27    0.00    0.00    0.00    5.57
15時10分16秒  all   63.80    0.00    5.32   13.42    1.27    1.52    0.00    0.00    0.00   14.68
15時10分17秒  all   65.22    0.00    5.12   12.28    1.02    1.53    0.00    0.00    0.00   14.83
15時10分18秒  all   66.33    0.00    6.28   14.07    1.26    1.26    0.00    0.00    0.00   10.80
15時10分19秒  all   66.67    0.00    5.97   19.40    1.00    1.74    0.00    0.00    0.00    5.22
15時10分20秒  all   66.75    0.00    5.79   16.62    1.26    1.26    0.00    0.00    0.00    8.31
15時10分21秒  all   65.67    0.00    5.97   21.39    1.24    1.74    0.00    0.00    0.00    3.98
15時10分22秒  all   63.08    0.00    4.62   14.87    1.03    1.54    0.00    0.00    0.00   14.87
15時10分23秒  all   62.31    0.00    5.03   14.82    1.01    1.51    0.00    0.00    0.00   15.33
15時10分24秒  all   63.73    0.00    5.54   19.65    1.26    1.76    0.00    0.00    0.00    8.06
15時10分25秒  all   65.32    0.00    5.32   16.71    1.01    1.27    0.00    0.00    0.00   10.38
15時10分26秒  all   60.35    0.00    5.05   18.43    1.01    1.26    0.00    0.00    0.00   13.89
15時10分27秒  all   58.99    0.00    5.82   13.92    1.01    1.52    0.00    0.00    0.00   18.73
15時10分28秒  all   49.62    0.00    5.26   12.53    1.25    1.50    0.00    0.00    0.00   29.82
15時10分29秒  all   40.66    0.00    4.60   12.79    1.02    1.28    0.00    0.00    0.00   39.64
15時10分30秒  all   41.43    0.00    4.09   14.07    0.77    0.77    0.00    0.00    0.00   38.87
15時10分31秒  all   40.25    0.00    4.25   12.75    1.25    1.75    0.00    0.00    0.00   39.75
15時10分32秒  all   25.50    0.00    3.50   11.00    0.75    0.75    0.00    0.00    0.00   58.50
15時10分33秒  all   23.21    0.00    2.30    9.69    0.51    0.51    0.00    0.00    0.00   63.78
15時10分34秒  all   29.62    0.00    3.54    9.11    0.76    0.51    0.00    0.00    0.00   56.46
15時10分35秒  all   23.00    0.00    3.00   11.00    1.00    1.00    0.00    0.00    0.00   61.00
15時10分36秒  all   22.42    0.00    3.02   11.34    0.50    0.50    0.00    0.00    0.00   62.22
15時10分37秒  all   23.23    0.00    2.27   10.86    1.01    0.76    0.00    0.00    0.00   61.87
15時10分38秒  all   22.36    0.00    4.02   10.80    0.75    1.01    0.00    0.00    0.00   61.06
15時10分39秒  all   22.25    0.00    3.07   11.00    0.77    0.26    0.00    0.00    0.00   62.66
15時10分40秒  all   21.83    0.00    3.05   11.17    0.76    0.76    0.00    0.00    0.00   62.44
15時10分41秒  all   21.66    0.00    2.77   12.09    0.50    1.01    0.00    0.00    0.00   61.96
15時10分42秒  all   22.28    0.00    2.53   11.39    0.76    0.51    0.00    0.00    0.00   62.53
15時10分43秒  all   22.28    0.00    3.04    9.87    0.76    0.76    0.00    0.00    0.00   63.29
15時10分44秒  all   23.92    0.00    2.80    9.41    0.76    0.25    0.00    0.00    0.00   62.85
15時10分45秒  all   22.11    0.00    3.02   10.05    1.01    1.01    0.00    0.00    0.00   62.81
15時10分46秒  all   23.25    0.00    3.00    9.75    0.25    0.50    0.00    0.00    0.00   63.25
15時10分47秒  all   22.75    0.00    3.50    9.50    1.00    0.75    0.00    0.00    0.00   62.50
15時10分48秒  all   27.96    0.00    3.27    9.82    0.76    0.76    0.00    0.00    0.00   57.43
15時10分49秒  all   34.72    0.00    5.18   11.92    0.52    0.52    0.00    0.00    0.00   47.15
15時10分50秒  all   23.08    0.00    3.72    9.68    0.74    0.74    0.00    0.00    0.00   62.03
15時10分51秒  all   22.92    0.00    3.02    9.32    1.01    0.76    0.00    0.00    0.00   62.97
15時10分52秒  all   26.25    0.00    3.75    9.75    0.25    0.75    0.00    0.00    0.00   59.25
15時10分53秒  all   22.39    0.00    3.31    9.41    1.02    0.76    0.00    0.00    0.00   63.10
15時10分54秒  all   24.56    0.00    2.78    9.11    0.76    0.76    0.00    0.00    0.00   62.03
15時10分55秒  all   22.51    0.00    3.07    9.72    0.51    0.26    0.00    0.00    0.00   63.94
15時10分56秒  all   22.25    0.00    3.50    9.25    0.75    1.00    0.00    0.00    0.00   63.25
15時10分57秒  all   22.34    0.00    2.79    9.90    0.76    0.76    0.00    0.00    0.00   63.45
15時10分58秒  all   22.45    0.00    2.81    9.69    0.77    0.51    0.00    0.00    0.00   63.78
15時10分59秒  all   22.34    0.00    3.05    9.14    1.02    1.02    0.00    0.00    0.00   63.45
15時11分00秒  all   23.00    0.00    3.00   10.00    0.50    0.50    0.00    0.00    0.00   63.00
15時11分01秒  all   22.70    0.00    3.32    9.44    0.77    0.51    0.00    0.00    0.00   63.27
15時11分02秒  all   21.83    0.00    3.30    9.64    0.51    0.76    0.00    0.00    0.00   63.96
15時11分03秒  all   23.43    0.00    2.77    9.57    1.01    0.76    0.00    0.00    0.00   62.47
15時11分04秒  all   25.00    0.00    3.50    8.25    0.50    1.00    0.00    0.00    0.00   61.75
15時11分05秒  all   23.10    0.00    3.55    8.38    0.76    0.51    0.00    0.00    0.00   63.71
15時11分06秒  all   22.34    0.00    3.05    9.14    0.76    0.76    0.00    0.00    0.00   63.96
15時11分07秒  all   24.24    0.00    2.78    9.60    0.51    0.76    0.00    0.00    0.00   62.12
15時11分08秒  all   27.23    0.00    3.31    9.92    0.76    0.51    0.00    0.00    0.00   58.27
15時11分09秒  all   24.49    0.00    2.53    9.09    1.01    0.51    0.00    0.00    0.00   62.37
15時11分10秒  all   22.92    0.00    3.53    9.32    0.50    1.26    0.00    0.00    0.00   62.47
15時11分11秒  all   23.04    0.00    3.29    9.11    0.76    0.25    0.00    0.00    0.00   63.54
15時11分12秒  all   22.73    0.00    2.78    9.60    0.76    0.76    0.00    0.00    0.00   63.38
15時11分13秒  all   21.79    0.00    2.56    9.74    0.77    1.03    0.00    0.00    0.00   64.10
15時11分14秒  all   25.94    0.00    3.02   10.08    0.50    0.25    0.00    0.00    0.00   60.20
15時11分15秒  all   37.03    0.00    5.04   11.08    1.26    1.01    0.00    0.00    0.00   44.58
15時11分16秒  all   23.23    0.00    2.78    9.34    0.76    0.76    0.00    0.00    0.00   63.13
15時11分17秒  all   22.56    0.00    3.59    8.97    0.51    0.51    0.00    0.00    0.00   63.85
15時11分18秒  all   22.59    0.00    2.79    9.14    0.51    0.76    0.00    0.00    0.00   64.21
15時11分19秒  all   22.92    0.00    3.27    9.07    1.01    0.50    0.00    0.00    0.00   63.22
15時11分20秒  all   22.96    0.00    3.32    8.67    0.77    0.77    0.00    0.00    0.00   63.52
15時11分21秒  all   22.73    0.00    3.03    8.84    0.51    0.76    0.00    0.00    0.00   64.14
15時11分22秒  all   21.88    0.00    3.31    9.16    1.02    0.76    0.00    0.00    0.00   63.87
15時11分23秒  all   23.62    0.00    3.27    8.54    0.50    1.01    0.00    0.00    0.00   63.07
15時11分24秒  all   24.49    0.00    3.28    8.08    1.01    0.51    0.00    0.00    0.00   62.63
15時11分25秒  all   28.18    0.00    3.49    9.23    0.75    0.50    0.00    0.00    0.00   57.86
15時11分26秒  all   23.72    0.00    2.04    8.93    0.51    0.77    0.00    0.00    0.00   64.03
15時11分27秒  all   22.86    0.00    3.27    9.30    0.75    0.75    0.00    0.00    0.00   63.07
15時11分28秒  all   23.10    0.00    3.05    8.63    1.02    0.76    0.00    0.00    0.00   63.45
15時11分29秒  all   23.68    0.00    3.27    8.82    0.50    0.76    0.00    0.00    0.00   62.97
15時11分30秒  all   23.80    0.00    2.53    8.86    0.76    0.76    0.00    0.00    0.00   63.29
15時11分31秒  all   22.59    0.00    3.55    9.39    0.51    0.51    0.00    0.00    0.00   63.45
15時11分32秒  all   23.50    0.00    3.50    9.75    1.00    0.75    0.00    0.00    0.00   61.50
15時11分33秒  all   23.66    0.00    3.05    8.91    0.51    0.76    0.00    0.00    0.00   63.10
15時11分34秒  all   23.86    0.00    3.81    8.63    0.76    0.76    0.00    0.00    0.00   62.18
15時11分35秒  all   24.11    0.00    3.05    8.12    0.76    0.51    0.00    0.00    0.00   63.45
15時11分36秒  all   23.38    0.00    3.98    8.46    1.00    0.75    0.00    0.00    0.00   62.44
15時11分37秒  all   24.56    0.00    2.28    8.10    0.51    1.01    0.00    0.00    0.00   63.54
15時11分38秒  all   24.75    0.00    3.28    8.08    1.01    0.76    0.00    0.00    0.00   62.12
15時11分39秒  all   23.80    0.00    3.54    8.35    0.76    0.51    0.00    0.00    0.00   63.04
15時11分40秒  all   23.68    0.00    3.53    8.82    0.50    1.01    0.00    0.00    0.00   62.47
15時11分41秒  all   23.21    0.00    2.81    8.93    0.77    0.51    0.00    0.00    0.00   63.78
15時11分42秒  all   22.22    0.00    3.03   10.10    1.01    0.51    0.00    0.00    0.00   63.13
15時11分43秒  all   45.18    0.00    5.33   10.15    0.51    0.76    0.00    0.00    0.00   38.07
15時11分44秒  all   31.90    0.00    4.30    9.11    1.01    1.01    0.00    0.00    0.00   52.66
15時11分45秒  all   22.42    0.00    3.02    9.57    1.01    0.76    0.00    0.00    0.00   63.22
15時11分46秒  all   22.98    0.00    4.04    9.09    0.51    0.51    0.00    0.00    0.00   62.88
15時11分47秒  all   24.12    0.00    3.27    8.29    0.75    0.75    0.00    0.00    0.00   62.81
15時11分48秒  all   23.93    0.00    3.27    8.56    0.76    0.76    0.00    0.00    0.00   62.72
15時11分49秒  all   23.81    0.00    3.26    9.02    0.75    1.00    0.00    0.00    0.00   62.16
15時11分50秒  all   24.11    0.00    3.55    8.88    0.76    0.51    0.00    0.00    0.00   62.18
15時11分51秒  all   22.47    0.00    3.54    9.34    0.51    0.76    0.00    0.00    0.00   63.38
15時11分52秒  all   23.00    0.00    3.25    9.50    1.00    0.75    0.00    0.00    0.00   62.50
15時11分53秒  all   24.17    0.00    2.80    8.65    1.02    0.76    0.00    0.00    0.00   62.60
15時11分54秒  all   24.56    0.00    3.54    8.35    0.25    1.01    0.00    0.00    0.00   62.28
15時11分55秒  all   24.12    0.00    2.51    9.30    1.01    0.50    0.00    0.00    0.00   62.56
15時11分56秒  all   23.37    0.00    3.27    9.05    0.75    0.50    0.00    0.00    0.00   63.07
15時11分57秒  all   23.10    0.00    3.05    8.88    0.51    1.02    0.00    0.00    0.00   63.45
15時11分58秒  all   23.69    0.00    3.24    9.98    1.00    0.75    0.00    0.00    0.00   61.35
15時11分59秒  all   23.41    0.00    3.05    9.16    0.51    0.25    0.00    0.00    0.00   63.61
15時12分00秒  all   28.07    0.00    3.76    8.02    1.00    1.25    0.00    0.00    0.00   57.89
15時12分01秒  all   23.93    0.00    3.27    8.82    0.76    0.50    0.00    0.00    0.00   62.72
15時12分02秒  all   23.31    0.00    3.51    9.52    0.75    0.75    0.00    0.00    0.00   62.16
15時12分03秒  all   23.53    0.00    3.32    9.21    0.51    0.51    0.00    0.00    0.00   62.92
