Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月19日 	_x86_64_	(4 CPU)

15時30分31秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15時30分32秒  all    7.11    0.00    5.08    0.00    1.02    2.28    0.00    0.00    0.00   84.52
15時30分33秒  all    2.78    0.00    3.04    0.00    1.01    2.28    0.00    0.00    0.00   90.89
15時30分34秒  all    3.31    0.00    3.05    0.00    0.76    1.78    0.00    0.00    0.00   91.09
15時30分35秒  all    3.06    0.00    3.57    0.00    0.77    2.30    0.00    0.00    0.00   90.31
15時30分36秒  all    2.51    0.00    4.01    0.00    1.00    2.01    0.00    0.00    0.00   90.48
15時30分37秒  all    2.55    0.00    2.30    0.00    0.77    1.79    0.00    0.00    0.00   92.60
15時30分38秒  all    3.02    0.00    3.77    0.00    0.75    2.26    0.00    0.00    0.00   90.20
15時30分39秒  all    2.53    0.00    2.53    0.00    1.01    1.52    0.00    0.00    0.00   92.42
15時30分40秒  all    2.28    0.00    2.28    0.00    0.76    1.77    0.00    0.00    0.00   92.91
15時30分41秒  all    2.53    0.00    2.53    0.00    0.51    1.52    0.00    0.00    0.00   92.93
15時30分42秒  all    2.81    0.00    2.81    0.00    0.51    1.28    0.00    0.00    0.00   92.58
15時30分43秒  all    2.01    0.00    2.26    0.00    0.75    1.76    0.00    0.00    0.00   93.22
15時30分44秒  all    1.76    0.00    2.26    0.00    1.01    1.51    0.00    0.00    0.00   93.47
15時30分45秒  all    2.55    0.00    3.06    0.00    0.26    1.53    0.00    0.00    0.00   92.60
15時30分46秒  all    2.75    0.00    3.75    0.00    0.75    1.75    0.00    0.00    0.00   91.00
15時30分47秒  all    2.01    0.00    2.76    0.00    0.50    1.51    0.00    0.00    0.00   93.22
15時30分48秒  all    1.52    0.00    2.79    0.00    0.76    1.02    0.00    0.00    0.00   93.91
15時30分49秒  all    3.00    0.00    2.75    0.00    0.75    1.75    0.00    0.00    0.00   91.75
15時30分50秒  all    2.54    0.00    2.54    0.00    0.51    1.78    0.00    0.00    0.00   92.62
15時30分51秒  all    2.51    0.00    3.27    0.00    1.01    1.51    0.00    0.00    0.00   91.71
15時30分52秒  all    3.03    0.00    3.28    0.00    0.51    1.77    0.00    0.00    0.00   91.41
15時30分53秒  all    2.28    0.00    2.53    0.00    0.76    1.77    0.00    0.00    0.00   92.66
15時30分54秒  all    2.03    0.00    2.53    0.00    0.51    1.27    0.00    0.00    0.00   93.67
15時30分55秒  all    2.30    0.00    2.55    0.00    0.77    1.79    0.00    0.00    0.00   92.60
15時30分56秒  all    2.30    0.00    2.30    0.00    0.77    1.28    0.00    0.00    0.00   93.37
15時30分57秒  all    1.77    0.00    1.52    0.00    0.76    1.77    0.00    0.00    0.00   94.18
15時30分58秒  all    2.03    0.00    2.53    0.00    0.51    1.52    0.00    0.00    0.00   93.42
15時30分59秒  all    2.53    0.00    3.28    0.00    0.76    1.26    0.00    0.00    0.00   92.17
