procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 1979936   7420 5451000    0    0     0     1    0    0  0  0 100  0  0
 1  0      0 1954308   7420 5451048    0    0     0    23 35064 30255  7  9 84  0  0
 1  0      0 1952236   7420 5451056    0    0     0     0 26070 28860  3  6 91  0  0
 0  0      0 1950948   7420 5451056    0    0     0     0 26011 26726  3  6 91  0  0
 1  0      0 1945936   7420 5451084    0    0     0     0 28191 28975  3  7 90  0  0
 1  0      0 1945532   7420 5451092    0    0     0     0 28998 29920  3  7 91  0  0
 1  0      0 1944472   7420 5451104    0    0     0     0 28743 30181  2  5 92  0  0
 0  0      0 1942032   7420 5451120    0    0     0    32 27446 28352  3  7 90  0  0
 0  0      0 1944240   7420 5451136    0    0     0     0 22327 24053  3  5 93  0  0
 1  0      0 1944168   7420 5451136    0    0     0     0 21605 23019  2  5 93  0  0
 0  0      0 1944888   7420 5451144    0    0     0     0 25922 27756  3  5 93  0  0
 0  0      0 1944888   7420 5451156    0    0     0   246 24652 27005  3  5 92  0  0
 0  0      0 1945052   7420 5451172    0    0     0     0 22059 23690  2  5 94  0  0
 0  0      0 1945360   7420 5451180    0    0     0     0 21675 22943  2  4 94  0  0
 1  0      0 1943952   7420 5451220    0    0     0     0 24025 25507  3  6 92  0  0
 1  0      0 1945432   7420 5451224    0    0     0     0 24102 25759  3  6 91  0  0
 0  0      0 1945728   7420 5451224    0    0     0     0 23466 25537  2  5 93  0  0
 0  0      0 1946108   7420 5451228    0    0     0     0 20255 21970  2  5 93  0  0
 0  0      0 1946476   7420 5451248    0    0     0    23 19419 21354  3  5 93  0  0
 1  0      0 1946340   7420 5451244    0    0     0     0 25207 26654  3  5 92  0  0
 3  0      0 1946668   7420 5451248    0    0     0     0 24328 25863  3  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1946648   7420 5451272    0    0     0     0 25161 27140  3  6 91  0  0
 0  0      0 1946640   7420 5451276    0    0     0     0 22776 24778  2  5 93  0  0
 3  0      0 1946500   7420 5451280    0    0     0     0 22076 23762  2  5 93  0  0
 0  0      0 1946488   7420 5451284    0    0     0     0 25134 27089  3  5 92  0  0
 0  0      0 1946872   7420 5451296    0    0     0    26 23224 25584  2  5 93  0  0
 1  0      0 1946800   7420 5451296    0    0     0     0 21773 24030  2  4 95  0  0
 0  0      0 1946904   7420 5451304    0    0     0     0 27022 29126  2  5 93  0  0
 1  0      0 1945272   7420 5451316    0    0     0     0 22576 24661  3  5 92  0  0
 0  0      0 1946632   7420 5451316    0    0     0    27 25712 28394  2  5 93  0  0
 1  0      0 1946204   7420 5451320    0    0     0     0 24830 27027  2  5 93  0  0
 0  0      0 1922704   7420 5451320    0    0     0   228 24642 26905  4  5 91  0  0
 0  0      0 1920968   7420 5451340    0    0     0     0 24649 26216  3  6 91  0  0
 0  0      0 1921744   7420 5451340    0    0     0     0 20315 22140  2  5 93  0  0
 0  0      0 1921292   7420 5451340    0    0     0     0 20981 23036  2  4 94  0  0
 1  0      0 1922376   7420 5451344    0    0     0    35 24747 27055  3  5 92  0  0
 1  0      0 1922048   7420 5451360    0    0     0     0 22602 24752  2  3 95  0  0
 0  0      0 1922520   7420 5451360    0    0     0     0 23358 25907  2  5 94  0  0
 0  0      0 1922244   7420 5451360    0    0     0     0 20223 22377  1  4 95  0  0
 0  0      0 1920684   7420 5451376    0    0     0     0 22364 24561  3  6 91  0  0
 1  0      0 1921344   7420 5451392    0    0     0     0 20310 23620  2  5 94  0  0
 0  0      0 1920932   7420 5451396    0    0     0   159 20547 23845  2  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1920400   7420 5451408    0    0     0    20 18741 21338  3  5 92  0  0
 0  0      0 1920828   7420 5451416    0    0     0     0 16661 20043  2  4 94  0  0
 0  0      0 1921252   7420 5451420    0    0     0     0 18732 21742  2  4 94  0  0
 0  0      0 1920864   7420 5451420    0    0     0     0 21074 24462  2  4 94  0  0
 2  0      0 1921808   7420 5451440    0    0     0    26 20441 24354  2  4 94  0  0
 1  0      0 1921192   7420 5451440    0    0     0     0 19047 21898  2  4 95  0  0
 1  0      0 1921488   7420 5451440    0    0     0     0 17501 20815  2  4 95  0  0
 0  0      0 1944792   7420 5451448    0    0     0   268 18019 21083  8  6 85  0  0
 1  0      0 1945040   7420 5451464    0    0     0     0 17248 20672  1  3 96  0  0
 0  0      0 1944796   7420 5451468    0    0     0     0 15563 18455  2  3 95  0  0
 0  0      0 1943392   7420 5451480    0    0     0    42 14617 17018  2  3 94  0  0
 0  0      0 1945320   7420 5451492    0    0     0     0 11769 13811  1  3 96  0  0
 0  0      0 1945788   7420 5451492    0    0     0     0 13816 16022  2  3 96  0  0
 0  0      0 1945440   7420 5451492    0    0     0     0 14450 16680  1  3 96  0  0
 1  0      0 1945776   7420 5451508    0    0     0     0 12690 14357  2  3 95  0  0
 1  0      0 1945484   7420 5451508    0    0     0   204 13822 15909  1  2 97  0  0
 1  0      0 1945664   7420 5451508    0    0     0     0 13831 16085  1  3 96  0  0
 0  0      0 1945004   7420 5451516    0    0     0    22 14797 16738  2  4 94  0  0
 1  0      0 1945384   7420 5451516    0    0     0     0 14653 16993  1  3 96  0  0
 0  0      0 1945644   7420 5451520    0    0     0     0 14393 16452  1  3 95  0  0
 0  0      0 1945704   7420 5451520    0    0     0     0 15070 16843  2  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1946364   7420 5451536    0    0     0    29 14658 16878  2  3 94  0  0
 0  0      0 1946588   7420 5451536    0    0     0     0 13975 16223  1  3 96  0  0
 0  0      0 1946784   7420 5451544    0    0     0     0 13841 16052  2  3 95  0  0
 1  0      0 1946192   7420 5451548    0    0     0     0 14918 17309  2  4 94  0  0
 1  0      0 1946068   7420 5451552    0    0     0     0 12957 14752  1  3 96  0  0
 0  0      0 1945716   7420 5451552    0    0     0     0 12424 13878  1  3 96  0  0
 0  0      0 1945996   7420 5451552    0    0     0     0 13146 15019  2  4 95  0  0
 0  0      0 1945424   7420 5451572    0    0     0    26 11384 13380  2  3 94  0  0
 0  0      0 1945280   7420 5451580    0    0     0   208 11323 13644  1  3 96  0  0
 0  0      0 1944992   7420 5451580    0    0     0     0 11472 13354  1  3 96  0  0
 3  0      0 1946320   7420 5451588    0    0     0     0 11000 12491  2  3 95  0  0
 0  0      0 1946136   7420 5451592    0    0     0     0 12628 14586  1  3 95  0  0
 0  0      0 1946556   7420 5451592    0    0     0     0 13860 16015  2  3 96  0  0
 0  0      0 1945624   7420 5451592    0    0     0     0 14487 16385  1  3 96  0  0
 1  0      0 1946784   7420 5451608    0    0     0   126 13597 15699  2  4 94  0  0
 0  0      0 1946548   7420 5451616    0    0     0     0 13403 15701  1  3 96  0  0
