Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月19日 	_x86_64_	(4 CPU)

18時15分43秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18時15分44秒  all   74.44    0.00    7.27   15.54    1.00    1.75    0.00    0.00    0.00    0.00
18時15分45秒  all   75.38    0.00    6.03   16.33    0.75    1.51    0.00    0.00    0.00    0.00
18時15分46秒  all   73.20    0.00    5.96   17.37    0.99    1.49    0.00    0.00    0.00    0.99
18時15分47秒  all   74.37    0.00    5.78   17.34    0.75    1.76    0.00    0.00    0.00    0.00
18時15分48秒  all   73.68    0.00    6.02   12.53    1.00    1.25    0.00    0.00    0.00    5.51
18時15分49秒  all   74.06    0.00    6.80   14.86    0.50    1.51    0.00    0.00    0.00    2.27
18時15分50秒  all   73.57    0.00    6.23   13.97    1.25    1.50    0.00    0.00    0.00    3.49
18時15分51秒  all   73.75    0.00    6.50   16.75    1.00    1.50    0.00    0.00    0.00    0.50
18時15分52秒  all   76.12    0.00    6.72   14.68    0.75    1.49    0.00    0.00    0.00    0.25
18時15分53秒  all   75.81    0.00    5.49   14.71    1.00    1.50    0.00    0.00    0.00    1.50
18時15分54秒  all   73.51    0.00    5.94   16.83    0.99    1.49    0.00    0.00    0.00    1.24
18時15分55秒  all   71.25    0.00    5.75    9.50    0.75    1.25    0.00    0.00    0.00   11.50
18時15分56秒  all   72.18    0.00    6.77   15.54    1.00    1.25    0.00    0.00    0.00    3.26
18時15分57秒  all   72.47    0.00    6.31   14.90    1.01    1.52    0.00    0.00    0.00    3.79
18時15分58秒  all   76.32    0.00    5.54   12.34    0.50    1.51    0.00    0.00    0.00    3.78
18時15分59秒  all   74.50    0.00    6.44   15.84    0.99    1.49    0.00    0.00    0.00    0.74
18時16分00秒  all   73.13    0.00    5.97   14.68    1.00    1.74    0.00    0.00    0.00    3.48
18時16分01秒  all   74.42    0.00    5.63   15.86    0.77    1.28    0.00    0.00    0.00    2.05
18時16分02秒  all   72.36    0.00    6.28    8.04    1.01    1.26    0.00    0.00    0.00   11.06
18時16分03秒  all   74.62    0.00    7.04   12.31    1.01    1.51    0.00    0.00    0.00    3.52
18時16分04秒  all   75.19    0.00    5.96   15.14    1.24    1.49    0.00    0.00    0.00    0.99
18時16分05秒  all   76.88    0.00    5.78   14.57    0.75    1.51    0.00    0.00    0.00    0.50
18時16分06秒  all   74.87    0.00    6.28   15.83    0.75    1.76    0.00    0.00    0.00    0.50
18時16分07秒  all   74.19    0.00    5.26   13.53    1.25    1.25    0.00    0.00    0.00    4.51
18時16分08秒  all   75.88    0.00    6.03   15.08    0.75    1.51    0.00    0.00    0.00    0.75
18時16分09秒  all   73.07    0.00    6.23   10.22    0.75    1.25    0.00    0.00    0.00    8.48
18時16分10秒  all   72.86    0.00    6.78   13.82    1.01    1.26    0.00    0.00    0.00    4.27
18時16分11秒  all   74.19    0.00    5.76   15.04    1.00    1.75    0.00    0.00    0.00    2.26
18時16分12秒  all   75.31    0.00    5.49   14.71    0.75    1.00    0.00    0.00    0.00    2.74
18時16分13秒  all   71.86    0.00    5.28   16.58    1.01    1.51    0.00    0.00    0.00    3.77
18時16分14秒  all   69.75    0.00    6.00   17.25    1.00    1.75    0.00    0.00    0.00    4.25
18時16分15秒  all   70.13    0.00    5.57   18.73    0.76    1.01    0.00    0.00    0.00    3.80
18時16分16秒  all   70.25    0.00    7.00   16.75    1.00    1.25    0.00    0.00    0.00    3.75
18時16分17秒  all   66.67    0.00    7.52   18.05    1.00    1.00    0.00    0.00    0.00    5.76
18時16分18秒  all   68.75    0.00    8.00   19.75    0.75    1.50    0.00    0.00    0.00    1.25
18時16分19秒  all   73.55    0.00    7.81   14.61    1.26    1.26    0.00    0.00    0.00    1.51
18時16分20秒  all   72.36    0.00    7.79   16.83    0.75    1.51    0.00    0.00    0.00    0.75
18時16分21秒  all   71.86    0.00    6.28   15.33    1.26    1.01    0.00    0.00    0.00    4.27
18時16分22秒  all   72.57    0.00    5.49   15.21    0.75    1.50    0.00    0.00    0.00    4.49
18時16分23秒  all   72.25    0.00    5.50   13.25    0.75    1.50    0.00    0.00    0.00    6.75
18時16分24秒  all   69.62    0.00    6.58   12.66    0.76    1.01    0.00    0.00    0.00    9.37
18時16分25秒  all   71.86    0.00    6.03   13.07    1.01    1.26    0.00    0.00    0.00    6.78
18時16分26秒  all   73.70    0.00    5.96   14.14    0.99    1.49    0.00    0.00    0.00    3.72
18時16分27秒  all   72.36    0.00    6.03   15.33    1.01    1.26    0.00    0.00    0.00    4.02
18時16分28秒  all   74.56    0.00    5.29   15.11    0.76    1.26    0.00    0.00    0.00    3.02
18時16分29秒  all   74.37    0.00    4.77   13.07    1.01    1.26    0.00    0.00    0.00    5.53
18時16分30秒  all   71.22    0.00    5.71   15.38    0.99    1.24    0.00    0.00    0.00    5.46
18時16分31秒  all   68.84    0.00    6.28    9.80    1.01    1.26    0.00    0.00    0.00   12.81
18時16分32秒  all   70.20    0.00    6.31   12.12    0.76    1.01    0.00    0.00    0.00    9.60
18時16分33秒  all   69.08    0.00    4.99   10.22    1.00    1.25    0.00    0.00    0.00   13.47
18時16分34秒  all   68.53    0.00    5.84    9.90    0.76    1.27    0.00    0.00    0.00   13.71
18時16分35秒  all   69.92    0.00    5.76   14.54    1.25    1.25    0.00    0.00    0.00    7.27
18時16分36秒  all   73.30    0.00    4.53   14.86    0.76    1.26    0.00    0.00    0.00    5.29
18時16分37秒  all   70.68    0.00    5.51   14.54    0.75    1.00    0.00    0.00    0.00    7.52
18時16分38秒  all   70.57    0.00    6.23   12.97    0.75    1.00    0.00    0.00    0.00    8.48
18時16分39秒  all   67.08    0.00    7.98   15.46    1.00    1.25    0.00    0.00    0.00    7.23
18時16分40秒  all   70.81    0.00    6.85   13.45    1.02    1.02    0.00    0.00    0.00    6.85
18時16分41秒  all   67.00    0.00    6.50   14.75    0.75    1.25    0.00    0.00    0.00    9.75
18時16分42秒  all   71.75    0.00    6.00   15.25    1.00    1.25    0.00    0.00    0.00    4.75
18時16分43秒  all   70.18    0.00    5.76   14.29    0.75    1.25    0.00    0.00    0.00    7.77
18時16分44秒  all   72.18    0.00    5.76   15.29    1.25    1.25    0.00    0.00    0.00    4.26
18時16分45秒  all   69.04    0.00    6.35   14.97    0.51    1.27    0.00    0.00    0.00    7.87
18時16分46秒  all   65.65    0.00    6.36    9.92    1.02    0.76    0.00    0.00    0.00   16.28
18時16分47秒  all   67.51    0.00    5.54   12.85    0.76    1.26    0.00    0.00    0.00   12.09
18時16分48秒  all   66.42    0.00    5.72   13.18    1.00    1.24    0.00    0.00    0.00   12.44
18時16分49秒  all   67.17    0.00    5.56   12.88    0.51    1.01    0.00    0.00    0.00   12.88
18時16分50秒  all   65.74    0.00    4.79   13.85    1.01    1.51    0.00    0.00    0.00   13.10
18時16分51秒  all   68.09    0.00    5.28   12.56    0.75    1.01    0.00    0.00    0.00   12.31
18時16分52秒  all   66.08    0.00    5.32   13.16    1.01    1.27    0.00    0.00    0.00   13.16
18時16分53秒  all   68.26    0.00    6.30   12.85    0.76    1.01    0.00    0.00    0.00   10.83
18時16分54秒  all   68.09    0.00    6.78   13.32    1.01    1.26    0.00    0.00    0.00    9.55
18時16分55秒  all   70.60    0.00    5.28   13.82    0.75    1.26    0.00    0.00    0.00    8.29
18時16分56秒  all   68.59    0.00    5.28   13.07    0.75    1.01    0.00    0.00    0.00   11.31
18時16分57秒  all   67.00    0.00    6.20   13.40    0.99    1.24    0.00    0.00    0.00   11.17
18時16分58秒  all   70.96    0.00    4.80   13.38    0.76    1.01    0.00    0.00    0.00    9.09
18時16分59秒  all   66.25    0.00    6.50   15.00    1.00    1.75    0.00    0.00    0.00    9.50
18時17分00秒  all   68.84    0.00    5.78   13.07    0.75    0.75    0.00    0.00    0.00   10.80
