procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 1972932   7420 5471620    0    0     0     1    1    1  0  0 100  0  0
 0  0      0 1953844   7420 5471660    0    0     0     0 35524 34001  6  7 87  0  0
 0  0      0 1950836   7420 5471660    0    0     0    31 33164 35880  2  6 92  0  0
 0  0      0 1950568   7420 5471660    0    0     0     0 33891 37265  3  6 91  0  0
 0  0      0 1950332   7420 5471664    0    0     0     0 30249 33536  2  5 93  0  0
 0  0      0 1949812   7420 5471664    0    0     0     0 27765 30843  2  5 93  0  0
 0  0      0 1949608   7420 5471664    0    0     0   336 31775 35504  3  5 91  0  0
 0  0      0 1949776   7420 5471664    0    0     0     0 30404 33661  3  6 92  0  0
 1  0      0 1949824   7420 5471668    0    0     0     0 34635 38159  2  6 91  0  0
 3  0      0 1949444   7420 5471668    0    0     0     0 34094 37734  3  6 91  0  0
 0  0      0 1949692   7420 5471672    0    0     0     0 35088 38813  3  6 91  0  0
 0  0      0 1948840   7420 5471676    0    0     0     0 32084 35936  3  6 91  0  0
 1  0      0 1947880   7420 5471680    0    0     0     0 27545 31129  2  5 93  0  0
 0  0      0 1948168   7420 5471680    0    0     0     0 26122 29465  2  5 92  0  0
 1  0      0 1948232   7420 5471692    0    0     0     0 30677 33386  3  5 92  0  0
 1  0      0 1948520   7420 5471692    0    0     0     0 33528 37068  3  6 91  0  0
 2  0      0 1948492   7420 5471696    0    0     0     0 32133 35277  4  7 90  0  0
 1  0      0 1948580   7420 5471696    0    0     0     0 29248 32276  4  7 89  0  0
 1  0      0 1948448   7420 5471696    0    0     0     0 27334 31012  3  5 93  0  0
 0  0      0 1948408   7420 5471696    0    0     0     0 30172 33476  3  6 91  0  0
 1  0      0 1948516   7420 5471700    0    0     0     0 25658 28609  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1948288   7420 5471704    0    0     0     0 31446 35040  4  6 90  0  0
 0  0      0 1948628   7420 5471704    0    0     0     0 28906 32345  2  5 93  0  0
 1  0      0 1948340   7420 5471704    0    0     0     0 32035 35688  3  6 91  0  0
 0  0      0 1948124   7420 5471704    0    0     0     0 31667 35155  2  6 92  0  0
 0  0      0 1948132   7420 5471704    0    0     0     0 33707 37573  3  6 92  0  0
 0  0      0 1948156   7420 5471708    0    0     0     0 28548 31600  3  5 92  0  0
 0  0      0 1947808   7420 5471716    0    0     0     0 24864 28319  2  5 93  0  0
 1  0      0 1947896   7420 5471716    0    0     0     0 22736 25814  2  4 94  0  0
 1  0      0 1947192   7420 5471716    0    0     0     0 30884 33751  3  5 92  0  0
 0  0      0 1947060   7420 5471720    0    0     0     0 29235 32742  3  6 92  0  0
 1  0      0 1947104   7420 5471728    0    0     0     0 30343 33913  3  5 92  0  0
 1  0      0 1947324   7420 5471732    0    0     0   231 28435 32078  3  5 92  0  0
 0  0      0 1947380   7420 5471732    0    0     0     0 29005 32757  3  5 92  0  0
 1  0      0 1947864   7420 5471732    0    0     0     0 28184 31823  2  5 93  0  0
 1  0      0 1947448   7420 5471732    0    0     0     0 26264 29569  2  5 93  0  0
 1  0      0 1947028   7420 5471732    0    0     0     0 23317 25768  3  5 92  0  0
 1  0      0 1947436   7420 5471732    0    0     0    68 24134 26287  2  5 93  0  0
 2  0      0 1932300   7420 5471732    0    0     0     0 23920 25673  4  6 91  0  0
 0  0      0 1924240   7420 5471732    0    0     0     4 28378 30315  3  6 91  0  0
 1  0      0 1924280   7420 5471748    0    0     0     0 27596 30638  3  6 91  0  0
 0  0      0 1924248   7420 5471752    0    0     0     0 29394 32675  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1924080   7420 5471756    0    0     0     0 28669 32205  3  5 92  0  0
 0  0      0 1924340   7420 5471760    0    0     0    44 28673 32547  2  5 93  0  0
 0  0      0 1924292   7420 5471764    0    0     0     0 25869 29333  2  4 93  0  0
 0  0      0 1924040   7420 5471768    0    0     0     0 23346 26534  2  4 94  0  0
 0  0      0 1924676   7420 5471768    0    0     0     0 31360 33822  3  6 91  0  0
 0  0      0 1924556   7420 5471768    0    0     0     0 30963 34636  3  6 91  0  0
 0  0      0 1924396   7420 5471768    0    0     0     0 29971 33431  3  6 91  0  0
 0  0      0 1924492   7420 5471772    0    0     0     0 27429 30447  2  6 92  0  0
 0  0      0 1924488   7420 5471772    0    0     0     0 29613 32844  3  6 91  0  0
 0  0      0 1924360   7420 5471776    0    0     0     0 31538 35576  3  6 92  0  0
 0  0      0 1924100   7420 5471776    0    0     0     0 30267 34398  3  5 93  0  0
 1  0      0 1924228   7420 5471788    0    0     0     0 22345 25302  2  4 95  0  0
 0  0      0 1924360   7420 5471788    0    0     0     0 25498 27877  2  4 93  0  0
 0  0      0 1924592   7420 5471788    0    0     0     0 34066 37229  2  6 92  0  0
 1  0      0 1923624   7420 5471788    0    0     0     0 33678 37041  3  6 91  0  0
 0  0      0 1946904   7420 5471788    0    0     0   268 28272 31588  9  8 84  0  0
 2  0      0 1946428   7420 5471788    0    0     0     0 31886 35798  2  5 92  0  0
 1  0      0 1946744   7420 5471796    0    0     0     0 33397 37234  3  6 91  0  0
 0  0      0 1946776   7420 5471796    0    0     0     0 30982 34556  3  6 91  0  0
 0  0      0 1946864   7420 5471796    0    0     0     0 24486 27809  2  5 93  0  0
 0  0      0 1947196   7420 5471796    0    0     0     0 32817 35723  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1946744   7420 5471796    0    0     0   105 32140 35809  3  6 92  0  0
 0  0      0 1947276   7420 5471800    0    0     0     0 32882 36929  2  7 91  0  0
 1  0      0 1947604   7420 5471808    0    0     0     0 31508 35422  3  5 92  0  0
 0  0      0 1947512   7420 5471808    0    0     0     0 34497 38094  3  6 91  0  0
 0  0      0 1947204   7420 5471808    0    0     0     0 32975 36681  3  6 92  0  0
 0  0      0 1947112   7420 5471808    0    0     0    96 28322 31699  3  5 92  0  0
 0  0      0 1947392   7420 5471808    0    0     0     0 24983 27779  2  4 94  0  0
 0  0      0 1946872   7420 5471808    0    0     0     0 32793 36063  3  5 92  0  0
 0  0      0 1946816   7420 5471812    0    0     0     0 35129 38994  3  6 91  0  0
 1  0      0 1946940   7420 5471816    0    0     0     0 33716 37858  3  6 91  0  0
 0  0      0 1947160   7420 5471820    0    0     0     8 30125 34050  3  5 93  0  0
 0  0      0 1947320   7420 5471828    0    0     0     0 33496 37841  2  5 93  0  0
 0  0      0 1947192   7420 5471828    0    0     0     0 28363 32094  2  4 94  0  0
 1  0      0 1947000   7420 5471828    0    0     0     0 25954 29363  3  5 92  0  0
 0  0      0 1947292   7420 5471828    0    0     0     0 21499 24186  2  4 94  0  0
 1  0      0 1947136   7420 5471836    0    0     0    32 30108 32736  2  5 93  0  0
 0  0      0 1947136   7420 5471836    0    0     0     0 31782 35650  3  6 92  0  0
 0  0      0 1947388   7420 5471840    0    0     0     0 32540 36003  3  6 92  0  0
 0  0      0 1947044   7420 5471844    0    0     0     0 30993 34790  2  5 93  0  0
 1  0      0 1946884   7420 5471844    0    0     0     0 31799 34782  3  6 91  0  0
