procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 492300      8 7224600    0    0   819  4919   28   30 34  4 57  5  0
 3  1      0 398608      8 7241220    0    0 16288 11224 20479 4995 70 11  0 18  0
 3  1      0 347376      8 7258224    0    0 17084 12940 18109 5341 69 10  0 20  0
 4  0      0 332024      8 7272396    0    0 14048 11752 15750 4609 74  8  0 18  0
 6  1      0 316320      8 7285920    0    0 13628 12148 16034 4875 73  8  0 19  0
 6  0      0 298472      8 7301980    0    0 15944 11852 17395 4755 72  9  0 20  0
 7  0      0 271936      8 7326228    0    0 12644 33887 17050 5479 71 10  1 19  0
 3  1      0 231460      8 7333140    0    0 10756 81641 19460 7627 71 10  8 12  0
 3  1      0 200192      8 7357848    0    0 38720 96113 20984 6504 66 10  5 19  0
 6  0      0 201096      8 7340600    0    0 13488 12668 19521 5157 72  9  0 19  0
 4  0      0 214628      8 7355316    0    0 14716 12420 19485 5353 71  9  0 20  0
 2  2      0 164036      8 7335708    0    0 13352 11804 18627 4730 73  9  0 17  0
 4  0      0 163532      8 7348956    0    0 13232 12408 19036 5240 72  9  1 19  0
 1  3      0 153328      8 7361040    0    0 12112 13008 17386 4752 73  9  0 17  0
 6  1      0 157960      8 7349388    0    0 14764 68103 15434 4920 69 10  3 18  0
 7  1      0 180192      8 7308704    0    0  7900 123139 18879 7146 71 10  7 13  0
 6  1      0 254620      8 7232212    0    0 11452 40544 26173 5170 71 11  2 16  0
 6  1      0 267008      8 7224260    0    0 12180 13572 24109 4782 71 11  0 18  0
 5  1      0 255076      8 7235956    0    0 11648 11912 17915 4736 74  9  0 17  0
 4  1      0 250164      8 7245308    0    0  9344 10696 17046 4463 75  9  0 16  0
 6  0      0 243584      8 7256420    0    0 11116 11124 16479 4725 74  9  1 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  1      0 232564      8 7267864    0    0 11428 12324 17886 5049 74  8  0 18  0
 5  1      0 188984      8 7303048    0    0  9820 80815 15887 6360 70  9  6 16  0
 5  1      0 155388      8 7330972    0    0 23148 109743 19601 7534 69 11  7 14  0
 7  0      0 268752      8 7243000    0    0  9112 95848 22018 5319 70 10  1 19  0
 5  1      0 393672      8 7154928    0    0 11748 12732 25088 5168 71 11  0 19  0
 3  1      0 327860      8 7167300    0    0 12336 13672 17666 5572 72  9  0 19  0
 4  1      0 315036      8 7177968    0    0 10664 15024 16189 5182 72  9  0 19  0
 3  1      0 307504      8 7188920    0    0 10936 12160 16024 5001 74  9  0 17  0
 3  1      0 271788      8 7219316    0    0  9208 48737 15133 5471 72  9  1 18  0
 7  0      0 266336      8 7218904    0    0  9532 58410 18570 5708 71 10  2 16  0
 4  0      0 255712      8 7230380    0    0 11452 13164 18728 6085 73  8  3 16  0
 4  1      0 256312      8 7242636    0    0 12060 13044 18193 5393 73  8  0 18  0
 3  1      0 250896      8 7254364    0    0 11728 13440 18871 5624 72  9  0 19  0
 4  1      0 246584      8 7265232    0    0 10960 13724 18067 5532 73  8  0 19  0
 4  1      0 237228      8 7275648    0    0 10472 14312 18558 5796 72  8  1 19  0
 4  1      0 202956      8 7308496    0    0  9692 35765 15712 6046 72  8  3 18  0
 3  2      0 170500      8 7319112    0    0 57532 101043 15425 5525 72  9  1 18  0
 3  1      0 180020      8 7301020    0    0 29224 60777 18664 9619 70  9  9 13  0
 2  2      0 172608      8 7312796    0    0 11824 13240 17166 5894 70  9  3 19  0
 3  1      0 192476      8 7323164    0    0 10348 12372 16821 5176 73  7  3 18  0
 5  0      0 184464      8 7333516    0    0 10344 13076 18135 7527 71  8  5 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 174092      8 7343980    0    0 10492 14164 17448 6027 70  8  4 18  0
 5  0      0 161160      8 7358448    0    0  9724 17942 16479 5939 71  7  3 18  0
 4  1      0 175972      8 7333904    0    0  6724 92277 15758 7059 70  9  5 16  0
 3  1      0 185844      8 7339104    0    0 16524 187074 18348 7472 64 10  3 24  0
 3  1      0 204912      8 7317172    0    0 49524 148817 19468 6421 63 11  3 24  0
 4  0      0 361400      8 7201200    0    0  9308 14612 23165 6147 66 10  7 16  0
 4  1      0 373880      8 7171656    0    0 10448 13888 19869 6148 69  9  4 18  0
 3  1      0 333536      8 7180940    0    0  9320 12424 16278 6136 71  8  5 16  0
 2  2      0 323068      8 7191292    0    0 10288 14364 16883 5895 70  8  4 18  0
 3  1      0 301416      8 7222892    0    0  9336 49280 15983 5846 71  7  3 18  0
 4  1      0 272092      8 7237576    0    0  9160 98386 18570 8855 65  9  9 18  0
 3  1      0 253440      8 7248092    0    0 10508 13456 16556 5740 72  7  3 18  0
 3  2      0 252116      8 7257216    0    0  9156 13476 17368 6245 70  8  6 17  0
 3  1      0 253032      8 7267304    0    0 10056 14580 17599 6045 71  8  3 18  0
 5  1      0 246448      8 7277380    0    0 10104 13816 16985 6016 71  8  4 17  0
 4  1      0 240680      8 7286400    0    0  8992 14448 16063 5570 72  7  4 17  0
 3  1      0 206792      8 7320064    0    0  7944 48626 15680 6683 70  9  5 16  0
 3  1      0 172116      8 7338168    0    0  6620 135088 15911 7324 66  9  8 16  0
 2  2      0 193632      8 7300292    0    0  7936 31816 20113 6254 70 10  5 16  0
 2  2      0 207052      8 7315108    0    0 14660 12054 17284 5885 68  9  9 15  0
 3  1      0 201476      8 7324140    0    0  9184 14440 17670 6684 69  8  7 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 203400      8 7334484    0    0 10212 13280 17297 6283 68  9  8 16  0
 3  1      0 194008      8 7343096    0    0  8956 12212 17151 8730 67  7 12 14  0
 3  1      0 185948      8 7352432    0    0  8968 11584 17395 9563 69  7 12 12  0
 3  1      0 160944      8 7375012    0    0  7084 76498 17701 9696 67  9 11 13  0
 2  2      0 156560      8 7365208    0    0  7016 165893 18246 9953 65 10  8 16  0
 4  1      0 174172      8 7368508    0    0 40744 168143 22173 9929 63 12  7 18  0
