procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2560 901092   5796 6605140    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 861156   5796 6605180    0    0     0     0 46569 37232  9 10 81  0  0
 0  0   2560 857448   5796 6605180    0    0     0     0 31439 32968  3  8 89  0  0
 0  0   2560 856936   5796 6605180    0    0     0     0 30892 31999  3  8 89  0  0
 0  0   2560 857280   5796 6605180    0    0     0     0 30520 31117  3  6 91  0  0
 0  0   2560 833592   5796 6605184    0    0     0     4 28575 29505  5  7 87  0  0
 0  0   2560 831360   5796 6605184    0    0     0   100 27646 27689  3  7 90  0  0
 5  0   2560 829168   5796 6605184    0    0     0     0 28149 27934  3  6 91  0  0
 0  0   2560 828532   5796 6605184    0    0     0     0 23189 22372  2  5 93  0  0
 1  0   2560 828664   5796 6605184    0    0     0     0 28429 27585  3  6 91  0  0
 0  0   2560 830416   5796 6605184    0    0     0     0 32082 32169  4  7 90  0  0
 0  0   2560 830212   5796 6605184    0    0     0     0 33009 34364  3  8 89  0  0
 0  0   2560 830464   5796 6605188    0    0     0     0 30695 32641  4  8 89  0  0
 1  0   2560 830028   5796 6605188    0    0     0     0 28993 30202  3  7 91  0  0
 0  0   2560 828920   5796 6605200    0    0     0     0 33746 34351  4  8 88  0  0
 0  0   2560 828764   5796 6605200    0    0     0     0 33212 35029  3  7 89  0  0
 0  0   2560 829096   5796 6605200    0    0     0     0 32974 35718  4  8 88  0  0
 0  0   2560 828856   5796 6605200    0    0     0     0 31523 33311  4  7 89  0  0
 1  0   2560 828700   5796 6605200    0    0     0     0 32121 33540  3  8 89  0  0
 1  0   2560 828800   5796 6605200    0    0     0     0 30984 32584  4  7 90  0  0
 2  0   2560 828360   5796 6605200    0    0     0     0 28686 29258  3  8 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 829128   5796 6605204    0    0     0     0 33210 33559  4  9 87  0  0
 0  0   2560 828556   5796 6605204    0    0     0     0 31580 33311  3  7 90  0  0
 0  0   2560 852588   5796 6605204    0    0     0   268 31899 35172 10 11 79  0  0
 0  0   2560 852288   5796 6605204    0    0     0     0 33207 36071  4  8 88  0  0
 1  0   2560 852188   5796 6605204    0    0     0     4 33655 35999  4  9 87  0  0
 1  0   2560 852480   5796 6605204    0    0     0     0 30662 31892  3  7 90  0  0
 1  0   2560 852724   5796 6605212    0    0     0     0 33653 35323  4  7 89  0  0
 0  0   2560 852192   5796 6605212    0    0     0     0 33791 35672  4  7 89  0  0
 0  0   2560 852564   5796 6605216    0    0     0     0 33401 36024  3  7 89  0  0
 0  0   2560 851920   5796 6605216    0    0     0    16 30063 31769  4  7 89  0  0
 0  0   2560 852452   5796 6605216    0    0     0     0 34766 37514  4  7 89  0  0
 0  0   2560 851816   5796 6605220    0    0     0     0 27364 28500  3  7 90  0  0
 0  0   2560 852032   5796 6605220    0    0     0     0 29336 29893  2  7 91  0  0
 0  0   2560 851976   5796 6605220    0    0     0     0 32587 33077  3  8 89  0  0
 0  0   2560 851536   5796 6605220    0    0     0     0 27044 27106  4  6 90  0  0
 0  0   2560 851768   5796 6605220    0    0     0    88 30645 30894  3  7 89  0  0
 0  0   2560 851400   5796 6605220    0    0     0   191 30687 31422  3  7 90  0  0
 0  0   2560 851592   5796 6605220    0    0     0     0 32215 33349  4  7 89  0  0
 0  0   2560 852168   5796 6605220    0    0     0     0 32672 33709  3  7 89  0  0
 0  0   2560 851988   5796 6605236    0    0     0     0 29982 30996  4  6 90  0  0
 0  0   2560 852416   5796 6605236    0    0     0    88 33573 36164  4  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 852160   5796 6605236    0    0     0     0 35275 38504  4  8 88  0  0
 0  0   2560 851948   5796 6605252    0    0     0     0 35603 38803  4  8 89  0  0
 2  0   2560 851620   5796 6605252    0    0     0     0 28289 29625  4  7 89  0  0
 0  0   2560 851308   5796 6605252    0    0     0     0 28156 28087  3  6 91  0  0
 2  0   2560 850968   5796 6605252    0    0     0    48 28876 28752  3  7 90  0  0
 0  0   2560 851916   5796 6605252    0    0     0     0 32036 32719  3  7 90  0  0
 0  0   2560 852200   5796 6605252    0    0     0     0 35256 37280  4  8 88  0  0
 0  0   2560 851632   5796 6605252    0    0     0     0 32462 34820  3  7 90  0  0
 1  0   2560 852252   5796 6605252    0    0     0     0 33586 35379  4  8 89  0  0
