procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2560 867364   5796 6615856    0    0     0     1    1    1  0  0 100  0  0
 0  0   2560 828696   5796 6615896    0    0     0     0 46682 37755  7  9 84  0  0
 2  0   2560 825536   5796 6615896    0    0     0     0 27878 29100  2  6 92  0  0
 0  0   2560 824372   5796 6615896    0    0     0     0 24441 23665  2  5 93  0  0
 2  0   2560 824564   5796 6615896    0    0     0     0 24256 23576  2  4 94  0  0
 1  0   2560 823660   5796 6615896    0    0     0     0 30237 30349  2  5 92  0  0
 2  0   2560 821188   5796 6615896    0    0     0    40 29079 30110  2  5 93  0  0
 0  0   2560 843852   5796 6615896    0    0     0   272 28275 29137  8  7 85  0  0
 1  0   2560 842100   5796 6615896    0    0     0    21 24642 24779  2  5 93  0  0
 0  0   2560 843032   5796 6615896    0    0     0     0 28858 28697  3  5 92  0  0
 0  0   2560 844008   5796 6615896    0    0     0     0 31178 31835  3  6 91  0  0
 1  0   2560 843548   5796 6615900    0    0     0     0 29494 31159  3  6 91  0  0
 0  0   2560 842892   5796 6615900    0    0     0     0 28511 28693  2  5 92  0  0
 0  0   2560 841896   5796 6615900    0    0     0     0 28028 27001  3  6 92  0  0
 1  0   2560 841432   5796 6615912    0    0     0     0 26147 25583  2  4 94  0  0
 0  0   2560 841492   5796 6615912    0    0     0     0 26306 25748  2  5 94  0  0
 0  0   2560 841848   5796 6615912    0    0     0    92 26108 25730  2  5 94  0  0
 1  0   2560 841896   5796 6615912    0    0     0     0 26631 25802  2  5 93  0  0
 0  0   2560 842248   5796 6615912    0    0     0     0 29168 28571  3  6 92  0  0
 0  0   2560 841200   5796 6615912    0    0     0     0 25471 25381  2  5 93  0  0
 2  0   2560 843020   5796 6615912    0    0     0     0 31050 31148  3  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 841456   5796 6615916    0    0     0     0 28057 28145  2  6 92  0  0
 0  0   2560 841952   5796 6615916    0    0     0    40 26913 26338  2  5 93  0  0
 0  0   2560 842864   5796 6615916    0    0     0     0 32371 32215  3  6 91  0  0
 0  0   2560 841520   5796 6615916    0    0     0     0 26665 27420  2  5 93  0  0
 0  0   2560 841392   5796 6615916    0    0     0     0 26559 25803  2  5 93  0  0
 0  0   2560 841992   5796 6615916    0    0     0     0 30307 30257  3  5 92  0  0
 0  0   2560 841892   5796 6615924    0    0     0    40 29610 31123  3  6 92  0  0
 0  0   2560 842680   5796 6615928    0    0     0     0 31684 32076  3  6 91  0  0
 1  0   2560 842020   5796 6615928    0    0     0     0 26696 27987  3  5 92  0  0
 0  0   2560 841544   5796 6615928    0    0     0     0 27280 26721  3  5 92  0  0
 0  0   2560 841380   5796 6615928    0    0     0     0 26265 25560  2  5 93  0  0
 3  0   2560 842000   5796 6615932    0    0     0     0 29189 28817  3  6 91  0  0
 0  0   2560 842680   5796 6615932    0    0     0    44 30514 31023  3  6 91  0  0
 0  0   2560 840396   5796 6615932    0    0     0     0 26550 27468  2  5 93  0  0
 0  0   2560 839620   5796 6615932    0    0     0     0 25556 24651  2  5 93  0  0
 0  0   2560 839004   5796 6615932    0    0     0     0 21758 21123  2  4 95  0  0
 1  0   2560 839368   5796 6615932    0    0     0     0 25311 24494  2  5 93  0  0
 0  0   2560 839088   5796 6615932    0    0     0   271 25264 24368  2  5 93  0  0
 1  0   2560 839308   5796 6615932    0    0     0     0 24497 23571  2  5 93  0  0
 0  0   2560 839352   5796 6615948    0    0     0     0 25392 24096  2  6 92  0  0
 0  0   2560 839124   5796 6615948    0    0     0     0 24175 23078  3  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 838452   5796 6615948    0    0     0     0 21257 19634  3  5 93  0  0
 1  0   2560 839424   5796 6615960    0    0     0     0 26320 24909  2  6 92  0  0
 0  0   2560 839300   5796 6615960    0    0     0     0 24960 24182  2  5 93  0  0
 0  0   2560 839044   5796 6615964    0    0     0     0 24732 24019  2  4 94  0  0
 2  0   2560 839460   5796 6615964    0    0     0     0 24244 23202  2  4 94  0  0
 0  0   2560 838900   5796 6615964    0    0     0     0 22112 21162  2  4 95  0  0
 0  0   2560 814896   5796 6615964    0    0     0     4 23000 22022  4  4 91  0  0
 0  0   2560 815256   5796 6615964    0    0     0     0 24825 24185  2  4 93  0  0
 0  0   2560 815724   5796 6615964    0    0     0     0 24355 23964  2  4 94  0  0
 0  0   2560 815572   5796 6615968    0    0     0     0 24417 24151  2  5 93  0  0
 0  0   2560 815164   5796 6615968    0    0     0     0 23608 22959  2  5 93  0  0
 0  0   2560 815572   5796 6615976    0    0     0     0 23853 23340  2  5 93  0  0
 1  0   2560 814912   5796 6615980    0    0     0     0 23827 22770  2  4 94  0  0
 1  0   2560 814940   5796 6615980    0    0     0     0 21793 20600  2  4 95  0  0
 0  0   2560 816140   5796 6615980    0    0     0     0 26174 25734  2  5 93  0  0
 0  0   2560 815216   5796 6615980    0    0     0     0 25250 24587  2  5 93  0  0
 0  0   2560 815088   5796 6615984    0    0     0     0 25294 24324  2  5 93  0  0
 1  0   2560 814720   5796 6615984    0    0     0     0 25871 25221  2  5 93  0  0
 0  0   2560 815480   5796 6615984    0    0     0     0 25138 24455  2  4 94  0  0
 0  0   2560 814864   5796 6615984    0    0     0     0 21997 21050  2  4 94  0  0
 0  0   2560 815000   5796 6615984    0    0     0     0 25187 24712  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 814476   5796 6615984    0    0     0     0 25184 24101  2  5 92  0  0
 2  0   2560 813976   5796 6615992    0    0     0     0 23753 22991  2  4 94  0  0
 0  0   2560 814212   5796 6615996    0    0     0     0 25189 24652  2  4 94  0  0
 0  0   2560 813964   5796 6615996    0    0     0     0 24015 23221  2  5 94  0  0
 0  0   2560 838260   5796 6615996    0    0     0   272 24560 23946  7  6 87  0  0
 1  0   2560 837376   5796 6615996    0    0     0     0 22618 21741  2  5 94  0  0
 0  0   2560 838240   5796 6615996    0    0     0   110 26276 25499  2  5 93  0  0
 0  0   2560 838860   5796 6615996    0    0     0     0 27221 26838  2  5 93  0  0
 0  0   2560 839720   5796 6615996    0    0     0     0 30286 30481  3  6 91  0  0
 0  0   2560 839520   5796 6615996    0    0     0     0 28310 28935  2  6 92  0  0
 1  0   2560 840308   5796 6615996    0    0     0     0 30584 30211  3  6 91  0  0
 0  0   2560 840156   5796 6616004    0    0     0   104 25684 25794  2  5 93  0  0
 0  0   2560 840304   5796 6616004    0    0     0     0 30723 30290  3  6 92  0  0
 1  0   2560 840252   5796 6616004    0    0     0     0 29115 30063  2  5 93  0  0
 0  0   2560 838780   5796 6616008    0    0     0     0 25960 25374  2  5 93  0  0
 1  0   2560 837492   5796 6616012    0    0     0     0 23508 22351  3  5 93  0  0
 0  0   2560 838252   5796 6616012    0    0     0     0 25146 24089  2  5 93  0  0
 2  0   2560 838192   5796 6616012    0    0     0    40 21462 20340  2  4 94  0  0
 1  0   2560 837436   5796 6616020    0    0     0     0 23065 22070  2  4 94  0  0
 1  0   2560 837700   5796 6616020    0    0     0     0 22839 21447  2  5 93  0  0
 1  0   2560 837796   5796 6616020    0    0     0     0 25005 24125  2  5 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 838000   5796 6616020    0    0     0     0 24377 23258  2  4 94  0  0
 1  0   2560 838004   5796 6616020    0    0     0     0 24464 24341  2  4 94  0  0
 1  0   2560 838756   5796 6616024    0    0     0    48 27395 27497  2  5 93  0  0
 0  0   2560 838624   5796 6616024    0    0     0     0 24264 23417  2  5 93  0  0
 1  0   2560 840236   5796 6616028    0    0     0     0 31190 30725  3  7 91  0  0
 1  0   2560 840444   5796 6616036    0    0     0     0 29093 29736  2  6 92  0  0
 0  0   2560 839164   5796 6616040    0    0     0     0 26466 26182  2  5 93  0  0
 0  0   2560 839580   5796 6616048    0    0     0    56 29696 29218  3  6 92  0  0
 1  0   2560 839824   5796 6616048    0    0     0     0 31121 30730  3  6 92  0  0
 2  0   2560 840104   5796 6616048    0    0     0     0 26498 26986  3  6 92  0  0
 1  0   2560 839664   5796 6616048    0    0     0     0 28815 28920  3  5 92  0  0
 0  0   2560 839272   5796 6616052    0    0     0     0 24033 24292  2  4 94  0  0
 0  0   2560 838572   5796 6616052    0    0     0    40 24954 24067  2  5 93  0  0
 0  0   2560 838020   5796 6616052    0    0     0     0 23685 22915  2  4 94  0  0
 1  0   2560 838932   5796 6616052    0    0     0     0 28097 27397  3  4 93  0  0
 0  0   2560 840072   5796 6616052    0    0     0   148 27940 27223  3  6 92  0  0
 0  0   2560 839160   5796 6616052    0    0     0     0 28929 28619  2  6 92  0  0
 0  0   2560 838020   5796 6616052    0    0     0    40 24734 23604  2  5 93  0  0
 1  0   2560 839764   5796 6616052    0    0     0     0 29635 29108  3  6 92  0  0
 1  0   2560 840384   5796 6616056    0    0     0     0 31511 32160  3  6 90  0  0
 0  0   2560 840260   5796 6616064    0    0     0     0 29767 30932  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 839192   5796 6616064    0    0     0     0 23948 23408  3  5 93  0  0
 0  0   2560 838780   5796 6616068    0    0     0     0 25845 24668  3  5 93  0  0
 1  0   2560 838188   5796 6616068    0    0     0    48 26248 25612  2  4 94  0  0
 1  0   2560 839720   5796 6616068    0    0     0     0 30065 29857  3  6 91  0  0
 0  0   2560 817808   5796 6616068    0    0     0     4 30627 31359  5  6 89  0  0
 0  0   2560 816788   5796 6616068    0    0     0     0 30318 30876  2  5 93  0  0
 0  0   2560 815764   5796 6616068    0    0     0     0 20782 20186  2  4 94  0  0
 0  0   2560 815112   5796 6616068    0    0     0     0 24941 24434  2  4 94  0  0
 2  0   2560 815372   5796 6616068    0    0     0    44 27648 27179  2  6 92  0  0
 0  0   2560 815512   5796 6616068    0    0     0     0 25219 24284  2  5 93  0  0
 0  0   2560 815172   5796 6616068    0    0     0     0 24325 23566  2  5 94  0  0
 0  0   2560 815352   5796 6616076    0    0     0     0 25489 25370  2  4 94  0  0
 0  0   2560 814784   5796 6616084    0    0     0     0 23887 22961  1  4 94  0  0
 0  0   2560 814760   5796 6616084    0    0     0    48 21012 19874  3  4 94  0  0
 0  0   2560 814748   5796 6616084    0    0     0     0 24789 23880  2  5 94  0  0
 1  0   2560 816108   5796 6616088    0    0     0     0 27382 27358  2  5 93  0  0
 0  0   2560 816568   5796 6616092    0    0     0     0 30043 29907  3  5 92  0  0
 0  0   2560 816936   5796 6616092    0    0     0     0 28582 29149  3  6 91  0  0
 0  0   2560 816540   5796 6616092    0    0     0    48 26127 25455  2  6 93  0  0
