Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月01日 	_x86_64_	(4 CPU)

16時04分22秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16時04分23秒  all   69.00    0.00   11.00   10.00    1.00    3.50    0.00    0.00    0.00    5.50
16時04分24秒  all   70.00    0.00    6.50   11.75    1.00    2.75    0.00    0.00    0.00    8.00
16時04分25秒  all   72.41    0.00    6.33   12.66    1.01    1.77    0.00    0.00    0.00    5.82
16時04分26秒  all   69.04    0.00    6.85    9.90    1.02    2.54    0.00    0.00    0.00   10.66
16時04分27秒  all   68.33    0.00    6.48   14.46    1.25    2.49    0.00    0.00    0.00    6.98
16時04分28秒  all   67.42    0.00    5.81    6.57    0.76    2.53    0.00    0.00    0.00   16.92
16時04分29秒  all   72.25    0.00    5.75   16.25    1.00    2.75    0.00    0.00    0.00    2.00
16時04分30秒  all   70.35    0.00    6.28   12.56    1.01    1.76    0.00    0.00    0.00    8.04
16時04分31秒  all   68.09    0.00    6.53   10.55    0.75    2.51    0.00    0.00    0.00   11.56
16時04分32秒  all   67.74    0.00    6.45   13.40    1.24    2.48    0.00    0.00    0.00    8.68
16時04分33秒  all   69.37    0.00    6.33   11.14    1.01    2.53    0.00    0.00    0.00    9.62
16時04分34秒  all   67.00    0.00    7.94   13.40    0.99    2.23    0.00    0.00    0.00    8.44
16時04分35秒  all   72.18    0.00    6.27   14.79    0.75    2.01    0.00    0.00    0.00    4.01
16時04分36秒  all   73.75    0.00    7.00    9.25    0.75    1.75    0.00    0.00    0.00    7.50
16時04分37秒  all   73.80    0.00    6.55   13.10    1.01    1.76    0.00    0.00    0.00    3.78
16時04分38秒  all   67.17    0.00    8.52   18.05    1.00    2.26    0.00    0.00    0.00    3.01
16時04分39秒  all   68.69    0.00    7.58   15.15    1.01    2.53    0.00    0.00    0.00    5.05
16時04分40秒  all   67.51    0.00    7.81   15.37    1.01    2.27    0.00    0.00    0.00    6.05
16時04分41秒  all   69.98    0.00    6.70   15.88    0.99    2.73    0.00    0.00    0.00    3.72
16時04分42秒  all   70.28    0.00    6.55   16.62    1.26    2.02    0.00    0.00    0.00    3.27
16時04分43秒  all   70.32    0.00    6.73   11.72    1.00    2.24    0.00    0.00    0.00    7.98
16時04分44秒  all   64.32    0.00    6.28   10.55    1.26    2.51    0.00    0.00    0.00   15.08
16時04分45秒  all   65.24    0.00    6.30   10.83    1.01    2.52    0.00    0.00    0.00   14.11
16時04分46秒  all   69.19    0.00    6.57   15.66    0.51    2.27    0.00    0.00    0.00    5.81
16時04分47秒  all   70.32    0.00    6.98   13.72    1.00    2.24    0.00    0.00    0.00    5.74
16時04分48秒  all   69.40    0.00    5.97   13.93    1.00    1.99    0.00    0.00    0.00    7.71
16時04分49秒  all   65.91    0.00    7.27   16.54    1.25    3.01    0.00    0.00    0.00    6.02
16時04分50秒  all   69.62    0.00    7.09   16.46    1.01    2.28    0.00    0.00    0.00    3.54
16時04分51秒  all   71.03    0.00    6.30   10.33    0.76    2.27    0.00    0.00    0.00    9.32
16時04分52秒  all   68.08    0.00    6.73   13.22    1.00    2.49    0.00    0.00    0.00    8.48
16時04分53秒  all   68.42    0.00    6.27   17.29    1.00    2.01    0.00    0.00    0.00    5.01
16時04分54秒  all   70.90    0.00    6.97    9.95    1.24    2.24    0.00    0.00    0.00    8.71
16時04分55秒  all   67.26    0.00    6.09    8.88    0.76    2.03    0.00    0.00    0.00   14.97
16時04分56秒  all   66.25    0.00    6.55   14.11    1.26    2.52    0.00    0.00    0.00    9.32
16時04分57秒  all   67.75    0.00    6.50   14.25    0.75    2.50    0.00    0.00    0.00    8.25
16時04分58秒  all   69.25    0.00    6.75   14.00    1.00    2.25    0.00    0.00    0.00    6.75
16時04分59秒  all   69.42    0.00    6.27   15.54    1.00    2.01    0.00    0.00    0.00    5.76
16時05分00秒  all   66.42    0.00    7.16   19.75    0.99    1.73    0.00    0.00    0.00    3.95
16時05分01秒  all   68.70    0.00    7.63   12.21    0.76    2.29    0.00    0.00    0.00    8.40
16時05分02秒  all   72.32    0.00    7.73   11.97    1.50    2.24    0.00    0.00    0.00    4.24
16時05分03秒  all   72.57    0.00    7.23    6.98    1.00    2.49    0.00    0.00    0.00    9.73
16時05分04秒  all   70.93    0.00    8.02   10.03    1.00    2.51    0.00    0.00    0.00    7.52
