Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月01日 	_x86_64_	(4 CPU)

23時57分20秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23時57分21秒  all    4.83    0.00    3.82    0.00    1.02    2.04    0.00    0.00    0.00   88.30
23時57分22秒  all    3.05    0.00    2.79    0.00    0.51    2.03    0.00    0.00    0.00   91.62
23時57分23秒  all    2.02    0.00    3.02    0.00    1.01    1.76    0.00    0.00    0.00   92.19
23時57分24秒  all    2.81    0.00    2.81    0.00    0.51    2.04    0.00    0.00    0.00   91.84
23時57分25秒  all    2.75    0.00    3.25    0.00    1.00    2.00    0.00    0.00    0.00   91.00
23時57分26秒  all    2.28    0.00    2.53    0.00    0.51    1.27    0.00    0.00    0.00   93.42
23時57分27秒  all    1.28    0.00    2.30    0.00    0.77    1.79    0.00    0.00    0.00   93.88
23時57分28秒  all    2.53    0.00    2.78    0.00    0.51    2.02    0.00    0.00    0.00   92.17
23時57分29秒  all    2.78    0.00    2.78    0.00    0.76    1.77    0.00    0.00    0.00   91.92
23時57分30秒  all    3.53    0.00    3.53    0.00    1.01    2.02    0.00    0.00    0.00   89.92
23時57分31秒  all    3.04    0.00    3.29    0.00    0.76    2.03    0.00    0.00    0.00   90.89
23時57分32秒  all    2.52    0.00    2.77    0.00    0.76    1.76    0.00    0.00    0.00   92.19
23時57分33秒  all    2.27    0.00    2.77    0.00    0.50    1.76    0.00    0.00    0.00   92.70
23時57分34秒  all    2.51    0.00    3.01    0.00    1.00    2.01    0.00    0.00    0.00   91.48
23時57分35秒  all    3.01    0.00    3.26    0.00    1.00    1.50    0.00    0.00    0.00   91.23
23時57分36秒  all    3.07    0.00    3.58    0.00    0.51    2.05    0.00    0.00    0.00   90.79
23時57分37秒  all    2.28    0.00    2.78    0.00    0.76    2.03    0.00    0.00    0.00   92.15
23時57分38秒  all    2.04    0.00    3.05    0.00    0.76    1.78    0.00    0.00    0.00   92.37
23時57分39秒  all    3.27    0.00    3.53    0.00    0.76    2.27    0.00    0.00    0.00   90.18
23時57分40秒  all    3.01    0.00    3.01    0.00    0.75    2.01    0.00    0.00    0.00   91.23
23時57分41秒  all    3.29    0.00    3.54    0.00    0.76    2.03    0.00    0.00    0.00   90.38
23時57分42秒  all    2.78    0.00    3.04    0.00    1.01    2.03    0.00    0.00    0.00   91.14
23時57分43秒  all    2.78    0.00    3.28    0.00    0.76    2.02    0.00    0.00    0.00   91.16
23時57分44秒  all    3.05    0.00    3.05    0.00    1.02    2.29    0.00    0.00    0.00   90.59
23時57分45秒  all    2.79    0.00    3.30    0.00    0.51    1.78    0.00    0.00    0.00   91.62
23時57分46秒  all    3.03    0.00    2.78    0.00    1.26    2.27    0.00    0.00    0.00   90.66
