procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 377132     28 8781988    0    0   571  2020   18    8 24  4 70  2  0
 3  1      0 364200     28 8786224    0    0   876 24881 26992 6956 74 12  2 11  0
 5  1      0 350400     28 8786228    0    0     0 14503 22083 4324 79 12  6  4  0
 8  0      0 339368     28 8786228    0    0     0 17564 18093 5531 75 10  3 12  0
 8  0      0 331148     28 8786228    0    0     0 16892 19292 6251 75 10  3 11  0
 4  0      0 322356     28 8786228    0    0     0 14008 18826 4952 76 11  8  5  0
 4  0      0 307644     28 8793456    0    0     0 65064 17748 6963 72 10  7 12  0
 5  0      0 267880     28 8830304    0    0     0 68731 18470 5289 74 10  5 11  0
 4  1      0 221400     28 8839388    0    0     0 55858 19144 4797 75  9  9  7  0
 8  0      0 181208     28 8883988    0    0     0 59477 19913 5420 75 10  4 11  0
 5  0      0 161800     28 8889432    0    0   156 54273 20303 5267 75 10  5  9  0
 4  1      0 251328     28 8803884    0    0   220 40358 24015 5908 75 11  1 13  0
 6  0      0 311552     28 8757676    0    0     0 64265 20396 5990 74 11  6  9  0
 5  1      0 305340     28 8757540    0    0     0 18252 20146 5694 75 10  5 10  0
 3  1      0 304056     28 8757540    0    0     0 15236 18349 5494 75 12  2 11  0
 6  0      0 305952     28 8757540    0    0     0 16464 19486 5583 76 11  1 12  0
 7  0      0 308384     28 8757540    0    0     0 11908 18902 4409 79 10  6  5  0
 5  1      0 314436     28 8764576    0    0     0 36513 19443 5370 78 11  4  7  0
 5  1      0 310600     28 8764588    0    0     0 15820 20210 5686 75 11  3 10  0
 7  1      0 306828     28 8764588    0    0     0 15560 19777 5224 76 10  7  7  0
 4  1      0 300772     28 8764588    0    0     0 13332 19448 5137 79 10  7  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 296676     28 8764588    0    0     0 19036 20290 6500 75 11  0 14  0
 5  1      0 272088     28 8785636    0    0     0 49920 18427 6505 73 10  5 12  0
 8  0      0 243692     28 8810440    0    0     0 65216 18132 6117 74 10  9  7  0
 3  1      0 209044     28 8845808    0    0     0 74947 17292 6497 73 10 10  7  0
 9  0      0 153320     28 8904596    0    0     0 76784 19836 5713 73 10  8  9  0
 6  0      0 289816     28 8769240    0    0     0 19761 22425 6952 73 11  2 14  0
 5  0      0 288116     28 8766080    0    0     0 15762 20317 6256 73 11  8  7  0
 4  0      0 274332     28 8772964    0    0     0 40452 19185 6625 73 10  8  9  0
 5  0      0 270248     28 8772964    0    0     0 17156 19707 6942 73 10  7 10  0
 3  1      0 266880     28 8772964    0    0     0 18760 20126 6783 73 11  2 14  0
 4  1      0 264524     28 8772964    0    0     0 17244 19919 6393 73 11  4 12  0
 4  1      0 250032     28 8783912    0    0     0 30700 19507 6984 72 11  1 16  0
 6  0      0 250132     28 8780172    0    0     0 25978 19284 6835 74 11  5 10  0
 6  0      0 246564     28 8780172    0    0     0 18240 20315 7106 71 11  4 15  0
 3  1      0 243984     28 8780172    0    0     0 20056 20832 6981 73 11  2 14  0
 5  0      0 239944     28 8780172    0    0     0 18820 19978 6605 74 10  1 15  0
 5  0      0 230596     28 8787512    0    0     0 32478 18775 5456 76 10  8  6  0
 2  2      0 214056     28 8803104    0    0     0 111803 17830 6160 73 10  2 15  0
 3  1      0 170516     28 8854756    0    0     0 141081 18751 6461 71 11  2 16  0
 5  0      0 257288     28 8803008    0    0     0 82238 22358 6710 72 10 10  9  0
 4  0      0 255312     28 8826552    0    0     0 70193 20180 5699 77  9  8  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 327176     28 8747276    0    0     0 41092 23298 6720 72 12  3 13  0
 7  0      0 320560     28 8740972    0    0     0 55978 20320 6690 73 10  6 11  0
 3  1      0 315236     28 8740972    0    0     0 18344 20382 7089 73 10  4 13  0
 3  1      0 309820     28 8740972    0    0     0 14644 20123 5573 76 11  7  7  0
 4  0      0 296872     28 8740972    0    0     0 15872 20753 5233 75 11  5  8  0
 2  1      0 282856     28 8747156    0    0     0 24520 19216 5918 75 10  6 10  0
 4  1      0 282916     28 8744204    0    0   404 47781 19312 6679 72 11  7 10  0
 3  1      0 279108     28 8744204    0    0     0 19280 19541 6266 74 10  3 13  0
 4  1      0 272552     28 8744208    0    0     0 18388 20108 6465 73 11  4 13  0
 5  0      0 267636     28 8744208    0    0     0 17868 20660 6278 74 10  4 11  0
 2  1      0 252172     28 8753860    0    0     0 30724 19615 8462 69  9 15  7  0
