procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2560 847004   5796 6655612    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 800332   5796 6655688    0    0     0     0 58776 47167  9 11 80  0  0
 0  0   2560 800752   5796 6655688    0    0     0    36 41758 45298  4  7 89  0  0
 0  0   2560 799832   5796 6655688    0    0     0     0 37218 40124  3  7 90  0  0
 1  0   2560 799812   5796 6655688    0    0     0     0 33210 34972  4  6 90  0  0
 1  0   2560 796236   5796 6655688    0    0     0     0 42589 45379  4  9 88  0  0
 0  0   2560 795268   5796 6655688    0    0     0     0 41467 43892  4  8 89  0  0
 1  0   2560 795608   5796 6655688    0    0     0     0 38157 41649  3  7 90  0  0
 0  0   2560 794660   5796 6655688    0    0     0     0 35194 37892  3  6 91  0  0
 0  0   2560 795308   5796 6655688    0    0     0     0 37622 40764  3  7 91  0  0
 0  0   2560 795152   5796 6655688    0    0     0     0 34932 37296  3  6 91  0  0
 0  0   2560 772784   5796 6655692    0    0     0     4 34307 36690  5  7 88  0  0
 0  0   2560 772044   5796 6655692    0    0     0     0 35251 37409  3  5 92  0  0
 1  0   2560 771868   5796 6655692    0    0     0     0 35260 36503  3  7 90  0  0
 0  0   2560 772312   5796 6655704    0    0     0    72 37210 39999  3  7 90  0  0
 0  0   2560 772956   5796 6655704    0    0     0     0 37926 40937  3  7 90  0  0
 0  0   2560 772660   5796 6655704    0    0     0     0 39697 43243  3  7 90  0  0
 0  0   2560 772592   5796 6655704    0    0     0     0 37917 40776  3  6 91  0  0
 1  0   2560 771384   5796 6655704    0    0     0     0 34987 37159  3  6 91  0  0
 1  0   2560 772056   5796 6655704    0    0     0     0 40950 43967  3  7 90  0  0
 1  0   2560 770840   5796 6655704    0    0     0     0 38071 40778  3  7 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 771416   5796 6655708    0    0     0     0 35263 37699  3  7 90  0  0
 0  0   2560 770904   5796 6655708    0    0     0     0 36102 38264  2  6 91  0  0
 0  0   2560 771104   5796 6655708    0    0     0     0 34460 37308  3  6 92  0  0
 0  0   2560 771224   5796 6655708    0    0     0     0 34598 36981  3  6 91  0  0
 0  0   2560 770856   5796 6655708    0    0     0     0 33710 35743  3  6 91  0  0
 1  0   2560 771836   5796 6655708    0    0     0     0 39722 43575  4  7 90  0  0
 1  0   2560 771556   5796 6655716    0    0     0     0 39118 42860  3  7 90  0  0
 1  0   2560 770848   5796 6655716    0    0     0     0 33117 35186  3  6 91  0  0
 1  0   2560 794364   5796 6655744    0    0     0   272 33441 36293  9  7 84  0  0
 1  0   2560 794016   5796 6655748    0    0     0     0 36958 39431  4  7 89  0  0
 0  0   2560 794268   5796 6655748    0    0     0     0 37572 39120  4  7 90  0  0
 0  0   2560 793616   5796 6655752    0    0     0     0 34677 36522  3  7 91  0  0
 0  0   2560 793412   5796 6655752    0    0     0    80 33544 35171  3  6 91  0  0
 1  0   2560 793524   5796 6655752    0    0     0     0 35299 37076  3  6 91  0  0
 0  0   2560 793884   5796 6655752    0    0     0     0 37762 40072  4  7 89  0  0
 0  0   2560 792932   5796 6655752    0    0     0     0 35324 37003  3  6 91  0  0
 0  0   2560 794228   5796 6655752    0    0     0     0 34205 36204  3  6 92  0  0
 0  0   2560 793432   5796 6655752    0    0     0    76 34026 36302  2  6 92  0  0
 0  0   2560 793232   5796 6655752    0    0     0     0 35329 37169  3  6 91  0  0
 1  0   2560 794704   5796 6655780    0    0     0    21 34572 37692  4  8 88  0  0
 0  0   2560 795060   5796 6655780    0    0     0     0 36231 38529  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 793620   5796 6655784    0    0     0     0 32991 34424  3  5 92  0  0
 0  0   2560 794292   5796 6655792    0    0     0     0 35921 37295  3  8 89  0  0
 0  0   2560 792956   5796 6655796    0    0     0   210 30070 30820  3  5 93  0  0
 1  0   2560 793976   5796 6655796    0    0     0     0 32602 32992  4  6 90  0  0
 1  0   2560 796892   5796 6655796    0    0     0     0 34849 37117  3  7 90  0  0
 0  0   2560 796544   5796 6655796    0    0     0     0 32671 34930  3  6 91  0  0
 0  0   2560 796944   5796 6655796    0    0     0     0 33927 35995  3  6 91  0  0
 0  0   2560 796236   5796 6655796    0    0     0     0 32236 34070  3  6 92  0  0
 1  0   2560 796316   5796 6655796    0    0     0     0 34095 36196  3  6 90  0  0
 0  0   2560 796116   5796 6655800    0    0     0     0 37060 39627  3  6 91  0  0
 2  0   2560 796568   5796 6655800    0    0     0     0 33546 35718  3  6 91  0  0
 0  0   2560 797284   5796 6655812    0    0     0     0 34113 36755  3  7 90  0  0
 0  0   2560 796300   5796 6655812    0    0     0     0 33660 35587  3  6 91  0  0
 0  0   2560 795900   5796 6655812    0    0     0     0 32051 33616  4  7 90  0  0
 0  0   2560 796136   5796 6655812    0    0     0     0 35063 37658  3  6 91  0  0
 3  0   2560 795796   5796 6655812    0    0     0     0 35302 37821  3  7 90  0  0
 0  0   2560 796200   5796 6655812    0    0     0     0 37099 39487  3  7 90  0  0
 0  0   2560 795640   5796 6655816    0    0     0     0 33749 36339  2  6 92  0  0
 1  0   2560 796112   5796 6655816    0    0     0     0 32471 34405  3  6 91  0  0
 0  0   2560 795500   5796 6655816    0    0     0     0 31816 33802  3  6 91  0  0
 1  0   2560 795596   5796 6655816    0    0     0     0 37681 40738  3  7 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 795336   5796 6655816    0    0     0     0 33931 36118  3  6 91  0  0
 1  0   2560 796336   5796 6655824    0    0     0     0 39724 42725  3  8 89  0  0
 1  0   2560 795640   5796 6655828    0    0     0     0 41494 43996  4  8 89  0  0
 1  0   2560 795832   5796 6655828    0    0     0     0 35566 38239  3  7 91  0  0
 0  0   2560 796096   5796 6655828    0    0     0     0 35653 36912  4  6 91  0  0
 1  0   2560 796312   5796 6655828    0    0     0     0 36912 38662  3  7 90  0  0
 0  0   2560 795860   5796 6655828    0    0     0    92 34691 36765  3  6 91  0  0
 0  0   2560 796060   5796 6655828    0    0     0     0 33696 35630  3  6 90  0  0
 1  0   2560 772828   5796 6655832    0    0     0     4 31746 33976  5  6 89  0  0
 2  0   2560 771644   5796 6655832    0    0     0     0 33281 35134  3  6 91  0  0
 1  0   2560 771400   5796 6655836    0    0     0     0 33951 34868  3  7 90  0  0
 1  0   2560 772292   5796 6655844    0    0     0    97 34485 36866  3  7 90  0  0
 0  0   2560 772256   5796 6655844    0    0     0    32 34448 36252  4  7 89  0  0
 0  0   2560 772364   5796 6655844    0    0     0     0 36819 39096  3  6 91  0  0
 1  0   2560 772272   5796 6655848    0    0     0     0 35230 37009  3  6 91  0  0
 1  0   2560 771812   5796 6655852    0    0     0     0 34312 36114  3  6 92  0  0
 0  0   2560 772548   5796 6655852    0    0     0     0 35196 37399  3  6 91  0  0
 0  0   2560 772592   5796 6655856    0    0     0     0 39430 41666  4  7 90  0  0
 0  0   2560 772448   5796 6655860    0    0     0     0 37334 39476  3  7 90  0  0
 0  0   2560 771344   5796 6655860    0    0     0     0 32906 35277  3  5 92  0  0
 0  0   2560 772340   5796 6655860    0    0     0     0 32800 34782  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 771656   5796 6655860    0    0     0     0 31648 34000  3  6 91  0  0
 0  0   2560 772348   5796 6655864    0    0     0     0 31366 33135  3  6 92  0  0
 0  0   2560 772544   5796 6655864    0    0     0     0 36324 37391  3  6 92  0  0
 0  0   2560 772004   5796 6655864    0    0     0     0 35061 37185  3  6 91  0  0
 1  0   2560 772460   5796 6655868    0    0     0     0 35175 36606  3  6 91  0  0
 1  0   2560 792288   5796 6655876    0    0     0   228 32622 34799  8  8 85  0  0
 0  0   2560 795080   5796 6655888    0    0     0    48 35694 38062  4  7 89  0  0
 5  0   2560 794680   5796 6655892    0    0     0     0 33774 35655  3  6 91  0  0
 1  0   2560 795220   5796 6655892    0    0     0     0 35350 37680  3  6 92  0  0
 1  0   2560 794732   5796 6655892    0    0     0     0 34315 36572  3  7 91  0  0
 5  0   2560 795424   5796 6655892    0    0     0     0 34662 37067  3  6 91  0  0
 0  0   2560 795036   5796 6655896    0    0     0     8 32555 34775  3  6 92  0  0
