procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2560 860480   5796 6646048    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 839520   5796 6646000    0    0     0   121 25881 27797  4  5 91  0  0
 1  0   2560 837364   5796 6646000    0    0     0     0 23795 26813  2  4 94  0  0
 0  0   2560 836204   5796 6646000    0    0     0     0 21367 22776  1  5 94  0  0
 0  0   2560 835604   5796 6646000    0    0     0     0 22305 23578  3  4 93  0  0
 1  0   2560 832960   5796 6646000    0    0     0     0 18710 19499  3  5 92  0  0
 0  0   2560 832980   5796 6646000    0    0     0    48 19492 20332  3  6 91  0  0
 1  0   2560 832772   5796 6646000    0    0     0     0 20806 21594  3  6 91  0  0
 0  0   2560 832284   5796 6646000    0    0     0     0 22422 23686  2  4 94  0  0
 0  0   2560 832080   5796 6646000    0    0     0     0 18738 20058  2  5 94  0  0
 0  0   2560 831820   5796 6646000    0    0     0     0 21864 23119  2  5 93  0  0
 1  0   2560 831704   5796 6646004    0    0     0    40 27501 29087  3  6 91  0  0
 0  0   2560 830740   5796 6646004    0    0     0     0 27329 29296  2  5 93  0  0
 2  0   2560 830424   5796 6646004    0    0     0     0 24101 25903  2  5 92  0  0
 0  0   2560 830844   5796 6646016    0    0     0     0 25912 27749  3  5 92  0  0
 0  0   2560 830876   5796 6646016    0    0     0     0 24160 25969  2  5 93  0  0
 0  0   2560 831236   5796 6646016    0    0     0     0 28497 30126  3  5 92  0  0
 1  0   2560 830600   5796 6646016    0    0     0     0 29676 31412  3  6 91  0  0
 2  0   2560 830260   5796 6646016    0    0     0   225 25839 27682  2  5 93  0  0
 0  0   2560 830100   5796 6646016    0    0     0     2 25387 27515  3  6 92  0  0
 0  0   2560 830140   5796 6646016    0    0     0     0 23761 25744  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 830660   5796 6646020    0    0     0     0 28802 30315  2  6 92  0  0
 0  0   2560 830420   5796 6646020    0    0     0     0 27811 29572  3  6 91  0  0
 0  0   2560 830360   5796 6646020    0    0     0     0 25275 27194  2  5 93  0  0
 0  0   2560 829880   5796 6646020    0    0     0     0 25940 27918  3  5 92  0  0
 0  0   2560 829688   5796 6646020    0    0     0     0 24731 25868  2  5 93  0  0
 1  0   2560 829796   5796 6646020    0    0     0     0 23941 25853  2  5 93  0  0
 1  0   2560 829760   5796 6646028    0    0     0     0 24300 25942  2  5 93  0  0
 0  0   2560 829580   5796 6646028    0    0     0     0 24359 26060  2  4 93  0  0
 0  0   2560 829744   5796 6646032    0    0     0     0 24210 25988  2  5 94  0  0
 0  0   2560 829788   5796 6646032    0    0     0     0 23970 25371  2  4 94  0  0
 0  0   2560 828900   5796 6646032    0    0     0     0 27442 29242  3  5 92  0  0
 0  0   2560 829484   5796 6646036    0    0     0     0 28060 29909  2  5 93  0  0
 1  0   2560 829192   5796 6646036    0    0     0     0 26472 28403  2  5 93  0  0
 1  0   2560 829680   5796 6646036    0    0     0     0 27370 29423  2  5 93  0  0
 1  0   2560 806772   5796 6646036    0    0     0     4 25255 27204  4  6 90  0  0
 0  0   2560 807004   5796 6646036    0    0     0     0 25453 27211  2  5 93  0  0
 0  0   2560 807040   5796 6646036    0    0     0     0 26454 28157  2  5 93  0  0
 1  0   2560 807060   5796 6646036    0    0     0     0 23864 25089  2  5 93  0  0
 0  0   2560 806752   5796 6646036    0    0     0     0 23513 25094  2  4 94  0  0
 0  0   2560 806908   5796 6646052    0    0     0     0 21415 22716  2  5 93  0  0
 0  0   2560 806572   5796 6646052    0    0     0     0 25420 27310  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 806196   5796 6646056    0    0     0     0 24658 26476  2  4 94  0  0
 0  0   2560 806388   5796 6646068    0    0     0    88 24749 26336  2  5 93  0  0
 0  0   2560 806208   5796 6646068    0    0     0     0 24992 26889  3  5 93  0  0
 1  0   2560 806688   5796 6646068    0    0     0     0 23811 25675  2  5 94  0  0
 0  0   2560 806104   5796 6646068    0    0     0     0 24479 25670  2  5 93  0  0
 0  0   2560 806072   5796 6646068    0    0     0     0 27163 28623  2  5 93  0  0
 0  0   2560 805952   5796 6646068    0    0     0     0 26685 27879  2  5 93  0  0
 0  0   2560 806148   5796 6646068    0    0     0    89 28710 30229  2  5 92  0  0
 1  0   2560 806484   5796 6646068    0    0     0     0 26123 28502  2  5 93  0  0
 0  0   2560 806328   5796 6646072    0    0     0     0 23216 25135  2  4 94  0  0
 0  0   2560 806812   5796 6646072    0    0     0     0 29699 31360  3  5 92  0  0
 0  0   2560 829828   5796 6646084    0    0     0   280 29891 31479  8  7 85  0  0
 0  0   2560 829624   5796 6646084    0    0     0     0 28894 30728  3  5 93  0  0
 0  0   2560 829356   5796 6646084    0    0     0     0 24275 26375  2  5 93  0  0
 1  0   2560 829400   5796 6646084    0    0     0     0 25155 27086  2  5 93  0  0
 2  0   2560 829724   5796 6646084    0    0     0     0 26644 28228  2  5 94  0  0
 1  0   2560 829332   5796 6646088    0    0     0     4 27711 29478  2  5 93  0  0
 0  0   2560 828428   5796 6646088    0    0     0     0 29184 31407  2  5 93  0  0
 1  0   2560 828888   5796 6646088    0    0     0     0 25202 26816  2  4 94  0  0
 0  0   2560 829588   5796 6646088    0    0     0     0 25759 27299  3  5 93  0  0
 3  0   2560 829148   5796 6646088    0    0     0     0 30360 31888  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 830212   5796 6646088    0    0     0     0 30694 32644  2  6 92  0  0
 1  0   2560 829412   5796 6646092    0    0     0     0 25793 27733  3  5 92  0  0
 0  0   2560 829808   5796 6646100    0    0     0     0 23305 25515  2  4 94  0  0
 1  0   2560 830164   5796 6646100    0    0     0     0 19759 21416  2  4 95  0  0
 0  0   2560 829648   5796 6646100    0    0     0     0 25411 26976  2  5 93  0  0
 0  0   2560 829556   5796 6646100    0    0     0     8 27885 29482  2  5 93  0  0
 0  0   2560 830000   5796 6646100    0    0     0     0 27256 29466  2  5 92  0  0
 1  0   2560 829996   5796 6646100    0    0     0     0 23955 25865  2  5 94  0  0
 0  0   2560 829384   5796 6646100    0    0     0     0 26538 27794  2  5 93  0  0
 0  0   2560 829480   5796 6646100    0    0     0     0 26620 28166  3  5 93  0  0
 2  0   2560 829936   5796 6646104    0    0     0    36 27861 29608  3  4 93  0  0
 0  0   2560 829868   5796 6646108    0    0     0     0 26551 28497  2  5 93  0  0
 0  0   2560 830092   5796 6646108    0    0     0     0 24422 26122  2  5 94  0  0
 0  0   2560 829716   5796 6646108    0    0     0     0 26913 28451  2  5 93  0  0
 0  0   2560 829368   5796 6646108    0    0     0     0 30187 31660  3  6 91  0  0
 0  0   2560 829372   5796 6646116    0    0     0    40 29351 31420  3  5 92  0  0
 0  0   2560 829244   5796 6646116    0    0     0    33 28617 30600  2  5 93  0  0
 0  0   2560 829532   5796 6646116    0    0     0     0 25610 27816  3  5 93  0  0
 0  0   2560 829440   5796 6646124    0    0     0     0 23024 24497  2  4 94  0  0
 1  0   2560 829692   5796 6646124    0    0     0     0 25458 27205  2  5 93  0  0
 1  0   2560 829432   5796 6646124    0    0     0     0 26353 28070  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 829168   5796 6646124    0    0     0    36 28904 30844  2  5 93  0  0
 1  0   2560 829184   5796 6646128    0    0     0     0 26005 28007  2  5 93  0  0
 0  0   2560 829800   5796 6646128    0    0     0     0 26902 29231  2  5 93  0  0
 0  0   2560 829412   5796 6646132    0    0     0     0 25311 27404  2  5 93  0  0
 0  0   2560 829504   5796 6646140    0    0     0     0 28191 29468  2  5 92  0  0
 0  0   2560 829720   5796 6646140    0    0     0     0 28139 30633  3  5 93  0  0
 1  0   2560 829764   5796 6646140    0    0     0     0 23973 26066  2  5 93  0  0
 1  0   2560 829980   5796 6646152    0    0     0     0 26527 28310  3  4 93  0  0
 0  0   2560 829728   5796 6646152    0    0     0     0 28793 30496  2  5 93  0  0
 0  0   2560 829636   5796 6646152    0    0     0     0 30287 32786  2  6 92  0  0
 0  0   2560 829020   5796 6646152    0    0     0    88 27802 30008  2  5 93  0  0
 1  0   2560 806708   5796 6646156    0    0     0     4 24400 26239  4  5 91  0  0
 1  0   2560 806880   5796 6646160    0    0     0     0 23450 25348  2  4 94  0  0
 0  0   2560 807136   5796 6646160    0    0     0     0 26587 28038  2  5 93  0  0
 1  0   2560 806868   5796 6646160    0    0     0     0 24956 26946  2  5 94  0  0
 0  0   2560 806544   5796 6646160    0    0     0     0 26685 28559  2  5 93  0  0
 1  0   2560 806864   5796 6646160    0    0     0     0 23634 25872  2  4 94  0  0
 1  0   2560 806820   5796 6646160    0    0     0     0 22835 24631  2  4 94  0  0
 0  0   2560 806844   5796 6646160    0    0     0     0 22241 24181  2  4 95  0  0
 0  0   2560 807160   5796 6646164    0    0     0     0 23665 25405  2  5 93  0  0
 1  0   2560 806584   5796 6646172    0    0     0     0 24203 26373  2  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 806772   5796 6646172    0    0     0     0 22458 24074  2  4 94  0  0
 0  0   2560 806604   5796 6646176    0    0     0     0 22501 24081  2  4 94  0  0
 1  0   2560 806900   5796 6646176    0    0     0     0 24049 25791  2  4 94  0  0
 0  0   2560 806580   5796 6646176    0    0     0     0 25385 26882  2  5 93  0  0
 0  0   2560 806444   5796 6646176    0    0     0    70 26348 27592  2  5 93  0  0
 0  0   2560 806828   5796 6646176    0    0     0     0 31569 33948  2  6 92  0  0
 0  0   2560 806192   5796 6646176    0    0     0     0 26065 28355  2  5 93  0  0
 1  0   2560 806756   5796 6646176    0    0     0     0 25971 27790  2  5 93  0  0
 0  0   2560 805540   5796 6646176    0    0     0     0 27775 29236  2  5 93  0  0
 0  0   2560 828644   5796 6646180    0    0     0   276 29756 31848  8  7 85  0  0
 0  0   2560 829252   5796 6646180    0    0     0     0 28008 29852  2  6 92  0  0
 0  0   2560 828908   5796 6646188    0    0     0     0 24574 26243  2  5 93  0  0
 0  0   2560 828608   5796 6646192    0    0     0     0 24513 26113  2  4 94  0  0
 0  0   2560 829220   5796 6646196    0    0     0     0 25219 27094  2  4 94  0  0
 0  0   2560 829484   5796 6646196    0    0     0     0 27458 29327  2  5 93  0  0
 1  0   2560 829584   5796 6646200    0    0     0     0 28551 30304  2  5 93  0  0
