Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月02日 	_x86_64_	(4 CPU)

07時48分43秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07時48分44秒  all    5.58    0.00    4.82    0.00    1.02    3.05    0.00    0.00    0.00   85.53
07時48分45秒  all    3.57    0.00    3.57    0.00    0.77    2.04    0.00    0.00    0.00   90.05
07時48分46秒  all    3.01    0.00    4.01    0.00    1.00    2.51    0.00    0.00    0.00   89.47
07時48分47秒  all    2.79    0.00    3.05    0.00    0.76    2.03    0.00    0.00    0.00   91.37
07時48分48秒  all    2.27    0.00    3.53    0.00    0.76    2.02    0.00    0.00    0.00   91.44
07時48分49秒  all    2.53    0.00    2.78    0.00    0.51    2.02    0.00    0.00    0.00   92.17
07時48分50秒  all    2.52    0.00    3.02    0.00    0.76    1.51    0.00    0.00    0.00   92.19
07時48分51秒  all    3.01    0.00    3.26    0.00    1.00    1.75    0.00    0.00    0.00   90.98
07時48分52秒  all    2.28    0.00    3.04    0.00    0.76    2.03    0.00    0.00    0.00   91.90
07時48分53秒  all    1.29    0.00    1.80    0.00    0.52    1.55    0.00    0.00    0.00   94.85
07時48分54秒  all    3.02    0.00    3.27    0.00    1.01    1.76    0.00    0.00    0.00   90.95
07時48分55秒  all    2.53    0.00    2.78    0.00    0.76    2.53    0.00    0.00    0.00   91.39
07時48分56秒  all    2.56    0.00    3.33    0.00    0.77    1.79    0.00    0.00    0.00   91.54
07時48分57秒  all    2.78    0.00    3.04    0.00    0.76    2.03    0.00    0.00    0.00   91.39
07時48分58秒  all    2.02    0.00    3.28    0.00    1.01    2.02    0.00    0.00    0.00   91.67
07時48分59秒  all    3.27    0.00    2.52    0.00    0.50    2.02    0.00    0.00    0.00   91.69
07時49分00秒  all    2.51    0.00    4.02    0.00    1.01    1.76    0.00    0.00    0.00   90.70
07時49分01秒  all    3.29    0.00    3.04    0.00    0.51    2.03    0.00    0.00    0.00   91.14
07時49分02秒  all    4.98    0.00    3.98    0.00    1.00    1.99    0.00    0.00    0.00   88.06
07時49分03秒  all    3.03    0.00    3.28    0.00    0.51    1.77    0.00    0.00    0.00   91.41
07時49分04秒  all    3.23    0.00    3.73    0.00    0.75    1.74    0.00    0.00    0.00   90.55
07時49分05秒  all    3.27    0.00    3.27    0.00    0.76    1.76    0.00    0.00    0.00   90.93
07時49分06秒  all    2.50    0.00    3.25    0.00    0.75    2.25    0.00    0.00    0.00   91.25
07時49分07秒  all    3.05    0.00    2.79    0.00    1.02    1.78    0.00    0.00    0.00   91.37
07時49分08秒  all    2.76    0.00    3.01    0.00    0.50    1.75    0.00    0.00    0.00   91.98
07時49分09秒  all    2.51    0.00    3.52    0.00    0.75    1.76    0.00    0.00    0.00   91.46
07時49分10秒  all    3.02    0.00    3.02    0.00    0.75    2.01    0.00    0.00    0.00   91.21
07時49分11秒  all    3.05    0.00    3.55    0.00    1.02    1.78    0.00    0.00    0.00   90.61
07時49分12秒  all    3.27    0.00    3.02    0.00    0.50    2.02    0.00    0.00    0.00   91.18
07時49分13秒  all    3.26    0.00    3.76    0.00    1.00    2.01    0.00    0.00    0.00   89.97
07時49分14秒  all    3.02    0.00    3.53    0.00    0.50    2.27    0.00    0.00    0.00   90.68
07時49分15秒  all    2.53    0.00    3.04    0.00    1.27    1.52    0.00    0.00    0.00   91.65
07時49分16秒  all    3.00    0.00    3.50    0.00    0.75    2.00    0.00    0.00    0.00   90.75
07時49分17秒  all    2.53    0.00    3.03    0.00    0.51    1.77    0.00    0.00    0.00   92.17
07時49分18秒  all    2.51    0.00    2.26    0.00    0.75    2.01    0.00    0.00    0.00   92.46
07時49分19秒  all    2.30    0.00    3.57    0.00    0.51    1.53    0.00    0.00    0.00   92.09
07時49分20秒  all    7.77    0.00    5.01    0.00    1.25    2.01    0.00    0.00    0.00   83.96
07時49分21秒  all    4.04    0.00    3.28    0.00    0.76    2.27    0.00    0.00    0.00   89.65
07時49分22秒  all    2.78    0.00    3.54    0.00    0.51    1.77    0.00    0.00    0.00   91.41
07時49分23秒  all    2.99    0.00    3.49    0.00    0.75    2.00    0.00    0.00    0.00   90.77
07時49分24秒  all    2.29    0.00    3.05    0.00    0.76    1.53    0.00    0.00    0.00   92.37
07時49分25秒  all    3.26    0.00    4.26    0.00    1.00    2.26    0.00    0.00    0.00   89.22
