procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 892260     28 7522708    0    0   560  2305   17   15 25  4 69  2  0
 4  1      0 872148     28 7523320    0    0   476 23209 31737 7852 68 13  8 11  0
 6  0      0 846284     28 7525720    0    0   620 25658 20450 7889 68 11  9 13  0
 3  1      0 802432     28 7550880    0    0   488 92522 16397 6354 72  9  4 15  0
 7  0      0 576340     28 7550436    0    0   336 23964 23347 10839 62 13 13 12  0
 7  0      0 562660     28 7550976    0    0   540 22572 21139 10658 62 10 14 13  0
 5  0      0 535504     28 7569900    0    0   232 49672 19622 9788 65 10 13 12  0
 3  1      0 535156     28 7567388    0    0   320 73463 17174 7021 70  9  7 14  0
 3  1      0 474392     28 7622384    0    0   448 72360 18403 8040 66  9 15 10  0
 5  1      0 459204     28 7602428    0    0   360 80540 18804 7399 72 10  7 11  0
 4  1      0 301956     28 7680336    0    0   340 95324 19235 8357 70 10 10 11  0
 6  1      0 358392     28 7614936    0    0   252 86706 20880 8424 69 11  7 14  0
 3  1      0 420324     28 7554472    0    0   560 32304 24151 9939 66 11 14  9  0
 3  1      0 416548     28 7554860    0    0   384 24176 22634 11035 65  9 13 12  0
 5  2      0 386620     28 7579632    0    0   308 72495 19655 10488 67  9 12 12  0
 4  1      0 400336     28 7562904    0    0   196 22141 21460 11254 65 10 16 10  0
 5  0      0 400264     28 7563188    0    0   284 21128 21262 9709 64 10 15 12  0
 9  2      0 395820     28 7567764    0    0   304 23325 19591 9868 62  9 19 10  0
 6  1      0 378044     28 7584952    0    0  2460 103045 19888 12015 66  9 13 13  0
 4  0      0 382040     28 7575884    0    0  4372 64900 20977 9661 68 10 10 12  0
 5  1      0 363924     28 7576008    0    0   240 19604 22436 9096 70 10 13  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2      0 359304     28 7581496    0    0   300 26547 19831 8525 68 10  9 13  0
 6  0      0 355300     28 7584984    0    0   348 78150 17787 7318 72 10  7 12  0
 6  1      0 319608     28 7622900    0    0   276 64007 19440 8311 71  9 13  7  0
 4  1      0 322168     28 7618064    0    0   360 67980 18982 7138 73  9  6 11  0
 4  2      0 290380     28 7646220    0    0   168 70003 18634 7738 73  8 10 10  0
 4  1      0 234908     28 7697076    0    0   196 68466 19687 7762 70  9  7 14  0
 5  2      0 249488     28 7680588    0    0   388 71677 19315 7634 72 10  5 14  0
 6  0      0 271512     28 7663768    0    0   332 93459 19068 7918 72  9  6 12  0
 2  2      0 175472     28 7755784    0    0   972 109827 19296 9368 69 10  8 13  0
 5  1      0 218028     28 7741064    0    0  5512 125335 20953 8180 67  9  5 19  0
 8  0      0 324612     28 7668952    0    0   552 70136 22788 6738 72 10  6 12  0
 4  2      0 375628     28 7669428    0    0   392 76072 23729 8668 69 10 11 10  0
 3  2      0 419976     28 7620956    0    0   164 96429 20618 9235 66 11 10 14  0
 8  0      0 462164     28 7600240    0    0   288 90276 21532 8331 66 10  9 14  0
 4  1      0 471284     28 7585212    0    0   396 19140 23467 10441 61 11 19  9  0
 6  1      0 438048     28 7585500    0    0   288 19272 22333 10380 67 10 15  8  0
 5  1      0 405200     28 7605564    0    0   220 58659 19401 8919 67 10  8 15  0
 4  1      0 405064     28 7609360    0    0   300 96291 19308 7830 70 10  6 15  0
 4  1      0 416528     28 7599804    0    0   456 19236 24959 10247 64 10 18  8  0
 6  0      0 410164     28 7600212    0    0   408 20888 22336 12164 60 10 19 11  0
 8  0      0 386804     28 7618820    0    0   136 57377 20514 11537 65  9 14 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  1      0 347268     28 7649176    0    0   224 73620 18586 7740 69  8 11 12  0
 4  1      0 316740     28 7673620    0    0  3788 77542 19834 8962 67  9 12 12  0
 1  1      0 376236     28 7610348    0    0   332 34809 25975 15035 62 10 18 11  0
 4  1      0 354100     28 7629092    0    0   228 58145 19337 9459 66 10 11 12  0
 5  0      0 325184     28 7651220    0    0   160 98140 19203 7730 67 10  7 16  0
 2  1      0 365844     28 7609472    0    0   268 19988 20939 6776 72 10  8 11  0
 3  1      0 363380     28 7609540    0    0    96 17352 21998 10332 66 10 17  7  0
 5  1      0 335384     28 7628460    0    0   180 46132 19754 11714 64 10 18  8  0
 8  0      0 346312     28 7619292    0    0   408 66320 19026 7351 69 10  8 12  0
 4  1      0 340604     28 7619676    0    0   412 19092 22648 11112 62 10 16 12  0
 3  1      0 337264     28 7619920    0    0   216 20336 21493 11118 62  9 19 10  0
 5  1      0 316836     28 7634644    0    0   360 52836 19133 8958 70  9 10 11  0
 2  2      0 293988     28 7657140    0    0   116 75322 18383 7514 71  9  6 14  0
 4  1      0 179364     28 7764424    0    0   140 126268 19181 8708 65 10  7 18  0
 3  1      0 206756     28 7736096    0    0   176 101953 20297 8442 67 10 10 14  0
 3  1      0 254952     28 7738832    0    0   276 94292 24723 9134 68 10 13 10  0
 6  0      0 263544     28 7736132    0    0   136 80986 21436 8978 66 10 14 10  0
 4  1      0 338912     28 7645512    0    0   188 39257 21523 8961 67 10 13 10  0
 5  0      0 357964     28 7621896    0    0   256 17668 22764 10991 64 11 17  8  0
 5  0      0 340624     28 7623092    0    0  1164 20847 22103 13326 62 10 14 14  0
 7  0      0 313020     28 7638096    0    0    92 74572 18137 8086 70 10  8 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 315740     28 7627152    0    0   256 20560 22162 9970 64 10 18  7  0
 3  0      0 307992     28 7627412    0    0   260 19741 20946 10267 67  9 14 10  0
 6  0      0 296020     28 7629216    0    0   392 19673 21036 11421 63  9 20  8  0
 4  1      0 273384     28 7643992    0    0   144 72125 17522 8356 68  9 12 11  0
 5  0      0 215988     28 7698584    0    0   324 77645 18802 8018 71  9  7 13  0
 4  1      0 250760     28 7656912    0    0   264 44016 21463 8889 68  9 11 13  0
 7  0      0 272848     28 7635752    0    0   156 20512 22286 9628 67 10 12 11  0
 5  1      0 276468     28 7636812    0    0   172 64620 19188 7572 72 10  8 11  0
 5  0      0 271296     28 7637012    0    0   192 20200 20751 9381 66 10 14  9  0
 4  0      0 265716     28 7637176    0    0   164 21604 19511 7758 69 10 12  9  0
 2  2      0 239760     28 7655348    0    0   316 38463 19889 10508 67  9 15  9  0
 5  0      0 247472     28 7642220    0    0   160 67143 17240 7210 71 10  7 12  0
 4  1      0 243352     28 7642536    0    0   316 18628 20839 7823 67 10 11 12  0
 0  1      0 239536     28 7642592    0    0    56 17684 24104 16142 59  9 23  9  0
 3  1      0 226440     28 7654364    0    0   252 33490 20498 12074 62  9 19 10  0
 4  0      0 202948     28 7671984    0    0  5200 80952 18105 8541 65 10 12 13  0
 5  0      0 186952     28 7687020    0    0   132 88961 18757 6998 67 10  7 17  0
 3  1      0 159892     28 7713288    0    0    76 69555 17696 7369 70  9 12  9  0
 7  0      0 199952     28 7673744    0    0   204 75149 19277 7807 70  9 10 11  0
 6  1      0 169396     28 7703296    0    0   256 94020 20019 8610 70  9 11 10  0
 3  1      0 203644     28 7670280    0    0   232 82495 20170 8383 70 10  8 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 290972     28 7577328    0    0   220 50771 21809 7694 70 11  4 15  0
 3  1      0 304260     28 7559536    0    0   116 29525 21470 10547 66 10 14 10  0
 4  1      0 296208     28 7566272    0    0   140 65402 17489 7254 72  9  9 10  0
 3  1      0 300812     28 7558504    0    0   284 20392 20514 9046 65 10 13 12  0
 5  1      0 301052     28 7558640    0    0   252 18464 22337 11350 66 10 16  8  0
 6  1      0 285268     28 7573280    0    0   224 33018 20343 11708 60  9 19 12  0
 4  1      0 278788     28 7581168    0    0   172 74192 17586 8512 70  8  8 14  0
 5  0      0 222120     28 7636756    0    0    76 72880 18296 7606 71  9  8 11  0
 3  2      0 243408     28 7616976    0    0   192 77149 19236 7848 70  9 12  9  0
 6  1      0 185064     28 7678448    0    0   148 88730 19367 7602 69  9 10 12  0
 3  2      0 215728     28 7654900    0    0   872 80579 21512 9665 66 11 14  9  0
 3  1      0 263828     28 7602652    0    0   180 73001 19180 9406 65 10 11 13  0
 8  0      0 286384     28 7589788    0    0   312 103934 20393 8341 64 11  9 16  0
 7  1      0 284744     28 7602572    0    0    88 48968 19526 7610 70  8 11 11  0
 4  2      0 235424     28 7662640    0    0   228 73016 21991 10323 64 11 15 11  0
 4  1      0 201188     28 7685752    0    0   444 50291 20065 8498 68  9 14  9  0
 3  1      0 263584     28 7626596    0    0   120 92999 18505 8412 68 11  7 14  0
 4  0      0 336248     28 7548444    0    0   208 21116 24689 13362 60 11 19 10  0
