procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 897904   5796 6583000    0    0     0     1    0    1  0  0 100  0  0
 1  0   2560 848480   5796 6583060    0    0     0     0 39489 26721 11 11 78  0  0
 1  0   2560 841340   5796 6583084    0    0     0     0 22300 21388  2  4 94  0  0
 1  0   2560 840776   5796 6583084    0    0     0     0 20090 18389  1  4 94  0  0
 0  0   2560 839456   5796 6583084    0    0     0     0 15049 13426  2  3 96  0  0
 0  0   2560 839920   5796 6583084    0    0     0     0 18893 17482  1  4 95  0  0
 0  0   2560 839856   5796 6583088    0    0     0    12 18633 17212  2  3 95  0  0
 1  0   2560 839476   5796 6583088    0    0     0     0 22353 20915  2  5 93  0  0
 0  0   2560 839456   5796 6583088    0    0     0     0 22689 21149  2  4 94  0  0
 0  0   2560 839636   5796 6583096    0    0     0     0 21876 20440  2  4 94  0  0
 0  0   2560 840192   5796 6583096    0    0     0     0 21701 20407  1  4 95  0  0
 0  0   2560 836964   5796 6583112    0    0     0     0 20017 18634  2  4 95  0  0
 3  0   2560 836716   5796 6583112    0    0     0     0 17003 15157  1  3 96  0  0
 0  0   2560 835992   5796 6583112    0    0     0     0 14977 13291  1  3 96  0  0
 0  0   2560 835928   5796 6583116    0    0     0     0 18290 16836  2  3 95  0  0
 1  0   2560 836700   5796 6583120    0    0     0     0 22079 20872  2  4 94  0  0
 0  0   2560 837268   5796 6583124    0    0     0     0 22410 20876  2  5 93  0  0
 1  0   2560 837296   5796 6583132    0    0     0     0 24034 22870  2  4 94  0  0
 0  0   2560 837436   5796 6583132    0    0     0    70 22822 21509  2  5 93  0  0
 0  0   2560 836544   5796 6583132    0    0     0     0 21854 20469  2  4 94  0  0
 1  0   2560 836348   5796 6583136    0    0     0     0 16428 14824  1  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 836104   5796 6583148    0    0     0     0 19758 18116  2  4 94  0  0
 0  0   2560 836512   5796 6583148    0    0     0     0 19222 17874  1  3 96  0  0
 0  0   2560 836476   5796 6583148    0    0     0     0 18300 16784  2  4 95  0  0
 0  0   2560 836000   5796 6583156    0    0     0     0 19621 18050  2  3 95  0  0
 0  0   2560 836744   5796 6583160    0    0     0     0 18877 17327  1  3 96  0  0
 0  0   2560 835148   5796 6583160    0    0     0    36 20734 19374  2  4 94  0  0
 0  0   2560 835204   5796 6583164    0    0     0     0 19750 18216  2  4 94  0  0
 0  0   2560 834480   5796 6583164    0    0     0     0 15689 13816  2  3 96  0  0
 0  0   2560 833608   5796 6583164    0    0     0     0 15749 14031  1  3 96  0  0
 1  0   2560 834268   5796 6583172    0    0     0     0 20015 18630  1  3 96  0  0
 0  0   2560 834056   5796 6583172    0    0     0   176 18478 16994  2  4 94  0  0
 0  0   2560 834504   5796 6583192    0    0     0     0 17234 15850  1  3 95  0  0
 1  0   2560 811952   5796 6583192    0    0     0     4 17690 16240  4  5 91  0  0
 1  0   2560 811484   5796 6583192    0    0     0     0 19900 18606  2  4 95  0  0
 0  0   2560 811652   5796 6583196    0    0     0     0 19963 18621  2  3 95  0  0
 0  0   2560 811584   5796 6583196    0    0     0     0 21530 20129  2  4 95  0  0
 1  0   2560 811264   5796 6583196    0    0     0     0 17834 16196  2  4 94  0  0
 1  0   2560 811244   5796 6583196    0    0     0     0 18533 17034  1  4 95  0  0
 0  0   2560 810512   5796 6583204    0    0     0     0 15780 14245  2  3 95  0  0
 1  0   2560 810608   5796 6583228    0    0     0     0 17898 16683  1  3 96  0  0
 0  0   2560 810680   5796 6583232    0    0     0     0 18208 17227  2  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 809980   5796 6583244    0    0     0     0 20053 18371  2  4 95  0  0
 0  0   2560 810632   5796 6583260    0    0     0     0 21234 19674  2  4 95  0  0
 2  0   2560 810600   5796 6583264    0    0     0     0 22652 21287  2  4 94  0  0
 1  0   2560 810740   5796 6583268    0    0     0     0 20790 19570  1  4 95  0  0
 0  0   2560 810520   5796 6583268    0    0     0     4 17435 15690  2  4 94  0  0
 0  0   2560 809840   5796 6583276    0    0     0     0 16198 14331  1  3 96  0  0
 0  0   2560 809556   5796 6583276    0    0     0     0 16700 15170  2  4 95  0  0
 0  0   2560 810104   5796 6583280    0    0     0   125 22182 20794  3  4 93  0  0
 0  0   2560 810332   5796 6583280    0    0     0     0 21463 19958  1  5 94  0  0
 2  0   2560 830116   5796 6583284    0    0     0     0 24242 23007  2  5 93  0  0
 0  0   2560 833728   5796 6583284    0    0     0   272 22060 20431  7  6 87  0  0
 1  0   2560 833808   5796 6583300    0    0     0     0 22598 21250  2  5 93  0  0
 0  0   2560 833840   5796 6583304    0    0     0     0 19766 18302  2  4 94  0  0
 1  0   2560 833508   5796 6583312    0    0     0     0 20046 18561  2  4 94  0  0
 0  0   2560 833480   5796 6583312    0    0     0     0 19666 18060  2  4 94  0  0
 1  0   2560 834388   5796 6583312    0    0     0     0 22256 20969  2  4 94  0  0
 1  0   2560 834332   5796 6583316    0    0     0     0 23124 21828  2  5 94  0  0
 0  0   2560 834040   5796 6583320    0    0     0     0 23745 22442  2  5 94  0  0
 0  0   2560 833976   5796 6583320    0    0     0     0 23535 22441  2  4 94  0  0
 0  0   2560 833492   5796 6583320    0    0     0     0 18982 17260  2  4 94  0  0
 0  0   2560 833284   5796 6583320    0    0     0   204 15890 13982  1  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 832252   5796 6583332    0    0     0     0 15984 14057  1  3 96  0  0
 0  0   2560 831948   5796 6583344    0    0     0     0 15110 13508  1  3 96  0  0
 0  0   2560 832560   5796 6583348    0    0     0     0 13860 12088  1  3 96  0  0
 0  0   2560 832384   5796 6583348    0    0     0     0 15815 13973  2  3 96  0  0
 0  0   2560 833188   5796 6583348    0    0     0     8 19997 18606  2  4 94  0  0
 1  0   2560 833708   5796 6583352    0    0     0     0 23288 22053  2  4 94  0  0
 1  0   2560 833836   5796 6583352    0    0     0     0 24232 23088  2  5 93  0  0
 0  0   2560 833024   5796 6583360    0    0     0     0 18994 17484  1  4 95  0  0
 0  0   2560 833136   5796 6583360    0    0     0     0 20629 19251  2  4 94  0  0
 0  0   2560 833184   5796 6583360    0    0     0    16 18670 17132  1  3 96  0  0
 2  0   2560 833268   5796 6583364    0    0     0     0 21625 20239  2  4 93  0  0
 0  0   2560 833788   5796 6583380    0    0     0     0 23787 22275  2  5 94  0  0
 1  0   2560 834136   5796 6583380    0    0     0     0 22387 21160  2  4 94  0  0
 0  0   2560 834136   5796 6583380    0    0     0     0 22060 20515  2  4 94  0  0
 0  0   2560 834040   5796 6583380    0    0     0     0 22479 21258  2  5 93  0  0
 0  0   2560 833628   5796 6583396    0    0     0     0 17557 15971  1  3 95  0  0
 1  0   2560 832584   5796 6583396    0    0     0    57 17351 15820  1  4 95  0  0
 0  0   2560 832112   5796 6583396    0    0     0     0 16646 14897  2  3 96  0  0
 0  0   2560 832428   5796 6583416    0    0     0     0 15349 14085  1  3 96  0  0
 1  0   2560 832352   5796 6583420    0    0     0    36 19917 18539  2  4 95  0  0
 0  0   2560 833060   5796 6583420    0    0     0     0 21738 20500  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 833592   5796 6583420    0    0     0     0 22909 21465  2  5 94  0  0
 0  0   2560 833700   5796 6583432    0    0     0     0 23275 21832  2  4 94  0  0
 0  0   2560 833436   5796 6583440    0    0     0     0 20470 19303  2  4 94  0  0
 0  0   2560 833248   5796 6583444    0    0     0     0 19771 18293  2  4 95  0  0
 0  0   2560 832936   5796 6583460    0    0     0     0 17126 15246  1  3 96  0  0
 2  0   2560 832112   5796 6583464    0    0     0     0 16737 14876  2  3 95  0  0
 0  0   2560 832896   5796 6583468    0    0     0     0 15739 14333  1  3 96  0  0
 0  0   2560 832760   5796 6583472    0    0     0     0 15511 13999  1  3 96  0  0
 1  0   2560 832128   5796 6583476    0    0     0     0 15650 13994  1  3 96  0  0
 0  0   2560 832980   5796 6583484    0    0     0    56 17497 15964  2  3 95  0  0
 0  0   2560 810216   5796 6583492    0    0     0     4 15910 14776  4  4 93  0  0
 0  0   2560 809664   5796 6583504    0    0     0     0 17996 16417  1  4 95  0  0
 1  0   2560 810016   5796 6583504    0    0     0     0 16051 14421  2  4 95  0  0
 1  0   2560 811632   5796 6583508    0    0     0     0 15655 13804  1  3 96  0  0
 0  0   2560 811132   5796 6583508    0    0     0   192 15348 13848  2  3 95  0  0
 1  0   2560 811300   5796 6583508    0    0     0     0 14346 12981  1  3 96  0  0
 0  0   2560 811828   5796 6583508    0    0     0     0 15369 13505  1  3 96  0  0
 0  0   2560 811532   5796 6583520    0    0     0     0 15823 14074  2  3 96  0  0
 1  0   2560 811260   5796 6583520    0    0     0     0 17014 15026  1  3 96  0  0
 0  0   2560 811312   5796 6583524    0    0     0     0 17081 15456  2  4 94  0  0
 0  0   2560 811848   5796 6583524    0    0     0     0 19434 17856  1  5 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 812228   5796 6583528    0    0     0     0 16931 15378  2  3 95  0  0
 0  0   2560 812224   5796 6583544    0    0     0     0 15926 14631  1  4 95  0  0
 0  0   2560 810816   5796 6583544    0    0     0     0 13224 11688  1  3 96  0  0
 0  0   2560 810352   5796 6583544    0    0     0     4 14414 12999  1  3 95  0  0
 0  0   2560 809728   5796 6583552    0    0     0    81 13530 11992  1  3 96  0  0
 0  0   2560 809972   5796 6583552    0    0     0     0 17663 16130  1  3 96  0  0
 1  0   2560 810688   5796 6583556    0    0     0     0 19565 18199  2  4 95  0  0
 0  0   2560 835528   5796 6583556    0    0     0   272 22076 20460  8  6 86  0  0
 0  0   2560 835496   5796 6583556    0    0     0    16 21968 20556  2  4 94  0  0
 0  0   2560 835892   5796 6583556    0    0     0     0 22585 21143  2  5 93  0  0
 0  0   2560 835704   5796 6583556    0    0     0     0 21836 20199  2  4 94  0  0
 0  0   2560 835568   5796 6583580    0    0     0     0 16656 14976  2  3 95  0  0
 0  0   2560 835420   5796 6583584    0    0     0     0 17541 15755  1  3 95  0  0
 1  0   2560 834572   5796 6583584    0    0     0     0 16404 14775  1  3 95  0  0
 0  0   2560 834520   5796 6583588    0    0     0     0 18795 17072  2  3 95  0  0
 1  0   2560 834744   5796 6583596    0    0     0     0 21297 19965  2  4 95  0  0
 0  0   2560 834940   5796 6583612    0    0     0     0 19241 17780  2  3 94  0  0
 0  0   2560 835148   5796 6583612    0    0     0     0 20307 19131  1  4 95  0  0
 0  0   2560 835676   5796 6583612    0    0     0     0 20787 19622  2  4 94  0  0
 1  0   2560 836088   5796 6583620    0    0     0     0 18041 16593  2  3 95  0  0
 0  0   2560 835256   5796 6583624    0    0     0     0 15866 14212  1  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 834716   5796 6583624    0    0     0     0 14278 12623  1  3 96  0  0
 0  0   2560 834576   5796 6583636    0    0     0     0 15180 13616  2  3 96  0  0
 1  0   2560 834552   5796 6583636    0    0     0   196 19294 17851  1  4 95  0  0
 0  0   2560 836032   5796 6583640    0    0     0     0 22968 22073  2  4 94  0  0
 0  0   2560 836204   5796 6583644    0    0     0     0 23332 22181  1  4 95  0  0
 0  0   2560 836148   5796 6583648    0    0     0     0 23751 22510  2  5 94  0  0
 0  0   2560 836644   5796 6583656    0    0     0     0 23188 21994  2  4 95  0  0
 0  0   2560 835504   5796 6583676    0    0     0     0 18976 17358  1  4 94  0  0
 0  0   2560 835076   5796 6583676    0    0     0   164 17613 16067  2  3 95  0  0
 0  0   2560 835336   5796 6583680    0    0     0     0 19266 18016  1  3 96  0  0
 0  0   2560 835232   5796 6583680    0    0     0     0 22129 20542  2  4 94  0  0
 0  0   2560 835552   5796 6583692    0    0     0     0 21501 20214  2  4 94  0  0
 0  0   2560 835852   5796 6583692    0    0     0     0 22742 21482  2  5 94  0  0
 0  0   2560 835716   5796 6583704    0    0     0    40 23100 21755  2  4 94  0  0
 0  0   2560 835476   5796 6583704    0    0     0     0 18932 17557  1  3 95  0  0
 0  0   2560 834888   5796 6583704    0    0     0     0 18023 16350  2  3 95  0  0
 1  0   2560 834188   5796 6583708    0    0     0     0 15452 13552  1  3 96  0  0
 0  0   2560 834712   5796 6583708    0    0     0     0 16083 14804  1  3 96  0  0
 1  0   2560 835164   5796 6583712    0    0     0     0 19954 18593  2  4 95  0  0
 1  0   2560 835864   5796 6583712    0    0     0     0 22641 21336  2  4 95  0  0
 1  0   2560 836216   5796 6583712    0    0     0     0 24380 23131  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 836616   5796 6583720    0    0     0     0 24112 22744  2  5 94  0  0
 0  0   2560 835584   5796 6583732    0    0     0     0 22205 20582  2  4 94  0  0
 0  0   2560 835236   5796 6583740    0    0     0     0 21416 20081  2  4 94  0  0
 0  0   2560 835300   5796 6583740    0    0     0     0 19696 18141  1  3 96  0  0
 0  0   2560 835892   5796 6583740    0    0     0     0 22637 21431  2  4 95  0  0
 0  0   2560 836096   5796 6583740    0    0     0     0 23135 21751  2  5 94  0  0
 0  0   2560 812328   5796 6583740    0    0     0     4 18573 17077  4  5 91  0  0
 0  0   2560 816228   5796 6583748    0    0     0   216 21350 20015  2  5 93  0  0
 2  0   2560 816700   5796 6583756    0    0     0     0 21029 19422  2  4 95  0  0
 2  0   2560 816540   5796 6583756    0    0     0     0 19189 17608  2  4 94  0  0
 0  0   2560 816036   5796 6583756    0    0     0     0 16781 15252  2  4 94  0  0
 0  0   2560 821048   5796 6583760    0    0     0     0 14550 12918  2  3 96  0  0
 0  0   2560 820744   5796 6583772    0    0     0     0 14948 13168  1  3 96  0  0
 1  0   2560 820804   5796 6583772    0    0     0     0 17226 15823  1  3 95  0  0
 1  0   2560 821296   5796 6583780    0    0     0     0 22238 21013  1  4 95  0  0
 0  0   2560 821324   5796 6583800    0    0     0     0 22501 21197  2  5 94  0  0
 0  0   2560 821496   5796 6583808    0    0     0     0 21301 20132  2  4 94  0  0
 0  0   2560 821576   5796 6583808    0    0     0     0 21691 20420  1  4 95  0  0
 1  0   2560 821388   5796 6583808    0    0     0     0 17556 16014  2  4 95  0  0
 0  0   2560 821484   5796 6583808    0    0     0     0 16927 15226  2  4 95  0  0
 0  0   2560 820636   5796 6583812    0    0     0     0 15591 13634  1  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 820420   5796 6583816    0    0     0     0 16255 14858  1  4 95  0  0
 0  0   2560 820328   5796 6583828    0    0     0   164 17423 15914  1  4 95  0  0
 0  0   2560 820552   5796 6583836    0    0     0     0 20292 18983  2  4 95  0  0
 2  0   2560 843464   5796 6583840    0    0     0   108 21121 19893  5  5 91  0  0
 0  0   2560 845036   5796 6583840    0    0     0   164 19243 18071  5  5 90  0  0
 1  0   2560 844636   5796 6583844    0    0     0     0 21230 19750  2  4 94  0  0
 1  0   2560 844448   5796 6583844    0    0     0     0 17307 15557  1  4 95  0  0
 0  0   2560 844732   5796 6583844    0    0     0     0 20613 19238  1  4 95  0  0
 0  0   2560 845364   5796 6583844    0    0     0     0 19159 17613  2  4 94  0  0
 0  0   2560 844916   5796 6583848    0    0     0     0 20551 19060  2  5 94  0  0
 1  0   2560 844932   5796 6583876    0    0     0     0 22925 21476  2  5 93  0  0
 4  0   2560 845580   5796 6583876    0    0     0     0 22336 20639  2  5 94  0  0
 0  0   2560 845496   5796 6583892    0    0     0     0 21296 19736  2  4 94  0  0
 0  0   2560 845720   5796 6583892    0    0     0     0 21307 19771  2  5 93  0  0
 0  0   2560 844928   5796 6583896    0    0     0     0 18267 16404  2  4 95  0  0
 1  0   2560 845000   5796 6583896    0    0     0     0 18709 17024  2  4 95  0  0
 0  0   2560 844424   5796 6583896    0    0     0     0 13754 12074  1  3 96  0  0
 0  0   2560 844260   5796 6583904    0    0     0   180 19056 17662  2  4 95  0  0
 0  0   2560 845864   5796 6583904    0    0     0     0 23207 21799  2  5 93  0  0
 0  0   2560 845128   5796 6583908    0    0     0     0 23602 22042  2  5 93  0  0
 0  0   2560 846048   5796 6583908    0    0     0     0 23861 22457  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 845540   5796 6583908    0    0     0     0 21735 20267  2  4 95  0  0
 1  0   2560 844768   5796 6583920    0    0     0    76 17386 15711  1  4 95  0  0
 0  0   2560 844652   5796 6583920    0    0     0     0 17426 15831  2  3 95  0  0
 2  0   2560 844456   5796 6583924    0    0     0     0 16306 14611  1  3 96  0  0
 1  0   2560 844240   5796 6583936    0    0     0     0 17017 15534  1  4 95  0  0
 0  0   2560 844036   5796 6583940    0    0     0     0 17707 16285  2  3 95  0  0
 1  0   2560 843900   5796 6583940    0    0     0    16 18251 16856  1  3 96  0  0
 0  0   2560 844752   5796 6583944    0    0     0     0 20354 18632  2  4 95  0  0
 1  0   2560 845588   5796 6583944    0    0     0     0 23257 21948  2  5 94  0  0
 0  0   2560 845472   5796 6583944    0    0     0     0 22207 20859  2  4 94  0  0
 0  0   2560 845200   5796 6583944    0    0     0     0 16350 14989  2  3 95  0  0
 0  0   2560 844848   5796 6583944    0    0     0   108 17531 16133  1  3 96  0  0
 0  0   2560 844264   5796 6583976    0    0     0     4 17354 16014  1  3 96  0  0
 0  0   2560 845052   5796 6583988    0    0     0     0 18747 17211  2  4 95  0  0
 0  0   2560 845636   5796 6583988    0    0     0     0 24641 23176  2  5 94  0  0
 0  0   2560 846144   5796 6583988    0    0     0     0 22392 20933  2  4 94  0  0
 0  0   2560 846032   5796 6583988    0    0     0     0 23289 22198  2  4 94  0  0
 0  0   2560 845404   5796 6583992    0    0     0    36 19155 17527  2  3 95  0  0
 0  0   2560 844480   5796 6584000    0    0     0     0 17772 16145  2  4 95  0  0
 0  0   2560 844720   5796 6584008    0    0     0     0 21392 19810  2  4 94  0  0
 0  0   2560 844484   5796 6584008    0    0     0     0 18918 17295  1  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 845040   5796 6584008    0    0     0     0 21878 20374  2  4 95  0  0
 0  0   2560 845172   5796 6584028    0    0     0     0 23045 21746  2  4 94  0  0
 0  0   2560 845844   5796 6584028    0    0     0     0 23575 22280  2  5 94  0  0
 0  0   2560 845736   5796 6584028    0    0     0     0 23290 21656  3  5 92  0  0
 0  0   2560 820696   5796 6584028    0    0     0     4 17250 15508  3  5 92  0  0
 0  0   2560 819528   5796 6584032    0    0     0     0 15744 14117  2  3 96  0  0
 0  0   2560 819104   5796 6584040    0    0     0   172 14877 13363  1  3 96  0  0
 0  0   2560 819036   5796 6584040    0    0     0     0 14821 12808  1  3 96  0  0
 0  0   2560 819164   5796 6584040    0    0     0     0 15706 14155  1  4 95  0  0
 0  0   2560 819448   5796 6584044    0    0     0     0 19139 17822  1  3 96  0  0
 1  0   2560 820032   5796 6584048    0    0     0     0 19886 18596  2  4 95  0  0
 0  0   2560 820212   5796 6584048    0    0     0    36 19112 17470  1  4 95  0  0
