Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月11日 	_x86_64_	(4 CPU)

16時53分31秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16時53分32秒  all    9.77    0.00    7.02    0.00    0.75    2.76    0.00    0.00    0.00   79.70
16時53分33秒  all    2.26    0.00    1.51    0.00    0.75    1.26    0.00    0.00    0.00   94.22
16時53分34秒  all    1.27    0.00    2.03    0.00    0.51    1.27    0.00    0.00    0.00   94.94
16時53分35秒  all    2.02    0.00    2.02    0.00    0.25    1.51    0.00    0.00    0.00   94.21
16時53分36秒  all    2.26    0.00    2.51    0.00    0.75    1.75    0.00    0.00    0.00   92.73
16時53分37秒  all    2.01    0.00    1.26    0.00    0.75    1.01    0.00    0.00    0.00   94.97
16時53分38秒  all    1.02    0.00    2.03    0.00    0.51    1.02    0.00    0.00    0.00   95.43
16時53分39秒  all    1.98    0.00    2.23    0.00    0.50    1.73    0.00    0.00    0.00   93.56
16時53分40秒  all    1.52    0.00    1.77    0.00    0.76    1.01    0.00    0.00    0.00   94.95
16時53分41秒  all    1.52    0.00    2.03    0.00    0.25    1.27    0.00    0.00    0.00   94.94
16時53分42秒  all    1.50    0.00    2.01    0.00    0.75    1.25    0.00    0.00    0.00   94.49
16時53分43秒  all    2.01    0.00    1.25    0.00    0.50    1.25    0.00    0.00    0.00   94.99
16時53分44秒  all    1.75    0.00    2.26    0.00    0.50    1.50    0.00    0.00    0.00   93.98
16時53分45秒  all    1.78    0.00    1.78    0.00    0.51    1.27    0.00    0.00    0.00   94.67
16時53分46秒  all    1.75    0.00    2.00    0.00    1.00    1.25    0.00    0.00    0.00   94.00
16時53分47秒  all    1.75    0.00    2.51    0.00    0.25    1.25    0.00    0.00    0.00   94.24
16時53分48秒  all    1.51    0.00    2.01    0.00    0.75    1.51    0.00    0.00    0.00   94.22
16時53分49秒  all    2.51    0.00    2.26    0.00    0.50    1.25    0.00    0.00    0.00   93.48
16時53分50秒  all    1.52    0.00    2.02    0.00    0.51    1.52    0.00    0.00    0.00   94.44
16時53分51秒  all    1.25    0.00    2.01    0.00    0.75    1.00    0.00    0.00    0.00   94.99
16時53分52秒  all    1.52    0.00    1.26    0.00    0.51    1.01    0.00    0.00    0.00   95.71
16時53分53秒  all    1.50    0.00    2.01    0.00    0.75    1.50    0.00    0.00    0.00   94.24
16時53分54秒  all    1.51    0.00    1.76    0.00    0.50    1.26    0.00    0.00    0.00   94.97
16時53分55秒  all    1.01    0.00    2.27    0.00    0.51    1.26    0.00    0.00    0.00   94.95
16時53分56秒  all    1.99    0.00    2.49    0.00    1.00    1.49    0.00    0.00    0.00   93.03
16時53分57秒  all    1.53    0.00    1.78    0.00    0.25    1.02    0.00    0.00    0.00   95.42
16時53分58秒  all    1.75    0.00    2.25    0.00    0.75    1.50    0.00    0.00    0.00   93.75
16時53分59秒  all    0.76    0.00    1.76    0.00    0.50    1.01    0.00    0.00    0.00   95.97
16時54分00秒  all    2.27    0.00    1.76    0.00    0.76    1.51    0.00    0.00    0.00   93.70
16時54分01秒  all    3.79    0.00    2.78    0.00    0.51    1.26    0.00    0.00    0.00   91.67
16時54分02秒  all    1.51    0.00    1.76    0.00    0.76    1.26    0.00    0.00    0.00   94.71
16時54分03秒  all    1.26    0.00    1.52    0.00    0.51    1.26    0.00    0.00    0.00   95.45
16時54分04秒  all    1.75    0.00    1.75    0.00    0.50    1.50    0.00    0.00    0.00   94.50
16時54分05秒  all    1.27    0.00    1.78    0.00    1.02    1.27    0.00    0.00    0.00   94.67
16時54分06秒  all    1.76    0.00    2.02    0.00    0.50    1.01    0.00    0.00    0.00   94.71
16時54分07秒  all    0.75    0.00    1.75    0.00    0.50    1.50    0.00    0.00    0.00   95.49
16時54分08秒  all    1.75    0.00    1.25    0.00    0.50    0.75    0.00    0.00    0.00   95.75
16時54分09秒  all    1.25    0.00    1.75    0.00    0.50    1.00    0.00    0.00    0.00   95.49
16時54分10秒  all    1.51    0.00    2.02    0.00    0.50    1.26    0.00    0.00    0.00   94.71
16時54分11秒  all    2.26    0.00    2.26    0.00    0.50    1.25    0.00    0.00    0.00   93.73
16時54分12秒  all    1.00    0.00    1.50    0.00    0.75    1.25    0.00    0.00    0.00   95.50
16時54分13秒  all    0.75    0.00    1.76    0.00    0.50    1.01    0.00    0.00    0.00   95.98
16時54分14秒  all    2.27    0.00    1.76    0.00    0.50    1.26    0.00    0.00    0.00   94.21
16時54分15秒  all    1.52    0.00    2.02    0.00    0.76    1.26    0.00    0.00    0.00   94.44
16時54分16秒  all    1.75    0.00    2.75    0.00    0.75    1.25    0.00    0.00    0.00   93.50
16時54分17秒  all    1.01    0.00    1.52    0.00    0.51    1.27    0.00    0.00    0.00   95.70
16時54分18秒  all    1.51    0.00    1.51    0.00    0.50    1.26    0.00    0.00    0.00   95.21
16時54分19秒  all    7.29    0.00    3.77    0.00    0.75    1.51    0.00    0.00    0.00   86.68
16時54分20秒  all    2.01    0.00    2.26    0.00    0.50    1.26    0.00    0.00    0.00   93.97
16時54分21秒  all    1.52    0.00    1.52    0.00    0.76    1.52    0.00    0.00    0.00   94.68
16時54分22秒  all    2.23    0.00    2.23    0.00    0.74    0.99    0.00    0.00    0.00   93.80
16時54分23秒  all    1.77    0.00    2.02    0.00    0.25    1.77    0.00    0.00    0.00   94.19
16時54分24秒  all    1.52    0.00    2.02    0.00    1.01    1.26    0.00    0.00    0.00   94.19
16時54分25秒  all    2.00    0.00    2.24    0.00    0.75    1.50    0.00    0.00    0.00   93.52
16時54分26秒  all    1.76    0.00    2.02    0.00    0.25    1.01    0.00    0.00    0.00   94.96
16時54分27秒  all    1.26    0.00    1.76    0.00    1.01    1.51    0.00    0.00    0.00   94.47
16時54分28秒  all    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
16時54分29秒  all    1.26    0.00    2.02    0.00    0.76    1.01    0.00    0.00    0.00   94.96
16時54分30秒  all    1.51    0.00    1.76    0.00    0.75    1.51    0.00    0.00    0.00   94.47
16時54分31秒  all    2.02    0.00    2.27    0.00    0.76    1.26    0.00    0.00    0.00   93.69
16時54分32秒  all    2.51    0.00    2.51    0.00    0.50    1.75    0.00    0.00    0.00   92.73
16時54分33秒  all    2.00    0.00    1.75    0.00    1.00    1.00    0.00    0.00    0.00   94.25
16時54分34秒  all    1.01    0.00    2.02    0.00    0.25    1.26    0.00    0.00    0.00   95.45
16時54分35秒  all    2.26    0.00    2.26    0.00    0.75    1.00    0.00    0.00    0.00   93.73
16時54分36秒  all    1.26    0.00    2.02    0.00    0.50    1.76    0.00    0.00    0.00   94.46
16時54分37秒  all    1.01    0.00    2.27    0.00    0.50    1.26    0.00    0.00    0.00   94.96
16時54分38秒  all    1.76    0.00    1.76    0.00    0.50    1.01    0.00    0.00    0.00   94.96
16時54分39秒  all    1.24    0.00    1.99    0.00    1.00    1.24    0.00    0.00    0.00   94.53
16時54分40秒  all    1.52    0.00    1.78    0.00    0.25    1.27    0.00    0.00    0.00   95.18
16時54分41秒  all    1.25    0.00    2.26    0.00    1.00    1.00    0.00    0.00    0.00   94.49
16時54分42秒  all    1.52    0.00    1.27    0.00    0.00    1.01    0.00    0.00    0.00   96.20
16時54分43秒  all    1.00    0.00    1.50    0.00    0.75    1.00    0.00    0.00    0.00   95.74
16時54分44秒  all    1.26    0.00    1.51    0.00    0.50    1.01    0.00    0.00    0.00   95.73
16時54分45秒  all    1.01    0.00    1.76    0.00    0.50    1.51    0.00    0.00    0.00   95.21
16時54分46秒  all    1.77    0.00    1.52    0.00    0.51    1.26    0.00    0.00    0.00   94.95
16時54分47秒  all    1.76    0.00    2.01    0.00    0.75    1.01    0.00    0.00    0.00   94.47
16時54分48秒  all    1.25    0.00    1.75    0.00    0.50    1.25    0.00    0.00    0.00   95.24
16時54分49秒  all    1.26    0.00    2.02    0.00    0.76    1.26    0.00    0.00    0.00   94.70
16時54分50秒  all    2.01    0.00    2.51    0.00    0.50    1.25    0.00    0.00    0.00   93.73
16時54分51秒  all    1.26    0.00    1.77    0.00    0.76    1.52    0.00    0.00    0.00   94.70
16時54分52秒  all    1.50    0.00    1.75    0.00    0.25    1.00    0.00    0.00    0.00   95.49
16時54分53秒  all    1.25    0.00    2.26    0.00    0.75    1.50    0.00    0.00    0.00   94.24
16時54分54秒  all    2.26    0.00    1.76    0.00    0.50    1.26    0.00    0.00    0.00   94.22
16時54分55秒  all    1.26    0.00    1.77    0.00    0.76    1.01    0.00    0.00    0.00   95.20
16時54分56秒  all    2.01    0.00    2.01    0.00    0.75    1.50    0.00    0.00    0.00   93.73
16時54分57秒  all    1.52    0.00    1.52    0.00    0.51    1.52    0.00    0.00    0.00   94.92
16時54分58秒  all    1.76    0.00    2.02    0.00    0.76    1.01    0.00    0.00    0.00   94.46
16時54分59秒  all    1.51    0.00    1.51    0.00    0.25    1.26    0.00    0.00    0.00   95.47
16時55分00秒  all    0.76    0.00    1.77    0.00    0.76    1.27    0.00    0.00    0.00   95.44
16時55分01秒  all    3.78    0.00    2.27    0.00    1.01    1.01    0.00    0.00    0.00   91.94
16時55分02秒  all    2.00    0.00    2.25    0.00    0.25    1.75    0.00    0.00    0.00   93.75
16時55分03秒  all    1.02    0.00    1.27    0.00    0.76    1.02    0.00    0.00    0.00   95.94
16時55分04秒  all    1.26    0.00    1.76    0.00    0.76    1.26    0.00    0.00    0.00   94.96
16時55分05秒  all    1.52    0.00    1.02    0.00    0.25    1.02    0.00    0.00    0.00   96.19
16時55分06秒  all    1.26    0.00    2.02    0.00    0.76    1.51    0.00    0.00    0.00   94.46
16時55分07秒  all    1.77    0.00    1.01    0.00    0.76    1.01    0.00    0.00    0.00   95.45
16時55分08秒  all    1.01    0.00    1.51    0.00    0.25    1.01    0.00    0.00    0.00   96.22
16時55分09秒  all    2.00    0.00    1.50    0.00    0.75    1.25    0.00    0.00    0.00   94.51
16時55分10秒  all    1.27    0.00    2.03    0.00    0.51    1.27    0.00    0.00    0.00   94.94
16時55分11秒  all    1.26    0.00    1.77    0.00    0.51    1.26    0.00    0.00    0.00   95.20
16時55分12秒  all    1.51    0.00    1.51    0.00    0.76    1.26    0.00    0.00    0.00   94.96
16時55分13秒  all    1.26    0.00    1.76    0.00    0.50    1.01    0.00    0.00    0.00   95.48
16時55分14秒  all    1.01    0.00    1.77    0.00    0.51    1.01    0.00    0.00    0.00   95.71
16時55分15秒  all    1.76    0.00    2.26    0.00    0.75    1.26    0.00    0.00    0.00   93.97
16時55分16秒  all    1.51    0.00    2.02    0.00    0.50    1.51    0.00    0.00    0.00   94.46
16時55分17秒  all    1.52    0.00    1.52    0.00    0.51    1.01    0.00    0.00    0.00   95.44
16時55分18秒  all    1.00    0.00    1.50    0.00    0.50    1.25    0.00    0.00    0.00   95.74
16時55分19秒  all    2.27    0.00    2.27    0.00    0.76    1.26    0.00    0.00    0.00   93.45
16時55分20秒  all    6.57    0.00    2.53    0.00    0.51    1.01    0.00    0.00    0.00   89.39
16時55分21秒  all    1.50    0.00    2.00    0.00    0.50    1.00    0.00    0.00    0.00   95.00
16時55分22秒  all    1.50    0.00    1.25    0.00    0.75    1.25    0.00    0.00    0.00   95.24
16時55分23秒  all    1.27    0.00    1.27    0.00    0.00    0.76    0.00    0.00    0.00   96.71
16時55分24秒  all    1.49    0.00    1.99    0.00    1.00    1.49    0.00    0.00    0.00   94.03
16時55分25秒  all    2.02    0.00    1.76    0.00    0.50    1.01    0.00    0.00    0.00   94.71
16時55分26秒  all    2.01    0.00    2.26    0.00    0.50    1.01    0.00    0.00    0.00   94.22
