procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 937668   5796 6561208    0    0     0     1    0    0  0  0 100  0  0
 2  0   2560 909336   5796 6561296    0    0     0     0 19230 18638  6  6 89  0  0
 0  0   2560 907848   5796 6561296    0    0     0     0 15681 17339  2  3 95  0  0
 0  0   2560 906996   5796 6561296    0    0     0     0 15266 16803  2  3 95  0  0
 0  0   2560 906716   5796 6561296    0    0     0     0 16085 17510  2  3 96  0  0
 1  0   2560 904900   5796 6561296    0    0     0     0 13333 14722  1  3 96  0  0
 1  0   2560 905000   5796 6561300    0    0     0    96 11910 13003  1  2 97  0  0
 0  0   2560 905200   5796 6561300    0    0     0     0 16389 17859  1  3 96  0  0
 0  0   2560 905432   5796 6561300    0    0     0     0 15984 17554  2  3 95  0  0
 1  0   2560 905016   5796 6561308    0    0     0     0 16783 18402  1  3 96  0  0
 0  0   2560 904448   5796 6561308    0    0     0     0 14443 16119  1  2 96  0  0
 1  0   2560 903080   5796 6561324    0    0     0     0 12683 14314  1  3 96  0  0
 0  0   2560 902536   5796 6561324    0    0     0     0 15271 16592  1  4 95  0  0
 0  0   2560 903388   5796 6561324    0    0     0     0 17141 18524  2  4 95  0  0
 0  0   2560 904052   5796 6561328    0    0     0     0 17413 19072  2  4 95  0  0
 1  0   2560 904084   5796 6561332    0    0     0     0 10811 11749  1  2 96  0  0
 0  0   2560 903908   5796 6561336    0    0     0     0 9715 10817  1  2 97  0  0
 0  0   2560 904768   5796 6561344    0    0     0     0 11404 12673  1  2 96  0  0
 0  0   2560 904416   5796 6561344    0    0     0     0 17339 18932  2  3 95  0  0
 1  0   2560 904068   5796 6561344    0    0     0     0 17329 18774  2  3 95  0  0
 0  0   2560 903468   5796 6561348    0    0     0     0 12905 14311  1  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 903760   5796 6561360    0    0     0   320 16074 17793  1  3 96  0  0
 0  0   2560 903356   5796 6561360    0    0     0     0 17521 19450  1  3 95  0  0
 0  0   2560 904356   5796 6561360    0    0     0     0 18107 19804  1  3 95  0  0
 0  0   2560 903992   5796 6561368    0    0     0     0 15763 17323  2  3 95  0  0
 0  0   2560 904216   5796 6561372    0    0     0     0 9663 10857  1  2 97  0  0
 0  0   2560 879692   5796 6561372    0    0     0     4 14045 15249  3  3 94  0  0
 0  0   2560 879532   5796 6561376    0    0     0     0 14906 16523  1  3 96  0  0
 0  0   2560 878980   5796 6561376    0    0     0     0 17357 19049  2  3 95  0  0
 1  0   2560 878788   5796 6561376    0    0     0     0 15293 16820  1  3 95  0  0
 1  0   2560 878248   5796 6561384    0    0     0     0 17559 19311  1  3 96  0  0
 0  0   2560 878212   5796 6561384    0    0     0     0 17684 19434  2  3 95  0  0
 0  0   2560 878256   5796 6561408    0    0     0     0 16320 17726  2  3 95  0  0
 0  0   2560 878604   5796 6561408    0    0     0     0 15239 16560  2  3 95  0  0
 0  0   2560 878732   5796 6561408    0    0     0     0 11650 12900  1  3 96  0  0
 1  0   2560 878908   5796 6561412    0    0     0     0 14088 15764  2  4 95  0  0
 1  0   2560 879136   5796 6561412    0    0     0     0 17290 19355  2  3 95  0  0
