Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月11日 	_x86_64_	(4 CPU)

14時54分13秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14時54分14秒  all   26.01    0.00    6.31   12.63    1.01    6.06    0.00    0.00    0.00   47.98
14時54分15秒  all   27.75    0.00    5.00   13.00    1.25    5.00    0.00    0.00    0.00   48.00
14時54分16秒  all   27.02    0.00    6.82   14.14    1.26    5.81    0.00    0.00    0.00   44.95
14時54分17秒  all   22.92    0.00    4.79   13.60    1.01    4.79    0.00    0.00    0.00   52.90
14時54分18秒  all   22.73    0.00    5.56   11.11    1.77    5.05    0.00    0.00    0.00   53.79
14時54分19秒  all   26.65    0.00    5.84   12.69    1.27    5.58    0.00    0.00    0.00   47.97
14時54分20秒  all   28.46    0.00    6.05   13.35    1.51    5.79    0.00    0.00    0.00   44.84
14時54分21秒  all   25.25    0.00    6.31   13.38    1.26    5.56    0.00    0.00    0.00   48.23
14時54分22秒  all   28.86    0.00    6.84   12.91    1.52    5.57    0.00    0.00    0.00   44.30
14時54分23秒  all   37.28    0.00    5.29    8.06    1.01    3.27    0.00    0.00    0.00   45.09
14時54分24秒  all   31.99    0.00    6.05   11.08    1.01    3.53    0.00    0.00    0.00   46.35
14時54分25秒  all   35.68    0.00    6.03    8.54    1.01    4.52    0.00    0.00    0.00   44.22
14時54分26秒  all   36.78    0.00    6.55   10.08    1.01    4.03    0.00    0.00    0.00   41.56
14時54分27秒  all   34.09    0.00    7.52   12.53    1.25    5.01    0.00    0.00    0.00   39.60
14時54分28秒  all   33.76    0.00    5.33    8.38    1.02    3.55    0.00    0.00    0.00   47.97
14時54分29秒  all   27.39    0.00    6.53   12.06    1.26    4.77    0.00    0.00    0.00   47.99
14時54分30秒  all   21.63    0.00    5.60   11.96    1.27    5.34    0.00    0.00    0.00   54.20
14時54分31秒  all   21.50    0.00    5.50   11.75    1.25    5.00    0.00    0.00    0.00   55.00
14時54分32秒  all   20.26    0.00    5.90   11.79    1.28    4.87    0.00    0.00    0.00   55.90
14時54分33秒  all   25.32    0.00    5.88   14.07    1.53    6.14    0.00    0.00    0.00   47.06
14時54分34秒  all   28.97    0.00    6.55   12.59    1.51    5.29    0.00    0.00    0.00   45.09
14時54分35秒  all   34.94    0.00    5.32    9.37    1.01    4.30    0.00    0.00    0.00   45.06
14時54分36秒  all   18.75    0.00    5.00   11.00    1.25    4.75    0.00    0.00    0.00   59.25
14時54分37秒  all   15.95    0.00    4.81   10.13    1.01    4.56    0.00    0.00    0.00   63.54
14時54分38秒  all   17.60    0.00    4.59    9.95    1.53    4.59    0.00    0.00    0.00   61.73
14時54分39秒  all   16.88    0.00    5.54   10.08    1.26    4.28    0.00    0.00    0.00   61.96
14時54分40秒  all   19.24    0.00    4.30   12.15    1.01    4.81    0.00    0.00    0.00   58.48
14時54分41秒  all   18.27    0.00    5.33   12.44    1.27    4.82    0.00    0.00    0.00   57.87
14時54分42秒  all   13.45    0.00    4.06    6.60    1.02    3.30    0.00    0.00    0.00   71.57
14時54分43秒  all   14.94    0.00    5.06    8.61    1.27    3.80    0.00    0.00    0.00   66.33
14時54分44秒  all   21.43    0.00    6.12    9.44    1.02    4.59    0.00    0.00    0.00   57.40
14時54分45秒  all   18.27    0.00    5.58   10.91    1.27    4.31    0.00    0.00    0.00   59.64
14時54分46秒  all   20.35    0.00    5.28   11.06    1.76    5.28    0.00    0.00    0.00   56.28
14時54分47秒  all   21.16    0.00    5.79   11.34    1.51    5.29    0.00    0.00    0.00   54.91
14時54分48秒  all   26.74    0.00    5.66   10.80    1.29    4.88    0.00    0.00    0.00   50.64
14時54分49秒  all   34.59    0.00    5.01    9.52    1.00    3.51    0.00    0.00    0.00   46.37
14時54分50秒  all   33.92    0.00    4.27    9.30    0.75    3.77    0.00    0.00    0.00   47.99
14時54分51秒  all   33.67    0.00    5.57    9.11    0.51    4.30    0.00    0.00    0.00   46.84
14時54分52秒  all   34.41    0.00    6.73    9.73    1.25    4.24    0.00    0.00    0.00   43.64
14時54分53秒  all   23.80    0.00    4.81   15.95    1.01    5.06    0.00    0.00    0.00   49.37
14時54分54秒  all   22.84    0.00    5.58   17.26    1.27    5.58    0.00    0.00    0.00   47.46
14時54分55秒  all   23.16    0.00    4.83   16.03    1.27    5.34    0.00    0.00    0.00   49.36
14時54分56秒  all   25.32    0.00    5.06   16.96    1.27    5.82    0.00    0.00    0.00   45.57
14時54分57秒  all   25.70    0.00    5.34   13.49    1.53    5.34    0.00    0.00    0.00   48.60
14時54分58秒  all   24.68    0.00    5.60   12.72    1.53    5.60    0.00    0.00    0.00   49.87
14時54分59秒  all   35.09    0.00    5.01    9.77    1.25    4.01    0.00    0.00    0.00   44.86
14時55分00秒  all   21.88    0.00    5.60   10.94    1.27    4.83    0.00    0.00    0.00   55.47
14時55分01秒  all   18.67    0.00    5.12    9.46    1.28    4.60    0.00    0.00    0.00   60.87
14時55分02秒  all   25.82    0.00    6.08   10.63    1.52    5.32    0.00    0.00    0.00   50.63
14時55分03秒  all   23.94    0.00    6.23   12.22    1.50    5.74    0.00    0.00    0.00   50.37
14時55分04秒  all   24.43    0.00    6.05   10.33    1.51    5.54    0.00    0.00    0.00   52.14
14時55分05秒  all   21.05    0.00    5.76   10.78    1.50    4.76    0.00    0.00    0.00   56.14
14時55分06秒  all   18.21    0.00    5.64   10.00    1.03    4.87    0.00    0.00    0.00   60.26
14時55分07秒  all   22.22    0.00    6.31   12.63    1.77    5.56    0.00    0.00    0.00   51.52
14時55分08秒  all   24.23    0.00    6.12   12.76    1.28    5.87    0.00    0.00    0.00   49.74
14時55分09秒  all   26.52    0.00    6.57   12.37    1.52    6.31    0.00    0.00    0.00   46.72
14時55分10秒  all   25.31    0.00    6.52   11.78    2.01    6.02    0.00    0.00    0.00   48.37
14時55分11秒  all   34.16    0.00    6.23   10.22    1.25    5.49    0.00    0.00    0.00   42.64
14時55分12秒  all   36.62    0.00    3.79    7.83    0.76    3.03    0.00    0.00    0.00   47.98
14時55分13秒  all   32.24    0.00    5.04    9.07    0.50    3.53    0.00    0.00    0.00   49.62
14時55分14秒  all   17.14    0.00    6.14    9.46    1.79    4.35    0.00    0.00    0.00   61.13
14時55分15秒  all   15.62    0.00    4.28    9.07    1.51    4.03    0.00    0.00    0.00   65.49
14時55分16秒  all   16.67    0.00    5.05    9.34    1.01    4.04    0.00    0.00    0.00   63.89
14時55分17秒  all   16.62    0.00    4.79    9.57    1.26    4.28    0.00    0.00    0.00   63.48
14時55分18秒  all   16.50    0.00    4.82   10.41    1.02    3.81    0.00    0.00    0.00   63.45
14時55分19秒  all   13.74    0.00    3.56    7.12    1.27    3.31    0.00    0.00    0.00   70.99
14時55分20秒  all   15.42    0.00    4.23    7.46    1.24    3.73    0.00    0.00    0.00   67.91
14時55分21秒  all   16.50    0.00    5.08    8.88    1.27    4.06    0.00    0.00    0.00   64.21
14時55分22秒  all   19.59    0.00    5.09    9.67    1.27    4.58    0.00    0.00    0.00   59.80
14時55分23秒  all   22.70    0.00    5.36   11.73    1.28    5.10    0.00    0.00    0.00   53.83
14時55分24秒  all   28.89    0.00    6.03   12.31    1.26    5.78    0.00    0.00    0.00   45.73
14時55分25秒  all   30.38    0.00    5.57   12.41    1.27    5.32    0.00    0.00    0.00   45.06
14時55分26秒  all   30.48    0.00    4.53   11.59    1.01    4.03    0.00    0.00    0.00   48.36
14時55分27秒  all   17.05    0.00    5.09    9.41    1.27    4.33    0.00    0.00    0.00   62.85
14時55分28秒  all   17.66    0.00    4.98   10.45    1.49    4.48    0.00    0.00    0.00   60.95
14時55分29秒  all   17.01    0.00    4.06   10.91    1.27    3.55    0.00    0.00    0.00   63.20
14時55分30秒  all   18.14    0.00    4.79   12.34    1.01    5.29    0.00    0.00    0.00   58.44
14時55分31秒  all   23.43    0.00    6.30   13.60    1.26    5.54    0.00    0.00    0.00   49.87
14時55分32秒  all   16.79    0.00    4.76    9.52    1.25    4.01    0.00    0.00    0.00   63.66
14時55分33秒  all   25.51    0.00    5.30   12.12    1.26    5.30    0.00    0.00    0.00   50.51
14時55分34秒  all   21.80    0.00    5.01   14.79    1.00    5.26    0.00    0.00    0.00   52.13
14時55分35秒  all   23.31    0.00    6.02   13.28    1.25    5.51    0.00    0.00    0.00   50.63
14時55分36秒  all   24.49    0.00    5.81   12.63    1.52    5.56    0.00    0.00    0.00   50.00
14時55分37秒  all   34.18    0.00    5.87   11.22    1.02    4.08    0.00    0.00    0.00   43.62
14時55分38秒  all   30.90    0.00    4.02    8.54    0.75    2.76    0.00    0.00    0.00   53.02
14時55分39秒  all   26.00    0.00    4.50    8.50    0.75    2.75    0.00    0.00    0.00   57.50
14時55分40秒  all   11.42    0.00    3.81    7.87    0.76    3.30    0.00    0.00    0.00   72.84
14時55分41秒  all   13.07    0.00    4.77    7.29    1.01    3.77    0.00    0.00    0.00   70.10
14時55分42秒  all   21.27    0.00    5.82   11.14    1.52    5.32    0.00    0.00    0.00   54.94
14時55分43秒  all   27.71    0.00    5.29   12.85    1.26    5.54    0.00    0.00    0.00   47.36
14時55分44秒  all   19.10    0.00    5.78   10.05    1.01    4.52    0.00    0.00    0.00   59.55
14時55分45秒  all   16.50    0.00    5.08    9.39    1.27    4.06    0.00    0.00    0.00   63.71
14時55分46秒  all   19.49    0.00    5.82   11.90    1.52    5.32    0.00    0.00    0.00   55.95
14時55分47秒  all   18.89    0.00    5.04   11.84    1.26    5.04    0.00    0.00    0.00   57.93
14時55分48秒  all   22.22    0.00    5.05   11.62    1.52    5.05    0.00    0.00    0.00   54.55
