2026/06/11 15:21:41 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.7, Count: 81, TPM: 500.5, Sum(ms): 20111.3, Avg(ms): 249.0, 50th(ms): 234.9, 90th(ms): 436.2, 95th(ms): 570.4, 99th(ms): 671.1, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] NEW_ORDER - Takes(s): 9.8, Count: 1007, TPM: 6142.8, Sum(ms): 198051.9, Avg(ms): 196.8, 50th(ms): 184.5, 90th(ms): 335.5, 95th(ms): 419.4, 99th(ms): 604.0, 99.9th(ms): 738.2, Max(ms): 805.3
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 85, TPM: 515.4, Sum(ms): 2908.8, Avg(ms): 34.3, 50th(ms): 31.5, 90th(ms): 58.7, 95th(ms): 71.3, 99th(ms): 88.1, 99.9th(ms): 92.3, Max(ms): 92.3
[Current] PAYMENT - Takes(s): 9.9, Count: 914, TPM: 5547.7, Sum(ms): 85482.8, Avg(ms): 93.5, 50th(ms): 88.1, 90th(ms): 142.6, 95th(ms): 167.8, 99th(ms): 243.3, 99.9th(ms): 352.3, Max(ms): 369.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 99, TPM: 600.3, Sum(ms): 2396.1, Avg(ms): 24.2, 50th(ms): 22.0, 90th(ms): 39.8, 95th(ms): 46.1, 99th(ms): 60.8, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] DELIVERY - Takes(s): 9.8, Count: 78, TPM: 475.6, Sum(ms): 18468.1, Avg(ms): 237.0, 50th(ms): 201.3, 90th(ms): 419.4, 95th(ms): 604.0, 99th(ms): 704.6, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] NEW_ORDER - Takes(s): 9.9, Count: 911, TPM: 5505.2, Sum(ms): 195520.0, Avg(ms): 214.7, 50th(ms): 176.2, 90th(ms): 436.2, 95th(ms): 536.9, 99th(ms): 771.8, 99.9th(ms): 973.1, Max(ms): 973.1
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 89, TPM: 538.3, Sum(ms): 3228.1, Avg(ms): 36.3, 50th(ms): 30.4, 90th(ms): 71.3, 95th(ms): 79.7, 99th(ms): 104.9, 99.9th(ms): 109.1, Max(ms): 109.1
[Current] PAYMENT - Takes(s): 10.0, Count: 894, TPM: 5373.2, Sum(ms): 94670.2, Avg(ms): 105.9, 50th(ms): 88.1, 90th(ms): 192.9, 95th(ms): 234.9, 99th(ms): 335.5, 99.9th(ms): 419.4, Max(ms): 604.0
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 88, TPM: 545.8, Sum(ms): 2126.2, Avg(ms): 24.2, 50th(ms): 19.9, 90th(ms): 48.2, 95th(ms): 60.8, 99th(ms): 83.9, 99.9th(ms): 92.3, Max(ms): 92.3
[Current] DELIVERY - Takes(s): 9.5, Count: 82, TPM: 516.8, Sum(ms): 20693.5, Avg(ms): 251.7, 50th(ms): 218.1, 90th(ms): 453.0, 95th(ms): 604.0, 99th(ms): 704.6, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1053, TPM: 6321.3, Sum(ms): 203528.5, Avg(ms): 193.3, 50th(ms): 176.2, 90th(ms): 352.3, 95th(ms): 436.2, 99th(ms): 637.5, 99.9th(ms): 771.8, Max(ms): 805.3
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 98, TPM: 597.9, Sum(ms): 3492.9, Avg(ms): 35.6, 50th(ms): 31.5, 90th(ms): 60.8, 95th(ms): 71.3, 99th(ms): 121.6, 99.9th(ms): 142.6, Max(ms): 142.6
[Current] PAYMENT - Takes(s): 10.0, Count: 930, TPM: 5582.5, Sum(ms): 90000.5, Avg(ms): 96.9, 50th(ms): 83.9, 90th(ms): 159.4, 95th(ms): 209.7, 99th(ms): 285.2, 99.9th(ms): 536.9, Max(ms): 738.2
