procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 7186544     24 5084652    0    0  8301  1127   33   32  7  3 89  1  0
 2  0      0 7181248     24 5086096    0    0  1228 10516 18363 10557 30 12 48 10  0
 2  1      0 7178604     24 5087284    0    0  1188 10204 25238 25966 29 12 48 11  0
 2  0      0 7154996     24 5107916    0    0  1160 26591 15231 12226 33  8 50  9  0
 2  1      0 7167300     24 5092692    0    0  1084 24253 15711 8895 33 10 48 10  0
 3  0      0 7163416     24 5094536    0    0  1844 11432 28373 26722 32 12 44 12  0
 3  0      0 7162092     24 5095668    0    0  1144 12156 25972 23121 34 11 43 12  0
 0  0      0 7160296     24 5096844    0    0  1352 11497 21498 17119 32 11 46 11  0
 0  0      0 7158248     24 5098140    0    0  1108 12472 25873 25303 32 11 46 11  0
 0  0      0 7157344     24 5098764    0    0   640 11264 26290 27083 27 11 51 10  0
 1  1      0 7155616     24 5099980    0    0  1200 11104 19582 14033 34 11 46 10  0
 1  1      0 7154264     24 5100968    0    0   988 12284 14369 5180 29  8 51 12  0
 3  0      0 7148132     24 5105260    0    0   924 12934 23195 22981 28 11 51 11  0
 2  0      0 7132052     24 5119264    0    0   820 56044 14033 10767 38  8 46  7  0
 3  0      0 7130980     24 5116020    0    0   760 39023 22946 18956 33 11 47  9  0
 2  1      0 7130752     24 5117392    0    0  1372 11920 20457 14449 31 10 47 11  0
 2  0      0 7129892     24 5118040    0    0   720 12216 21032 16021 31 11 48 11  0
 4  0      0 7132700     24 5118744    0    0   748 10696 18866 14141 32 10 49  9  0
 2  0      0 7132516     24 5119708    0    0   844 12636 24083 22264 30 11 50 10  0
 3  0      0 7131436     24 5120332    0    0   808 10432 22996 21664 27 11 53 10  0
 1  0      0 7131736     24 5120812    0    0   376 10200 26416 25121 27 11 52 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 7130280     24 5121204    0    0   404  8668 25477 27568 23 11 56 10  0
 0  0      0 7128760     24 5122408    0    0   952  7320 17110 16566 23  8 60  8  0
 1  1      0 7114972     24 5134140    0    0   300 48670 17428 15256 34  9 49  8  0
 1  1      0 7097060     24 5153400    0    0   824 48519 17271 14057 40  8 45  7  0
 1  1      0 7040964     24 5206040    0    0   700 58981 10003 2867 39  6 48  6  0
 3  0      0 7089096     24 5157248    0    0   900 43502 11873 4653 39  7 48  6  0
 2  0      0 7049816     24 5199512    0    0   856 47303 10561 2827 39  7 48  6  0
 3  0      0 6998976     24 5243820    0    0   756 52622 12127 5274 39  7 48  6  0
 1  1      0 7029268     24 5214048    0    0   544 47138 10985 4215 39  8 48  5  0
 1  1      0 7096000     24 5143688    0    0   676 45059 10955 3913 38  8 49  6  0
 3  0      0 7051576     24 5188736    0    0   424 54299 11977 4917 39  7 48  6  0
 2  0      0 7072640     24 5172308    0    0   808 62710 18932 13637 37 10 45  8  0
 2  0      0 7155908     24 5099264    0    0   464 10348 18597 11197 25 10 55 10  0
 2  0      0 7142680     24 5112504    0    0   212 76121 9502 4649 36  8 49  8  0
 2  0      0 7153648     24 5105096    0    0   316 26622 17466 11539 31  9 52  8  0
 2  0      0 7151504     24 5105628    0    0   700 11020 28037 26283 30 12 47 11  0
 1  1      0 7147180     24 5105956    0    0   480 11571 21125 17120 30 10 49 11  0
 2  1      0 7142184     24 5106852    0    0   560 12708 23543 20796 29 11 50 10  0
 3  0      0 7138244     24 5107240    0    0   580 11580 26119 26759 31 12 48 10  0
 0  1      0 7134688     24 5108120    0    0   768 10608 24929 25252 31 11 48 10  0
 1  0      0 7132044     24 5108548    0    0   368  8608 23784 24634 26 11 54  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 7130064     24 5109040    0    0   316  8120 17139 13390 25  8 58  9  0
 1  0      0 7127736     24 5109540    0    0   500  8308 19299 18896 22  9 61  8  0
 3  0      0 7125328     24 5109836    0    0   296  6768 19507 21932 21  8 65  6  0
 2  0      0 7109616     24 5122380    0    0   504 49791 18201 17079 33  8 51  8  0
 3  1      0 7110652     24 5117708    0    0   604 28061 19442 15560 31  9 51  9  0
 4  0      0 7109664     24 5118328    0    0   672  8744 27026 30000 22 10 59  9  0
 0  0      0 7111540     24 5118700    0    0   348  9904 24396 24726 24  9 59  8  0
 0  0      0 7111292     24 5119212    0    0   568 10096 20298 16380 26  9 55  9  0
 2  0      0 7110496     24 5119880    0    0   556 10060 21341 16979 24  9 56 10  0
 1  1      0 7110092     24 5120504    0    0   856 10592 17866 9608 33  9 48 10  0
 1  1      0 7109472     24 5121188    0    0   448 11428 14581 5387 29 10 51 11  0
 2  1      0 7108772     24 5121488    0    0   336  9680 21655 22588 24  9 57 10  0
 2  1      0 7107096     24 5122140    0    0   700 11972 29250 25191 34 13 43 10  0
 0  0      0 7106564     24 5122512    0    0   288 10620 26030 26834 29 11 49 11  0
 3  0      0 7094032     24 5132252    0    0   480 46380 17283 15957 33  9 49  9  0
 3  0      0 7098916     24 5121072    0    0   396 37269 22935 24510 36 10 46  9  0
 1  1      0 7098468     24 5121876    0    0   832 13052 27442 27094 32 12 46 10  0
 2  0      0 7098592     24 5122424    0    0   552 11184 16516 10196 33 10 48 10  0
 0  0      0 7101332     24 5123236    0    0   780 11688 23764 19074 32 11 45 12  0
 2  0      0 7100212     24 5123976    0    0   688 10999 25685 25301 33 12 45 10  0
 3  1      0 7100564     24 5124668    0    0   784 10824 25413 25324 30 11 49 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 7100500     24 5125280    0    0   612 10292 21927 21572 23 10 57 10  0
 1  0      0 7099936     24 5125736    0    0   356 10184 25575 23968 24 11 55 11  0
 3  0      0 7099360     24 5126024    0    0   288 10405 19275 13809 25 10 56 10  0
 2  0      0 7081720     24 5143244    0    0   468 34784 12496 6378 29  8 55  8  0
 4  0      0 7043876     24 5181288    0    0 17104 78315 10406 5263 33  8 49 10  0
 5  1      0 7045696     24 5183988    0    0   292 46842 12159 6870 39  7 48  6  0
 3  0      0 6997212     24 5236464    0    0   292 63793 20090 18893 39  8 45  8  0
 1  1      0 7078480     24 5157684    0    0   312 19832 19602 13604 27 10 53 10  0
 3  0      0 7086384     24 5157900    0    0   216  9948 24377 24647 23 10 56 11  0
 0  0      0 7082288     24 5158488    0    0   692 11400 25314 24605 31 12 47 11  0
 2  1      0 7079492     24 5159228    0    0   668 12256 26527 26321 33 13 44 11  0
 2  0      0 7075928     24 5159840    0    0   580 11404 26786 26711 30 12 48 11  0
 5  0      0 7073972     24 5160272    0    0   500 11776 25642 24294 33 11 46 10  0
 2  1      0 7070812     24 5160884    0    0   544 11460 20996 17038 33 11 46 10  0
 2  1      0 7055012     24 5172992    0    0   156 46269 18856 18552 35 10 46  9  0
 2  0      0 7055964     24 5168104    0    0   368 39625 11154 4346 35  7 51  8  0
 1  0      0 7054824     24 5168480    0    0   416 11512 26475 24668 30 11 49 10  0
 1  1      0 7054248     24 5168960    0    0   480 10996 22941 21066 31 11 48 10  0
 3  1      0 7054376     24 5169512    0    0   552 11856 26495 26232 32 11 46 10  0
