Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年06月10日 	_x86_64_	(4 CPU)

11時35分15秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11時35分16秒  all   51.16    0.00   10.80    8.23    1.80    7.97    0.00    0.00    0.00   20.05
11時35分17秒  all   48.21    0.00    9.74    9.74    1.28    7.44    0.00    0.00    0.00   23.59
11時35分18秒  all   45.73    0.00    9.55   10.55    1.51    7.04    0.00    0.00    0.00   25.63
11時35分19秒  all   52.78    0.00    8.08    9.34    1.77    5.81    0.00    0.00    0.00   22.22
11時35分20秒  all   57.07    0.00   10.35   13.13    1.26    6.06    0.00    0.00    0.00   12.12
11時35分21秒  all   49.88    0.00   10.72    8.73    1.25    7.73    0.00    0.00    0.00   21.70
11時35分22秒  all   51.65    0.00   10.43    8.65    1.27    7.12    0.00    0.00    0.00   20.87
11時35分23秒  all   47.81    0.00    9.00    9.51    1.29    7.20    0.00    0.00    0.00   25.19
11時35分24秒  all   48.00    0.00   10.75    9.00    1.50    7.50    0.00    0.00    0.00   23.25
11時35分25秒  all   48.98    0.00    8.63   10.66    1.52    6.60    0.00    0.00    0.00   23.60
11時35分26秒  all   59.19    0.00    9.07    9.07    1.26    5.54    0.00    0.00    0.00   15.87
11時35分27秒  all   55.58    0.00    9.90    8.12    1.27    6.60    0.00    0.00    0.00   18.53
11時35分28秒  all   54.94    0.00    9.87   13.42    1.27    5.57    0.00    0.00    0.00   14.94
11時35分29秒  all   47.44    0.00    9.49   12.56    1.28    6.67    0.00    0.00    0.00   22.56
11時35分30秒  all   46.06    0.00    9.16   10.43    1.78    6.87    0.00    0.00    0.00   25.70
11時35分31秒  all   41.77    0.00    9.62   10.38    1.27    6.58    0.00    0.00    0.00   30.38
11時35分32秒  all   54.04    0.00    8.59    8.84    1.26    5.30    0.00    0.00    0.00   21.97
11時35分33秒  all   54.94    0.00    8.35    9.62    1.27    5.32    0.00    0.00    0.00   20.51
11時35分34秒  all   57.79    0.00    8.04    9.30    1.01    5.53    0.00    0.00    0.00   18.34
11時35分35秒  all   55.42    0.00   10.08   12.09    1.26    6.80    0.00    0.00    0.00   14.36
11時35分36秒  all   52.93    0.00    9.41    9.16    1.27    7.12    0.00    0.00    0.00   20.10
11時35分37秒  all   48.24    0.00    9.55   11.06    1.26    6.53    0.00    0.00    0.00   23.37
11時35分38秒  all   45.82    0.00    8.35   11.65    1.27    6.84    0.00    0.00    0.00   26.08
11時35分39秒  all   58.79    0.00    8.29   10.55    1.26    5.03    0.00    0.00    0.00   16.08
