procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 387436     24 9567336    0    0 12081  1195   40   24  8  4 88  1  0
 5  0      0 356084     24 9585844    0    0  2076 30516 35366 14172 55 18 19  8  0
 0  0      0 362668     24 9576436    0    0  1772 24654 28018 17825 50 18 22 11  0
 7  0      0 363284     24 9578208    0    0  1772 19468 27769 21058 46 15 26 13  0
 5  0      0 361380     24 9579496    0    0  1568 18700 29745 23570 48 16 27  9  0
 3  1      0 340624     24 9582000    0    0  2296 20064 26753 16884 52 15 20 13  0
 3  1      0 326304     24 9593696    0    0  1760 60922 21828 10819 60 15 12 14  0
 3  1      0 325908     24 9593284    0    0  1512 19208 29987 22916 47 16 27 11  0
 3  1      0 325856     24 9594964    0    0  1596 17736 28410 25363 46 14 29 11  0
 4  1      0 325320     24 9596004    0    0  1180 17068 29088 20923 49 18 25  9  0
 5  0      0 310164     24 9611948    0    0  2028 31920 23769 13317 56 15 19 10  0
 4  0      0 285976     24 9633592    0    0  1904 88578 21300 12226 60 14 14 12  0
 3  1      0 314952     24 9602088    0    0  1240 35207 27479 19047 50 16 22 12  0
 5  0      0 316108     24 9603536    0    0  1556 19823 29120 20368 50 16 23 10  0
 3  0      0 314532     24 9604472    0    0   828 18324 30703 25289 48 16 26 10  0
 6  2      0 289620     24 9628616    0    0  1660 49131 22265 10496 60 14 13 12  0
 3  1      0 261780     24 9656400    0    0   964 95555 22771 10996 56 16 14 14  0
 6  1      0 247820     24 9668784    0    0  1168 78736 22336 13344 56 14 19 11  0
 3  1      0 171704     24 9740968    0    0  1052 89102 22275 12229 58 15 15 13  0
 4  1      0 265504     24 9646776    0    0  1080 51590 26557 14804 55 16 18 11  0
 5  0      0 292528     24 9618700    0    0  1900 62163 22594 10690 59 16 12 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 293224     24 9616620    0    0  2844 31366 25299 16022 53 15 22 10  0
 2  0      0 292560     24 9617776    0    0  1180 19208 29385 22398 47 16 26 11  0
 6  0      0 292496     24 9619500    0    0  1588 20624 26220 19168 51 15 23 11  0
 3  1      0 264100     24 9640324    0    0  1716 37444 22070 12222 60 14 14 11  0
 4  0      0 270948     24 9629388    0    0  1012 41367 24297 16697 52 16 20 12  0
 4  1      0 270660     24 9630356    0    0   968 17784 29879 25577 47 15 28 10  0
 3  1      0 271048     24 9631020    0    0   784 17468 30920 28853 41 15 32 11  0
 4  1      0 269932     24 9632284    0    0  1192 19824 26034 20050 49 13 26 12  0
 3  0      0 245080     24 9656036    0    0   804 60512 20805 12583 55 13 20 12  0
 5  2      0 223068     24 9675560    0    0 10744 101420 26134 17107 56 16 17 11  0
 7  0      0 190468     24 9713684    0    0  1856 86014 22599 13736 56 14 18 12  0
 5  0      0 216480     24 9705388    0    0   852 59846 22945 10325 62 14 13 11  0
 7  0      0 186564     24 9752700    0    0   736 60976 21953 12282 58 13 20  9  0
 7  0      0 160224     24 9775588    0    0   584 65266 20880 9091 61 14 14 12  0
