procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 804236   5796 6705972    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 769904   5796 6706088    0    0     0     0 35148 31906  8  9 83  0  0
 2  0   2560 770084   5796 6706088    0    0     0     0 29048 31575  3  5 92  0  0
 0  0   2560 767832   5796 6706088    0    0     0     0 30251 32798  2  6 92  0  0
 1  0   2560 767432   5796 6706088    0    0     0     0 31880 34772  3  6 92  0  0
 2  0   2560 767352   5796 6706088    0    0     0     0 29249 31797  2  5 93  0  0
 0  0   2560 766696   5796 6706092    0    0     0    88 27629 29470  3  6 92  0  0
 1  0   2560 766716   5796 6706092    0    0     0     0 26476 28491  2  5 94  0  0
 1  0   2560 767244   5796 6706092    0    0     0     0 31338 33193  3  6 92  0  0
 0  0   2560 765104   5796 6706100    0    0     0     0 29570 31797  3  6 91  0  0
 1  0   2560 764148   5796 6706108    0    0     0    28 26738 28509  3  6 90  0  0
 0  0   2560 765940   5796 6706132    0    0     0   128 25653 27172  3  6 91  0  0
 0  0   2560 744176   5796 6706132    0    0     0     4 27774 28774  5  5 90  0  0
 0  0   2560 743768   5796 6706136    0    0     0   192 29486 30981  3  5 92  0  0
 0  0   2560 744324   5796 6706140    0    0     0     0 28509 30121  2  5 93  0  0
 2  0   2560 743676   5796 6706140    0    0     0     0 26519 28273  2  5 93  0  0
 2  0   2560 743856   5796 6706144    0    0     0     0 27375 29026  3  5 92  0  0
 0  0   2560 743952   5796 6706152    0    0     0     0 26430 28268  2  5 93  0  0
 1  0   2560 743240   5796 6706152    0    0     0     0 26781 28486  2  5 93  0  0
 0  0   2560 743548   5796 6706152    0    0     0     0 24690 26199  3  5 93  0  0
 0  0   2560 743736   5796 6706156    0    0     0     0 25030 26620  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 742408   5796 6706168    0    0     0     0 25685 27055  2  5 93  0  0
 0  0   2560 742716   5796 6706168    0    0     0     0 28315 29316  2  5 92  0  0
 0  0   2560 742492   5796 6706168    0    0     0     0 26997 28958  2  5 93  0  0
 0  0   2560 742632   5796 6706176    0    0     0     0 28114 29937  2  5 93  0  0
 0  0   2560 742192   5796 6706180    0    0     0     0 25560 27178  2  4 94  0  0
 0  0   2560 742216   5796 6706180    0    0     0     0 26986 28349  2  5 93  0  0
 0  0   2560 742292   5796 6706184    0    0     0     0 29721 31621  2  5 93  0  0
 1  0   2560 742416   5796 6706184    0    0     0     0 32155 34647  3  6 92  0  0
 0  0   2560 742904   5796 6706188    0    0     0     0 29439 31882  2  5 92  0  0
 0  0   2560 765420   5796 6706192    0    0     0   272 26386 27856  8  7 85  0  0
 1  0   2560 765484   5796 6706196    0    0     0     0 26800 28370  3  6 92  0  0
 1  0   2560 765360   5796 6706216    0    0     0     0 25372 27140  3  5 93  0  0
 0  0   2560 765688   5796 6706216    0    0     0     0 25182 26574  2  5 93  0  0
 0  0   2560 765464   5796 6706216    0    0     0     0 23473 24881  2  5 94  0  0
 0  0   2560 765900   5796 6706216    0    0     0     0 23346 24481  2  6 92  0  0
 0  0   2560 765752   5796 6706220    0    0     0     0 26055 27554  2  5 92  0  0
 0  0   2560 765512   5796 6706220    0    0     0   224 27583 29056  3  5 92  0  0
 0  0   2560 766036   5796 6706220    0    0     0     0 26480 28181  3  5 92  0  0
 2  0   2560 765380   5796 6706220    0    0     0     0 25220 26733  3  5 92  0  0
 0  0   2560 765792   5796 6706252    0    0     0     0 25719 26810  2  5 92  0  0
 1  0   2560 765676   5796 6706252    0    0     0     0 26640 28002  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 765832   5796 6706264    0    0     0     0 23209 24376  2  4 94  0  0
 1  0   2560 765672   5796 6706268    0    0     0    87 27893 29237  3  5 93  0  0
 3  0   2560 765924   5796 6706276    0    0     0     0 31075 32894  3  5 92  0  0
 0  0   2560 765672   5796 6706288    0    0     0     0 25749 27491  2  6 92  0  0
 1  0   2560 765908   5796 6706288    0    0     0     0 27639 28985  3  5 92  0  0
 0  0   2560 765516   5796 6706288    0    0     0     0 25789 27608  2  5 93  0  0
 0  0   2560 765556   5796 6706296    0    0     0     0 29100 31107  3  6 92  0  0
 0  0   2560 765228   5796 6706300    0    0     0     0 26039 27750  3  5 92  0  0
 0  0   2560 765188   5796 6706300    0    0     0     0 24076 25686  3  5 92  0  0
 0  0   2560 765544   5796 6706304    0    0     0     0 25464 26683  3  5 92  0  0
 0  0   2560 765416   5796 6706308    0    0     0     0 25364 26698  2  5 93  0  0
 1  0   2560 765064   5796 6706320    0    0     0     0 27285 28752  3  6 92  0  0
 0  0   2560 765124   5796 6706320    0    0     0     0 30164 31853  3  5 92  0  0
 0  0   2560 765076   5796 6706332    0    0     0     0 26386 28638  3  5 92  0  0
 0  0   2560 765380   5796 6706332    0    0     0     0 27036 28273  3  5 92  0  0
 1  0   2560 765792   5796 6706332    0    0     0     0 26936 28691  2  5 93  0  0
 0  0   2560 765396   5796 6706332    0    0     0     0 30369 31948  3  6 91  0  0
 1  0   2560 765276   5796 6706340    0    0     0     0 29252 31346  3  5 92  0  0
 0  0   2560 765096   5796 6706340    0    0     0     0 29425 31477  3  6 92  0  0
 1  0   2560 765384   5796 6706340    0    0     0     0 28326 30082  4  6 90  0  0
 0  0   2560 765128   5796 6706340    0    0     0     0 29435 31264  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 765192   5796 6706348    0    0     0     0 27301 28863  3  5 92  0  0
 1  0   2560 767420   5796 6706364    0    0     0     0 26892 28105  3  6 92  0  0
 0  0   2560 767180   5796 6706368    0    0     0     0 28125 29172  3  7 91  0  0
 0  0   2560 767348   5796 6706368    0    0     0     0 29013 31017  3  6 91  0  0
 1  0   2560 767048   5796 6706368    0    0     0   200 30965 32784  3  6 91  0  0
 0  0   2560 767080   5796 6706368    0    0     0     0 32112 34494  3  6 91  0  0
 1  0   2560 766848   5796 6706372    0    0     0     0 27584 29951  3  5 92  0  0
 1  0   2560 766932   5796 6706380    0    0     0     0 28628 30095  3  6 91  0  0
 0  0   2560 744204   5796 6706384    0    0     0     4 26415 27797  5  5 90  0  0
 0  0   2560 744612   5796 6706384    0    0     0     0 28919 30985  2  5 93  0  0
 1  0   2560 744588   5796 6706396    0    0     0   146 27551 29480  2  5 93  0  0
 1  0   2560 744484   5796 6706404    0    0     0     0 27681 29227  3  5 93  0  0
 1  0   2560 743872   5796 6706408    0    0     0     0 27944 29556  3  6 91  0  0
 0  0   2560 744016   5796 6706408    0    0     0     0 27798 29618  2  5 93  0  0
 0  0   2560 744108   5796 6706412    0    0     0     0 25245 27085  2  5 93  0  0
 0  0   2560 744464   5796 6706424    0    0     0     4 27742 28933  2  5 93  0  0
 0  0   2560 743936   5796 6706424    0    0     0     0 28031 29417  3  5 92  0  0
 0  0   2560 743176   5796 6706428    0    0     0     0 27662 29139  2  6 92  0  0
 1  0   2560 743404   5796 6706440    0    0     0     0 25374 27062  3  5 92  0  0
 0  0   2560 743096   5796 6706440    0    0     0     0 29216 30674  2  5 93  0  0
 1  0   2560 743172   5796 6706448    0    0     0     0 27389 29340  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 743236   5796 6706448    0    0     0     0 26833 28282  3  4 93  0  0
 0  0   2560 743348   5796 6706460    0    0     0     0 27232 28619  2  5 92  0  0
 1  0   2560 742956   5796 6706468    0    0     0     0 27111 28871  3  5 92  0  0
 1  0   2560 743108   5796 6706472    0    0     0     0 30369 32197  3  6 92  0  0
 0  0   2560 742760   5796 6706476    0    0     0     0 30620 32677  3  6 92  0  0
 1  0   2560 762516   5796 6706492    0    0     0   224 25685 27648  8  6 86  0  0
 0  0   2560 765980   5796 6706496    0    0     0    48 28807 30677  3  5 92  0  0
 1  0   2560 766420   5796 6706500    0    0     0     0 26446 28081  2  5 92  0  0
 1  0   2560 766100   5796 6706500    0    0     0     0 26584 28281  2  5 93  0  0
 0  0   2560 766528   5796 6706512    0    0     0    12 25262 26702  2  5 93  0  0
