procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 799588   5796 6709040    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 751384   5796 6709168    0    0     0     0 40331 34177 10 11 79  0  0
 1  0   2560 750980   5796 6709168    0    0     0     0 33889 36027  4  7 90  0  0
 4  0   2560 750928   5796 6709168    0    0     0     0 27071 29321  2  6 92  0  0
 1  0   2560 749280   5796 6709168    0    0     0     0 29829 31332  3  6 91  0  0
 1  0   2560 748752   5796 6709168    0    0     0     0 32412 32895  4  7 89  0  0
 0  0   2560 748612   5796 6709172    0    0     0     0 32005 33975  4  6 90  0  0
 0  0   2560 748468   5796 6709172    0    0     0     0 28678 29881  4  6 90  0  0
 0  0   2560 725660   5796 6709172    0    0     0     4 27763 28467  6  7 87  0  0
 0  0   2560 725404   5796 6709180    0    0     0     0 26022 27263  3  5 92  0  0
 0  0   2560 726476   5796 6709180    0    0     0     0 25323 26709  3  6 91  0  0
 1  0   2560 725228   5796 6709196    0    0     0     0 24279 25252  3  6 91  0  0
 1  0   2560 725280   5796 6709196    0    0     0     0 25113 25641  3  6 91  0  0
 1  0   2560 725732   5796 6709196    0    0     0     4 26685 26998  3  6 92  0  0
 1  0   2560 724316   5796 6709204    0    0     0     0 24781 25171  3  5 92  0  0
 1  0   2560 725148   5796 6709204    0    0     0    71 27077 28013  3  6 91  0  0
 1  0   2560 725076   5796 6709208    0    0     0     0 29725 30688  3  7 89  0  0
 3  0   2560 725916   5796 6709216    0    0     0     0 30691 31648  3  7 90  0  0
 1  0   2560 725224   5796 6709216    0    0     0     0 25405 26296  3  5 92  0  0
 0  0   2560 724804   5796 6709216    0    0     0     0 25720 26874  3  6 91  0  0
 1  0   2560 725156   5796 6709220    0    0     0     0 26578 27290  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 724868   5796 6709232    0    0     0     0 31427 32589  4  7 89  0  0
 1  0   2560 724768   5796 6709232    0    0     0     0 30661 32121  3  6 91  0  0
 2  0   2560 724808   5796 6709232    0    0     0     0 28369 29623  4  7 90  0  0
 0  0   2560 725064   5796 6709240    0    0     0     0 28602 29796  3  7 91  0  0
 1  0   2560 724852   5796 6709244    0    0     0     0 29432 30420  4  7 90  0  0
 2  0   2560 743052   5796 6709244    0    0     0   224 29534 30347  9  9 82  0  0
 1  0   2560 747568   5796 6709248    0    0     0    48 28968 30220  4  7 89  0  0
 0  0   2560 747432   5796 6709248    0    0     0     0 28619 30269  3  6 90  0  0
 1  0   2560 747040   5796 6709252    0    0     0     0 25138 26361  3  6 91  0  0
 0  0   2560 747144   5796 6709256    0    0     0     0 26126 27291  3  6 91  0  0
 1  0   2560 746300   5796 6709256    0    0     0     0 25367 26296  3  6 91  0  0
 1  0   2560 746940   5796 6709276    0    0     0     0 25197 25763  3  6 91  0  0
 0  0   2560 746720   5796 6709276    0    0     0   196 24637 25079  3  6 91  0  0
 0  0   2560 746884   5796 6709276    0    0     0     0 27871 28651  3  6 91  0  0
 0  0   2560 746608   5796 6709280    0    0     0     0 26276 27271  3  6 92  0  0
 0  0   2560 746656   5796 6709280    0    0     0     0 25617 26537  3  6 91  0  0
 0  0   2560 747036   5796 6709280    0    0     0     0 27448 28722  3  6 91  0  0
 1  0   2560 747616   5796 6709280    0    0     0     8 24997 26278  3  6 91  0  0
 1  0   2560 747328   5796 6709288    0    0     0     0 26414 27590  3  6 91  0  0
 0  0   2560 746952   5796 6709312    0    0     0     0 25048 25807  3  6 92  0  0
 0  0   2560 747292   5796 6709316    0    0     0     0 25927 26995  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 747428   5796 6709328    0    0     0     0 28766 29970  3  6 92  0  0
 3  0   2560 747316   5796 6709332    0    0     0   168 29082 30348  3  7 90  0  0
 0  0   2560 747032   5796 6709352    0    0     0     0 26145 27347  3  6 91  0  0
 0  0   2560 746872   5796 6709352    0    0     0    87 25244 26115  3  6 92  0  0
 1  0   2560 747272   5796 6709352    0    0     0     0 26879 27766  3  6 91  0  0
 2  0   2560 747348   5796 6709360    0    0     0     0 28325 29294  3  7 90  0  0
 0  0   2560 747216   5796 6709360    0    0     0     0 25786 26790  2  6 92  0  0
 0  0   2560 747316   5796 6709364    0    0     0    92 26992 28152  3  6 91  0  0
 0  0   2560 746408   5796 6709364    0    0     0     0 25917 26899  3  6 92  0  0
 1  0   2560 747220   5796 6709368    0    0     0     0 28398 29727  3  6 91  0  0
 1  0   2560 747180   5796 6709368    0    0     0     0 28689 29862  3  6 91  0  0
 0  0   2560 747212   5796 6709384    0    0     0     0 25249 26220  3  6 91  0  0
 0  0   2560 747456   5796 6709388    0    0     0   100 26718 28095  2  6 92  0  0
 0  0   2560 746960   5796 6709396    0    0     0     0 26779 28175  3  6 92  0  0
 0  0   2560 746792   5796 6709396    0    0     0     0 31455 32344  4  7 89  0  0
 2  0   2560 747236   5796 6709396    0    0     0     0 28484 29550  3  6 91  0  0
 0  0   2560 746488   5796 6709404    0    0     0     0 25658 26460  3  6 92  0  0
 0  0   2560 746716   5796 6709404    0    0     0     0 27854 28869  3  7 91  0  0
 0  0   2560 747296   5796 6709404    0    0     0    80 27773 29043  3  7 91  0  0
 1  0   2560 747328   5796 6709404    0    0     0     0 27324 27780  4  7 89  0  0
 0  0   2560 747440   5796 6709404    0    0     0     0 24790 25629  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 747372   5796 6709416    0    0     0     0 24681 25634  3  6 91  0  0
 2  0   2560 746756   5796 6709428    0    0     0     0 27192 28557  2  6 92  0  0
 1  0   2560 747276   5796 6709432    0    0     0   112 25945 27233  2  6 92  0  0
 0  0   2560 746632   5796 6709432    0    0     0     0 26470 28049  3  6 91  0  0
 1  0   2560 746860   5796 6709432    0    0     0     0 26214 26484  3  5 92  0  0
 0  0   2560 723892   5796 6709436    0    0     0     4 26386 27024  5  7 88  0  0
 0  0   2560 723984   5796 6709436    0    0     0     0 26295 27714  3  6 91  0  0
 0  0   2560 724260   5796 6709444    0    0     0     0 26678 27619  2  6 92  0  0
 2  0   2560 729672   5796 6709444    0    0     0     0 25613 26402  3  6 91  0  0
 0  0   2560 729680   5796 6709448    0    0     0     0 26759 27680  3  6 91  0  0
 0  0   2560 730104   5796 6709452    0    0     0     0 24794 26027  2  5 93  0  0
 0  0   2560 729516   5796 6709464    0    0     0     0 25705 26805  3  6 91  0  0
 0  0   2560 728764   5796 6709464    0    0     0    90 23884 24644  3  7 91  0  0
 3  0   2560 729304   5796 6709464    0    0     0     0 25659 26380  3  6 91  0  0
 0  0   2560 728812   5796 6709468    0    0     0     0 26163 26659  4  7 90  0  0
 3  0   2560 728424   5796 6709476    0    0     0     0 26250 27441  3  7 90  0  0
 0  0   2560 728252   5796 6709480    0    0     0     0 28402 29562  3  6 91  0  0
 0  0   2560 728420   5796 6709484    0    0     0     0 24046 24902  2  6 92  0  0
 0  0   2560 727720   5796 6709496    0    0     0     0 29546 30726  3  7 90  0  0
 0  0   2560 728164   5796 6709500    0    0     0     0 30919 31723  4  7 90  0  0
 1  0   2560 727348   5796 6709500    0    0     0     0 28185 29292  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 727856   5796 6709500    0    0     0     0 28026 29089  3  6 91  0  0
 0  0   2560 727748   5796 6709512    0    0     0     0 23497 24558  3  6 92  0  0
 0  0   2560 751736   5796 6709520    0    0     0   272 29155 30226 10  9 81  0  0
