Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月10日 	_x86_64_	(4 CPU)

12時51分58秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12時51分59秒  all    9.87    0.00    6.58    0.00    0.76    2.78    0.00    0.00    0.00   80.00
12時52分00秒  all    3.26    0.00    3.51    0.00    0.75    1.75    0.00    0.00    0.00   90.73
12時52分01秒  all    2.27    0.00    3.53    0.00    0.76    1.76    0.00    0.00    0.00   91.69
12時52分02秒  all    5.01    0.00    3.51    0.00    1.00    2.26    0.00    0.00    0.00   88.22
12時52分03秒  all    2.29    0.00    3.05    0.00    0.51    2.04    0.00    0.00    0.00   92.11
12時52分04秒  all    2.77    0.00    3.78    0.25    1.01    2.02    0.00    0.00    0.00   90.18
12時52分05秒  all    3.78    0.00    3.78    0.00    1.01    2.27    0.00    0.00    0.00   89.17
12時52分06秒  all    3.07    0.00    3.58    0.00    0.51    2.05    0.00    0.00    0.00   90.79
12時52分07秒  all    2.27    0.00    3.79    0.00    0.76    1.77    0.00    0.00    0.00   91.41
12時52分08秒  all    3.02    0.00    3.53    0.00    0.76    1.76    0.00    0.00    0.00   90.93
12時52分09秒  all    4.05    0.00    3.29    0.00    1.01    2.28    0.00    0.00    0.00   89.37
12時52分10秒  all    3.27    0.00    3.78    0.00    0.76    2.02    0.00    0.00    0.00   90.18
12時52分11秒  all    2.54    0.00    3.31    0.00    0.76    2.04    0.00    0.00    0.00   91.35
12時52分12秒  all    3.01    0.00    3.76    0.00    0.75    2.01    0.00    0.00    0.00   90.48
12時52分13秒  all    3.51    0.00    3.51    0.00    1.00    1.75    0.00    0.00    0.00   90.23
12時52分14秒  all    3.56    0.00    4.58    0.00    0.76    1.78    0.00    0.00    0.00   89.31
12時52分15秒  all    3.54    0.00    3.79    0.25    0.76    1.77    0.00    0.00    0.00   89.90
12時52分16秒  all    4.04    0.00    3.03    0.00    0.76    2.02    0.00    0.00    0.00   90.15
12時52分17秒  all    3.03    0.00    3.03    0.00    0.76    2.27    0.00    0.00    0.00   90.91
12時52分18秒  all    3.04    0.00    2.78    0.00    0.76    1.52    0.00    0.00    0.00   91.90
12時52分19秒  all    2.54    0.00    3.55    0.00    0.76    2.28    0.00    0.00    0.00   90.86
12時52分20秒  all   10.15    0.00    5.58    0.00    1.02    2.03    0.00    0.00    0.00   81.22
12時52分21秒  all    2.75    0.00    4.25    0.00    0.75    1.75    0.00    0.00    0.00   90.50
12時52分22秒  all    2.57    0.00    3.08    0.00    0.51    2.06    0.00    0.00    0.00   91.77
12時52分23秒  all    3.02    0.00    3.27    0.00    0.75    1.51    0.00    0.00    0.00   91.46
12時52分24秒  all    2.27    0.00    3.03    0.00    1.26    2.02    0.00    0.00    0.00   91.41
12時52分25秒  all    3.03    0.00    3.28    0.00    0.51    2.02    0.00    0.00    0.00   91.16
12時52分26秒  all    2.28    0.00    3.29    0.00    1.01    1.52    0.00    0.00    0.00   91.90
12時52分27秒  all    3.03    0.00    2.78    0.00    0.51    2.02    0.00    0.00    0.00   91.67
12時52分28秒  all    2.75    0.00    3.25    0.00    1.00    1.75    0.00    0.00    0.00   91.25
12時52分29秒  all    2.30    0.00    3.06    0.00    0.77    1.53    0.00    0.00    0.00   92.35
12時52分30秒  all    2.78    0.00    3.04    0.00    0.76    2.03    0.00    0.00    0.00   91.39
12時52分31秒  all    3.04    0.00    3.29    0.00    1.01    2.03    0.00    0.00    0.00   90.63
12時52分32秒  all    3.01    0.00    4.01    0.00    0.75    1.75    0.00    0.00    0.00   90.48
12時52分33秒  all    2.02    0.00    3.28    0.00    0.76    1.77    0.00    0.00    0.00   92.17
12時52分34秒  all    3.79    0.00    3.03    0.00    1.01    2.02    0.00    0.00    0.00   90.15
12時52分35秒  all    3.77    0.00    4.27    0.00    0.75    2.76    0.00    0.00    0.00   88.44
12時52分36秒  all    3.28    0.00    3.54    0.00    1.01    2.02    0.00    0.00    0.00   90.15
12時52分37秒  all    3.04    0.00    3.04    0.00    0.76    1.77    0.00    0.00    0.00   91.39
12時52分38秒  all    3.04    0.00    3.80    0.00    0.51    1.77    0.00    0.00    0.00   90.89
12時52分39秒  all    3.74    0.00    3.99    0.00    1.25    2.24    0.00    0.00    0.00   88.78
12時52分40秒  all    4.07    0.00    2.80    0.00    0.51    2.04    0.00    0.00    0.00   90.59
12時52分41秒  all    3.02    0.00    3.78    0.00    1.26    2.02    0.00    0.00    0.00   89.92
12時52分42秒  all    3.04    0.00    3.54    0.00    0.51    2.28    0.00    0.00    0.00   90.63
12時52分43秒  all    3.49    0.00    4.24    0.00    1.25    1.75    0.00    0.00    0.00   89.28
12時52分44秒  all    2.76    0.00    4.27    0.00    1.01    2.26    0.00    0.00    0.00   89.70
12時52分45秒  all    3.30    0.00    3.81    0.00    0.51    2.03    0.00    0.00    0.00   90.36
12時52分46秒  all    3.79    0.00    3.28    0.00    1.26    2.02    0.00    0.00    0.00   89.65
