2026/06/10 11:00:36 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.6, Count: 99, TPM: 618.3, Sum(ms): 41287.3, Avg(ms): 417.4, 50th(ms): 352.3, 90th(ms): 738.2, 95th(ms): 838.9, 99th(ms): 939.5, 99.9th(ms): 1040.2, Max(ms): 1040.2
[Current] NEW_ORDER - Takes(s): 9.8, Count: 1057, TPM: 6465.0, Sum(ms): 358586.3, Avg(ms): 339.2, 50th(ms): 302.0, 90th(ms): 604.0, 95th(ms): 704.6, 99th(ms): 906.0, 99.9th(ms): 1040.2, Max(ms): 1073.7
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 88, TPM: 534.1, Sum(ms): 5479.0, Avg(ms): 62.4, 50th(ms): 52.4, 90th(ms): 121.6, 95th(ms): 142.6, 99th(ms): 167.8, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] PAYMENT - Takes(s): 9.8, Count: 993, TPM: 6058.5, Sum(ms): 178631.8, Avg(ms): 179.9, 50th(ms): 167.8, 90th(ms): 285.2, 95th(ms): 335.5, 99th(ms): 469.8, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 106, TPM: 660.6, Sum(ms): 35161.7, Avg(ms): 332.1, 50th(ms): 285.2, 90th(ms): 704.6, 95th(ms): 805.3, 99th(ms): 906.0, 99.9th(ms): 939.5, Max(ms): 939.5
[Current] DELIVERY - Takes(s): 9.9, Count: 114, TPM: 688.0, Sum(ms): 38590.8, Avg(ms): 338.9, 50th(ms): 335.5, 90th(ms): 570.4, 95th(ms): 671.1, 99th(ms): 738.2, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1360, TPM: 8167.3, Sum(ms): 379556.2, Avg(ms): 279.1, 50th(ms): 243.3, 90th(ms): 486.5, 95th(ms): 570.4, 99th(ms): 738.2, 99.9th(ms): 939.5, Max(ms): 1208.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 121, TPM: 729.5, Sum(ms): 5526.6, Avg(ms): 45.7, 50th(ms): 41.9, 90th(ms): 75.5, 95th(ms): 92.3, 99th(ms): 113.2, 99.9th(ms): 130.0, Max(ms): 130.0
[Current] PAYMENT - Takes(s): 10.0, Count: 1251, TPM: 7511.9, Sum(ms): 185377.3, Avg(ms): 148.2, 50th(ms): 134.2, 90th(ms): 234.9, 95th(ms): 285.2, 99th(ms): 385.9, 99.9th(ms): 520.1, Max(ms): 536.9
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 130, TPM: 798.2, Sum(ms): 24386.6, Avg(ms): 187.6, 50th(ms): 167.8, 90th(ms): 385.9, 95th(ms): 469.8, 99th(ms): 604.0, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] DELIVERY - Takes(s): 9.9, Count: 138, TPM: 835.1, Sum(ms): 40829.4, Avg(ms): 296.3, 50th(ms): 268.4, 90th(ms): 486.5, 95th(ms): 536.9, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1487, TPM: 8926.4, Sum(ms): 368425.0, Avg(ms): 247.7, 50th(ms): 226.5, 90th(ms): 419.4, 95th(ms): 486.5, 99th(ms): 604.0, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 122, TPM: 743.3, Sum(ms): 4935.9, Avg(ms): 40.4, 50th(ms): 35.7, 90th(ms): 75.5, 95th(ms): 79.7, 99th(ms): 109.1, 99.9th(ms): 113.2, Max(ms): 113.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1457, TPM: 8746.8, Sum(ms): 202173.5, Avg(ms): 138.8, 50th(ms): 125.8, 90th(ms): 218.1, 95th(ms): 251.7, 99th(ms): 385.9, 99.9th(ms): 503.3, Max(ms): 570.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 138, TPM: 829.4, Sum(ms): 18081.6, Avg(ms): 131.0, 50th(ms): 88.1, 90th(ms): 302.0, 95th(ms): 369.1, 99th(ms): 469.8, 99.9th(ms): 503.3, Max(ms): 503.3
[Current] DELIVERY - Takes(s): 10.0, Count: 146, TPM: 877.2, Sum(ms): 41710.8, Avg(ms): 286.3, 50th(ms): 285.2, 90th(ms): 419.4, 95th(ms): 436.2, 99th(ms): 520.1, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1520, TPM: 9125.1, Sum(ms): 357060.5, Avg(ms): 235.1, 50th(ms): 209.7, 90th(ms): 385.9, 95th(ms): 436.2, 99th(ms): 536.9, 99.9th(ms): 604.0, Max(ms): 671.1
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 138, TPM: 832.5, Sum(ms): 5910.1, Avg(ms): 42.9, 50th(ms): 41.9, 90th(ms): 71.3, 95th(ms): 75.5, 99th(ms): 134.2, 99.9th(ms): 142.6, Max(ms): 142.6
[Current] PAYMENT - Takes(s): 10.0, Count: 1555, TPM: 9334.8, Sum(ms): 212448.8, Avg(ms): 136.7, 50th(ms): 121.6, 90th(ms): 218.1, 95th(ms): 260.0, 99th(ms): 369.1, 99.9th(ms): 486.5, Max(ms): 536.9
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 145, TPM: 881.3, Sum(ms): 14607.8, Avg(ms): 100.8, 50th(ms): 83.9, 90th(ms): 226.5, 95th(ms): 260.0, 99th(ms): 352.3, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] DELIVERY - Takes(s): 10.0, Count: 169, TPM: 1014.6, Sum(ms): 45297.9, Avg(ms): 268.2, 50th(ms): 251.7, 90th(ms): 419.4, 95th(ms): 453.0, 99th(ms): 486.5, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1725, TPM: 10350.1, Sum(ms): 368291.8, Avg(ms): 213.6, 50th(ms): 201.3, 90th(ms): 352.3, 95th(ms): 402.7, 99th(ms): 503.3, 99.9th(ms): 671.1, Max(ms): 738.2
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 135, TPM: 811.1, Sum(ms): 5129.0, Avg(ms): 38.0, 50th(ms): 37.7, 90th(ms): 71.3, 95th(ms): 71.3, 99th(ms): 92.3, 99.9th(ms): 96.5, Max(ms): 96.5
[Current] PAYMENT - Takes(s): 10.0, Count: 1645, TPM: 9888.5, Sum(ms): 204343.3, Avg(ms): 124.3, 50th(ms): 113.2, 90th(ms): 184.5, 95th(ms): 226.5, 99th(ms): 335.5, 99.9th(ms): 520.1, Max(ms): 637.5
