Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年08月13日 	_x86_64_	(4 CPU)

10時20分58秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10時20分59秒  all   65.99    0.00   21.66    3.78    2.27    5.79    0.00    0.00    0.00    0.50
10時21分00秒  all   68.00    0.00   19.75    3.00    2.50    5.75    0.00    0.00    0.00    1.00
10時21分01秒  all   69.92    0.00   20.30    1.25    2.76    5.76    0.00    0.00    0.00    0.00
10時21分02秒  all   67.09    0.00   21.11    3.52    2.26    5.53    0.00    0.00    0.00    0.50
10時21分03秒  all   66.67    0.00   19.44    4.55    2.53    6.06    0.00    0.00    0.00    0.76
10時21分04秒  all   65.83    0.00   21.36    4.02    2.76    5.53    0.00    0.00    0.00    0.50
10時21分05秒  all   67.09    0.00   21.36    2.26    2.51    5.53    0.00    0.00    0.00    1.26
10時21分06秒  all   67.34    0.00   21.86    1.76    2.76    6.03    0.00    0.00    0.00    0.25
10時21分07秒  all   68.67    0.00   22.31    0.50    2.51    6.02    0.00    0.00    0.00    0.00
10時21分08秒  all   67.42    0.00   22.31    1.25    3.01    5.76    0.00    0.00    0.00    0.25
10時21分09秒  all   67.08    0.00   21.70    2.00    2.74    5.99    0.00    0.00    0.00    0.50
10時21分10秒  all   66.41    0.00   20.96    3.79    2.53    5.81    0.00    0.00    0.00    0.51
10時21分11秒  all   68.08    0.00   21.20    2.00    2.99    5.74    0.00    0.00    0.00    0.00
10時21分12秒  all   66.08    0.00   20.35    4.27    2.76    5.78    0.00    0.00    0.00    0.75
10時21分13秒  all   68.92    0.00   21.05    1.00    2.51    6.02    0.00    0.00    0.00    0.50
10時21分14秒  all   69.40    0.00   20.90    0.50    2.99    5.97    0.00    0.00    0.00    0.25
10時21分15秒  all   69.54    0.00   20.30    2.03    2.54    5.58    0.00    0.00    0.00    0.00
10時21分16秒  all   67.81    0.00   22.11    1.23    2.95    5.90    0.00    0.00    0.00    0.00
