Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年08月13日 	_x86_64_	(4 CPU)

08時35分18秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08時35分19秒  all    9.25    0.00    7.75    0.00    1.75    4.50    0.00    0.00    0.00   76.75
08時35分20秒  all   12.12    0.00    8.33    0.00    1.01    3.54    0.00    0.00    0.00   75.00
08時35分21秒  all    7.89    0.00    5.09    0.00    1.27    3.56    0.00    0.00    0.00   82.19
08時35分22秒  all    5.64    0.00    5.38    0.00    1.54    3.59    0.00    0.00    0.00   83.85
08時35分23秒  all    5.85    0.00    6.11    0.00    1.27    3.31    0.00    0.00    0.00   83.46
08時35分24秒  all    5.14    0.00    5.40    0.00    1.03    3.86    0.00    0.00    0.00   84.58
08時35分25秒  all    6.63    0.00    6.12    0.00    1.53    3.57    0.00    0.00    0.00   82.14
08時35分26秒  all    6.15    0.00    5.64    0.00    1.54    4.10    0.00    0.00    0.00   82.56
08時35分27秒  all    5.91    0.00    4.88    0.00    1.29    3.60    0.00    0.00    0.00   84.32
08時35分28秒  all    6.12    0.00    5.10    0.00    1.53    3.83    0.00    0.00    0.00   83.42
08時35分29秒  all    5.45    0.00    4.68    0.00    1.04    3.90    0.00    0.00    0.00   84.94
08時35分30秒  all    6.62    0.00    4.58    0.00    1.78    4.07    0.00    0.00    0.00   82.95
08時35分31秒  all    6.22    0.00    5.18    0.00    1.30    3.37    0.00    0.00    0.00   83.94
08時35分32秒  all    6.58    0.00    5.57    0.00    1.52    3.54    0.00    0.00    0.00   82.78
08時35分33秒  all    5.13    0.00    5.13    0.00    1.03    3.85    0.00    0.00    0.00   84.87
08時35分34秒  all    5.91    0.00    4.11    0.00    1.29    3.60    0.00    0.00    0.00   85.09
08時35分35秒  all    6.84    0.00    5.57    0.00    1.27    3.80    0.00    0.00    0.00   82.53
08時35分36秒  all    6.39    0.00    4.86    0.00    1.28    3.84    0.00    0.00    0.00   83.63
08時35分37秒  all    5.66    0.00    4.63    0.00    1.29    3.60    0.00    0.00    0.00   84.83
08時35分38秒  all    5.33    0.00    5.08    0.00    1.27    3.30    0.00    0.00    0.00   85.03
08時35分39秒  all    4.85    0.00    4.59    0.00    1.02    3.06    0.00    0.00    0.00   86.48
08時35分40秒  all    6.41    0.00    4.36    0.00    1.54    3.59    0.00    0.00    0.00   84.10
08時35分41秒  all    6.35    0.00    6.09    0.00    1.27    3.81    0.00    0.00    0.00   82.49
08時35分42秒  all    5.41    0.00    4.90    0.00    1.29    3.61    0.00    0.00    0.00   84.79
08時35分43秒  all    5.18    0.00    3.89    0.00    1.04    3.89    0.00    0.00    0.00   86.01
08時35分44秒  all    5.87    0.00    4.59    0.00    1.28    3.57    0.00    0.00    0.00   84.69
08時35分45秒  all    5.60    0.00    4.07    0.00    1.53    3.05    0.00    0.00    0.00   85.75
08時35分46秒  all    4.91    0.00    4.65    0.00    0.78    3.36    0.00    0.00    0.00   86.30
08時35分47秒  all    5.88    0.00    5.12    0.00    1.53    3.84    0.00    0.00    0.00   83.63
08時35分48秒  all    6.08    0.00    4.81    0.00    1.27    3.54    0.00    0.00    0.00   84.30
08時35分49秒  all    5.34    0.00    5.34    0.00    1.53    3.56    0.00    0.00    0.00   84.22
08時35分50秒  all    6.12    0.00    4.85    0.00    1.02    3.06    0.00    0.00    0.00   84.95
08時35分51秒  all    6.33    0.00    5.82    0.00    1.27    4.05    0.00    0.00    0.00   82.53
08時35分52秒  all    5.64    0.00    4.87    0.00    1.28    3.59    0.00    0.00    0.00   84.62
08時35分53秒  all    5.91    0.00    5.14    0.00    1.03    3.60    0.00    0.00    0.00   84.32
08時35分54秒  all    6.14    0.00    4.60    0.00    1.53    3.84    0.00    0.00    0.00   83.89
08時35分55秒  all    6.36    0.00    5.34    0.00    1.27    3.82    0.00    0.00    0.00   83.21
08時35分56秒  all    6.36    0.00    5.09    0.00    1.53    3.56    0.00    0.00    0.00   83.46
08時35分57秒  all    6.60    0.00    5.08    0.00    1.02    3.81    0.00    0.00    0.00   83.50
08時35分58秒  all    5.63    0.00    4.86    0.00    1.79    3.84    0.00    0.00    0.00   83.89
08時35分59秒  all    5.87    0.00    4.59    0.00    1.28    3.57    0.00    0.00    0.00   84.69
08時36分00秒  all    5.67    0.00    4.90    0.00    1.29    3.61    0.00    0.00    0.00   84.54
08時36分01秒  all    7.42    0.00    4.60    0.00    1.28    3.84    0.00    0.00    0.00   82.86
