procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 462740     20 12441508    0    0 10654 21610   53    9 16  7 73  4  0
 7  3      0 454132     20 12452844    0    0 175952 345881 104351 69203 57 31  1 11  0
 7 11      0 442864     20 12464544    0    0 198192 135393 69421 75101 61 27  0 12  0
 2 13      0 430920     20 12476196    0    0 186368 155002 68957 76316 59 26  1 14  0
15  5      0 418128     20 12488416    0    0 187040 159957 69582 77103 60 26  1 14  0
 6 11      0 405904     20 12500368    0    0 192576 244948 70854 77922 59 25  1 15  0
12  5      0 394256     20 12511860    0    0 196832 300612 69675 78737 56 25  2 17  0
13  7      0 382908     20 12523076    0    0 180032 281656 65082 74910 59 24  1 15  0
 1 13      0 371668     20 12534216    0    0 187536 276573 70899 75185 59 26  2 14  0
24  4      0 359568     20 12546096    0    0 208992 288955 76746 80622 59 27  1 14  0
 9 10      0 347916     20 12558068    0    0 202240 289106 71107 78824 58 26  1 14  0
21  4      0 335696     20 12570132    0    0 190976 305703 71232 77103 59 27  1 13  0
19  5      0 324200     20 12581448    0    0 183568 288050 69898 74757 61 26  1 12  0
14  5      0 313208     20 12592936    0    0 187600 318969 71511 74775 60 25  2 14  0
16  7      0 301072     20 12605376    0    0 199152 327936 71760 79180 59 27  1 13  0
21  7      0 288340     20 12617348    0    0 203200 353486 76730 80589 59 26  2 14  0
19  6      0 276020     20 12629916    0    0 203360 341935 77089 80871 60 26  1 13  0
14  5      0 264004     20 12641832    0    0 195456 339120 73794 78160 61 26  1 12  0
14  6      0 252928     20 12653188    0    0 198912 323663 69160 77461 60 25  2 14  0
18  6      0 240264     20 12665348    0    0 208096 339239 72237 80514 61 24  1 13  0
11  3      0 227660     20 12677488    0    0 189648 328180 72997 79175 60 25  2 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  7      0 215916     20 12689896    0    0 199024 335146 74417 78790 59 26  2 13  0
 9  6      0 204580     20 12701508    0    0 173936 308344 69380 73466 61 25  2 12  0
19  5      0 191860     20 12713316    0    0 183408 320309 72582 76928 62 26  1 12  0
12  8      0 180276     20 12725576    0    0 184656 315048 76335 79289 61 26  1 12  0
 6  7      0 168364     20 12737528    0    0 196176 335632 76488 80337 59 25  2 14  0
16  4      0 156312     20 12749496    0    0 186544 319064 70847 78123 60 25  2 13  0
13  5      0 168192     20 12737780    0    0 185572 326864 70394 75357 60 26  1 13  0
 8  5      0 155996     20 12749336    0    0 175168 309764 69792 75011 60 25  2 13  0
15  4      0 166060     20 12739560    0    0 182988 299211 73042 78702 61 24  1 13  0
16  6      0 154584     20 12751052    0    0 184288 317331 67374 78095 55 25  2 17  0
15  4      0 164408     20 12741316    0    0 187376 323031 73260 79147 59 27  1 14  0
17  5      0 153004     20 12752504    0    0 168112 340839 71070 74235 60 26  1 12  0
12 13      0 163880     20 12742296    0    0 173392 335410 69611 75501 59 27  1 13  0
15  5      0 151484     20 12754656    0    0 188640 330292 74196 80781 59 27  1 13  0
17  7      0 160468     20 12745156    0    0 182176 331358 71865 79351 59 26  2 14  0
18  6      0 168864     20 12736048    0    0 188464 350722 75081 81213 58 26  2 14  0
29  0      0 157356     20 12748700    0    0 179984 328578 74804 78367 61 26  1 12  0
 8  9      0 167068     20 12738512    0    0 183344 335981 72080 74547 61 26  2 11  0
14  6      0 155272     20 12750480    0    0 177360 327675 75059 77467 60 27  1 12  0
15  7      0 163832     20 12741432    0    0 186816 344011 76453 80356 59 27  2 12  0
13  7      0 150952     20 12753708    0    0 186240 340498 75004 78845 59 27  2 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  6      0 160760     20 12743424    0    0 173136 325258 74005 75218 60 27  2 11  0
15  8      0 170028     20 12733916    0    0 173472 328696 73446 75368 61 25  2 12  0
14  3      0 158316     20 12746132    0    0 182992 327875 76531 78112 61 27  2 11  0
14  5      0 167648     20 12737060    0    0 195584 349972 73051 80745 61 26  2 12  0
15  5      0 154468     20 12749672    0    0 174304 332500 72854 79573 60 25  2 13  0
11  4      0 164348     20 12739852    0    0 189216 344532 74213 77594 60 27  2 12  0
23  8      0 152108     20 12752136    0    0 169648 338036 74867 75306 62 26  2 11  0
 9  6      0 161044     20 12743616    0    0 172688 323471 72376 79111 62 26  1 12  0
14  7      0 168932     20 12734668    0    0 190848 341863 73037 79301 60 26  1 13  0
12  7      0 157828     20 12746868    0    0 187824 345512 72935 80507 59 26  2 13  0
15  5      0 167776     20 12737468    0    0 167152 350424 73079 76139 60 26  2 12  0
15  3      0 155756     20 12749176    0    0 184816 330797 73337 75398 61 27  1 11  0
17  6      0 165216     20 12739928    0    0 177536 326598 72090 77745 60 26  1 12  0
11  8      0 152976     20 12751868    0    0 188736 333102 73278 78812 59 26  2 13  0
 4  6      0 162748     20 12742916    0    0 194336 347366 75187 80672 59 26  2 14  0
21  4      0 150524     20 12754536    0    0 163680 323134 74206 76709 59 26  2 13  0
11  7      0 159264     20 12746016    0    0 184256 328690 76209 78583 62 26  1 10  0
20  3      0 166912     20 12737144    0    0 172016 329998 75240 77627 60 26  2 12  0
13  3      0 156544     20 12748772    0    0 181152 330441 74878 77439 60 27  2 12  0
