procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   3840 1832964   1076 5448344    0    0     0     1    0    0  0  0 99  0  0
 1  0   3840 1810824   1076 5448368    0    0     0     0 88914 66830 11 20 69  0  0
 1  0   3840 1809180   1076 5448384    0    0     0     0 68803 75009 11 15 75  0  0
 2  0   3840 1809316   1076 5448384    0    0     0     0 75586 81181 11 16 73  0  0
 2  0   3840 1808792   1076 5448384    0    0     0    93 82770 88777 11 16 73  0  0
 1  0   3840 1808456   1076 5448384    0    0     0     0 78085 83154 10 15 75  0  0
 3  0   3840 1808284   1076 5448384    0    0     0     8 74604 80586 10 15 76  0  0
 0  0   3840 1808960   1076 5448384    0    0     0     0 73164 77873 10 16 74  0  0
 0  0   3840 1809228   1076 5448384    0    0     0     0 74046 79463 11 14 75  0  0
 1  0   3840 1808124   1076 5448384    0    0     0     0 80026 86632 10 15 74  0  0
 1  0   3840 1807788   1076 5448384    0    0     0     0 80894 87073 10 14 76  0  0
 1  0   3840 1808020   1076 5448388    0    0     0     4 76707 82653 10 15 75  0  0
 1  0   3840 1807968   1076 5448388    0    0     0     0 75319 80671 10 15 75  0  0
 0  0   3840 1808532   1076 5448388    0    0     0     0 75671 82564 10 15 75  0  0
 1  0   3840 1808080   1076 5448396    0    0     0     0 78771 86955  9 14 77  0  0
 0  0   3840 1808276   1076 5448400    0    0     0     0 78577 84172 11 15 74  0  0
 0  0   3840 1807504   1076 5448400    0    0     0     0 76193 84361  9 14 77  0  0
 2  0   3840 1808060   1076 5448400    0    0     0     0 72141 80315 10 16 74  0  0
 2  0   3840 1807600   1076 5448400    0    0     0     0 74720 82615 10 15 75  0  0
 0  0   3840 1807676   1076 5448400    0    0     0     0 76452 84493 10 14 76  0  0
 0  0   3840 1807504   1076 5448400    0    0     0     0 79883 88204  9 15 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1808256   1076 5448404    0    0     0     0 80402 88648 10 14 76  0  0
 0  0   3840 1807964   1076 5448408    0    0     0     0 73173 80657 10 15 75  0  0
 0  0   3840 1807620   1076 5448408    0    0     0     0 73926 80829  9 14 77  0  0
 2  0   3840 1807620   1076 5448408    0    0     0     0 77672 82791 10 15 75  0  0
 1  0   3840 1807896   1076 5448408    0    0     0     0 79763 86985 10 16 74  0  0
 1  0   3840 1807340   1076 5448408    0    0     0    36 74432 81951 11 15 74  0  0
 2  0   3840 1806912   1076 5448412    0    0     0     0 74744 81167 11 16 73  0  0
 0  0   3840 1807888   1076 5448416    0    0     0     0 75771 82411 10 15 75  0  0
 0  0   3840 1807204   1076 5448420    0    0     0     0 80139 86985 10 15 75  0  0
 0  0   3840 1807524   1076 5448420    0    0     0     0 80287 85820 10 15 75  0  0
 1  0   3840 1807736   1076 5448420    0    0     0    44 77119 83699 10 15 76  0  0
 1  0   3840 1807624   1076 5448424    0    0     0     0 75528 83003 11 16 73  0  0
 0  0   3840 1783248   1076 5448424    0    0     0     4 62412 68468 11 15 74  0  0
 0  0   3840 1782952   1076 5448424    0    0     0   157 69406 75377 10 15 75  0  0
 1  0   3840 1783536   1076 5448424    0    0     0     2 78805 84410 10 15 75  0  0
 0  0   3840 1783180   1076 5448424    0    0     0     0 77512 84556 11 15 74  0  0
 0  0   3840 1782776   1076 5448424    0    0     0    40 73125 79027 10 15 74  0  0
 1  0   3840 1783232   1076 5448424    0    0     0     0 73939 81332 10 14 75  0  0
 2  0   3840 1782732   1076 5448428    0    0     0     0 80652 86447 10 14 76  0  0
 1  0   3840 1783808   1076 5448432    0    0     0     0 78937 85061  9 15 76  0  0
 1  0   3840 1783260   1076 5448440    0    0     0     0 79922 86682 10 15 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1782760   1076 5448444    0    0     0     0 74965 82573 10 16 74  0  0
 1  0   3840 1783232   1076 5448452    0    0     0     0 81097 87139 10 15 75  0  0
 1  0   3840 1783528   1076 5448456    0    0     0     0 75173 81112 10 15 75  0  0
 1  0   3840 1782436   1076 5448456    0    0     0     0 78344 83305 10 14 75  0  0
 1  0   3840 1782992   1076 5448456    0    0     0     0 74976 80408 10 15 75  0  0
 5  0   3840 1782780   1076 5448456    0    0     0     0 79696 85504 10 16 74  0  0
 1  0   3840 1782696   1076 5448456    0    0     0     0 69502 75251 10 15 75  0  0
 0  0   3840 1782616   1076 5448456    0    0     0     0 79934 85878 10 16 74  0  0
 1  0   3840 1782752   1076 5448456    0    0     0     0 78775 84180 11 14 75  0  0
 2  0   3840 1783900   1076 5448460    0    0     0     0 81027 88497 10 15 75  0  0
 3  0   3840 1807444   1076 5448460    0    0     0   280 60177 68580 17 16 67  0  0
 4  0   3840 1807240   1076 5448468    0    0     0     0 75829 83319 10 15 76  0  0
 1  0   3840 1807520   1076 5448472    0    0     0     0 81417 87735 10 15 74  0  0
 0  0   3840 1807716   1076 5448472    0    0     0     0 82165 88485 10 15 75  0  0
 1  0   3840 1806632   1076 5448472    0    0     0     0 71964 78163 10 15 74  0  0
 0  0   3840 1806996   1076 5448472    0    0     0     0 72619 78475 11 16 73  0  0
 4  0   3840 1806648   1076 5448476    0    0     0     0 77123 83026 11 15 74  0  0
 0  0   3840 1807636   1076 5448476    0    0     0     0 78143 84267 10 14 76  0  0
 1  0   3840 1806540   1076 5448476    0    0     0     0 79211 85093 10 15 75  0  0
 3  0   3840 1806912   1076 5448480    0    0     0     0 79775 86598 10 14 75  0  0
 0  0   3840 1807512   1076 5448480    0    0     0   144 78964 86849 10 14 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1807572   1076 5448484    0    0     0     0 74402 80074 10 15 74  0  0
 0  0   3840 1806808   1076 5448488    0    0     0     0 79443 86468  9 15 76  0  0
 1  0   3840 1807096   1076 5448488    0    0     0    62 68653 75177  9 14 78  0  0
 2  0   3840 1807048   1076 5448492    0    0     0     0 74952 81558 10 15 75  0  0
 1  0   3840 1806876   1076 5448492    0    0     0     0 76265 82069 10 16 74  0  0
 0  0   3840 1807620   1076 5448492    0    0     0    52 75943 81901  9 15 76  0  0
 1  0   3840 1807344   1076 5448492    0    0     0     0 79602 85325  9 14 77  0  0
 0  0   3840 1807128   1076 5448492    0    0     0     0 80407 85445  9 15 76  0  0
 0  0   3840 1807488   1076 5448492    0    0     0     0 76982 83616 10 15 75  0  0
 2  0   3840 1806736   1076 5448492    0    0     0     0 76419 82264 10 15 75  0  0
 1  0   3840 1807584   1076 5448492    0    0     0     0 74838 81238 11 15 74  0  0
 1  0   3840 1807096   1076 5448500    0    0     0    44 81804 88307 10 15 74  0  0
 0  0   3840 1807084   1076 5448500    0    0     0     0 77668 83340 10 15 74  0  0
 1  0   3840 1807424   1076 5448500    0    0     0     0 76290 82406  9 16 75  0  0
 1  0   3840 1807904   1076 5448504    0    0     0     0 81958 87767  9 15 76  0  0
 0  0   3840 1806992   1076 5448504    0    0     0     0 76398 82436 10 15 75  0  0
 0  0   3840 1807412   1076 5448508    0    0     0     0 81265 87338 10 15 75  0  0
 0  0   3840 1807692   1076 5448508    0    0     0     0 80986 86702 10 14 75  0  0
 0  0   3840 1807740   1076 5448512    0    0     0     0 76880 82387  9 15 75  0  0
 0  0   3840 1807164   1076 5448516    0    0     0     0 73827 80375 10 15 74  0  0
 1  0   3840 1807360   1076 5448516    0    0     0     0 78189 83579 11 15 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1807188   1076 5448520    0    0     0     0 81177 87136 10 15 75  0  0
 0  0   3840 1807264   1076 5448520    0    0     0     0 81312 87065  9 16 75  0  0
 1  0   3840 1807508   1076 5448524    0    0     0     0 78885 84169 11 15 75  0  0
 1  0   3840 1807256   1076 5448528    0    0     0     0 68746 74192 10 15 76  0  0
 1  0   3840 1807364   1076 5448532    0    0     0     0 79576 85273 10 15 75  0  0
 0  0   3840 1807556   1076 5448532    0    0     0     0 77513 83366 11 14 75  0  0
 0  0   3840 1807192   1076 5448532    0    0     0     0 80932 86742 11 15 74  0  0
 2  0   3840 1806780   1076 5448540    0    0     0     0 83439 88465 10 15 75  0  0
 0  0   3840 1806988   1076 5448544    0    0     0     0 71935 77097 11 16 73  0  0
 1  0   3840 1806948   1076 5448544    0    0     0     0 73641 80127 11 15 73  0  0
 0  0   3840 1782260   1076 5448548    0    0     0     4 72688 78359 12 15 72  0  0
 0  0   3840 1782316   1076 5448552    0    0     0   111 78340 83421 11 15 74  0  0
 2  0   3840 1781856   1076 5448552    0    0     0     0 69777 75344  9 13 78  0  0
 1  0   3840 1782972   1076 5448552    0    0     0     0 70287 75352 11 15 74  0  0
 2  0   3840 1782568   1076 5448552    0    0     0     0 70673 75474 10 15 75  0  0
 0  0   3840 1782252   1076 5448552    0    0     0     0 80379 86557 10 16 74  0  0
 0  0   3840 1782352   1076 5448552    0    0     0     0 79946 85709 10 15 74  0  0
 5  0   3840 1782964   1076 5448556    0    0     0     0 78142 83763 10 15 75  0  0
 0  0   3840 1782072   1076 5448556    0    0     0     0 77176 82511 10 15 74  0  0
 1  0   3840 1782404   1076 5448560    0    0     0     0 78003 83692 10 16 74  0  0
 5  0   3840 1782284   1076 5448564    0    0     0     0 78645 84215 10 14 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3840 1782208   1076 5448572    0    0     0    92 83249 88481  9 15 76  0  0
 1  0   3840 1782144   1076 5448572    0    0     0     0 74226 81193 11 15 75  0  0
 2  0   3840 1782284   1076 5448572    0    0     0     0 73283 78791  9 14 77  0  0
 0  0   3840 1782168   1076 5448572    0    0     0     0 78067 83341 11 15 75  0  0
 1  0   3840 1782352   1076 5448572    0    0     0     0 77831 82948 10 15 76  0  0
 1  0   3840 1782464   1076 5448572    0    0     0     0 84376 89861  9 15 77  0  0
 0  0   3840 1782336   1076 5448572    0    0     0     0 74999 81265 11 16 73  0  0
 2  0   3840 1806012   1076 5448576    0    0     0   280 60895 69382 17 18 65  0  0
 3  0   3840 1806504   1076 5448572    0    0     0     0 77483 84360 11 14 75  0  0
 1  0   3840 1806812   1076 5448572    0    0     0     0 78175 85237 10 15 75  0  0
 0  0   3840 1807836   1076 5448572    0    0     0    16 86160 91668 10 15 75  0  0
 0  0   3840 1806716   1076 5448580    0    0     0     0 71736 77589 11 15 74  0  0
 1  0   3840 1807240   1076 5448580    0    0     0     0 73829 79701 10 15 74  0  0
 1  0   3840 1807360   1076 5448588    0    0     0     0 74462 82190 11 14 75  0  0
 0  0   3840 1806824   1076 5448588    0    0     0     0 79261 86491 10 15 74  0  0
 1  0   3840 1807420   1076 5448588    0    0     0     0 78863 83959 10 15 75  0  0
 0  0   3840 1806948   1076 5448592    0    0     0     0 83413 89409 10 16 75  0  0
 0  0   3840 1806040   1076 5448596    0    0     0     0 74542 81889  9 15 76  0  0
 2  0   3840 1806624   1076 5448596    0    0     0     0 72151 77212 12 14 74  0  0
 0  0   3840 1807148   1076 5448596    0    0     0     0 80031 85864 10 15 76  0  0
 0  0   3840 1806736   1076 5448596    0    0     0   119 79782 85826 10 14 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1806304   1076 5448596    0    0     0    16 77762 83332 10 15 75  0  0
 1  0   3840 1806200   1076 5448600    0    0     0     0 68434 73680  9 14 77  0  0
 3  0   3840 1806804   1076 5448600    0    0     0     0 77070 82785 10 15 75  0  0
 0  0   3840 1806280   1076 5448604    0    0     0     0 72507 77810 10 15 75  0  0
