2026/08/13 09:52:39 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.8, Count: 745, TPM: 4568.6, Sum(ms): 82941.9, Avg(ms): 111.3, 50th(ms): 109.1, 90th(ms): 151.0, 95th(ms): 176.2, 99th(ms): 234.9, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] NEW_ORDER - Takes(s): 9.9, Count: 8417, TPM: 51260.0, Sum(ms): 321650.5, Avg(ms): 38.2, 50th(ms): 37.7, 90th(ms): 58.7, 95th(ms): 67.1, 99th(ms): 88.1, 99.9th(ms): 134.2, Max(ms): 184.5
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 768, TPM: 4658.6, Sum(ms): 12742.7, Avg(ms): 16.6, 50th(ms): 13.6, 90th(ms): 29.4, 95th(ms): 44.0, 99th(ms): 62.9, 99.9th(ms): 88.1, Max(ms): 96.5
[Current] PAYMENT - Takes(s): 9.9, Count: 8040, TPM: 48720.6, Sum(ms): 155727.3, Avg(ms): 19.4, 50th(ms): 17.8, 90th(ms): 30.4, 95th(ms): 37.7, 99th(ms): 58.7, 99.9th(ms): 79.7, Max(ms): 121.6
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 766, TPM: 4646.3, Sum(ms): 46808.4, Avg(ms): 61.1, 50th(ms): 62.9, 90th(ms): 104.9, 95th(ms): 117.4, 99th(ms): 142.6, 99.9th(ms): 176.2, Max(ms): 176.2
[Current] DELIVERY - Takes(s): 10.0, Count: 801, TPM: 4810.0, Sum(ms): 95196.4, Avg(ms): 118.9, 50th(ms): 117.4, 90th(ms): 167.8, 95th(ms): 184.5, 99th(ms): 234.9, 99.9th(ms): 285.2, Max(ms): 352.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 8652, TPM: 51927.6, Sum(ms): 319234.3, Avg(ms): 36.9, 50th(ms): 37.7, 90th(ms): 56.6, 95th(ms): 62.9, 99th(ms): 79.7, 99.9th(ms): 109.1, Max(ms): 176.2
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 783, TPM: 4698.5, Sum(ms): 12775.4, Avg(ms): 16.3, 50th(ms): 15.2, 90th(ms): 27.3, 95th(ms): 33.6, 99th(ms): 54.5, 99.9th(ms): 79.7, Max(ms): 109.1
[Current] PAYMENT - Takes(s): 10.0, Count: 8372, TPM: 50268.0, Sum(ms): 156140.8, Avg(ms): 18.7, 50th(ms): 17.8, 90th(ms): 28.3, 95th(ms): 35.7, 99th(ms): 50.3, 99.9th(ms): 79.7, Max(ms): 125.8
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 697, TPM: 4190.4, Sum(ms): 46263.2, Avg(ms): 66.4, 50th(ms): 71.3, 90th(ms): 109.1, 95th(ms): 121.6, 99th(ms): 151.0, 99.9th(ms): 167.8, Max(ms): 226.5
[Current] DELIVERY - Takes(s): 10.0, Count: 770, TPM: 4620.5, Sum(ms): 89028.0, Avg(ms): 115.6, 50th(ms): 113.2, 90th(ms): 159.4, 95th(ms): 176.2, 99th(ms): 234.9, 99.9th(ms): 318.8, Max(ms): 318.8
