procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   3840 1877932   1076 5416884    0    0     0     1    0    0  0  0 99  0  0
 0  0   3840 1863476   1076 5416928    0    0     0     0 43685 42106  5  7 88  0  0
 1  0   3840 1863308   1076 5416932    0    0     0     0 33322 37612  3  6 92  0  0
 0  0   3840 1863496   1076 5416932    0    0     0    92 32163 37696  2  5 93  0  0
 0  0   3840 1863096   1076 5416932    0    0     0     0 29652 34133  3  5 92  0  0
 0  0   3840 1862800   1076 5416932    0    0     0    56 32100 38309  3  5 92  0  0
 0  0   3840 1862920   1076 5416932    0    0     0     0 32000 37976  2  5 93  0  0
 0  0   3840 1862636   1076 5416932    0    0     0     0 31002 36471  3  5 92  0  0
 0  0   3840 1862788   1076 5416932    0    0     0     0 28839 34398  2  5 93  0  0
 0  0   3840 1862616   1076 5416932    0    0     0     0 27961 33597  2  5 93  0  0
 0  0   3840 1862384   1076 5416932    0    0     0    40 29819 34578  3  5 93  0  0
 0  0   3840 1862616   1076 5416936    0    0     0     0 28735 33796  2  5 93  0  0
 1  0   3840 1862348   1076 5416936    0    0     0     0 26805 32090  2  5 93  0  0
 0  0   3840 1862388   1076 5416936    0    0     0     0 30363 33843  3  5 93  0  0
 0  0   3840 1862592   1076 5416948    0    0     0     0 28771 31391  3  5 92  0  0
 1  0   3840 1862288   1076 5416948    0    0     0     0 34046 37395  2  6 92  0  0
 0  0   3840 1862408   1076 5416948    0    0     0    56 30996 34606  3  5 92  0  0
 1  0   3840 1862504   1076 5416948    0    0     0     0 32321 36078  3  5 92  0  0
 0  0   3840 1862728   1076 5416948    0    0     0     0 32313 35721  3  5 93  0  0
 1  0   3840 1862728   1076 5416948    0    0     0     0 30643 34785  3  5 93  0  0
 1  0   3840 1862696   1076 5416948    0    0     0     0 30024 35036  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1862040   1076 5416956    0    0     0    48 30561 35522  2  5 93  0  0
 1  0   3840 1862148   1076 5416956    0    0     0     0 28343 32724  3  4 93  0  0
 1  0   3840 1862356   1076 5416956    0    0     0     0 30170 36811  2  5 93  0  0
 0  0   3840 1862340   1076 5416956    0    0     0     0 26999 31497  2  5 93  0  0
 0  0   3840 1837616   1076 5416956    0    0     0     4 27434 32408  5  6 90  0  0
 0  0   3840 1837584   1076 5416956    0    0     0     0 26401 31407  2  4 94  0  0
 0  0   3840 1837544   1076 5416968    0    0     0    48 29846 34594  2  5 93  0  0
 0  0   3840 1836996   1076 5416968    0    0     0     0 30107 33441  2  5 93  0  0
 1  0   3840 1837356   1076 5416968    0    0     0     0 29375 35010  3  5 92  0  0
 0  0   3840 1837320   1076 5416968    0    0     0     0 29237 34579  2  5 93  0  0
 1  0   3840 1837452   1076 5416968    0    0     0     0 26918 31411  2  4 94  0  0
 1  0   3840 1837584   1076 5416972    0    0     0     0 29799 33755  2  4 94  0  0
 0  0   3840 1837456   1076 5416972    0    0     0   180 29175 34124  2  5 93  0  0
 0  0   3840 1837100   1076 5416972    0    0     0     2 27221 31339  3  5 93  0  0
 0  0   3840 1837328   1076 5416972    0    0     0     0 30550 34652  2  5 93  0  0
 0  0   3840 1837292   1076 5416972    0    0     0     0 28210 33284  2  5 93  0  0
 0  0   3840 1837556   1076 5416972    0    0     0     0 29531 34969  2  5 94  0  0
 0  0   3840 1837080   1076 5416972    0    0     0     0 29845 34144  3  6 91  0  0
 0  0   3840 1837060   1076 5416976    0    0     0    32 27714 31041  3  5 93  0  0
 0  0   3840 1837392   1076 5416988    0    0     0     0 29630 33330  2  5 93  0  0
 0  0   3840 1837176   1076 5416992    0    0     0     0 28480 33231  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1837368   1076 5417000    0    0     0     0 31566 36828  2  5 92  0  0
 2  0   3840 1859804   1076 5417008    0    0     0   184 26594 31795  6  6 88  0  0
 1  0   3840 1861004   1076 5417008    0    0     0   100 30365 34367  5  6 89  0  0
 0  0   3840 1861452   1076 5417008    0    0     0     0 29869 34995  2  5 93  0  0
 0  0   3840 1861128   1076 5417008    0    0     0     0 30022 35448  2  5 93  0  0
 1  0   3840 1861308   1076 5417008    0    0     0     0 29798 34814  2  5 93  0  0
 1  0   3840 1861876   1076 5417008    0    0     0     0 30156 35842  3  6 92  0  0
 1  0   3840 1861508   1076 5417008    0    0     0   112 30572 35091  3  5 92  0  0
 0  0   3840 1861396   1076 5417008    0    0     0     0 31724 36385  3  5 91  0  0
 0  0   3840 1861312   1076 5417008    0    0     0     0 31003 35528  2  5 92  0  0
 0  0   3840 1861068   1076 5417008    0    0     0     0 30968 35768  3  5 93  0  0
 0  0   3840 1861276   1076 5417020    0    0     0     0 31096 36806  2  5 93  0  0
 0  0   3840 1861412   1076 5417020    0    0     0     0 29202 34520  3  5 92  0  0
 0  0   3840 1861596   1076 5417020    0    0     0    52 31274 37732  2  5 93  0  0
 0  0   3840 1861984   1076 5417020    0    0     0     0 31708 36937  2  5 93  0  0
 0  0   3840 1861048   1076 5417024    0    0     0     0 29951 34693  2  5 93  0  0
 0  0   3840 1860928   1076 5417024    0    0     0     0 29785 34984  2  5 93  0  0
 0  0   3840 1861028   1076 5417024    0    0     0     0 29050 34383  3  5 92  0  0
 1  0   3840 1861204   1076 5417024    0    0     0     0 29437 34290  2  5 93  0  0
 3  0   3840 1861304   1076 5417028    0    0     0    52 31081 35207  3  5 93  0  0
 0  0   3840 1861044   1076 5417028    0    0     0     0 31634 36442  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1861232   1076 5417028    0    0     0     0 30776 35552  2  5 93  0  0
 1  0   3840 1861384   1076 5417032    0    0     0    96 31229 35511  3  5 92  0  0
 0  0   3840 1861032   1076 5417040    0    0     0     0 33574 37138  2  6 92  0  0
 0  0   3840 1861096   1076 5417040    0    0     0    48 30767 34101  2  5 93  0  0
 0  0   3840 1861292   1076 5417040    0    0     0     0 31485 35233  2  5 93  0  0
 0  0   3840 1861036   1076 5417040    0    0     0     0 30078 33853  2  5 93  0  0
 0  0   3840 1861064   1076 5417040    0    0     0     0 30861 35867  3  5 92  0  0
 0  0   3840 1861032   1076 5417044    0    0     0     0 30944 36319  2  5 93  0  0
 0  0   3840 1860968   1076 5417044    0    0     0     0 28319 33398  2  5 93  0  0
 0  0   3840 1861324   1076 5417044    0    0     0    44 30863 36684  2  5 93  0  0
 0  0   3840 1861264   1076 5417044    0    0     0     0 28895 33779  2  5 93  0  0
 0  0   3840 1861172   1076 5417048    0    0     0     0 30601 36089  3  6 92  0  0
 0  0   3840 1860820   1076 5417048    0    0     0     0 28812 33877  2  5 93  0  0
 0  0   3840 1861104   1076 5417048    0    0     0     0 31524 36658  2  5 93  0  0
 0  0   3840 1861304   1076 5417052    0    0     0     0 29764 34655  3  5 92  0  0
 1  0   3840 1861180   1076 5417056    0    0     0     0 26920 31731  3  5 93  0  0
 0  0   3840 1860964   1076 5417056    0    0     0     0 29092 32940  3  5 92  0  0
 0  0   3840 1861000   1076 5417060    0    0     0     0 31878 35845  3  5 93  0  0
 0  0   3840 1861216   1076 5417068    0    0     0     0 32620 36416  2  5 93  0  0
 0  0   3840 1861344   1076 5417068    0    0     0     0 32165 36429  3  5 93  0  0
 0  0   3840 1861220   1076 5417068    0    0     0     0 31514 35284  2  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
