procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 4638704     20 8405448    0    0  2626 15610  964 1641  8  3 78 11  0
 3  0      0 4637800     20 8409768    0    0 63776 123151 50505 45946 21 18 29 33  0
 0  2      0 4634556     20 8412548    0    0 53600 24387 38289 43408 19 12 34 35  0
 4  0      0 4631672     20 8415440    0    0 47520 23966 36255 41638 20 11 38 31  0
 3  2      0 4628744     20 8418036    0    0 53328 35280 37460 41919 20 10 37 33  0
 0  2      0 4625872     20 8421032    0    0 54832 36648 38203 42556 19 10 37 34  0
 4  0      0 4623296     20 8423540    0    0 47344 38425 35612 40279 20  9 39 32  0
 1  1      0 4619876     20 8426408    0    0 46912 44867 37576 42989 19 10 38 32  0
 0  3      0 4616660     20 8429652    0    0 50592 41874 37394 42402 18 10 39 32  0
 1  4      0 4613280     20 8432408    0    0 52672 44222 38801 43626 17 10 39 34  0
 1  2      0 4611200     20 8435236    0    0 50240 45617 37047 42202 18  9 42 32  0
 4  1      0 4608012     20 8437860    0    0 48864 48309 39242 43881 16 10 41 32  0
 0  3      0 4604896     20 8441040    0    0 49088 48666 37946 42296 18  9 42 30  0
 2  1      0 4601696     20 8443904    0    0 53600 51696 39655 44055 20 11 34 35  0
 0  3      0 4599080     20 8446780    0    0 44736 51619 35571 40207 19  9 43 29  0
 0  3      0 4596272     20 8449728    0    0 57024 53788 39219 44058 23 11 30 36  0
 1  2      0 4593148     20 8452616    0    0 38000 63982 35082 39338 22  9 42 27  0
 1  3      0 4589760     20 8455732    0    0 49008 83219 37534 41924 23  9 36 32  0
 2  2      0 4586904     20 8458460    0    0 47280 86947 36880 40863 22  9 37 31  0
 1  2      0 4583588     20 8461144    0    0 50080 90207 36642 41530 21  9 38 32  0
 1  0      0 4580952     20 8464196    0    0 49904 83293 36861 41708 25 10 31 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 4577924     20 8466912    0    0 54080 93139 36282 40730 23 10 33 34  0
 2  1      0 4575536     20 8469432    0    0 49824 90026 33302 36376 26 11 31 32  0
 6  0      0 4572888     20 8472212    0    0 41872 78699 35164 38034 26 11 33 30  0
 3  2      0 4570368     20 8474464    0    0 47360 85034 33914 36620 25 11 32 32  0
 1  3      0 4567416     20 8477068    0    0 46816 82061 33172 36034 25 12 32 30  0
 2  3      0 4564964     20 8479548    0    0 44256 83056 33566 35123 26 12 31 31  0
 4  2      0 4562448     20 8482064    0    0 46416 89366 33640 36588 25 11 31 33  0
 2  2      0 4560320     20 8484580    0    0 42112 80945 34322 36079 28 13 30 29  0
 4  0      0 4557384     20 8486676    0    0 39632 81271 33558 36760 27 12 32 29  0
 1  2      0 4555376     20 8489400    0    0 46224 77306 33165 36889 27 12 30 31  0
 1  2      0 4552572     20 8492004    0    0 44272 172471 50218 36390 26 13 31 31  0
 0  4      0 4550020     20 8494456    0    0 43040 92205 35179 37219 26 12 33 30  0
 2  4      0 4547372     20 8497060    0    0 50752 99605 36343 37932 26 11 29 33  0
 3  2      0 4544536     20 8499788    0    0 51872 90697 33589 39364 25 11 31 33  0
 0  2      0 4541360     20 8502604    0    0 49792 85199 36489 40085 26 11 30 33  0
 1  2      0 4539612     20 8505200    0    0 47760 95733 34646 37584 25 11 32 32  0
 0  2      0 4536460     20 8507960    0    0 45040 86353 35742 38577 26 11 32 31  0
 2  2      0 4533528     20 8510800    0    0 45744 94353 35192 39749 27 11 31 32  0
 1  2      0 4530192     20 8513540    0    0 46176 88810 34806 41060 26 11 33 31  0
 0  0      0 4527588     20 8516332    0    0 45696 91897 36217 40613 25 11 32 31  0
 0  2      0 4524756     20 8519404    0    0 42944 86608 36591 40373 24 11 36 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  3      0 4522240     20 8522200    0    0 52416 99725 35667 40324 25 10 31 35  0
 2  2      0 4519208     20 8524916    0    0 50480 95203 37226 41205 25 11 30 34  0
 3  1      0 4516172     20 8527700    0    0 48432 100543 38565 42104 25 11 33 31  0
 0  3      0 4513116     20 8530704    0    0 49584 92360 36293 40827 26 10 32 32  0
 1  2      0 4510152     20 8533608    0    0 44832 92768 35050 40510 24 11 36 30  0
 3  1      0 4507464     20 8536700    0    0 41792 91628 36969 40389 26 12 34 28  0
 4  0      0 4504964     20 8539404    0    0 40864 92016 33939 39217 25 10 37 29  0
 6  1      0 4501652     20 8541988    0    0 46304 88950 36536 40870 27 11 32 30  0
 1  0      0 4498908     20 8544952    0    0 50832 102757 37131 40866 24 11 32 34  0
 1  2      0 4495756     20 8547796    0    0 46784 108045 37708 40893 26 12 32 31  0
 1  1      0 4493032     20 8550624    0    0 42480 85583 34744 39484 25 11 35 28  0
 1  3      0 4490288     20 8553336    0    0 49824 94614 37996 40737 25 11 31 32  0
 0  3      0 4487352     20 8556356    0    0 48784 104317 37309 41824 26 10 32 32  0
 1  3      0 4484676     20 8559152    0    0 46304 88439 36926 40767 26 12 31 30  0
 0  3      0 4481488     20 8562084    0    0 46416 101393 36960 41080 25 11 33 31  0
 3  1      0 4478684     20 8564964    0    0 39456 94701 33961 39081 25 11 36 27  0
 4  1      0 4475600     20 8567880    0    0 50192 94901 37138 40893 25 11 31 33  0
 0  3      0 4472256     20 8570732    0    0 54384 98174 38562 43442 24 10 31 36  0
 5  0      0 4468044     20 8573892    0    0 48432 106322 39241 41997 25 10 34 31  0
 1  0      0 4465340     20 8576832    0    0 49696 91059 38450 42355 25 10 34 31  0
 0  4      0 4463132     20 8579608    0    0 54784 198065 38677 41169 23 10 32 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 4459760     20 8582644    0    0 42272 108673 37243 41244 25 10 37 29  0
 2  1      0 4457564     20 8585544    0    0 49936 97082 35493 41198 25 10 33 32  0
 3  3      0 4454412     20 8588476    0    0 50112 105587 36546 41963 25 11 32 32  0
 1  0      0 4451688     20 8591352    0    0 47984 102185 36407 40740 25 10 33 33  0
 0  1      0 4448788     20 8594164    0    0 42768 100774 35919 38953 26 11 34 29  0
 0  3      0 4445444     20 8597368    0    0 43216 109171 39020 42299 25 13 32 31  0
 1  3      0 4442596     20 8600044    0    0 51344 102789 36659 40999 24 11 30 35  0
 3  2      0 4439760     20 8603108    0    0 50464 113440 39556 43816 24 10 32 34  0
 2  2      0 4436644     20 8605992    0    0 47008 101765 37033 41002 25 11 33 32  0
 0  2      0 4432512     20 8608928    0    0 54208 105115 38826 42785 24 10 31 35  0
 3  3      0 4429992     20 8611624    0    0 43184 105450 38269 43556 25 10 35 30  0
 0  2      0 4427308     20 8614680    0    0 45776 105371 36070 42117 26 10 34 30  0
 1  3      0 4424376     20 8617644    0    0 51968 91523 37702 43740 24 11 32 32  0
 1  4      0 4421324     20 8620840    0    0 48192 116268 36835 42176 25 10 34 31  0
 1  3      0 4418364     20 8623568    0    0 46496 96974 37912 41549 23 10 34 32  0
 2  2      0 4415192     20 8626656    0    0 48144 103927 40060 44275 24 10 34 32  0
 1  1      0 4412076     20 8629896    0    0 48160 102255 38110 42406 23  9 35 33  0
