Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年08月13日 	_x86_64_	(4 CPU)

12時55分42秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12時55分43秒  all    6.84    0.00    6.33    0.00    1.01    3.29    0.00    0.00    0.00   82.53
12時55分44秒  all    2.54    0.00    3.05    0.00    0.76    1.78    0.00    0.00    0.00   91.86
12時55分45秒  all    3.03    0.00    3.28    0.00    1.01    2.02    0.00    0.00    0.00   90.66
12時55分46秒  all    4.05    0.00    3.04    0.00    0.51    2.03    0.00    0.00    0.00   90.38
12時55分47秒  all    3.04    0.00    2.78    0.00    0.76    2.03    0.00    0.00    0.00   91.39
12時55分48秒  all    2.78    0.00    3.04    0.00    0.76    1.77    0.00    0.00    0.00   91.65
12時55分49秒  all    2.55    0.00    3.06    0.00    0.77    1.28    0.00    0.00    0.00   92.35
12時55分50秒  all    3.51    0.00    3.26    0.00    1.00    2.51    0.00    0.00    0.00   89.72
12時55分51秒  all    3.31    0.00    3.31    0.00    0.51    1.78    0.00    0.00    0.00   91.09
12時55分52秒  all    3.27    0.00    2.77    0.00    1.01    1.76    0.00    0.00    0.00   91.18
12時55分53秒  all    2.55    0.00    3.06    0.00    0.77    2.04    0.00    0.00    0.00   91.58
12時55分54秒  all    3.30    0.00    2.79    0.00    0.51    2.03    0.00    0.00    0.00   91.37
12時55分55秒  all    3.33    0.00    3.33    0.00    1.03    1.54    0.00    0.00    0.00   90.77
12時55分56秒  all    4.00    0.00    3.25    0.00    0.75    2.75    0.00    0.00    0.00   89.25
12時55分57秒  all    3.04    0.00    3.29    0.00    1.01    1.77    0.00    0.00    0.00   90.89
12時55分58秒  all    3.29    0.00    3.04    0.00    0.51    1.77    0.00    0.00    0.00   91.39
12時55分59秒  all    3.27    0.00    3.78    0.00    1.01    1.76    0.00    0.00    0.00   90.18
12時56分00秒  all    3.05    0.00    3.56    0.00    1.02    1.78    0.00    0.00    0.00   90.59
12時56分01秒  all    3.53    0.00    3.78    0.00    0.50    1.76    0.00    0.00    0.00   90.43
12時56分02秒  all    6.00    0.00    3.50    0.00    1.25    1.75    0.00    0.00    0.00   87.50
12時56分03秒  all    3.27    0.00    3.27    0.00    0.25    2.02    0.00    0.00    0.00   91.18
12時56分04秒  all    3.26    0.00    3.51    0.00    1.25    2.01    0.00    0.00    0.00   89.97
12時56分05秒  all    3.06    0.00    3.83    0.00    0.51    2.04    0.00    0.00    0.00   90.56
12時56分06秒  all    3.54    0.00    3.28    0.00    1.01    2.02    0.00    0.00    0.00   90.15
