Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年08月13日 	_x86_64_	(4 CPU)

13時37分48秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13時37分49秒  all   22.22    0.00   13.38   29.55    1.77    2.27    0.00    0.00    0.00   30.81
13時37分50秒  all   16.46    0.00    8.35   30.63    1.01    1.52    0.00    0.00    0.00   42.03
13時37分51秒  all   14.94    0.00    4.56   26.33    1.27    1.27    0.00    0.00    0.00   51.65
13時37分52秒  all   16.46    0.00    6.08   28.35    1.01    1.52    0.00    0.00    0.00   46.58
13時37分53秒  all   16.04    0.00    5.01   28.57    1.00    1.25    0.00    0.00    0.00   48.12
13時37分54秒  all   14.25    0.00    4.07   26.46    0.76    1.53    0.00    0.00    0.00   52.93
13時37分55秒  all   16.37    0.00    4.03   28.72    1.01    1.26    0.00    0.00    0.00   48.61
13時37分56秒  all   13.60    0.00    5.29   28.21    1.26    1.01    0.00    0.00    0.00   50.63
13時37分57秒  all   13.37    0.00    5.40   28.53    0.51    1.80    0.00    0.00    0.00   50.39
13時37分58秒  all   13.92    0.00    3.54   28.61    1.27    1.01    0.00    0.00    0.00   51.65
13時37分59秒  all   13.71    0.00    5.58   29.19    0.76    1.52    0.00    0.00    0.00   49.24
13時38分00秒  all   13.49    0.00    4.33   28.75    1.02    1.27    0.00    0.00    0.00   51.15
13時38分01秒  all   16.17    0.00    5.72   25.87    1.00    1.74    0.00    0.00    0.00   49.50
13時38分02秒  all   16.03    0.00    5.09   26.46    1.27    1.27    0.00    0.00    0.00   49.87
13時38分03秒  all   15.70    0.00    5.32   28.10    1.01    1.52    0.00    0.00    0.00   48.35
13時38分04秒  all   14.82    0.00    4.77   29.90    0.75    1.76    0.00    0.00    0.00   47.99
13時38分05秒  all   14.29    0.00    4.85   28.57    1.28    1.02    0.00    0.00    0.00   50.00
13時38分06秒  all   15.11    0.00    4.53   27.71    1.01    1.76    0.00    0.00    0.00   49.87
13時38分07秒  all   15.56    0.00    5.61   29.34    1.02    1.28    0.00    0.00    0.00   47.19
13時38分08秒  all   14.90    0.00    5.81   28.28    1.01    1.52    0.00    0.00    0.00   48.48
13時38分09秒  all   16.46    0.00    5.82   28.86    1.27    1.52    0.00    0.00    0.00   46.08
13時38分10秒  all   16.92    0.00    4.62   28.97    1.03    1.54    0.00    0.00    0.00   46.92
13時38分11秒  all   13.85    0.00    5.54   28.97    1.01    1.76    0.00    0.00    0.00   48.87
13時38分12秒  all   16.92    0.00    5.05   29.04    1.01    1.26    0.00    0.00    0.00   46.72
13時38分13秒  all   16.00    0.00    5.25   27.50    1.25    1.25    0.00    0.00    0.00   48.75
13時38分14秒  all   14.72    0.00    5.33   30.71    0.76    1.52    0.00    0.00    0.00   46.95
13時38分15秒  all   16.79    0.00    5.26   29.82    1.25    1.75    0.00    0.00    0.00   45.11
13時38分16秒  all   15.35    0.00    4.35   29.41    0.77    1.53    0.00    0.00    0.00   48.59
13時38分17秒  all   15.70    0.00    4.81   30.63    1.01    1.01    0.00    0.00    0.00   46.84
13時38分18秒  all   15.83    0.00    5.03   28.39    1.01    1.51    0.00    0.00    0.00   48.24
13時38分19秒  all   15.95    0.00    5.06   31.14    1.27    1.27    0.00    0.00    0.00   45.32
13時38分20秒  all   14.43    0.00    5.06   29.87    1.01    1.77    0.00    0.00    0.00   47.85
13時38分21秒  all   14.32    0.00    4.77   27.39    1.01    1.51    0.00    0.00    0.00   51.01
13時38分22秒  all   16.20    0.00    5.82   28.61    1.01    1.27    0.00    0.00    0.00   47.09
13時38分23秒  all   15.83    0.00    5.28   27.89    1.26    2.01    0.00    0.00    0.00   47.74
13時38分24秒  all   16.08    0.00    5.53   30.90    0.75    1.26    0.00    0.00    0.00   45.48
13時38分25秒  all   15.70    0.00    4.30   29.11    1.01    1.27    0.00    0.00    0.00   48.61
13時38分26秒  all   15.11    0.00    4.53   27.96    1.26    1.26    0.00    0.00    0.00   49.87
13時38分27秒  all   15.11    0.00    4.53   28.72    1.01    1.76    0.00    0.00    0.00   48.87
13時38分28秒  all   15.19    0.00    6.08   27.85    1.01    1.52    0.00    0.00    0.00   48.35
13時38分29秒  all   15.95    0.00    4.81   29.11    1.27    1.77    0.00    0.00    0.00   47.09
13時38分30秒  all   17.09    0.00    5.36   30.10    1.02    1.28    0.00    0.00    0.00   45.15
13時38分31秒  all   15.82    0.00    5.36   28.57    1.28    1.53    0.00    0.00    0.00   47.45
13時38分32秒  all   16.96    0.00    5.49   27.93    0.75    1.75    0.00    0.00    0.00   47.13
13時38分33秒  all   14.72    0.00    4.82   27.92    1.27    1.02    0.00    0.00    0.00   50.25
13時38分34秒  all   13.92    0.00    4.30   29.87    1.27    1.77    0.00    0.00    0.00   48.86
13時38分35秒  all   15.52    0.00    4.83   30.03    0.76    1.27    0.00    0.00    0.00   47.58
13時38分36秒  all   16.33    0.00    4.77   29.40    1.26    1.51    0.00    0.00    0.00   46.73
13時38分37秒  all   16.41    0.00    5.30   29.55    0.76    1.52    0.00    0.00    0.00   46.46
13時38分38秒  all   14.39    0.00    5.05   29.29    1.01    1.26    0.00    0.00    0.00   48.99
13時38分39秒  all   15.04    0.00    4.76   28.82    1.50    1.50    0.00    0.00    0.00   48.37
13時38分40秒  all   15.19    0.00    5.57   29.87    0.51    1.52    0.00    0.00    0.00   47.34
13時38分41秒  all   14.94    0.00    4.81   28.35    1.27    1.01    0.00    0.00    0.00   49.62
13時38分42秒  all   17.38    0.00    4.79   28.21    0.76    2.02    0.00    0.00    0.00   46.85
13時38分43秒  all   14.86    0.00    5.54   29.72    1.26    1.26    0.00    0.00    0.00   47.36
13時38分44秒  all   14.90    0.00    4.29   29.04    1.26    1.26    0.00    0.00    0.00   49.24
13時38分45秒  all   15.56    0.00    5.36   31.63    0.51    1.53    0.00    0.00    0.00   45.41
13時38分46秒  all   13.67    0.00    5.32   28.10    1.52    1.52    0.00    0.00    0.00   49.87
13時38分47秒  all   15.19    0.00    5.57   30.13    0.76    1.77    0.00    0.00    0.00   46.58
13時38分48秒  all   15.23    0.00    5.08   28.68    1.02    1.27    0.00    0.00    0.00   48.73
13時38分49秒  all   17.05    0.00    5.09   28.50    1.27    1.78    0.00    0.00    0.00   46.31
13時38分50秒  all   15.23    0.00    6.35   29.44    0.76    1.52    0.00    0.00    0.00   46.70
13時38分51秒  all   17.38    0.00    5.04   29.97    1.26    1.51    0.00    0.00    0.00   44.84
13時38分52秒  all   17.63    0.00    4.53   28.46    1.26    1.51    0.00    0.00    0.00   46.60
13時38分53秒  all   15.05    0.00    4.85   29.08    0.77    1.53    0.00    0.00    0.00   48.72
13時38分54秒  all   13.08    0.00    4.10   29.74    1.28    1.28    0.00    0.00    0.00   50.51
13時38分55秒  all   14.11    0.00    5.04   29.47    1.01    1.51    0.00    0.00    0.00   48.87
13時38分56秒  all   14.58    0.00    5.12   29.41    0.77    1.53    0.00    0.00    0.00   48.59
13時38分57秒  all   15.74    0.00    4.57   30.20    1.27    1.27    0.00    0.00    0.00   46.95
13時38分58秒  all   16.71    0.00    4.99   27.43    1.25    1.50    0.00    0.00    0.00   48.13
13時38分59秒  all   15.27    0.00    5.85   30.53    0.76    1.27    0.00    0.00    0.00   46.31
13時39分00秒  all   15.33    0.00    4.77   29.15    1.01    1.26    0.00    0.00    0.00   48.49
13時39分01秒  all   16.08    0.00    6.03   27.39    1.26    2.01    0.00    0.00    0.00   47.24
13時39分02秒  all   18.07    0.00    6.62   27.23    1.27    1.27    0.00    0.00    0.00   45.55
13時39分03秒  all   17.51    0.00    5.58   27.92    1.27    2.28    0.00    0.00    0.00   45.43
13時39分04秒  all   16.03    0.00    5.09   29.01    1.02    1.27    0.00    0.00    0.00   47.58
13時39分05秒  all   17.26    0.00    4.82   27.41    1.27    1.78    0.00    0.00    0.00   47.46
13時39分06秒  all   15.99    0.00    5.58   28.68    0.76    1.52    0.00    0.00    0.00   47.46
13時39分07秒  all   18.45    0.00    5.49   29.18    1.50    2.00    0.00    0.00    0.00   43.39
13時39分08秒  all   17.05    0.00    4.83   29.01    1.02    1.27    0.00    0.00    0.00   46.82
13時39分09秒  all   16.16    0.00    5.81   27.53    1.01    1.26    0.00    0.00    0.00   48.23
13時39分10秒  all   18.45    0.00    4.99   27.43    1.25    1.75    0.00    0.00    0.00   46.13
13時39分11秒  all   17.14    0.00    5.37   28.90    0.51    1.28    0.00    0.00    0.00   46.80
13時39分12秒  all   17.29    0.00    5.01   27.82    1.25    1.75    0.00    0.00    0.00   46.87
13時39分13秒  all   18.05    0.00    5.51   28.07    1.50    1.50    0.00    0.00    0.00   45.36
13時39分14秒  all   15.78    0.00    5.34   29.01    0.76    1.78    0.00    0.00    0.00   47.33
13時39分15秒  all   16.83    0.00    5.53   29.65    1.26    1.26    0.00    0.00    0.00   45.48
13時39分16秒  all   15.38    0.00    4.10   27.44    1.03    1.54    0.00    0.00    0.00   50.51
13時39分17秒  all   15.70    0.00    5.32   29.87    0.76    1.52    0.00    0.00    0.00   46.84
13時39分18秒  all   15.91    0.00    5.05   29.04    1.26    1.77    0.00    0.00    0.00   46.97
13時39分19秒  all   15.08    0.00    4.77   28.14    1.26    1.26    0.00    0.00    0.00   49.50
13時39分20秒  all   16.88    0.00    4.60   28.90    0.77    1.28    0.00    0.00    0.00   47.57
13時39分21秒  all   14.29    0.00    5.51   28.32    1.00    1.75    0.00    0.00    0.00   49.12
13時39分22秒  all   15.38    0.00    4.62   30.00    0.77    1.03    0.00    0.00    0.00   48.21
13時39分23秒  all   15.95    0.00    5.06   27.59    1.27    1.52    0.00    0.00    0.00   48.61
13時39分24秒  all   15.40    0.00    4.55   28.03    1.01    1.52    0.00    0.00    0.00   49.49
13時39分25秒  all   14.57    0.00    5.78   28.39    1.01    1.51    0.00    0.00    0.00   48.74
13時39分26秒  all   14.97    0.00    4.31   29.19    1.02    1.78    0.00    0.00    0.00   48.73
13時39分27秒  all   15.15    0.00    4.80   26.77    1.01    1.52    0.00    0.00    0.00   50.76
13時39分28秒  all   16.41    0.00    4.87   28.72    0.77    1.28    0.00    0.00    0.00   47.95
13時39分29秒  all   15.40    0.00    5.56   28.28    1.26    1.77    0.00    0.00    0.00   47.73
13時39分30秒  all   15.31    0.00    5.36   28.83    0.77    1.28    0.00    0.00    0.00   48.47
13時39分31秒  all   15.19    0.00    3.80   27.85    1.01    1.52    0.00    0.00    0.00   50.63
13時39分32秒  all   15.04    0.00    5.01   27.07    1.00    1.25    0.00    0.00    0.00   50.63
13時39分33秒  all   14.97    0.00    4.06   29.44    1.02    1.27    0.00    0.00    0.00   49.24
13時39分34秒  all   12.88    0.00    4.80   28.79    1.01    1.52    0.00    0.00    0.00   51.01
13時39分35秒  all   17.26    0.00    4.82   28.17    0.76    1.52    0.00    0.00    0.00   47.46
13時39分36秒  all   17.97    0.00    4.05   28.10    1.27    1.01    0.00    0.00    0.00   47.59
13時39分37秒  all   16.09    0.00    5.69   28.71    1.24    1.49    0.00    0.00    0.00   46.78
13時39分38秒  all   14.91    0.00    4.37   30.08    0.77    1.54    0.00    0.00    0.00   48.33
13時39分39秒  all   14.21    0.00    5.33   28.17    1.02    1.78    0.00    0.00    0.00   49.49
13時39分40秒  all   15.62    0.00    5.79   28.97    0.76    1.26    0.00    0.00    0.00   47.61
13時39分41秒  all   15.11    0.00    5.29   28.46    1.26    1.26    0.00    0.00    0.00   48.61
13時39分42秒  all   17.59    0.00    5.53   28.39    1.26    2.01    0.00    0.00    0.00   45.23
13時39分43秒  all   16.67    0.00    4.80   29.04    0.76    1.52    0.00    0.00    0.00   47.22
13時39分44秒  all   15.64    0.00    5.13   28.97    1.03    1.28    0.00    0.00    0.00   47.95
13時39分45秒  all   16.79    0.00    4.76   29.32    1.25    1.50    0.00    0.00    0.00   46.37
13時39分46秒  all   16.92    0.00    4.87   30.77    0.77    1.28    0.00    0.00    0.00   45.38
13時39分47秒  all   15.08    0.00    5.03   29.15    1.26    1.76    0.00    0.00    0.00   47.74
13時39分48秒  all   16.37    0.00    5.04   28.72    1.26    1.51    0.00    0.00    0.00   47.10
13時39分49秒  all   16.28    0.00    5.34   29.52    0.76    1.78    0.00    0.00    0.00   46.31
13時39分50秒  all   16.34    0.00    5.45   29.70    0.99    1.24    0.00    0.00    0.00   46.29
13時39分51秒  all   16.08    0.00    4.52   27.14    1.01    1.51    0.00    0.00    0.00   49.75
13時39分52秒  all   15.11    0.00    4.79   28.97    1.26    1.51    0.00    0.00    0.00   48.36
13時39分53秒  all   16.04    0.00    5.01   29.07    1.00    1.50    0.00    0.00    0.00   47.37
13時39分54秒  all   15.33    0.00    5.03   30.40    1.01    1.51    0.00    0.00    0.00   46.73
13時39分55秒  all   14.68    0.00    4.56   26.84    1.01    1.52    0.00    0.00    0.00   51.39
13時39分56秒  all   15.74    0.00    5.08   29.44    0.76    1.27    0.00    0.00    0.00   47.72
13時39分57秒  all   14.43    0.00    4.81   28.61    1.01    1.77    0.00    0.00    0.00   49.37
13時39分58秒  all   14.76    0.00    4.07   28.50    1.02    1.02    0.00    0.00    0.00   50.64
13時39分59秒  all   14.86    0.00    4.79   29.47    0.76    1.26    0.00    0.00    0.00   48.87
13時40分00秒  all   14.29    0.00    5.26   28.57    1.25    1.50    0.00    0.00    0.00   49.12
13時40分01秒  all   14.32    0.00    4.60   26.85    0.77    1.53    0.00    0.00    0.00   51.92
13時40分02秒  all   14.75    0.00    4.75   26.75    1.25    1.50    0.00    0.00    0.00   51.00
13時40分03秒  all   17.35    0.00    4.85   26.28    1.02    1.53    0.00    0.00    0.00   48.98
13時40分04秒  all   17.93    0.00    6.82   25.51    1.52    2.27    0.00    0.00    0.00   45.96
13時40分05秒  all   18.27    0.00    5.84   26.65    1.02    1.52    0.00    0.00    0.00   46.70
13時40分06秒  all   18.11    0.00    6.12   27.81    1.28    1.79    0.00    0.00    0.00   44.90
13時40分07秒  all   17.93    0.00    5.05   28.28    1.01    1.52    0.00    0.00    0.00   46.21
13時40分08秒  all   16.16    0.00    5.05   27.78    1.26    1.26    0.00    0.00    0.00   48.48
13時40分09秒  all   19.49    0.00    5.57   27.85    0.51    1.77    0.00    0.00    0.00   44.81
13時40分10秒  all   16.46    0.00    5.82   27.34    1.52    1.52    0.00    0.00    0.00   47.34
13時40分11秒  all   18.11    0.00    4.85   28.32    1.28    1.28    0.00    0.00    0.00   46.17
13時40分12秒  all   18.37    0.00    5.36   28.57    1.28    1.53    0.00    0.00    0.00   44.90
13時40分13秒  all   19.49    0.00    6.84   26.33    1.01    2.03    0.00    0.00    0.00   44.30
13時40分14秒  all   18.72    0.00    6.15   25.90    1.28    1.79    0.00    0.00    0.00   46.15
13時40分15秒  all   18.43    0.00    6.06   26.77    1.52    1.77    0.00    0.00    0.00   45.45
13時40分16秒  all   17.60    0.00    5.87   29.08    1.02    1.53    0.00    0.00    0.00   44.90
13時40分17秒  all   17.22    0.00    5.40   28.02    1.29    2.06    0.00    0.00    0.00   46.02
13時40分18秒  all   17.96    0.00    6.23   27.43    1.00    2.49    0.00    0.00    0.00   44.89
13時40分19秒  all   16.41    0.00    4.62   27.44    0.77    1.28    0.00    0.00    0.00   49.49
13時40分20秒  all   19.50    0.00    4.25   27.00    1.50    1.50    0.00    0.00    0.00   46.25
13時40分21秒  all   16.58    0.00    4.85   27.55    0.77    1.28    0.00    0.00    0.00   48.98
13時40分22秒  all   16.97    0.00    4.63   28.02    1.29    1.54    0.00    0.00    0.00   47.56
13時40分23秒  all   16.16    0.00    5.30   27.78    1.01    1.26    0.00    0.00    0.00   48.48
13時40分24秒  all   16.46    0.00    5.06   29.37    1.01    1.52    0.00    0.00    0.00   46.58
13時40分25秒  all   19.54    0.00    6.09   26.14    1.27    1.78    0.00    0.00    0.00   45.18
13時40分26秒  all   21.08    0.00    6.17   26.22    1.29    1.80    0.00    0.00    0.00   43.44
13時40分27秒  all   22.90    0.00    5.60   26.21    1.53    1.27    0.00    0.00    0.00   42.49
