procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   3840 1869960   1076 5424092    0    0     0     1    0    0  0  0 99  0  0
 0  0   3840 1848528   1076 5424160    0    0     0     0 84380 65901  7 15 78  0  0
 0  0   3840 1848220   1076 5424160    0    0     0    36 53558 57413  4  8 88  0  0
 0  0   3840 1847372   1076 5424160    0    0     0     0 48627 53015  4  8 88  0  0
 0  0   3840 1847048   1076 5424164    0    0     0     0 53634 58985  5  8 87  0  0
 1  0   3840 1847604   1076 5424164    0    0     0     0 49455 53859  5  7 88  0  0
 0  0   3840 1847480   1076 5424164    0    0     0     0 51964 56081  4  8 88  0  0
 0  0   3840 1847816   1076 5424164    0    0     0     0 51263 55987  5  9 87  0  0
 1  0   3840 1846788   1076 5424164    0    0     0     0 49738 53916  5  7 88  0  0
 2  0   3840 1846972   1076 5424164    0    0     0     0 51977 57502  4  8 88  0  0
 1  0   3840 1846564   1076 5424164    0    0     0     0 50962 55477  4  8 89  0  0
 3  0   3840 1846008   1076 5424172    0    0     0     0 52842 57216  5  8 87  0  0
 1  0   3840 1846460   1076 5424172    0    0     0     0 49098 54438  4  8 89  0  0
 0  0   3840 1846048   1076 5424172    0    0     0     0 49647 54820  5  9 87  0  0
 0  0   3840 1821368   1076 5424184    0    0     0     4 46277 51227  6  8 86  0  0
 1  0   3840 1821236   1076 5424188    0    0     0     0 47479 51220  4  7 89  0  0
 3  0   3840 1821416   1076 5424188    0    0     0     0 49690 53474  4  8 88  0  0
 0  0   3840 1821756   1076 5424188    0    0     0     0 49109 52892  5  8 87  0  0
 0  0   3840 1821084   1076 5424188    0    0     0     4 52244 56129  4  8 87  0  0
 0  0   3840 1821084   1076 5424188    0    0     0     0 50986 55226  4  7 89  0  0
 0  0   3840 1820712   1076 5424188    0    0     0     0 49973 54687  4  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1821308   1076 5424188    0    0     0     0 50852 55926  4  8 88  0  0
 1  0   3840 1821376   1076 5424192    0    0     0     0 50123 54562  5  8 87  0  0
 0  0   3840 1820764   1076 5424192    0    0     0     0 48949 54298  4  8 88  0  0
 1  0   3840 1821072   1076 5424192    0    0     0     0 52321 58136  4  8 88  0  0
 0  0   3840 1821404   1076 5424192    0    0     0     0 48017 52459  4  7 89  0  0
 0  0   3840 1821596   1076 5424192    0    0     0    76 51067 55913  4  8 88  0  0
 0  0   3840 1821132   1076 5424200    0    0     0     2 52899 57162  5  9 86  0  0
 1  0   3840 1821168   1076 5424200    0    0     0     0 52051 55575  4  8 87  0  0
 0  0   3840 1821064   1076 5424204    0    0     0     0 53239 57718  4  8 88  0  0
 0  0   3840 1820976   1076 5424204    0    0     0     0 47151 51537  4  7 89  0  0
 0  0   3840 1821332   1076 5424204    0    0     0     0 53706 59014  3  8 89  0  0
 1  0   3840 1845420   1076 5424208    0    0     0   284 46339 52756 11  9 80  0  0
 0  0   3840 1844920   1076 5424208    0    0     0   116 48374 52399  4  8 88  0  0
 0  0   3840 1845808   1076 5424208    0    0     0     0 49923 54201  4  7 89  0  0
 2  0   3840 1845412   1076 5424208    0    0     0     0 48610 52472  4  7 88  0  0
 1  0   3840 1845780   1076 5424208    0    0     0     0 51569 55870  5  8 87  0  0
 1  0   3840 1845224   1076 5424208    0    0     0     0 48719 53241  4  8 88  0  0
 0  0   3840 1845748   1076 5424208    0    0     0     0 49074 53995  5  8 87  0  0
 0  0   3840 1845284   1076 5424208    0    0     0     0 49936 54509  5  7 89  0  0
 0  0   3840 1845268   1076 5424224    0    0     0     0 51571 56182  4  7 89  0  0
 0  0   3840 1845304   1076 5424232    0    0     0     0 51816 56577  5  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1845196   1076 5424236    0    0     0     0 51561 55880  5  8 88  0  0
 0  0   3840 1845144   1076 5424244    0    0     0     0 49402 53054  4  8 88  0  0
 1  0   3840 1845676   1076 5424248    0    0     0     0 50808 54306  4  7 89  0  0
 0  0   3840 1845480   1076 5424248    0    0     0     0 52372 57004  3  8 89  0  0
 0  0   3840 1845860   1076 5424248    0    0     0     0 50683 55350  4  8 88  0  0
 2  0   3840 1845208   1076 5424248    0    0     0     0 51109 55598  5  8 87  0  0
 0  0   3840 1844548   1076 5424248    0    0     0     0 51113 56618  4  8 88  0  0
 0  0   3840 1844744   1076 5424248    0    0     0    12 52161 57750  3  8 89  0  0
 0  0   3840 1845132   1076 5424248    0    0     0     0 50307 55564  4  7 89  0  0
 0  0   3840 1845440   1076 5424248    0    0     0     0 53023 57572  4  8 88  0  0
 0  0   3840 1844980   1076 5424248    0    0     0     0 50941 55091  5  8 88  0  0
 0  0   3840 1845796   1076 5424260    0    0     0     0 49162 53785  4  8 88  0  0
 2  0   3840 1844944   1076 5424260    0    0     0     0 51286 56281  5  8 88  0  0
 0  0   3840 1845484   1076 5424260    0    0     0     0 51744 55868  4  8 88  0  0
 0  0   3840 1845424   1076 5424260    0    0     0     0 51496 57088  5  8 87  0  0
 0  0   3840 1845048   1076 5424260    0    0     0    81 51995 57985  5  8 88  0  0
 0  0   3840 1845092   1076 5424264    0    0     0     0 50160 54604  4  8 88  0  0
 0  0   3840 1845436   1076 5424264    0    0     0     0 53649 57309  4  8 88  0  0
 0  0   3840 1844784   1076 5424264    0    0     0     0 53080 57807  4  8 88  0  0
 0  0   3840 1845752   1076 5424264    0    0     0     0 50662 56075  5  7 88  0  0
 1  0   3840 1845300   1076 5424264    0    0     0     0 49796 54378  4  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1845288   1076 5424264    0    0     0     0 53462 57827  5  8 87  0  0
 0  0   3840 1845060   1076 5424268    0    0     0   120 54249 58111  4  8 88  0  0
 0  0   3840 1844980   1076 5424272    0    0     0     0 49772 53916  4  8 89  0  0
 0  0   3840 1845512   1076 5424276    0    0     0     0 51862 55328  4  8 88  0  0
 1  0   3840 1845372   1076 5424276    0    0     0     0 54174 58322  5  9 86  0  0
 0  0   3840 1845468   1076 5424276    0    0     0     0 51243 55335  5  8 88  0  0
 1  0   3840 1845668   1076 5424276    0    0     0     0 54653 59439  4  8 87  0  0
 0  0   3840 1845492   1076 5424276    0    0     0     0 50418 54589  3  7 90  0  0
 0  0   3840 1845600   1076 5424276    0    0     0     0 53804 58198  4  8 87  0  0
 0  0   3840 1845432   1076 5424276    0    0     0     0 47777 51590  4  8 88  0  0
 0  0   3840 1845624   1076 5424276    0    0     0     0 48834 52611  5  8 87  0  0
 0  0   3840 1821540   1076 5424284    0    0     0    20 46660 50847  6  8 86  0  0
 1  0   3840 1820872   1076 5424284    0    0     0     0 48767 52799  4  8 87  0  0
 1  0   3840 1821180   1076 5424284    0    0     0     0 51363 56324  5  8 88  0  0
 1  0   3840 1821196   1076 5424284    0    0     0     0 52493 56882  5  9 87  0  0
 0  0   3840 1821188   1076 5424288    0    0     0     0 49456 53175  5  8 87  0  0
 0  0   3840 1821164   1076 5424292    0    0     0     4 51240 55524  4  8 89  0  0
 0  0   3840 1820744   1076 5424292    0    0     0     0 50644 54857  4  8 88  0  0
 0  0   3840 1822148   1076 5424300    0    0     0     0 50944 55386  5  8 87  0  0
 1  0   3840 1820672   1076 5424304    0    0     0     0 53677 57775  4  9 87  0  0
 0  0   3840 1821168   1076 5424304    0    0     0     0 50526 54336  5  9 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1821200   1076 5424304    0    0     0     0 52900 56898  5  9 87  0  0
 0  0   3840 1820792   1076 5424308    0    0     0     0 50354 55274  5  8 87  0  0
 0  0   3840 1820592   1076 5424312    0    0     0     0 49962 54783  5  8 87  0  0
 1  0   3840 1820572   1076 5424316    0    0     0   111 52019 56001  5  9 86  0  0
 0  0   3840 1820440   1076 5424316    0    0     0     0 51730 56418  5  8 87  0  0
 0  0   3840 1820944   1076 5424320    0    0     0     0 49239 52995  5  8 88  0  0
 0  0   3840 1820816   1076 5424324    0    0     0     0 51002 54542  4  8 88  0  0
 0  0   3840 1821240   1076 5424332    0    0     0     0 52042 56209  5  8 88  0  0
 0  0   3840 1844272   1076 5424332    0    0     0   284 44108 49759 10 10 80  0  0
 0  0   3840 1845152   1076 5424332    0    0     0     0 50052 53801  4  8 88  0  0
 0  0   3840 1845676   1076 5424332    0    0     0     0 53589 58034  4  8 88  0  0
 2  0   3840 1845424   1076 5424336    0    0     0    48 50352 54528  4  7 89  0  0
 0  0   3840 1845112   1076 5424336    0    0     0     0 52114 56321  5  7 88  0  0
 0  0   3840 1845080   1076 5424336    0    0     0     0 51622 55809  5  9 85  0  0
 0  0   3840 1845308   1076 5424336    0    0     0     0 52343 56613  5  8 87  0  0
 0  0   3840 1845136   1076 5424336    0    0     0     0 51415 55610  4  8 88  0  0
 1  0   3840 1845116   1076 5424336    0    0     0    48 51964 56543  4  8 88  0  0
 0  0   3840 1845904   1076 5424336    0    0     0     0 51240 55620  5  8 88  0  0
 0  0   3840 1845560   1076 5424336    0    0     0     0 52165 56996  4  9 87  0  0
 0  0   3840 1845348   1076 5424344    0    0     0     0 52041 56797  5  8 87  0  0
 0  0   3840 1845476   1076 5424348    0    0     0     0 51769 56092  4  7 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1845596   1076 5424348    0    0     0     8 53146 57428  4  8 88  0  0
