procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 2602768   7420 4851928    0    0     0     1    1    0  0  0 100  0  0
 2  0      0 2597080   7420 4851952    0    0     0    21 49220 45284  3 10 87  0  0
 1  0      0 2588996   7420 4851952    0    0     0     0 32741 34617  3  6 91  0  0
 1  0      0 2586284   7420 4851952    0    0     0     0 27686 28877  2  6 93  0  0
 1  0      0 2583620   7420 4851952    0    0     0     0 31986 32478  3  6 91  0  0
 1  0      0 2581948   7420 4851952    0    0     0     0 34409 35957  2  6 92  0  0
 1  0      0 2581256   7420 4851952    0    0     0     0 33626 36222  3  6 91  0  0
 1  0      0 2581344   7420 4851952    0    0     0     0 35603 38537  2  6 91  0  0
 1  0      0 2580368   7420 4851952    0    0     0     0 35517 37935  3  6 92  0  0
 0  0      0 2579616   7420 4851952    0    0     0     0 28540 29865  2  5 93  0  0
 1  0      0 2579584   7420 4851952    0    0     0     0 33675 34447  3  6 91  0  0
 4  0      0 2579600   7420 4851952    0    0     0     8 34137 35696  3  6 91  0  0
 0  0      0 2580432   7420 4851952    0    0     0     0 33678 36360  3  6 91  0  0
 0  0      0 2580872   7420 4851952    0    0     0     0 30347 32215  2  5 93  0  0
 1  0      0 2580304   7420 4851960    0    0     0     0 30671 31390  2  6 92  0  0
 0  0      0 2580348   7420 4851960    0    0     0     0 34322 35639  3  7 91  0  0
 0  0      0 2580184   7420 4851960    0    0     0     0 35600 37840  3  6 91  0  0
 0  0      0 2580064   7420 4851960    0    0     0     0 36163 39326  3  7 91  0  0
 0  0      0 2580128   7420 4851960    0    0     0     0 33805 36082  3  6 91  0  0
 1  0      0 2580220   7420 4851960    0    0     0     0 27209 27829  3  6 92  0  0
 0  0      0 2580544   7420 4851960    0    0     0     0 34591 35452  3  7 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
