Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月18日 	_x86_64_	(4 CPU)

17時14分43秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17時14分44秒  all    2.77    0.00    3.78    0.00    0.50    1.26    0.00    0.00    0.00   91.69
17時14分45秒  all    1.77    0.00    2.28    0.00    0.25    1.52    0.00    0.00    0.00   94.18
17時14分46秒  all    2.25    0.00    2.75    0.00    1.00    1.50    0.00    0.00    0.00   92.50
17時14分47秒  all    2.25    0.00    2.50    0.00    0.75    1.75    0.00    0.00    0.00   92.75
17時14分48秒  all    2.02    0.00    2.53    0.00    0.51    1.26    0.00    0.00    0.00   93.69
17時14分49秒  all    2.25    0.00    2.75    0.25    0.75    1.75    0.00    0.00    0.00   92.25
17時14分50秒  all    2.03    0.00    2.28    0.00    0.51    1.52    0.00    0.00    0.00   93.67
17時14分51秒  all    1.76    0.00    2.26    0.00    0.75    1.26    0.00    0.00    0.00   93.97
17時14分52秒  all    2.26    0.00    2.76    0.00    0.25    1.51    0.00    0.00    0.00   93.22
17時14分53秒  all    1.77    0.00    2.02    0.00    1.01    1.26    0.00    0.00    0.00   93.94
17時14分54秒  all    1.78    0.00    2.03    0.00    0.51    1.52    0.00    0.00    0.00   94.16
17時14分55秒  all    2.49    0.00    2.99    0.00    0.75    1.74    0.00    0.00    0.00   92.04
17時14分56秒  all    2.52    0.00    3.02    0.00    0.76    1.76    0.00    0.00    0.00   91.94
17時14分57秒  all    1.53    0.00    1.79    0.00    0.51    1.53    0.00    0.00    0.00   94.64
17時14分58秒  all    1.78    0.00    2.29    0.00    0.51    1.53    0.00    0.00    0.00   93.89
17時14分59秒  all    1.77    0.00    1.77    0.00    1.01    1.77    0.00    0.00    0.00   93.69
17時15分00秒  all    1.52    0.00    2.79    0.00    0.51    1.52    0.00    0.00    0.00   93.65
17時15分01秒  all    4.06    0.00    3.55    0.00    0.51    1.27    0.00    0.00    0.00   90.61
17時15分02秒  all    1.77    0.00    1.77    0.00    1.01    2.28    0.00    0.00    0.00   93.16
17時15分03秒  all    2.51    0.00    3.02    0.00    1.01    1.51    0.00    0.00    0.00   91.96
17時15分04秒  all    2.27    0.00    3.54    0.00    0.25    1.52    0.00    0.00    0.00   92.42
17時15分05秒  all    2.02    0.00    2.52    0.00    0.76    1.76    0.00    0.00    0.00   92.95
17時15分06秒  all    2.77    0.00    2.77    0.00    0.76    1.76    0.00    0.00    0.00   91.94
17時15分07秒  all    2.52    0.00    3.02    0.00    1.01    1.76    0.00    0.00    0.00   91.69
17時15分08秒  all    1.77    0.00    3.28    0.00    0.51    1.77    0.00    0.00    0.00   92.68
17時15分09秒  all    2.27    0.00    2.27    0.00    1.01    1.77    0.00    0.00    0.00   92.68
17時15分10秒  all    2.27    0.00    3.54    0.00    0.51    2.02    0.00    0.00    0.00   91.67
17時15分11秒  all    1.52    0.00    3.03    0.00    1.01    1.26    0.00    0.00    0.00   93.18
17時15分12秒  all    2.02    0.00    2.77    0.00    0.50    1.51    0.00    0.00    0.00   93.20
17時15分13秒  all    1.77    0.00    2.53    0.00    0.76    1.52    0.00    0.00    0.00   93.42
17時15分14秒  all    2.02    0.00    2.27    0.00    0.51    2.02    0.00    0.00    0.00   93.18
17時15分15秒  all    2.26    0.00    2.51    0.00    0.75    1.51    0.00    0.00    0.00   92.96
17時15分16秒  all    1.77    0.00    2.28    0.00    1.01    1.77    0.00    0.00    0.00   93.16
17時15分17秒  all    1.79    0.00    2.30    0.00    0.00    1.53    0.00    0.00    0.00   94.37
