Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月18日 	_x86_64_	(4 CPU)

23時25分00秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23時25分01秒  all   81.89    0.00    9.68    2.98    1.24    2.23    0.00    0.00    0.00    1.99
23時25分02秒  all   83.38    0.00    9.82    1.76    1.01    2.02    0.00    0.00    0.00    2.02
23時25分03秒  all   82.21    0.00   10.28    2.01    1.00    2.01    0.00    0.00    0.00    2.51
23時25分04秒  all   80.50    0.00    9.50    4.25    1.50    2.50    0.00    0.00    0.00    1.75
23時25分05秒  all   80.56    0.00    9.09    4.04    1.01    2.53    0.00    0.00    0.00    2.78
23時25分06秒  all   78.50    0.00   10.25    3.75    1.25    2.25    0.00    0.00    0.00    4.00
23時25分07秒  all   80.30    0.00   12.47    2.74    1.00    2.49    0.00    0.00    0.00    1.00
23時25分08秒  all   78.25    0.00   13.75    3.00    1.50    2.25    0.00    0.00    0.00    1.25
23時25分09秒  all   77.39    0.00   13.57    3.52    1.26    2.51    0.00    0.00    0.00    1.76
23時25分10秒  all   83.67    0.00   10.30    1.51    0.75    2.01    0.00    0.00    0.00    1.76
23時25分11秒  all   80.90    0.00   10.05    5.28    1.26    2.26    0.00    0.00    0.00    0.25
23時25分12秒  all   81.68    0.00   10.40    3.71    0.99    2.48    0.00    0.00    0.00    0.74
23時25分13秒  all   82.21    0.00    9.77    2.76    1.50    2.01    0.00    0.00    0.00    1.75
23時25分14秒  all   81.80    0.00   10.22    3.49    1.25    2.99    0.00    0.00    0.00    0.25
23時25分15秒  all   87.41    0.00    9.07    1.51    0.76    1.26    0.00    0.00    0.00    0.00
23時25分16秒  all   80.30    0.00   11.47    3.74    1.50    2.74    0.00    0.00    0.00    0.25
23時25分17秒  all   82.50    0.00    9.75    4.00    1.00    2.50    0.00    0.00    0.00    0.25
23時25分18秒  all   83.38    0.00   10.33    2.02    1.01    2.27    0.00    0.00    0.00    1.01
23時25分19秒  all   82.96    0.00   10.28    3.01    1.25    2.26    0.00    0.00    0.00    0.25
23時25分20秒  all   81.91    0.00    9.30    4.52    1.01    2.51    0.00    0.00    0.00    0.75
23時25分21秒  all   81.82    0.00   10.35    3.54    1.26    2.27    0.00    0.00    0.00    0.76
23時25分22秒  all   84.46    0.00    8.77    2.51    1.25    2.01    0.00    0.00    0.00    1.00
23時25分23秒  all   81.93    0.00    9.90    3.22    1.24    2.48    0.00    0.00    0.00    1.24
23時25分24秒  all   82.32    0.00    9.60    3.54    1.26    2.27    0.00    0.00    0.00    1.01
23時25分25秒  all   83.08    0.00    9.60    3.79    1.01    2.27    0.00    0.00    0.00    0.25
23時25分26秒  all   80.20    0.00   10.15    3.96    1.49    2.48    0.00    0.00    0.00    1.73
23時25分27秒  all   81.25    0.00    7.50    6.25    1.00    1.75    0.00    0.00    0.00    2.25
23時25分28秒  all   79.85    0.00    9.45    5.22    1.00    2.24    0.00    0.00    0.00    2.24
