procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 2583876   7420 4857876    0    0     0     1    0    0  0  0 100  0  0
 0  0      0 2574208   7420 4857916    0    0     0     0 44987 41638  4  9 87  0  0
 2  0      0 2566564   7420 4857916    0    0     0     0 29576 30829  2  5 93  0  0
 0  0      0 2563840   7420 4857916    0    0     0     0 30276 31099  2  5 93  0  0
 2  0      0 2561356   7420 4857916    0    0     0     0 28473 29024  2  5 93  0  0
 0  0      0 2560248   7420 4857916    0    0     0     0 32455 33332  2  6 92  0  0
 0  0      0 2558680   7420 4857916    0    0     0     0 33909 35314  2  6 92  0  0
 1  0      0 2557544   7420 4857916    0    0     0     0 34934 37302  2  6 92  0  0
 0  0      0 2557284   7420 4857916    0    0     0     0 34430 36182  3  6 92  0  0
 0  0      0 2557016   7420 4857916    0    0     0     0 30622 32755  3  5 92  0  0
 0  0      0 2557380   7420 4857916    0    0     0    36 31037 32365  2  6 92  0  0
 0  0      0 2557388   7420 4857920    0    0     0     0 35896 37003  3  6 91  0  0
 1  0      0 2557660   7420 4857920    0    0     0     0 34547 36999  3  6 92  0  0
 1  0      0 2556720   7420 4857920    0    0     0     0 35693 38262  3  6 91  0  0
 0  0      0 2557196   7420 4857928    0    0     0     0 28794 29860  2  5 93  0  0
 0  0      0 2557884   7420 4857932    0    0     0     0 34837 36118  3  6 91  0  0
 1  0      0 2558108   7420 4857932    0    0     0     0 34372 36790  3  6 91  0  0
 0  0      0 2557940   7420 4857932    0    0     0     0 34369 36796  2  5 93  0  0
 1  0      0 2557816   7420 4857932    0    0     0     0 34210 37003  3  6 91  0  0
 1  0      0 2557776   7420 4857932    0    0     0     0 32269 34073  2  6 92  0  0
 0  0      0 2532388   7420 4857932    0    0     0     8 28081 29191  5  6 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2532156   7420 4857940    0    0     0     0 32961 33262  3  6 91  0  0
 0  0      0 2532300   7420 4857940    0    0     0     0 34659 37321  3  6 91  0  0
 0  0      0 2532308   7420 4857940    0    0     0     0 36317 38396  3  7 90  0  0
 1  0      0 2532252   7420 4857940    0    0     0     0 32260 34216  2  6 92  0  0
 0  0      0 2532928   7420 4857940    0    0     0    52 29060 29864  2  5 93  0  0
 1  0      0 2532552   7420 4857940    0    0     0     0 34565 35023  3  6 91  0  0
 1  0      0 2530500   7420 4857944    0    0     0     0 33681 36159  2  6 92  0  0
 1  0      0 2530104   7420 4857948    0    0     0     0 35971 38465  3  6 91  0  0
 0  0      0 2530164   7420 4857948    0    0     0     0 35038 37753  3  6 91  0  0
 0  0      0 2530176   7420 4857952    0    0     0     0 26467 27275  2  5 93  0  0
 0  0      0 2531072   7420 4857952    0    0     0    44 32771 33271  3  6 91  0  0
 0  0      0 2530708   7420 4857956    0    0     0     0 37139 39113  3  6 92  0  0
 1  0      0 2530320   7420 4857956    0    0     0     0 35127 37585  3  7 90  0  0
 0  0      0 2529880   7420 4857956    0    0     0     0 35949 39036  3  6 91  0  0
 1  0      0 2529812   7420 4857956    0    0     0     0 26468 27881  2  5 94  0  0
 0  0      0 2530440   7420 4857956    0    0     0    40 32561 32594  3  6 92  0  0
 0  0      0 2530148   7420 4857956    0    0     0     0 32514 33113  3  7 91  0  0
 0  0      0 2529644   7420 4857956    0    0     0     0 34527 36995  3  7 91  0  0
 0  0      0 2554116   7420 4857956    0    0     0   268 32604 35276  8  7 85  0  0
 0  0      0 2554472   7420 4857972    0    0     0     0 32656 34845  3  6 92  0  0
 1  0      0 2554224   7420 4857976    0    0     0     0 27201 28414  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2554328   7420 4857980    0    0     0     0 33939 34125  3  6 92  0  0
 0  0      0 2554120   7420 4857988    0    0     0     0 36044 38292  2  7 91  0  0
